"","values"
"1",0.556087090583899
"2",0.40451074615967
"3",0.800946579666337
"4",0.283642628924608
"5",0.414846471881567
"6",0.591050862798095
"7",1.10015528948669
"8",1.00863724919464
"9",1.20557395489424
"10",0.696075059190618
"11",0.618600881982776
"12",0.654071125464143
"13",0.857627480566626
"14",0.68055881115625
"15",1.00122120035045
"16",0.733696971591919
"17",0.329015831666209
"18",0.858924504133993
"19",1.06577651345887
"20",0.918731025552224
"21",0.285775422668263
"22",1.21835564544452
"23",0.350223506532939
"24",0.952463401731645
"25",0.84252741819207
"26",1.27132631820149
"27",0.435761778260067
"28",0.991572860102241
"29",1.2011284333654
"30",1.22737554694443
"31",1.07098201497392
"32",1.10568134020793
"33",0.921000743655593
"34",0.59866783046692
"35",1.14314047393897
"36",1.13109275233857
"37",0.309583384934978
"38",0.773337438455478
"39",0.818816166456908
"40",0.539684332533589
"41",0.967626838270594
"42",0.287673934616393
"43",0.238070095775987
"44",0.278299728652677
"45",0.598594509255749
"46",1.16451656141365
"47",1.16487645868982
"48",1.12054704570732
"49",0.737843959935283
"50",1.06066297891641
"51",0.815478357591121
"52",1.00907742437131
"53",1.04823452174116
"54",0.718573137924422
"55",1.21577897430437
"56",1.18289300682598
"57",0.72030989942903
"58",0.751310091197464
"59",1.21912297868735
"60",0.883787706066089
"61",0.980670108067313
"62",0.829403292139492
"63",0.551789002272598
"64",1.35770756803592
"65",0.29908863301103
"66",1.06639563005869
"67",0.825056350016882
"68",0.675660831814425
"69",0.896866877479024
"70",0.747194017177329
"71",1.19780814730525
"72",1.0847619037046
"73",1.12784577504468
"74",0.761023100743123
"75",1.01911470479799
"76",1.04860565407758
"77",0.463926000022662
"78",0.879520302269453
"79",0.894586629808351
"80",0.837960155958553
"81",0.998713988023552
"82",1.21647763906221
"83",0.404702686992108
"84",1.46169106257395
"85",0.254707436102519
"86",1.2200223201401
"87",1.27437355966536
"88",0.575564350090356
"89",0.692510607174261
"90",0.846126462830586
"91",1.17099376336951
"92",0.909637529278545
"93",0.463890842034622
"94",1.20978939433764
"95",0.976583092025468
"96",0.737831196341313
"97",1.04505518958493
"98",0.741004127734391
"99",0.781077124080278
"100",0.272249357975599
"101",0.6160574515088
"102",1.06623953588072
"103",1.07524002261637
"104",1.07257730745387
"105",1.16489219160748
"106",0.495528020190537
"107",0.950822279156969
"108",1.14556021638285
"109",0.255420103857387
"110",1.02151049287185
"111",0.987491757990965
"112",0.837053018079301
"113",0.923813443477166
"114",0.892991432944787
"115",0.942174269479112
"116",1.0971901970374
"117",0.698091463765313
"118",0.823152382314697
"119",0.590182151052047
"120",1.01349174503135
"121",0.189494906648577
"122",0.80853328483983
"123",1.24942023291623
"124",1.17136424611914
"125",1.12284973391718
"126",1.01051235244693
"127",0.723421985634006
"128",0.387770072765606
"129",0.18843807067794
"130",1.06994704981617
"131",0.413042151857846
"132",1.17702505330707
"133",0.621800463443764
"134",1.20116214402329
"135",0.371416536169968
"136",0.725855312932413
"137",1.01645271964591
"138",1.22123424655802
"139",0.995636415422172
"140",0.987921095405117
"141",1.24081591752635
"142",1.08682521797587
"143",1.21602145691916
"144",0.619773028629886
"145",1.11904165134685
"146",0.951245474713343
"147",0.756436959507653
"148",1.02765298870119
"149",1.54926242857907
"150",1.25137955668045
"151",0.64490693199915
"152",1.10078233177799
"153",0.609700107800041
"154",0.591218237347989
"155",0.24123426075859
