Fishnet_ID,barley_FertMean,cassava_FertMean,groundnut_FertMean,maize_FertMean,millet_FertMean,rapeseed_FertMean,rice_FertMean,rye_FertMean,sorghum_FertMean,soybean_FertMean,sunflower_FertMean,wheat_FertMean
44208,1.892168403,23.15524328,23.1491765,0.76547089,0.646135082,1.892168403,23.28447569,1.892168403,0.671084185,1.892168403,1.892168403,1.892168403
56674,2.785146731,1.091816277,1.098513945,2.380767715,0.645913312,7.013422152,3.848196245,1.091816277,0.855667718,1.453193917,1.091816277,3.483689456
69718,2.024578969,1.763268648,1.145093198,3.104397541,0.645828379,9.778791699,4.977246449,5.902725407,1.216982969,1.302690048,4.804906107,7.32540031
42720,0.645469791,0.645469791,0.645469791,0.645469791,0.645469791,110.1635279,0.645469791,0.645469791,0.645469791,0.645469791,74.80407,0.645469791
45181,32.22935228,35.33084961,0.645327949,50.8193517,0.645327949,53.39036919,37.85408235,29.78441444,0.645327949,29.80360214,0.645327949,52.04352385
67196,1.305831331,1.224916708,0.861767626,2.50728688,0.644952657,8.039943994,4.093037287,4.844840833,0.92483104,0.974179754,3.667604769,4.186434179
45075,0.64424643,1.749321493,4.884263274,5.979577282,0.64424643,0.64424643,6.710616232,0.64424643,1.270462013,0.64424643,0.64424643,0.64424643
74955,10.5222755,0.643867234,0.643867234,0.643867234,0.643867234,12.82700655,0.643867234,8.126222552,0.643867234,0.643867234,0.643867234,8.274984346
35439,31.46642671,34.69657314,0.643646123,50.26819427,0.643646123,52.06625826,23.8821249,28.42853839,0.643646123,29.55400235,0.643646123,50.77235491
53347,0.643590889,12.1200354,0.643590889,0.643590889,0.643590889,0.643590889,0.643590889,0.643590889,0.643590889,0.643590889,0.643590889,0.643590889
48825,16.39845849,24.51446714,0.643499633,25.52367255,0.643499633,31.91710267,15.82617045,12.38394571,0.643499633,18.36183804,0.643499633,31.42916291
53206,33.49928691,36.14495355,0.643306535,50.2101236,0.643306535,54.18382569,51.9379341,31.81671405,0.643306535,30.55004589,0.643306535,52.80521521
62283,1.286271176,1.245927225,0.853493682,2.437460842,0.643284774,7.770291471,3.964292597,4.69155958,0.912981683,0.96144187,3.971919473,5.985749796
56702,0.642846644,8.840697661,0.642846644,0.642846644,0.642846644,0.642846644,0.642846644,0.642846644,0.642846644,0.642846644,0.642846644,0.642846644
55814,12.77686178,1.149580372,8.180267224,6.525663259,0.642540403,0.93988969,15.47547185,0.93988969,6.796228297,0.93988969,5.501073735,17.01920878
34662,1.102799271,2.098303759,2.04716547,2.132303072,0.64232824,1.783647617,0.850124892,1.783647617,0.721897494,0.790964228,2.431581814,0.769719954
49876,10.53888017,14.89544806,0.64200422,16.55959191,0.64200422,20.02775421,19.63935497,0.64200422,9.509874283,15.09191384,14.32905161,20.3128391
57830,0.699985833,1.481265164,1.478560807,0.969902849,0.641796201,1.904798703,0.735207787,1.904798703,0.651011879,0.659152415,1.904798703,0.727633355
59645,12.77550032,1.529484167,8.17822503,11.35813244,0.641178933,0.935805282,15.47342967,0.935805282,6.794186081,0.935805282,5.499712268,17.0171666
36934,0.699296789,2.631158446,1.135604037,1.172298171,0.641107157,1.902731572,0.734518753,1.902731572,0.650322836,0.658463371,1.902731572,0.726944293
49781,64.52010671,0.640727513,0.640727513,113.8373831,0.640727513,116.9810535,0.640727513,0.640727513,0.640727513,0.640727513,79.1862008,66.19359409
53323,1.585222259,1.585222259,0.596666094,0.715597584,0.640526485,1.585222259,1.585222259,1.585222259,0.60729252,1.585222259,0.6083698,0.717372063
64164,0.539907426,0.640290856,0.640290856,0.640290856,0.640290856,0.640290856,0.640290856,0.640290856,0.640290856,0.640290856,0.640290856,1.262134301
37878,0.978424342,0.790750221,0.622485017,0.710275971,0.639951589,1.259738256,0.949112213,1.259738256,0.55582447,0.653680759,1.650041301,1.259738256
61220,0.539367446,0.638670881,0.638670881,0.638670881,0.638670881,0.638670881,0.638670881,0.638670881,0.638670881,0.638670881,0.638670881,1.261594294
38121,0.69573998,1.22366046,1.220455356,1.194829892,0.637550348,1.892061144,0.730961917,1.892061144,0.646766026,0.654906562,1.892061144,0.723387494
54759,2.880450545,1.817495526,1.176240054,3.175029951,0.637491444,9.993096045,5.084006268,6.031339918,1.249240506,1.339522781,5.713419017,8.905592622
57475,4.410519477,1.877043265,1.5839154,4.305130345,0.63741295,8.430639613,4.471340815,1.628818176,1.974895946,1.710269502,1.875192633,5.430740611
43390,0.636916989,14.86187459,0.636916989,0.636916989,0.636916989,0.636916989,0.636916989,0.636916989,0.636916989,0.636916989,0.636916989,0.636916989
51239,6.4853841,0.63654635,0.63654635,0.63654635,0.63654635,6.850967215,0.63654635,5.112997897,0.63654635,0.63654635,0.63654635,5.261759691
55782,32.97368987,36.14269617,0.636534543,52.4682113,0.636534543,54.18156829,40.05380088,31.02944719,0.636534543,30.35546132,0.636534543,52.80295781
57786,12.77077301,1.1434916,8.17113407,10.33457641,0.636451632,0.921623374,15.4663387,0.921623374,6.787095145,0.921623374,5.494984965,17.01007564
46803,0.694018548,1.883207695,1.056874739,1.092735826,0.636222058,1.888647876,0.726841411,1.888647876,0.645214022,0.653335035,1.888647876,0.720070689
53522,0.635866061,1.726116383,4.834942603,5.861256322,0.635866061,0.635866061,6.583982676,0.635866061,1.249953471,0.635866061,0.635866061,0.635866061
67894,18.58842668,0.635614866,0.635614866,0.635614866,0.635614866,20.39918598,0.635614866,14.14504025,0.635614866,0.635614866,0.635614866,14.29380204
39972,36.29180489,0.635472025,0.635472025,0.635472025,0.635472025,0.635472025,0.635472025,13.17434335,0.635472025,0.635472025,0.635472025,13.17434335
58863,30.07642379,35.47766608,0.635252894,47.41524774,0.635252894,49.80875382,23.9949277,26.83922434,0.635252894,28.26206039,0.635252894,48.60503868
43359,1.286702151,1.208922046,0.848500694,2.462048716,0.635117033,7.890912481,4.017195754,4.75625457,0.909706977,0.958594174,4.980270926,5.52317368
45698,12.76878306,1.141501654,8.16814915,9.394840861,0.634461684,0.915653533,15.46335378,0.915653533,6.784110238,0.915653533,5.492995015,17.00709072
64265,31.67851212,0.634195518,0.634195518,0.634195518,0.634195518,0.634195518,0.634195518,23.77617674,0.634195518,0.634195518,9.056311379,23.79742976
57465,12.76849303,1.141211628,8.167714105,10.93319763,0.634171655,0.914783452,15.46291875,0.914783452,6.78367517,0.914783452,5.492704988,17.00665568
30583,13.81528314,21.71856423,0.634029461,21.39965306,0.634029461,30.45820631,13.63475288,9.883463212,0.634029461,16.08148408,0.634029461,30.02849608
60692,0.53777126,0.633882329,0.633882329,0.633882329,0.633882329,0.633882329,0.633882329,0.633882329,0.633882329,0.633882329,0.633882329,1.25999812
56589,0.691808666,7.857338698,0.647524705,0.687668801,0.633619034,1.880267203,0.727030613,1.880267203,0.642834713,0.650975248,1.880267203,0.71945617
48324,0.537652057,0.633524716,0.633524716,0.633524716,0.633524716,0.633524716,0.633524716,0.633524716,0.633524716,0.633524716,0.633524716,1.259878893
47095,73.81183771,0.633131614,0.633131614,132.3576195,0.633131614,116.2826944,0.633131614,0.633131614,0.633131614,0.633131614,78.73635137,76.51802059
65063,24.52888765,35.38483937,0.632701512,38.27923108,0.632701512,43.85659832,23.14371715,19.54273322,0.632701512,23.95586594,0.632701512,42.89093517
47798,30.92372605,0.631994784,0.631994784,0.631994784,0.631994784,0.631994784,0.631994784,23.77544345,0.631994784,0.631994784,9.055577803,23.79669647
51134,75.74749367,0.631717531,0.631717531,135.4823355,0.631717531,116.9780505,70.6446228,33.36829682,0.631717531,0.631717531,79.18319777,84.23445831
55291,33.49515407,36.14082071,0.630908057,52.46633584,0.630908057,54.17969286,45.92505013,31.59234243,0.630908057,30.54591311,0.630908057,52.80108235
44483,26.39883259,0.630504206,0.630504206,0.630504206,0.630504206,29.05147861,0.630504206,20.51368663,0.630504206,14.11179743,0.630504206,20.64532361
61348,0.479159035,0.630194605,0.630194605,0.630194605,0.630194605,0.630194605,0.630194605,0.630194605,0.630194605,0.630194605,0.630194605,1.221771809
54656,0.629870933,27.82957049,0.324718728,2.305838205,0.629870933,0.629870933,31.37153731,0.629870933,0.288872146,0.340992961,0.629870933,1.411146159
53187,0.68798773,4.425153421,1.028301049,0.868551232,0.629798098,1.868804395,0.723209657,1.868804395,0.639013777,0.647154312,1.868804395,0.715635227
60291,0.536403544,0.629779173,0.629779173,0.629779173,0.629779173,0.629779173,0.629779173,0.629779173,0.629779173,0.629779173,0.629779173,1.258630392
48096,0.536399593,0.62976732,0.62976732,0.62976732,0.62976732,0.62976732,0.62976732,0.62976732,0.62976732,0.62976732,0.62976732,1.258626452
72292,18.51453995,0.628807366,0.628807366,0.628807366,0.628807366,20.31674792,0.628807366,14.08932512,0.628807366,0.628807366,0.628807366,14.23808692
68151,0.274959262,0.628724065,0.628724065,0.628724065,0.628724065,0.628724065,0.628724065,0.628724065,0.628724065,0.628724065,0.628724065,0.934554364
47564,0.628590135,9.70929837,3.865510923,22.42292221,0.628590135,0.628590135,21.72319533,0.628590135,0.628590135,1.943256297,0.628590135,0.628590135
65686,12.21272087,22.42623181,0.628407169,25.48115406,0.628407169,28.97964069,26.51486975,10.01593778,12.33533014,19.90959429,18.35584948,29.20394024
40432,12.76207696,1.306785045,8.158090002,6.5128224,0.627755584,0.895535231,15.45329464,0.895535231,6.774051065,0.895535231,5.486288915,16.99703157
64595,21.7479467,23.58607075,0.627489693,33.37783712,0.627489693,35.82532244,0.627489693,20.06537384,0.627489693,21.91141416,0.627489693,35.18084055
27172,0.627346776,1.674150266,4.720122111,5.580367314,0.627346776,0.627346776,6.283087082,0.627346776,1.204477408,0.627346776,0.627346776,0.627346776
40909,31.73197807,34.25651332,0.627110797,49.60196627,0.627110797,51.42544239,19.57772184,27.40653998,0.627110797,29.2496435,0.627110797,50.15695118
50203,15.00250588,0.626998511,0.626998511,0.626998511,0.626998511,15.82770426,0.626998511,10.56398823,0.626998511,12.86706272,0.626998511,11.90505509
57351,0.684749274,2.191547832,1.625281301,0.924426445,0.626559641,1.859089024,0.719971213,1.859089024,0.63577532,0.643915856,1.859089024,0.712396775
35532,0.625818335,0.625818335,2.219214143,0.625818335,0.625818335,0.625818335,0.625818335,0.625818335,0.625818335,0.625818335,0.625818335,0.625818335
48135,20.6803613,0.625754163,0.625754163,0.625754163,0.625754163,7.74641914,0.625754163,17.35447913,0.625754163,0.625754163,0.625754163,20.6803613
58377,33.49343066,36.13909729,0.62573738,52.46461197,0.62573738,54.17796942,40.6250825,31.8108578,0.62573738,30.54418962,0.62573738,52.79935895
53032,0.683617685,1.451428393,1.36468537,1.080611826,0.625428053,1.855694259,0.824136437,1.855694259,0.634643731,0.642784267,1.855694259,0.711265198
57585,0.62503959,1.74291921,4.877860992,5.973175006,0.62503959,0.62503959,6.704213955,0.62503959,1.264059733,0.62503959,0.62503959,0.62503959
48701,71.51656464,0.624817498,0.624817498,129.3915478,0.624817498,112.7138093,75.27695376,0.624817498,0.624817498,0.624817498,76.4410783,79.14459705
55099,0.624372733,7.202822594,0.316978174,0.474685483,0.624372733,0.624372733,7.059141847,0.624372733,0.278209693,0.329914369,0.624372733,1.297242501
54024,1.728654966,0.803013395,0.927124003,1.026155997,0.623848338,1.728654966,0.943071799,1.728654966,0.681992946,1.728654966,1.382004522,1.185158725
58138,23.88236926,31.00288712,0.623810557,38.79915589,0.623810557,46.66918726,13.77032708,18.59588919,0.623810557,24.36284676,0.623810557,45.5909021
54718,12.66281207,1.137749029,8.042586217,26.28955199,0.623667615,0.931676049,15.08116145,0.931676049,6.591760251,0.931676049,5.283416438,16.78134716
46678,29.02678332,0.623071185,0.623071185,0.623071185,0.623071185,0.623071185,0.623071185,20.9619393,0.623071185,0.623071185,0.623071185,20.9619393
70421,21.37729924,0.62298764,0.62298764,0.62298764,0.62298764,23.52156075,0.62298764,16.22522046,0.62298764,0.62298764,0.62298764,16.37398225
51694,29.34683961,34.47666997,0.622977687,49.0953348,0.622977687,51.74794532,19.10671735,25.07322238,0.622977687,29.01973566,0.622977687,50.46649891
55399,0.622728556,22.01528294,0.622728556,52.46360857,0.622728556,33.52958207,0.622728556,0.622728556,0.622728556,0.622728556,36.19751759,52.79835638
55843,5.325413116,1.269689391,0.862213082,2.353298923,0.622675825,7.091541719,3.525588824,4.356215792,0.975323343,0.97052206,6.372320919,6.587959652
42557,13.32703115,0.62245216,0.62245216,0.62245216,0.62245216,14.3966294,0.62245216,0.62245216,0.62245216,0.62245216,0.62245216,10.48533952
47810,33.49218308,36.13784972,0.621995019,52.4633647,0.621995019,54.17672186,16.72471114,28.50602863,0.621995019,30.54294208,0.621995019,52.79811138
58269,1.282597666,1.155215706,0.83853396,2.484053206,0.621718987,8.016710307,4.069803637,4.821607183,0.90159737,0.950946085,3.818877744,4.062791099
67069,32.63195728,0.621682776,0.621682776,0.621682776,0.621682776,36.00665163,0.621682776,13.90571468,0.621682776,0.621682776,0.621682776,24.89193665
75333,4.769314722,0.621568933,0.621568933,0.621568933,0.621568933,4.930590187,0.621568933,3.831082399,0.621568933,0.621568933,0.621568933,3.979844193
53594,0.679731844,1.180934301,1.177985186,1.094469063,0.621542212,1.844036736,0.714953798,1.844036736,0.63075789,0.638898426,1.844036736,0.707379345
46294,0.930797231,0.917249688,0.955441601,1.184565561,0.621268181,1.719995238,1.203269011,1.719995238,0.677528164,0.657687811,1.39375044,1.158173837
44838,1.117103765,1.363039937,1.227041431,1.417546224,0.620697317,1.69329089,0.833298476,1.69329089,0.625720173,0.793859571,1.782661396,0.720532599
71276,11.03159658,0.620118399,0.620118399,0.620118399,0.620118399,11.94066475,0.620118399,8.504304305,0.620118399,0.620118399,0.620118399,8.653066099
52678,0.620003348,19.72988073,0.315919223,0.443243149,0.620003348,0.620003348,19.58827314,0.620003348,0.269395131,0.320753025,0.620003348,1.202393617
40206,0.619938637,1.69662387,4.774508834,5.71907221,0.619938637,0.619938637,6.431949946,0.619938637,1.223655806,0.619938637,0.619938637,0.619938637
64792,8.96255189,0.619832587,0.619832587,0.619832587,0.619832587,9.624581408,0.619832587,6.960216925,0.619832587,0.619832587,0.619832587,7.108978719
30088,33.49144262,36.13710926,0.619773418,52.4626244,0.619773418,54.17598139,0.619773418,31.80886976,0.619773418,30.54220174,0.619773418,52.79737091
46193,0.959128945,0.662986439,0.60318962,0.617088614,0.619727655,1.201852065,0.920169118,1.201852065,0.460624017,0.634385362,1.630745904,1.201852065
46910,14.53014684,0.619507889,0.619507889,0.619507889,0.619507889,8.23759347,0.619507889,12.93973647,0.619507889,0.619507889,0.619507889,14.53014684
55490,25.23229727,32.60621491,0.619199596,45.75203304,0.619199596,49.01394389,14.58530023,21.8979336,0.619199596,26.89981184,0.619199596,47.84180705
