FISHNET_ID,barley_HgHa,cassava_HgHa,groundnut_HgHa,maize_HgHa,millet_HgHa,rapeseed_HgHa,rice_HgHa,rye_HgHa,sorghum_HgHa,soybean_HgHa,sunflower_HgHa,wheat_HgHa,COUNTRY,mean_potato
464,2.825,15.09491731,2.942828695,4.225116489,1.789948432,2.08423299,7.198882318,1.619666694,3.012463842,2.069052134,1.816461568,4.085880488,China,20.037
469,0.081666668,NA,NA,0.138333331,NA,NA,0.205000003,NA,NA,NA,NA,0.415000002,Turkmenistan,0.998182
556,5.367986679,NA,NA,NA,NA,1.098998755,NA,2.096250057,NA,NA,NA,2.981582701,United Kingdom,28.7365
566,0.25454545,3.826839642,0.356715445,0.581169603,NA,NA,0.614902448,0.24000001,NA,NA,NA,NA,Bolivia,1.92226
576,NA,3.311975388,0.75999999,0.802000373,NA,NA,1.988215045,0.563684216,0.127076795,0.130485638,NA,NA,Ecuador,NA
579,4.153085815,NA,NA,9.359999657,NA,1.31362636,NA,2.292596607,NA,NA,0.66626372,1.797831648,Chile,13.608
599,NA,4.385763788,0.023585284,0.336946392,0.180710703,NA,0.893774629,NA,NA,NA,0.272691273,0.253276335,Angola,3.37091
644,NA,6.583544152,0.336708857,0.725259893,0.416455695,NA,1.549438225,NA,NA,NA,0.558426949,1.329213528,Angola,5.09579
665,0.972803062,NA,0.21326553,2.924514168,0.521126857,0.676772565,NA,0.274909089,1.438674712,0.848618212,0.40506373,0.961499807,Australia,9.8712
671,0.382937348,NA,NA,0.981703146,NA,NA,NA,1.290712802,NA,NA,NA,0.957456969,United States,5.85975
675,NA,3.834718354,0.654713626,0.750808194,0.710102557,NA,0.760286831,NA,0.545810812,NA,NA,NA,Sierra Leone,NA
718,NA,9.093481049,0.127204649,1.214975301,0.100551107,NA,1.007126487,NA,1.056466587,0.509865964,NA,0.617034741,Nigeria,0.32291
733,0.777438767,NA,NA,3.092604809,1.096246188,NA,NA,0.863636398,1.39638641,0.624414885,NA,1.29867802,Argentina,12.521
758,0.245735188,NA,1.904440274,3.873859727,NA,NA,NA,1.013653678,2.598369584,1.664309769,NA,1.721472003,United States,1.68644
787,NA,5.900632728,0.228878187,0.392939173,NA,0.630378809,0.577123319,NA,NA,NA,0.618333318,NA,Brazil,NA
808,NA,0.639999997,0.25090909,0.481344478,NA,NA,0.549090906,NA,NA,NA,0.24363637,NA,South Sudan,2.66182
810,NA,0.968797088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Equatorial Guinea,NA
828,NA,7.252939052,0.479295926,0.687403676,NA,0.577847242,0.976848733,NA,NA,0.250017527,0.566805542,NA,Brazil,NA
842,0.806471199,14.56058396,1.489185233,5.139176742,1.150486133,0.916815911,6.001084916,1.562333359,3.260916589,2.033173686,1.299272974,4.717504569,China,5.48279
889,2.516364534,7.572463795,1.439491535,1.378895665,NA,NA,1.817021767,NA,2.033806969,1.479422173,NA,2.998757531,Colombia,16.543
927,NA,0.759413307,0.196439392,0.135755972,NA,0.059469699,0.103840888,NA,NA,0.230378781,0.116515149,0.063333333,Brazil,NA
956,3,16.03000069,1.609175375,6.092972211,1.625139596,0.938522159,4.929817144,1.720000029,1.39415219,1.390486878,0.8893017,1.245308976,China,12.6458
1015,2.960537559,NA,2.918333279,8.957517986,2.346111147,1.274432348,0.15110906,1.658718309,4.081852052,NA,0.918202819,3.371819666,Spain,34.7156
1037,NA,1.697598159,NA,0.148431692,NA,0.29437501,0.322264702,NA,NA,NA,0.288749993,NA,Brazil,NA
1058,4.395287242,NA,NA,9.359999657,NA,1.687857125,NA,2.94572006,NA,NA,0.856071408,2.310004617,Chile,16.2605
1087,0.011161696,NA,NA,0.022889811,0.004166667,NA,NA,NA,0.006853775,NA,NA,0.019345621,Yemen,0.130643
1105,1.685069361,7.874305281,0.5111111,0.891410403,0.531888461,NA,1.337489964,NA,0.465965611,0.287500011,0.271527781,0.508113859,Tanzania,5.34479
1206,0.911339124,NA,2.536633838,3.571960399,NA,1.180984797,NA,NA,3.606007912,0.246385704,0.369193812,3.672100297,Mexico,17.8271
1215,NA,4.464501588,3.288043445,1.353513526,NA,NA,1.528510423,NA,NA,0.168808316,NA,NA,Indonesia,NA
1224,4.701892906,NA,NA,8.30198076,NA,1.017599812,3.62528071,NA,3.673846025,2.257648816,1.685212062,3.296228079,Italy,34.5807
1256,0.942620123,NA,0.87156781,1.686184841,0.490945934,0.79903289,2.359397465,NA,0.573183167,1.15625,0.566478664,2.17968533,Pakistan,14.7897
1300,NA,19.76083744,NA,1.740114181,NA,1.439166715,1.428921579,NA,0.284037013,1.893976589,1.411666632,NA,Brazil,NA
1317,0.342395837,NA,NA,0.473020854,0.014298834,0.178124995,0.621458354,0.180598505,0.207812491,0.186041666,0.009360361,0.182170685,Russian Federation,0.916053
1342,NA,1.326233769,NA,0.560781758,0.386458179,NA,NA,NA,0.399943879,NA,NA,1.800128357,Chad,6.35934
1415,0.246796948,NA,1.344917828,2.044614705,NA,NA,NA,0.300681816,0.992674437,0.906873131,0.007348485,1.005324662,Australia,10.6613
1477,NA,8.818422483,1.846859472,1.209952688,NA,NA,2.763553722,NA,NA,0.696480888,NA,NA,Indonesia,3.78818
1509,1.532456875,NA,NA,2.783299923,1.794999957,0.672706683,NA,0.520498077,1.373333295,0.719740868,0.651631753,1.16625762,Croatia,NA
1520,2.972222222,15.88157475,2.115244283,4.098302183,1.912531491,1.354025145,4.422071051,1.704074102,4.089818663,1.404710163,1.286359763,2.099694424,China,10.3731
1523,NA,NA,NA,0.620074078,0.513333321,NA,NA,0.400000016,0.407791601,0.759742975,NA,0.223453681,Argentina,NA
1529,3,16.03000069,3.251458718,4.25953397,1.983815908,1.584148449,3.375068257,1.720000029,3.398932934,1.718580113,2.03376106,3.534638549,China,16.9621
1566,0.813484812,11.38379729,1.455303071,1.885641546,NA,NA,4.766492295,0.736212133,2.610984808,1.301212105,NA,1.078636355,Peru,10.0276
1581,1.581580281,NA,1.352781653,4.054842234,0.569999993,NA,1.709999979,0.105,NA,1.330958694,1.226677895,NA,South Africa,35.9195
1593,NA,NA,0.920765816,3.016033001,NA,1.166718699,7.133253984,NA,2.287321048,0.694066149,0.739218735,2.526309345,Mexico,21.2228
1624,NA,11.8113037,1.909999967,2.831159028,NA,NA,2.81396117,NA,NA,0.932095506,NA,NA,Indonesia,8.56995
1629,0.646969686,8.122830434,1.044393935,1.211759264,NA,NA,1.30598307,0.610000024,0.038181818,0.028787878,NA,0.623636956,Bolivia,4.94095
1630,NA,2.666824391,0.204240579,0.234820741,0.220484671,NA,0.472238979,NA,NA,NA,0.216559128,0.416774186,Mozambique,5.20492
1650,NA,12.71085674,1.909999967,2.414732067,NA,NA,3.040041591,NA,NA,0.86405235,NA,NA,Indonesia,11.8876
1666,0.405136145,NA,NA,NA,NA,0.224096775,NA,0.410278227,NA,NA,NA,0.563490516,Sweden,0.565709
1689,NA,NA,NA,NA,0.014259259,NA,NA,0.011111112,NA,NA,NA,0.022037038,Argentina,NA
1759,1.080000043,NA,1.389999986,NA,NA,0.670000017,NA,1.28713119,2.75,1.25,0.144989941,1.18746841,Kazakhstan,10.3191
1789,NA,12.86684246,1.909999967,2.350791167,NA,NA,4.180267714,NA,NA,1.169546384,NA,NA,Indonesia,12.1957
1797,0.040833332,0.455427896,0.180639404,0.328057019,0.374772125,NA,0.047842253,NA,0.310079949,0.005029751,0.204662154,0.46640292,Mozambique,3.84886
1828,NA,1.927060717,0.881944431,0.742710299,NA,NA,0.762299639,NA,NA,0.993055519,0.333333326,0.128472224,Venezuela,NA
1863,NA,0.383255803,NA,0.059999998,NA,NA,0.185373128,NA,0.039402985,NA,NA,0.055074628,Somalia,NA
1964,NA,4.379133013,NA,1.418347269,NA,0.697777801,1.247937808,NA,0.02394182,1.228211068,0.684444427,NA,Brazil,NA
1979,NA,5.915145494,0.302524268,0.674528112,0.374174756,NA,1.455315336,NA,NA,NA,0.524504489,1.248468511,Angola,4.75385
2000,NA,2.87380592,0.043407932,0.284384128,NA,0.370694457,0.265159388,NA,NA,NA,0.363611102,NA,Brazil,NA
2069,NA,NA,0.981818423,4.457494936,1.086842511,NA,NA,0.078717634,2.764579543,0.144807785,NA,NA,United States,19.0361
2105,0.350119051,NA,NA,0.825119084,0.169357606,0.310714277,NA,0.508008795,0.362499984,0.324523809,0.09786674,0.463354226,Russian Federation,3.06748
2177,NA,16.31371392,1.226666662,1.54577944,NA,NA,1.692366967,NA,NA,1.002835347,NA,NA,Belize,11.6081
2181,NA,1.089967486,0.008914457,0.057182976,0.118055556,NA,0.405555561,NA,0.133402777,0.079341573,NA,0.157013894,Gabon,0.355371
2228,0.588068182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541022725,Mongolia,5.8861
2229,0.654364463,NA,0.66258554,1.402667985,0.260890027,0.071116831,NA,0.209999998,0.592760754,0.633959239,0.262644858,0.53425303,Australia,8.88443
2288,0.035,0.497784429,0.048890514,0.040714756,0.035756941,NA,0.044265235,NA,0.036666668,0.006193917,NA,0.070555554,Congo DRC,0.184241
2329,NA,NA,NA,8.216932584,NA,NA,NA,0.468578668,4.764040819,2.658112369,0.288226749,4.1756183,United States,35.1002
2351,NA,1.10272042,NA,0.078613822,NA,0.152638894,0.096679411,NA,NA,NA,0.149722219,NA,Brazil,NA
2389,1.513516252,2.466451645,NA,NA,NA,1.950509037,NA,1.720000029,NA,3.239436199,NA,5.394931358,China,NA
2420,2.672727273,14.28127334,0.532387974,5.283562287,0.766058197,0.81191079,7.009141723,1.532363662,2.860674104,0.714213011,1.145126602,2.758770459,China,5.79113
2436,2.843181789,NA,NA,5.241477273,NA,0.986931791,NA,NA,NA,NA,NA,3.374999951,New Zealand,21.8915
2455,NA,NA,0.281060591,0.671116908,NA,NA,NA,NA,NA,NA,0.339393932,2.879545364,Namibia,NA
2457,1.730000019,NA,NA,2.390000105,1.379373261,0.899999976,NA,2.216995035,1.049999952,0.939999998,0.446119811,1.162638256,Russian Federation,10.8741
2468,NA,NA,1.575977921,2.402552766,NA,0.654999971,NA,NA,1.009711981,NA,0.414999992,NA,Mexico,NA
2474,0.866999361,NA,0.610000024,0.853171017,0.477107002,0.210917827,0.669305574,NA,0.938653946,2.965277778,NA,0.945016079,Ethiopia,7.48628
2477,NA,15.03159466,0.647325479,1.03324139,0.600347927,NA,0.915795289,NA,0.511430183,0.193998601,NA,1.809659055,Niger,8.948
2511,NA,NA,NA,4.481199078,NA,NA,1.684739347,NA,1.689443854,1.123358893,0.773790553,1.14171441,United States,12.9643
2530,NA,NA,NA,NA,NA,NA,NA,NA,3.581999874,NA,NA,NA,Italy,NA
2569,4.931647778,NA,NA,NA,NA,2.239717756,NA,3.992857252,NA,NA,NA,4.820468766,United Kingdom,35.3856
2592,1.223232337,NA,NA,1.689899064,1.074579015,0.63636362,2.220202094,1.681707194,0.742424209,0.664646463,0.7135555,1.637859489,Russian Federation,3.59831
2602,2.431911724,NA,4.037938069,10.45743462,NA,NA,7.086448936,1.909172807,1.823999977,2.373091507,0.94979229,1.976859884,Greece,25.46
2614,NA,13.28273869,1.909999967,1.299254179,NA,NA,1.818663279,NA,NA,0.644375841,NA,NA,Indonesia,NA
2628,1.375104497,NA,NA,NA,NA,0.434849776,NA,NA,NA,NA,NA,0.680719753,Canada,7.60237
2640,1.257238498,NA,NA,0.352404141,0.053253844,0.52156673,NA,0.451499997,0.347324611,NA,0.005519556,1.09122933,Australia,29.6149
2664,NA,3.915742356,NA,0.247725434,NA,0.616785735,0.384308935,NA,NA,NA,0.604999985,NA,Brazil,NA
2666,0.061785715,NA,NA,0.142261911,0.039553915,0.053571427,0.112142861,0.109084223,0.062499997,0.055952381,0.031428571,0.056578768,Russian Federation,0.21166
2688,1.561000013,10.62543895,1.364121616,1.874095016,0.204000002,NA,1.911151941,NA,0.978813545,NA,0.416101697,0.669491513,Myanmar,12.4843
2692,0.825401371,NA,NA,NA,NA,0.582056309,NA,0.751988943,NA,0.058928574,NA,0.910752322,Latvia,5.4016
2723,0.01,NA,NA,NA,NA,0.0075,NA,NA,0.006985563,NA,0.008854167,0.0159375,Tunisia,NA
2728,1.231969711,NA,NA,1.701969772,NA,0.640909074,NA,1.2211548,0.747727239,0.669393938,NA,0.658124569,Russian Federation,8.0242
2733,0.009007292,NA,NA,0.022727273,NA,NA,NA,NA,NA,NA,0.017290839,0.01257005,Iraq,0.352622
2735,4.583320921,NA,NA,9.359999657,NA,1.516363621,NA,2.646422299,NA,NA,0.769090891,2.075298266,Chile,15.447
2740,0.529772723,6.251789342,0.531299743,0.90554453,0.514168615,NA,0.661533467,NA,0.934541437,0.581271013,NA,1.072542104,Congo DRC,3.17428
2760,1.730000019,NA,NA,2.390000105,1.513076663,0.899999976,NA,2.136285305,1.049999952,0.939999998,0.471539736,1.180388451,Russian Federation,10.6517
2795,2.436447663,NA,NA,6.090199471,NA,1.322543174,NA,1.9480271,NA,0.340000016,0.389659945,2.175351007,Canada,28.6916
2798,2.275281961,NA,NA,7.11773401,NA,1.418958319,NA,NA,NA,NA,0.719687483,2.131966387,Chile,9.50344
2808,NA,NA,0.078926501,0.143832966,NA,NA,NA,NA,0.014137387,NA,0.082424241,0.972651491,Botswana,NA
2824,NA,9.237644043,1.414094889,1.554857327,NA,1.570000052,1.694494631,NA,0.825709915,NA,1.539999962,NA,Brazil,NA
2903,NA,10.42845082,0.744254306,2.393596759,0.607893568,0.154173632,3.107111044,NA,0.708095313,1.047772765,0.460154614,0.560020295,India,13.7044
2915,NA,5.172567103,0.036905471,NA,0.27315651,NA,0.715915003,NA,0.335525119,NA,NA,0.068440504,Mali,NA
2917,1.105454584,NA,1.191428559,0.290909101,0.131956327,0.66779222,NA,1.426094176,2.466233761,1.169090909,0.294096745,1.160907457,Kazakhstan,9.74559
2952,3.563699309,NA,NA,5.727089689,0.743085095,2.341897205,NA,3.574587812,NA,0.284648997,2.128205681,4.21748514,Germany,20.6106
2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Russian Federation,NA
2990,0.844404771,NA,NA,2.048571518,0.43750715,0.771428551,NA,1.349575676,0.899999959,0.805714284,0.25282241,1.200850457,Russian Federation,8.77084
3005,3,16.03000069,2.204968171,2.851861928,NA,1.997423297,NA,1.720000029,3.806375742,1.517695366,1.192515051,2.357455385,China,10.2431
3068,2.090625018,15.34535112,1.711731065,2.956692468,0.033055556,NA,2.787259572,NA,1.546874978,0.847042172,0.442152776,0.655416653,Myanmar,5.99846
3079,2.38612439,NA,NA,6.202273881,NA,0.311017357,NA,NA,0.602710053,NA,NA,0.030180914,United States,3.68215
3092,0.18042976,NA,NA,3.616312804,1.19245773,NA,NA,0.954545492,1.693372091,0.14171372,NA,0.949955863,Argentina,8.53577
3108,2.72766059,NA,0.522429836,NA,NA,NA,NA,NA,1.550873667,NA,0.054165339,1.599612127,United States,NA
3131,NA,3.996439302,0.204393937,0.329830595,0.25280303,NA,1.059621228,NA,NA,NA,0.381893928,0.909015182,Angola,3.25855
3280,5.428754478,NA,NA,NA,NA,2.77390494,NA,5.114255459,NA,NA,NA,6.502320711,United Kingdom,37.8063
3297,1.534545378,3.991610937,0.440507364,1.016924434,0.144308881,NA,1.382231718,NA,0.962840411,0.262313267,0.253174471,0.146968216,Tanzania,5.00364
3302,3,16.03000069,2.273552886,5.619889202,1.45734179,1.177662245,6.877887907,1.720000029,3.806375742,1.466353006,3.140903018,4.267289457,China,15.8002
3321,NA,NA,NA,1.105726423,0.273055409,NA,NA,0.084512194,0.264038307,NA,0.099005834,0.287159667,Australia,5.67899
3335,0.062419701,NA,0.085354074,3.869940758,0.489249994,NA,1.956999975,0.120166667,1.200287634,1.711469972,1.123091864,2.000652645,South Africa,0.309513
3344,NA,6.716599822,0.495694453,0.608151881,NA,NA,NA,NA,NA,NA,NA,NA,Guyana,NA
3409,NA,10.93260803,0.652870944,1.616201602,1.409378293,NA,0.362504184,NA,1.371264147,1.195664777,0.56791665,1.046560613,Uganda,6.6428
3438,NA,5.602758358,NA,0.487663299,NA,1.341041711,0.676046869,NA,NA,0.403340802,1.315416634,NA,Brazil,NA
3512,NA,25.69926739,1.70086586,2.955919693,NA,1.570000052,1.824550114,NA,0.719662897,2.426309537,1.539999962,1.448407774,Brazil,9.72882
3526,0.027058891,NA,0.1875,0.354723628,0.038249999,NA,NA,NA,0.053249998,0.111000001,0.263550362,0.087331459,Iraq,1.28556
3560,0.656341461,0.260543358,1.160415713,1.208086121,0.689512193,0.52517458,2.81425786,NA,0.889199989,NA,0.024400001,1.822700171,Bangladesh,11.368
3592,0.781722858,12.46949974,1.704772727,1.750327359,NA,NA,3.27522485,NA,2.217791608,1.425246383,0.196363632,1.423335624,Colombia,11.7857
3679,1.540757505,6.52014321,0.338391346,1.736132447,1.327672406,NA,1.326886715,NA,1.311187337,0.429029755,0.425857036,1.139757783,Tanzania,3.84192
3693,3.606661973,NA,NA,9.359999657,NA,1.501839065,NA,2.621073427,NA,NA,0.76172412,2.05541993,Chile,12.0285
3695,0.388989889,NA,NA,0.749393963,0.384545456,NA,0.84303033,NA,NA,NA,NA,0.895151531,Afghanistan,9.19101
3705,1.085277805,NA,1.126111075,3.92805545,1.161481504,0.646203688,2.683425967,1.660000021,3.33944443,0.007962963,1.225180766,2.25805562,Tajikistan,13.1889
3710,0.822678661,NA,NA,0.267614443,NA,NA,NA,NA,4.180439472,NA,0.268615884,0.307399888,United States,NA
3767,0.392424236,NA,0.633484846,0.639391567,NA,NA,NA,0.370000015,NA,NA,NA,0.436968938,Bolivia,2.82044
3820,1.025512572,4.301908016,0.735751661,0.975210974,0.328746702,0.343862924,1.220137049,NA,0.516922956,0.672864587,NA,1.731731662,India,13.6705
3850,1.657012821,NA,NA,3.070972674,NA,NA,NA,NA,NA,NA,0.940607689,3.031304258,United States,14.7495
3854,0.270355604,NA,0.703587475,0.803735651,0.47589745,NA,0.502909815,0.023333333,0.492697736,0.295768603,0.790032245,1.23107812,Mozambique,19.41
3873,0.024027778,NA,NA,0.033194446,NA,0.0125,NA,0.021333428,0.014583333,0.013055556,NA,0.01452476,Russian Federation,0.206098
3928,NA,7.763008522,0.513002844,0.729024522,NA,0.618484869,1.006801771,NA,NA,0.259109074,0.606666652,NA,Brazil,NA
3933,0.087500002,NA,0.083416664,0.224249993,0.114333336,0.060083332,0.167583338,0.128916669,0.138249993,NA,0.086333334,0.25158334,Turkmenistan,0.356
3985,6.557239816,NA,NA,8.586514001,NA,3.33157336,NA,5.906786993,NA,0.922059119,3.018858486,7.083160505,Germany,39.0009
3995,0.714696958,4.625454729,0.186060796,0.679795844,0.489480042,NA,0.696767895,NA,0.333176735,0.711848166,0.331183266,5.139394016,Zambia,7.01636
4012,1.688976322,NA,NA,2.681088386,1.007109143,0.941203692,3.358611215,0.903216948,0.980833343,1.139351828,1.175316606,1.316637868,Ukraine,6.88329
4035,0.545082485,NA,2.178710348,3.033378643,NA,NA,NA,0.354374997,0.633478481,NA,0.383214885,0.720862141,Australia,17.7689
4063,0.914338589,NA,NA,NA,NA,0.5070556,NA,NA,NA,NA,NA,0.794835409,Canada,10.4821
4073,2.972222222,15.88157475,2.961568311,6.427625387,2.039275289,1.571991589,7.116178566,1.704074102,4.167256717,2.175201512,1.893117549,1.827461754,China,19.6172
4115,NA,NA,NA,1.618229238,NA,0.609374984,NA,NA,0.710937468,0.636458332,NA,NA,Russian Federation,NA
4266,NA,11.10671468,1.909999967,2.244220788,NA,NA,3.289083789,NA,NA,1.097841199,NA,NA,Indonesia,6.75236
4272,NA,13.17414669,0.861893907,0.662261387,NA,1.559097274,0.103124703,NA,0.121885624,NA,1.529305518,NA,Brazil,NA
4276,0.300347942,NA,0.074851086,0.827238782,0.190403611,0.245007813,NA,0.089249999,0.501625337,0.31725136,0.111258477,0.275358271,Australia,3.36518
4340,NA,4.650000095,1,2.039999962,NA,NA,2.609999951,NA,0.545882341,NA,NA,NA,Cuba,21.909
4364,0.805649085,14.54574136,1.797307162,4.514581954,1.149313364,1.104202776,5.16539579,1.560740767,3.257592515,2.203226798,1.564988262,4.380036813,China,4.86597
4372,1.957633605,13.29463885,1.57351748,3.770638455,0.072671756,NA,2.998028531,NA,1.361129148,1.291861377,0.503996768,1.017525438,Laos,13.2923
4379,NA,1.427095566,0.246944441,0.164845448,NA,NA,0.443888896,NA,0.213888894,0.278055545,0.093333331,0.035972223,Brazil,NA
4441,NA,6.810833176,0.348333329,0.523392302,0.430833332,NA,1.80583336,NA,NA,NA,0.650833314,1.549166719,Angola,5.78673
4544,2.512109041,NA,2.059999943,6.728927135,1.750068426,1.320000052,0.891666651,1.207442641,4.339814663,2.609894276,1.748853803,2.660495281,Argentina,27.04
4584,0.121762411,NA,0.170000007,0.204241232,0.132892306,0.376638977,0.186527783,NA,0.117331743,0.826388889,NA,0.108001842,Ethiopia,1.742
4603,1.318506837,NA,NA,2.642849465,1.323507849,0.682863244,5.361304561,0.423818179,1.533491794,1.041185543,0.706044386,1.179300716,Australia,20.1991
4656,NA,7.659109276,0.91174825,0.818906015,NA,NA,0.538876995,NA,0.458333343,0.595833311,0.199999996,0.077083334,Guyana,NA
4669,2.712195094,NA,NA,5,NA,0.867415707,NA,NA,NA,NA,NA,2.966292092,New Zealand,18.1618
4680,2.120623442,NA,2.398019426,6.328252844,NA,NA,NA,0.456933904,3.666456608,1.294572048,NA,2.772762052,United States,13.3127
4697,NA,5.692300363,NA,0.435159744,NA,1.177500039,0.845013167,NA,NA,NA,1.154999971,NA,Brazil,NA
4705,1.012285776,NA,NA,NA,NA,0.59909206,NA,0.310563378,NA,NA,NA,0.633148459,Australia,19.3904
4785,NA,9.12589683,1.118741035,1.2355066,0.958078492,NA,1.247063263,NA,1.097456555,0.772082728,NA,0.519212143,Nigeria,4.4434
4794,2.95,15.76283401,1.617236966,3.682962243,NA,1.467122568,7.16521124,1.691333361,3.742936146,1.608222311,0.873567371,3.355793679,China,9.50719
4800,NA,NA,NA,1.357777746,0.370740732,NA,NA,0.2888889,NA,NA,NA,NA,Argentina,3.99455
4804,NA,1.052720785,0.149772728,0.087255423,NA,NA,0.223915118,NA,NA,NA,NA,NA,Guyana,NA
4816,1.367679076,NA,NA,NA,NA,0.707924546,NA,1.114716926,NA,NA,NA,1.701132091,Finland,10.897
4820,NA,36.6414211,1.680655518,1.580756462,1.413505734,0.183893925,4.104353527,NA,0.813200912,NA,0.75735125,NA,India,1.39841
4827,NA,NA,0.01287037,NA,NA,0.006203704,NA,0.009259259,0.025462963,0.011574074,NA,NA,Kazakhstan,NA
4845,0.561458319,0.448958327,0.205273237,0.054795224,0.125355305,NA,0.117552206,NA,0.178648616,0.069159071,0.674293111,1.039381722,Botswana,1.1032
4846,NA,NA,0.034218226,2.248255255,NA,0.796916632,NA,NA,NA,NA,0.184007902,0.829074945,Mexico,16.9117
4862,3,16.03000069,1.876310555,2.190756249,NA,1.715604398,NA,1.720000029,3.774655944,1.705586057,1.015355019,2.025967425,China,8.93752
4869,1.716401483,NA,1.530923269,6.62187001,2.283910927,1.991944551,3.333316509,1.353870861,NA,2.117460317,0.029947605,2.11500301,Turkey,17.9179
4916,0.968079077,18.94330795,1.151691364,4.282929005,NA,1.462954594,1.796619823,0.294609373,2.45639318,2.533166235,1.434999964,1.370653333,Brazil,4.59943
4954,0.579848476,2.753198512,0.215495682,0.92125132,0.437177246,NA,0.569820824,NA,0.444624413,0.678293075,0.292086522,4.169697032,Zambia,5.77818
4970,2.480570559,NA,NA,7.384597243,NA,1.496923062,NA,NA,NA,NA,0.759230751,2.249107398,Chile,10.2396
4974,1.603124738,NA,NA,3.164072255,1.248710637,0.899999976,NA,4.300524692,1.049999952,0.939999998,0.894609579,2.910201035,Russian Federation,8.86166
4983,NA,4.584660861,0.33268337,0.531352692,0.51120002,NA,0.9614085,NA,0.383660763,NA,0.308296064,0.872530104,Mozambique,11.9303
4998,NA,6.010177522,0.576260255,0.935873237,NA,NA,1.486562194,NA,0.419469705,0.924545491,NA,2.063106134,Madagascar,0.801221
5018,NA,14.005987,NA,3.254080605,NA,1.570000052,1.688262104,NA,1.552530679,2.756251189,1.539999962,0.584767613,Brazil,NA
5045,0.775291443,NA,2.070192099,2.667514801,0.717551947,NA,NA,NA,0.644605244,1.688945598,1.550499413,2.949385991,Syria,21.7698
5126,1.553796313,NA,NA,2.146574168,NA,0.808333312,NA,NA,0.943055513,0.844259257,NA,NA,Russian Federation,NA
5137,NA,NA,0.89361519,2.439292441,NA,1.133653797,5.320873215,NA,3.513343261,0.67448333,0.419138282,NA,Mexico,14.7833
5152,0.671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.618124998,Mongolia,6.46507
5184,0.277777778,1.484259323,0.163117261,0.512449609,0.117276874,0.100491698,0.362770911,0.159259262,0.332407399,0.22148735,0.141549243,0.495295922,China,2.01213
5236,2.869565217,15.33304414,2.172972772,4.287692257,1.846474938,1.140932537,4.557023951,1.351428594,3.243460996,1.323663335,1.083170957,3.332826929,China,13.4531
5250,2.498753058,NA,NA,8.168327202,1.582070351,NA,NA,1.943571822,3.027248077,2.49910559,1.159649499,2.356951912,United States,31.8084
5278,1.080000043,NA,1.389999986,NA,NA,0.670000017,NA,1.28713119,2.75,1.25,0.309208985,1.18746841,Kazakhstan,9.56851
5286,1.685175917,NA,0.604444433,3.110659882,0.157407412,0.277777778,0.881243017,1.343590743,0.52037036,0.156214801,0.983089779,2.582772765,Greece,16.4376
