FISHNET_ID,barley_HgHa,cassava_HgHa,groundnut_HgHa,maize_HgHa,millet_HgHa,rapeseed_HgHa,rice_HgHa,rye_HgHa,sorghum_HgHa,soybean_HgHa,sunflower_HgHa,wheat_HgHa,COUNTRY,mean_potato
19,4.563162881,NA,NA,9.945105704,NA,2.756833305,4.53342007,1.024637785,NA,NA,1.398249967,4.522922027,Chile,19.2009
24,0.190909089,2.808748635,0.217783852,0.248181696,0.22319616,NA,0.218456769,NA,0.315052643,0.117375312,0.004393939,0.398168532,Congo DRC,0.773164
59,NA,1.576666658,0.618124998,0.618124998,0.123181104,NA,1.352708325,NA,0.326780836,NA,0.600208348,NA,Sudan,6.59405
82,3.943679858,NA,NA,7.341028456,2.349629685,2.364720398,1.541343963,3.384627108,5.60444461,2.438078412,2.07979867,4.467002098,France,25.017
119,1.113090876,NA,1.272414435,1.174167099,0.662637388,0.654067707,3.29024733,NA,0.903129756,0.442985114,0.187879528,1.903461068,India,22.8567
154,NA,1.1635959,0.791448147,0.978197888,0.083295995,NA,1.839119265,NA,0.075595569,NA,0.642083349,NA,South Sudan,6.32855
161,1.758333246,5.801523579,0.512716954,1.054827223,0.785124936,NA,0.823484782,NA,0.995795337,0.297587613,0.283333336,NA,Tanzania,3.28397
275,NA,1.321559605,0.17492308,0.183574902,NA,0.178409097,0.218882813,0.086515154,0.231439393,0.175681817,0.174999996,0.134999998,Peru,1.38868
304,NA,1.64217488,0.057877243,0.319293082,NA,0.261666675,0.259874245,NA,NA,NA,0.25666666,NA,Brazil,NA
356,2.022083233,3.248233954,0.779962247,1.041908269,NA,NA,1.199828519,NA,0.792934989,0.318461551,0.300769234,NA,Tanzania,6.57647
363,1.311857104,NA,1.136014984,1.07143929,0.457405002,0.651943545,2.842005824,NA,0.717683814,0.373249165,0.531077526,1.5527683,India,12.9411
376,NA,11.04362595,0.780582379,1.215271616,NA,1.570000052,NA,NA,0.26118348,NA,1.539999962,NA,Brazil,NA
393,NA,9.099270228,0.839108884,0.519282361,NA,NA,2.303711734,NA,1.217045476,0.540062753,1.126893939,0.291175913,Paraguay,NA
398,NA,NA,NA,0.853571466,NA,0.195652169,NA,NA,0.228260859,0.204347826,NA,NA,Russian Federation,5.27
