"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","sunflower_HgHa","AET_mean","sunflower_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"600","Chile",19,-34.3223,-70.8547,0.379894447166105,2.25388439557119,2.37803316069985,4.98465330797233,3.69928062050879,19
"921","Congo DRC",24,1.37279,29.7566,0.00190408330532435,2.99539097892403,0.567440494645096,0,2.26709515600535,24
"17520","Sudan",59,10.3587,28.8583,0.204176531715863,2.76888024797393,1.03951759402759,3.72320931040511,2.58970408801578,59
"33444","France",82,43.4523,1.90886,0.488522327095934,2.58169777801571,2.40705477004711,5.83682522770016,4.39150652613484,82
"131","India",119,22.4701,87.2488,0.0747723977345372,2.92408228242792,1.88048351821946,5.50520154772776,2.65874601931954,119
"403","Tanzania",161,-3.14718,31.5533,0.108339475691268,2.87063030261913,1.24418239542369,1.7481880270062,2.58899405288781,161
"1193","Peru",275,-4.0497,-69.9564,0.0700378651293058,2.94048239127832,1.47558004925488,4.21937492462626,3.31522015660823,275
"2149","Tanzania",356,-9.47339,39.4363,0.114200256369578,2.83634672521065,0.741716229540649,1.7481880270062,2.58899405288781,356
"2262","India",363,22.4701,86.3505,0.184997181724762,2.89466214165877,1.88243830691331,5.50520154772776,2.65874601931954,363
"6841","China",464,33.601,118.69,0.449703829450509,2.85709905784382,2.22431729025688,6.95136909386879,2.99627669770714,464
"16632","Chile",579,-50.8025,-74.4191,0.22174373841337,2.61596882907127,2.18043656366825,4.98465330797233,3.69928062050879,579
"18230","Angola",599,-17.3436,20.7735,0.104723066109709,2.69434138784097,0.704623859845518,2.44870631990508,2.7855635422284,599
"21783","Angola",644,-10.2538,13.7605,0.192686449609488,2.68873401524878,0.716377819426517,2.44870631990508,2.7855635422284,644
"23388","Australia",665,-32.8185,150.131,0.147696023144751,2.71471385938463,1.44310743115898,5.36316241230006,4.33107201983724,665
"34408","China",842,35.0911,79.164,0.361590534585643,1.89989537884254,2.15636161980335,6.95136909386879,2.99627669770714,842
"37101","China",956,37.2755,107.91,0.276301315350579,2.64138557114427,2.18853583481423,6.95136909386879,2.99627669770714,956
"7","Spain",1015,42.1292,-3.48104,0.28289452489704,2.52023001891381,1.69499865963762,5.40708143378234,4.21334781739129,1015
"34","Chile",1058,-53.5432,-72.6596,0.268594680667217,2.5846946000857,2.25677663818358,4.98465330797233,3.69928062050879,1058
"70","Tanzania",1105,-5.85147,36.9432,0.104325853307007,2.71188502563408,0.763911907173585,1.7481880270062,2.58899405288781,1105
"144","Mexico",1206,28.9746,-104.991,0.136464927699022,2.38948778200849,1.5838095797042,5.19781516944518,3.82053390533369,1206
"182","Pakistan",1256,29.7614,70.1808,0.194924484011743,2.07129010130327,2.21257116399413,5.06566932773143,2.7175806602292,1256
"222","Russian Federation",1317,46.013,46.8246,0.00404624537786087,2.64793573349118,1.01983711319702,5.32502074550366,3.33487843404016,1317
"282","Australia",1415,-19.0606,143.843,0.00317973761531362,2.77986479355217,1.03758431889002,5.36316241230006,4.33107201983724,1415
"341","China",1520,40.7776,124.08,0.359144568488168,2.70876476760362,2.17180302047815,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,0.481981372624116,2.73591241825355,2.19636898474542,6.95136909386879,2.99627669770714,1529
"384","South Africa",1581,-30.9582,30.254,0.347657397751802,2.82662234134424,1.80210607557566,5.25389021628127,3.49225402986176,1581
"393","Mexico",1593,24.9729,-107.649,0.240354205021483,2.59867979624061,1.56288453026898,5.19781516944518,3.82053390533369,1593
"416","Mozambique",1630,-17.1788,37.7796,0.0851332216433955,2.94055205807061,0.62190413567333,2.72916478969277,2.50009459561958,1630
"510","Kazakhstan",1759,53.5535,68.3842,0.0588016713157471,2.11829622634681,0.607595049778205,4.50851625226694,3.17598650936112,1759
"539","Mozambique",1797,-15.6102,31.5533,0.0808652666403618,2.79409574971503,0.774702108477327,2.72916478969277,2.50009459561958,1797
"660","Angola",1979,-8.55408,13.6673,0.183128707510884,2.71199040524913,0.75136189279482,2.44870631990508,2.7855635422284,1979
"748","Russian Federation",2105,56.1441,57.6044,0.040549628278992,2.36335451398268,1.15082321602004,5.32502074550366,3.33487843404016,2105
"749","Russian Federation",2105,56.1441,57.6044,0.040549628278992,2.36335451398268,1.15082321602004,5.32502074550366,3.33487843404016,2105
"825","Australia",2229,-26.5486,149.233,0.101281214451025,2.6731635848343,1.29984880052828,5.36316241230006,4.33107201983724,2229
"875","United States",2329,39.3978,-88.821,0.109992312691719,2.88850209184276,1.26549102389272,6.47257508985315,4.55253120853509,2329
"937","China",2420,37.2755,105.215,0.331452928654764,2.59845503231177,2.18774101046724,6.95136909386879,2.99627669770714,2420
"963","Russian Federation",2457,56.1441,75.5707,0.160204275739034,2.365030897342,0.979907062766702,5.32502074550366,3.33487843404016,2457
"1476","Brazil",304,-7.64738,-60.0749,0.0992200931821809,2.93172265532701,1.57779253365991,5.98977763964001,3.58078294659351,304
"2505","Brazil",376,-12.1,-39.4136,0.404833710122619,2.72400264251505,1.41473136451078,5.98977763964001,3.58078294659351,376
"2883","Paraguay",393,-23.2723,-59.1766,0.327745833647206,2.77943972601716,1.98555587051806,4.85455500642305,3.2119147561999,393
"31686","Brazil",787,-5.85147,-57.38,0.209067975409522,2.94911107631829,1.44641792537591,5.98977763964001,3.58078294659351,787
"33829","Brazil",828,-7.64738,-55.5833,0.195015099036003,2.9498689999766,1.45674649092423,5.98977763964001,3.58078294659351,828
"36684","Brazil",927,1.37279,-64.5665,0.047864620002596,3.00486364734752,1.58097564599455,5.98977763964001,3.58078294659351,927
"21","Brazil",1037,-4.0497,-66.3631,0.11016867593265,2.94093428521864,1.57476489806849,5.98977763964001,3.58078294659351,1037
"214","Brazil",1300,-10.3264,-48.3968,0.382317274492598,2.91526789096641,1.45204698391658,5.98977763964001,3.58078294659351,1300
"337","Croatia",1509,43.7655,15.787,0.217913223694142,2.71868947481343,2.00071040757498,4.27018954270418,3.76349188024616,1509
"648","Brazil",1964,-12.1,-52.8884,0.226456687359069,2.94267080631698,1.63343656275079,5.98977763964001,3.58078294659351,1964
"680","Brazil",2000,-5.85147,-58.2783,0.134690528430798,2.94147445898498,1.53428574173788,5.98977763964001,3.58078294659351,2000
"887","Brazil",2351,-5.85147,-68.1597,0.060592924416315,2.915157906816,1.57479790749068,5.98977763964001,3.58078294659351,2351
"961","Namibia",2455,-21.6022,18.0785,0.126908327073742,2.57210369221674,0.492345819682988,2.59439255037543,3.33590723556634,2455
"973","Mexico",2468,16.0156,-97.5941,0.150756437404934,2.93381256145245,1.43911257646384,5.19781516944518,3.82053390533369,2468
"1001","United States",2511,32.0845,-93.3126,0.248902337566474,2.94278288727227,1.65339576330455,6.47257508985315,4.55253120853509,2511
"1052","Russian Federation",2592,46.6353,44.1297,0.233898175269184,2.66493843186716,1.452518665897,5.32502074550366,3.33487843404016,2592
"1061","Greece",2602,40.7906,23.4356,0.289988348741223,2.609800786005,1.98662625339753,4.86861505347097,4.14310934368233,2602
"1091","Australia",2640,-32.8185,119.588,0.00239052145717476,2.41259553088046,1.07524507511168,5.36316241230006,4.33107201983724,2640
"1114","Russian Federation",2666,57.6193,98.9269,0.0134391573749275,2.30627181017191,0.81458078324278,5.32502074550366,3.33487843404016,2666
