"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","groundnut_HgHa","AET_mean","groundnut_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"144","Mexico",1206,28.9746,-104.991,0.548590097878676,2.38948778200849,1.56110549833116,5.19781516944518,3.82053390533369,1206
"182","Pakistan",1256,29.7614,70.1808,0.272205566943526,2.07129010130327,2.0877821703731,5.06566932773143,2.7175806602292,1256
"282","Australia",1415,-19.0606,143.843,0.370127628513175,2.77986479355217,1.28939322154678,5.36316241230006,4.33107201983724,1415
"319","Indonesia",1477,-4.95121,138.453,0.454366029830047,3.04561399472166,1.2005273084441,4.0484418035504,2.91077933629609,1477
"341","China",1520,40.7776,124.08,0.493492107688364,2.70876476760362,2.18348910817539,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,0.628537966399316,2.73591241825355,2.12946756157955,6.95136909386879,2.99627669770714,1529
"374","Peru",1566,-8.54258,-76.2446,0.390105107024848,2.91742266635982,1.39689473459886,4.21937492462626,3.31522015660823,1566
"384","South Africa",1581,-30.9582,30.254,0.371581624882247,2.82662234134424,1.12595701454951,5.25389021628127,3.49225402986176,1581
"393","Mexico",1593,24.9729,-107.649,0.283474417949286,2.59867979624061,1.90095713673456,5.19781516944518,3.82053390533369,1593
"410","Indonesia",1624,-4.04236,105.769,0.463892984060918,3.0121389413006,1.72075495134717,4.0484418035504,2.91077933629609,1624
"412","Bolivia",1629,-16.4788,-68.1597,0.310564583885655,2.85904890061892,0.728599587496378,4.4215710245264,2.98847132047518,1629
"416","Mozambique",1630,-17.1788,37.7796,0.0807132574325433,2.94055205807061,0.434447764964597,2.72916478969277,2.50009459561958,1630
