"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","mean_potat.x","AET_mean","Potato_Fe","Pesticide","GDP_Mean","FISHNET_ID.1"
"600","Chile",19,-34.3223,-70.8547,1.30537071876972,2.25388439557119,2.10446978015849,4.98465330797233,3.69928062050879,19
"921","Congo DRC",24,1.37279,29.7566,0.248748905370327,NA,NA,NA,NA,24
"17520","Sudan",59,10.3587,28.8583,0.880473452252371,2.76888024797393,0.770079325382536,3.72320931040511,2.58970408801578,59
"33444","France",82,43.4523,1.90886,1.41525721695424,2.58169777801571,1.43070235593039,5.83682522770016,4.39150652613484,82
"131","India",119,22.4701,87.2488,1.37761036930465,2.92408228242792,1.79800147506934,5.50520154772776,2.65874601931954,119
"361","South Sudan",154,7.6799,27.0617,0.865018055228797,NA,NA,NA,NA,154
"403","Tanzania",161,-3.14718,31.5533,0.631846420871285,2.87063030261913,0.568136065281206,1.7481880270062,2.58899405288781,161
"899","Canada",238,48.9956,-58.1378,1.37152040151274,NA,NA,NA,NA,238
"1193","Peru",275,-4.0497,-69.9564,0.378157973298371,NA,NA,NA,NA,275
"2149","Tanzania",356,-9.47339,39.4363,0.879466907927002,2.83634672521065,0.464081706089775,1.7481880270062,2.58899405288781,356
"2262","India",363,22.4701,86.3505,1.14429704241928,2.89466214165877,1.8159578306157,5.50520154772776,2.65874601931954,363
"3031","Russian Federation",398,46.5454,143.469,0.797267540830716,NA,NA,NA,NA,398
"6841","China",464,33.601,118.69,1.3229838069484,2.85709905784382,2.02624836093544,6.95136909386879,2.99627669770714,464
"7278","Turkmenistan",469,39.3978,55.8078,0.300635042446486,NA,NA,NA,NA,469
"14718","United Kingdom",556,59.9881,-1.29533,1.47328985052967,2.63301131606616,1.7384696079701,5.3694440804306,4.4645225202218,556
"15566","Bolivia",566,-11.2146,-66.3631,0.46571885346752,NA,NA,NA,NA,566
"16632","Chile",579,-50.8025,-74.4191,1.16459076019022,2.61596882907127,1.84857361921902,4.98465330797233,3.69928062050879,579
"18230","Angola",599,-17.3436,20.7735,0.64057186416392,2.69434138784097,0.414492847771618,2.44870631990508,2.7855635422284,599
"21783","Angola",644,-10.2538,13.7605,0.78502999714189,2.68873401524878,0.398112884959596,2.44870631990508,2.7855635422284,644
"23388","Australia",665,-32.8185,150.131,1.03627748563311,2.71471385938463,1.81572730793235,5.36316241230006,4.33107201983724,665
"23832","United States",671,37.9899,-107.686,0.836308288359972,2.33475284787798,1.86486834170026,6.47257508985315,4.55253120853509,671
"27273","Nigeria",718,8.57503,3.70549,0.121530299340256,2.88189559848472,0.966172044872599,0,2.77291888787602,718
"28315","Argentina",733,-27.3536,-66.3631,1.13100881279064,2.03520333530463,1.2612352118013,5.78923793550226,3.80950249718057,733
"29930","United States",758,35.826,-99.6008,0.429177145310481,2.66669065671381,1.34107455365308,6.47257508985315,4.55253120853509,758
"32841","South Sudan",808,6.78286,32.4516,0.563696992361078,NA,NA,NA,NA,808
"34408","China",842,35.0911,79.164,0.811761953529735,1.89989537884254,1.68149105150059,6.95136909386879,2.99627669770714,842
"35883","Colombia",889,2.20409,-78.015,1.24410386337651,2.97104931845928,1.71782137299391,5.6784582838221,3.39165397941092,889
"37101","China",956,37.2755,107.91,1.13499900174288,2.64138557114427,1.88338211574104,6.95136909386879,2.99627669770714,956
"7","Spain",1015,42.1292,-3.48104,1.55285795040065,2.52023001891381,2.04242577866884,5.40708143378234,4.21334781739129,1015
"34","Chile",1058,-53.5432,-72.6596,1.23705337214951,2.5846946000857,1.84841393050108,4.98465330797233,3.69928062050879,1058
"56","Yemen",1087,14.7695,46.8246,0.0533254982898571,NA,NA,NA,NA,1087
"70","Tanzania",1105,-5.85147,36.9432,0.802417252380214,NA,NA,NA,NA,1105
"144","Mexico",1206,28.9746,-104.991,1.27478342936391,2.38948778200849,1.75973598868225,5.19781516944518,3.82053390533369,1206
"159","Italy",1224,44.8844,12.3447,1.55121448796226,NA,NA,NA,NA,1224
"182","Pakistan",1256,29.7614,70.1808,1.1983738786098,2.07129010130327,1.99290264371419,5.06566932773143,2.7175806602292,1256
"222","Russian Federation",1317,46.013,46.8246,0.282407517941478,NA,NA,NA,NA,1317
"238","Chad",1342,13.8937,19.8752,0.866838867705619,2.50533977917185,0.373055765058925,2.46982201597816,2.33187050378788,1342
"282","Australia",1415,-19.0606,143.843,1.06674696820649,2.77986479355217,1.65451547080443,5.36316241230006,4.33107201983724,1415
"319","Indonesia",1477,-4.95121,138.453,0.680170468287707,3.04561399472166,1.53871842577069,4.0484418035504,2.91077933629609,1477
"341","China",1520,40.7776,124.08,1.05587885777419,2.70876476760362,1.92167816716865,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,1.25435710989791,2.73591241825355,1.8697403390313,6.95136909386879,2.99627669770714,1529
"374","Peru",1566,-8.54258,-76.2446,1.04248100471853,2.91742266635982,1.69313245074397,4.21937492462626,3.31522015660823,1566
"384","South Africa",1581,-30.9582,30.254,1.56725581075281,2.82662234134424,2.09953397463978,5.25389021628127,3.49225402986176,1581
"393","Mexico",1593,24.9729,-107.649,1.3467987777344,2.59867979624061,1.85665164094743,5.19781516944518,3.82053390533369,1593
"410","Indonesia",1624,-4.04236,105.769,0.980909668729736,3.0121389413006,1.54403512916504,4.0484418035504,2.91077933629609,1624
