"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","cassava_HgHa","AET_mean","cassava_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"921","Congo DRC",24,1.37279,29.7566,0.580782311585945,2.99539097892403,1.89018255664014,0,2.26709515600535,24
"17520","Sudan",59,10.3587,28.8583,0.411058237737905,2.76888024797393,0.703062262613783,3.72320931040511,2.58970408801578,59
"403","Tanzania",161,-3.14718,31.5533,0.832606207976339,2.87063030261913,1.30255904742995,1.7481880270062,2.58899405288781,161
"1193","Peru",275,-4.0497,-69.9564,0.36577983846107,2.94048239127832,1.78758735130494,4.21937492462626,3.31522015660823,275
"2149","Tanzania",356,-9.47339,39.4363,0.628208425713109,2.83634672521065,0.39644430868892,1.7481880270062,2.58899405288781,356
"6841","China",464,33.601,118.69,1.20668874977572,2.85709905784382,2.2197970461644,6.95136909386879,2.99627669770714,464
"15566","Bolivia",566,-11.2146,-66.3631,0.683662870861088,2.92166170750917,1.12753698239454,4.4215710245264,2.98847132047518,566
"18230","Angola",599,-17.3436,20.7735,0.731247301950026,2.69434138784097,0.732739679527001,2.44870631990508,2.7855635422284,599
"21783","Angola",644,-10.2538,13.7605,0.879872219606785,2.68873401524878,0.781921189791539,2.44870631990508,2.7855635422284,644
"27273","Nigeria",718,8.57503,3.70549,1.00404097195013,2.88189559848472,1.28347727500087,0,2.77291888787602,718
"34408","China",842,35.0911,79.164,1.19202589122994,1.89989537884254,2.16182616579121,6.95136909386879,2.99627669770714,842
"35883","Colombia",889,2.20409,-78.015,0.933105659588683,2.97104931845928,1.69958533603127,5.6784582838221,3.39165397941092,889
"37101","China",956,37.2755,107.91,1.2312146655588,2.64138557114427,2.12593734211864,6.95136909386879,2.99627669770714,956
"70","Tanzania",1105,-5.85147,36.9432,0.948134364607408,2.71188502563408,0.923389188027927,1.7481880270062,2.58899405288781,1105
"238","Chad",1342,13.8937,19.8752,0.366653355914932,2.50533977917185,0.477051214309671,2.46982201597816,2.33187050378788,1342
"319","Indonesia",1477,-4.95121,138.453,0.992041715692956,3.04561399472166,1.55966030148932,4.0484418035504,2.91077933629609,1477
"341","China",1520,40.7776,124.08,1.22741295611288,2.70876476760362,2.17438263147516,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,1.2312146655588,2.73591241825355,2.07416888602541,6.95136909386879,2.99627669770714,1529
"374","Peru",1566,-8.54258,-76.2446,1.09285383444388,2.91742266635982,1.80898015681961,4.21937492462626,3.31522015660823,1566
"410","Indonesia",1624,-4.04236,105.769,1.10759332653679,3.0121389413006,1.86308359946055,4.0484418035504,2.91077933629609,1624
"412","Bolivia",1629,-16.4788,-68.1597,0.960129602709624,2.85904890061892,0.583797961570573,4.4215710245264,2.98847132047518,1629
"416","Mozambique",1630,-17.1788,37.7796,0.564290111529765,2.94055205807061,0.589611987816889,2.72916478969277,2.50009459561958,1630
"424","Indonesia",1650,-7.03752,113.284,1.13706459307028,2.94245688741254,1.57492795270108,4.0484418035504,2.91077933629609,1650
"532","Indonesia",1789,4.91391,96.2057,1.14197758159872,3.00357506777566,1.65338131391169,4.0484418035504,2.91077933629609,1789
"539","Mozambique",1797,-15.6102,31.5533,0.162990694731896,2.79409574971503,0.98026193615286,2.72916478969277,2.50009459561958,1797
"660","Angola",1979,-8.55408,13.6673,0.839801322055831,2.71199040524913,0.854471846557492,2.44870631990508,2.7855635422284,1979
"790","Belize",2177,16.7769,-88.3288,1.23839023725475,3.04291755608864,1.1299942172819,3.99607365448528,3.51593368894278,2177
"795","Gabon",2181,2.27666,10.892,0.320139529766258,2.94967166066761,1.69942722063452,0,3.6255249388827,2181
"858","Congo DRC",2288,-3.14718,20.7735,0.175449311338927,2.94365053522742,1.66823831527015,0,2.26709515600535,2288
"937","China",2420,37.2755,105.215,1.18415954412808,2.59845503231177,2.19509076358289,6.95136909386879,2.99627669770714,2420
"1476","Brazil",304,-7.64738,-60.0749,0.421961559268468,2.93172265532701,1.81966762526192,5.98977763964001,3.58078294659351,304
"2505","Brazil",376,-12.1,-39.4136,1.08075725876586,2.72400264251505,1.92310256811765,5.98977763964001,3.58078294659351,376
"2883","Paraguay",393,-23.2723,-59.1766,1.00428999285163,2.77943972601716,0.715280602230158,4.85455500642305,3.2119147561999,393
"16390","Ecuador",576,-2.18841,-80.5285,0.634676273308948,2.64265291391327,0.698302115308674,5.00241662707248,3.30639568540983,576
"24145","Sierra Leone",675,8.62558,-13.0686,0.684371179377372,2.95892206425827,1.74037607076967,0,2.29900813986645,675
"31686","Brazil",787,-5.85147,-57.38,0.838888913589519,2.94911107631829,1.72832517195017,5.98977763964001,3.58078294659351,787
"32949","Equatorial Guinea",810,1.25724,9.47502,0.294200958340791,2.98767158401813,1.34755889494132,0,3.26765451983495,810
"33829","Brazil",828,-7.64738,-55.5833,0.916608637854067,2.9498689999766,1.71767066956498,5.98977763964001,3.58078294659351,828
"36684","Brazil",927,1.37279,-64.5665,0.245367872353881,3.00486364734752,1.79602119485754,5.98977763964001,3.58078294659351,927
"21","Brazil",1037,-4.0497,-66.3631,0.430977256556594,2.94093428521864,2.06756430033728,5.98977763964001,3.58078294659351,1037
"151","Indonesia",1215,1.36699,104.175,0.737550556504851,3.01826117486292,2.29196708431258,4.0484418035504,2.91077933629609,1215
"214","Brazil",1300,-10.3264,-48.3968,1.31724486787755,2.91526789096641,1.76334016899139,5.98977763964001,3.58078294659351,1300
"648","Brazil",1964,-12.1,-52.8884,0.730712283470858,2.94267080631698,1.91533878906481,5.98977763964001,3.58078294659351,1964
"680","Brazil",2000,-5.85147,-58.2783,0.588137858514107,2.94147445898498,1.82518361111889,5.98977763964001,3.58078294659351,2000
"887","Brazil",2351,-5.85147,-68.1597,0.322781532256952,2.915157906816,1.8159427709316,5.98977763964001,3.58078294659351,2351
"907","China",2389,28.9746,89.0454,0.539885146419648,2.50447086249442,2.04186579808422,6.95136909386879,2.99627669770714,2389
"980","Niger",2477,13.0145,9.09538,1.2049767237012,2.69217784735586,1.02791389647292,2.39269695325967,2.36249398434491,2477
"1137","Myanmar",2688,10.3931,98.8801,1.06540935983845,3.0256118219968,1.41184953286484,3.59228781595213,2.23757342070395,2688
"1183","Congo DRC",2740,-6.75027,27.96,0.860445179740105,2.85687627639459,1.23543762643577,0,2.26709515600535,2740
"1333","India",2903,16.5103,77.3673,1.05798736373526,2.68426546673157,1.48419510521938,5.50520154772776,2.65874601931954,2903
"1445","China",3005,31.3165,100.724,1.2312146655588,2.58436488303439,2.04407714529058,6.95136909386879,2.99627669770714,3005
"1506","Myanmar",3068,14.7695,98.9269,1.21339425424283,2.97280184542228,1.84208215100425,3.59228781595213,2.23757342070395,3068
"1579","Angola",3131,-11.2146,18.0785,0.698660615860421,2.9378699896569,1.01231184130553,2.44870631990508,2.7855635422284,3131
"1775","Tanzania",3297,-8.54258,36.0448,0.698240727616113,2.81630838866581,0.684816773269216,1.7481880270062,2.58899405288781,3297
"1782","China",3302,39.3978,108.808,1.2312146655588,2.55996003267527,2.0453026854138,6.95136909386879,2.99627669770714,3302
"1912","Uganda",3409,-0.435754,30.6549,1.07673537487323,2.89290748077285,1.9535531747914,2.79028516403324,2.42066321182124,3409
"2076","Brazil",3512,-22.4398,-50.1934,1.4264993447786,2.8775273144218,2.09038352897431,5.98977763964001,3.58078294659351,3512
"2150","Bangladesh",3560,21.678,92.0491,0.10055778838319,2.93534529285453,1.16111600179704,4.35812528527665,2.61998209528875,3560
"2197","Colombia",3592,6.78286,-71.753,1.12935146623583,2.96248208377222,1.82559868048162,5.6784582838221,3.39165397941092,3592
"2355","Tanzania",3679,-8.54258,31.5533,0.876226111166182,2.80081114562461,1.17114763669802,1.7481880270062,2.58899405288781,3679
"2626","India",3820,22.4701,74.6724,0.72443218878935,2.68482933812569,1.29442562875279,5.50520154772776,2.65874601931954,3820
"3074","Zambia",3995,-16.4788,23.4684,0.75015763403912,2.77918620492389,1.18462294342268,4.06785166051235,2.58561693011275,3995
"3309","China",4073,42.1292,124.978,1.22741295611288,2.73153120841035,2.17625236574092,6.95136909386879,2.99627669770714,4073
"4056","Indonesia",4266,-3.14718,103.418,1.08302630747666,2.99150823323956,1.72330171280513,4.0484418035504,2.91077933629609,4266
"4478","Cuba",4340,20.9855,-77.9777,0.752048455121735,2.96258494089489,1.78121322682803,0,3.43335218547393,4340
"4628","China",4364,36.5542,79.164,1.1916114379186,1.72261433812545,2.16158874443603,6.95136909386879,2.99627669770714,4364
"4689","Laos",4372,19.9433,99.8252,1.15517318750559,2.93436166062449,1.6707362557298,1.17609125905568,2.5001937426211,4372
"5171","Angola",4441,-14.7378,17.1802,0.892697362230663,2.88543021749694,0.843436022969408,2.44870631990508,2.7855635422284,4441
"8105","Nigeria",4785,7.6799,7.29875,1.00543349816538,2.92854062953356,1.35707114731237,0,2.77291888787602,4785
"8186","China",4794,29.7614,103.418,1.2243474445363,2.75592020568688,2.05665974294938,6.95136909386879,2.99627669770714,4794
"8412","India",4820,12.2325,79.8125,1.57566601125463,2.931945957663,1.93983853251167,5.50520154772776,2.65874601931954,4820
"8627","Botswana",4845,-19.9125,26.1634,0.161055895054196,2.56959682480208,0.958923390746027,2.07918124604762,3.53572152828684,4845
"8778","China",4862,32.0845,100.724,1.2312146655588,2.56597424475435,2.0434173937644,6.95136909386879,2.99627669770714,4862
"1073","Indonesia",2614,-3.75374,116.031,1.15481149062747,3.00929151192686,1.74964383353164,4.0484418035504,2.91077933629609,2614
