"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","mean_sorgh","Evapotranspiraton","sorghum_Fertilizer","Pesticide","GDP","FISHNET_ID.1"
"17520","Sudan",59,10.3587,28.8583,0.122799189950581,2.76888218456798,1.66375563117864,3.72320931040511,2.5897039154285,59
"33444","France",82,43.4523,1.90886,0.819836302199782,2.58169940355087,2.02426029372379,5.83682522770016,4.39150655205246,82
"131","India",119,22.4701,87.2488,0.279468399634204,2.92408277505827,1.25523225958172,5.50520154772776,2.65874573536115,119
"403","Tanzania",161,-3.14718,31.5533,0.300116003600254,2.87063211329961,1.3044592035852,1.7481880270062,2.58899959049944,161
"1193","Peru",275,-4.0497,-69.9564,0.0904130422949975,2.94048162044403,1.57774428498553,4.21937492462626,3.31522069820779,275
"2149","Tanzania",356,-9.47339,39.4363,0.253564542529037,2.8363494382619,0.410945374152434,1.7481880270062,2.58899959049944,356
"2262","India",363,22.4701,86.3505,0.234943223247957,2.89466490917891,1.25781500036743,5.50520154772776,2.65874573536115,363
"3031","Russian Federation",398,46.5454,143.469,0.0892906124021632,2.63713935072634,1.0201073518222,5.32502074550366,3.33487778544419,398
"6841","China",464,33.601,118.69,0.603411131820248,2.85709718985228,2.17400013133062,6.95136909386879,2.99627519748262,464
"23388","Australia",665,-32.8185,150.131,0.38715387485048,2.71471525551891,1.82285409620707,5.36316241230006,4.33107202186358,665
"28315","Argentina",733,-27.3536,-66.3631,0.37955684802451,2.03518950890845,0.863460074486798,5.78923793550226,3.80950247825765,733
"29930","United States",758,35.826,-99.6008,0.556105767138692,2.66668642419237,1.97519846696639,6.47257508985315,4.5525312153497,758
"34408","China",842,35.0911,79.164,0.629503032606556,1.89987519602101,2.12922296737958,6.95136909386879,2.99627519748262,842
"35883","Colombia",889,2.20409,-78.015,0.48198794462307,2.97104843418943,2.0514519723582,5.6784582838221,3.39165480373368,889
"37101","China",956,37.2755,107.91,0.379151753913501,2.64138486274232,2.09500033822863,6.95136909386879,2.99627519748262,956
"7","Spain",1015,42.1292,-3.48104,0.70602201727962,2.52023454448225,2.00478364312556,5.40708143378234,4.21334772465238,1015
"56","Yemen",1087,14.7695,46.8246,0.00296640270677006,1.67897337591977,1.11438081822439,3.93495270781786,2.70831890119537,1087
"70","Tanzania",1105,-5.85147,36.9432,0.166123782632455,2.71188311853331,1.20654116716637,1.7481880270062,2.58899959049944,1105
"144","Mexico",1206,28.9746,-104.991,0.663324679641019,2.38948504070815,1.85226988897669,5.19781516944518,3.82053378768463,1206
"182","Pakistan",1256,29.7614,70.1808,0.196779290828146,2.07129273383457,1.82805667493389,5.06566932773143,2.71757897536394,1256
"222","Russian Federation",1317,46.013,46.8246,0.0819995166982977,2.64794015275333,1.29297481130888,5.32502074550366,3.33487778544419,1317
"238","Chad",1342,13.8937,19.8752,0.146110626014562,2.50533994060452,1.02979014907684,2.46982201597816,2.3318724984889,1342
"282","Australia",1415,-19.0606,143.843,0.299436349496301,2.77986333444283,1.62896509527919,5.36316241230006,4.33107202186358,1415
"341","China",1520,40.7776,124.08,0.706702309829619,2.70876072369032,2.14470795936283,6.95136909386879,2.99627519748262,1520
"352","China",1529,35.826,111.503,0.643347340786649,2.73591013896938,2.03656378902093,6.95136909386879,2.99627519748262,1529
"374","Peru",1566,-8.54258,-76.2446,0.557625661283197,2.9174214783073,1.74939313373796,4.21937492462626,3.31522069820779,1566
"393","Mexico",1593,24.9729,-107.649,0.516842120438817,2.59868109890716,2.30982973310377,5.19781516944518,3.82053378768463,1593
"412","Bolivia",1629,-16.4788,-68.1597,0.0162734186755456,2.85904818535689,0.45443131098127,4.4215710245264,2.98846977020988,1629
"510","Kazakhstan",1759,53.5535,68.3842,0.574031267727719,2.11829780133278,0.716069936502068,4.50851625226694,3.17598701587034,1759
"539","Mozambique",1797,-15.6102,31.5533,0.117297799739777,2.79409749404121,0.634138633634771,2.72916478969277,2.50009919191572,1797
"727","United States",2069,29.7463,-81.6635,0.57571647792004,2.95139095218991,2.16019937994237,6.47257508985315,4.5525312153497,2069
"748","Russian Federation",2105,56.1441,57.6044,0.134336505848708,2.36334869132276,1.29613475828835,5.32502074550366,3.33487778544419,2105
