,slope,x,y,P
6395,-0.003427007,-3987507.067,8581280.133,0.007306284
2916,-0.003426271,-4187678.008,9216529.806,0.007252442
769,-0.003449509,-3687507.067,7562472.343,0.007035409
1091,0.00389492,-2287507.067,8977806.789,0.006553613
9175,0.003890055,-2195353.083,8580186.486,0.006506235
8386,-0.003472923,-4187507.067,9166056.364,0.006438372
8201,0.003913466,-2287507.067,8993672.534,0.006315273
372,-0.003490937,-3987507.067,8513462.297,0.006209536
5363,0.003944744,-2228442.115,8767866.652,0.005864825
9214,0.003928209,-987507.0672,948249.2394,0.00563273
224,0.003935213,-1087507.067,1730004.059,0.005569847
7148,-0.003535092,-3987507.067,8466494.509,0.005539512
2637,-0.003551858,-3887507.067,8123871.474,0.005337622
6755,-0.003590471,-4187507.067,9039821.669,0.004733466
1109,-0.003607871,-3716492.962,7492294.588,0.004671083
8118,0.00401905,-987507.0672,1047016.292,0.004645858
8523,-0.003603695,-3987507.067,8393306.187,0.004625087
8392,-0.003627209,-3987507.067,8368159.22,0.004344068
9184,-0.003633303,-4187507.067,8993672.534,0.00421998
8161,-0.003685817,-2552651.516,1850492.239,0.004218167
3925,-0.003645699,-4087507.067,8666995.833,0.004105854
2607,-0.00365105,-3987507.067,8342627.865,0.004074741
4841,-0.003664254,-3787507.067,7672040.18,0.003995996
6038,-0.003708985,-2545838.999,1773282.15,0.003969208
9692,0.00409139,-1187507.067,3030040.42,0.003923401
7952,0.004106024,-987507.0672,1145528.983,0.003853699
8798,0.004127514,-886430.6403,552343.2078,0.003752091
4867,-0.003678087,-4187507.067,8945329.097,0.003736648
962,0.004131356,-1087507.067,2017033.823,0.003668885
373,0.004133646,-1187507.067,3118574.151,0.003565674
3124,0.004133646,-1187507.067,3118574.151,0.003565674
4861,-0.00372207,-3887507.067,7941665.684,0.00338641
7721,-0.003724577,-3987507.067,8263672.557,0.003335356
8644,-0.003724902,-4187507.067,8894689.92,0.003284748
1649,0.004188407,-1797599.1,7122997.782,0.003232628
7547,0.004217497,-887507.0672,650655.63,0.003068348
8287,0.004217497,-887507.0672,650655.63,0.003068348
644,0.004248603,-2069240.031,8342146.119,0.00301466
8035,-0.003773831,-4187507.067,8841649.307,0.002865259
501,0.004258453,-857132.76,492706.5162,0.002825156
2219,0.004285255,-2127779.223,8624364.355,0.002824894
6149,-0.003788128,-4087507.067,8513462.297,0.002772667
8741,-0.003788128,-4087507.067,8513462.297,0.002772667
4962,-0.003801173,-3987507.067,8181057.645,0.002694978
9230,0.004341018,-2187507.067,8928709.585,0.002541507
831,0.004334865,-2072540.665,8428557.422,0.002504744
4765,0.004334865,-2072540.665,8428557.422,0.002504744
5468,0.004351721,-2189175.673,8944999.398,0.002484475
2233,-0.003831486,-4087507.067,8466494.509,0.002452284
1257,0.004351662,-2133006.765,8702834.521,0.002450883
7380,0.004360377,-2178744.002,8907345.708,0.002432177
8997,-0.003853625,-4087507.067,8442468.515,0.002301878
9569,-0.003853625,-4087507.067,8442468.515,0.002301878
1261,-0.003860299,-4187507.067,8747610.819,0.002239756
2459,-0.003860299,-4187507.067,8747610.819,0.002239756
2277,-0.003880989,-3791211.423,7449481.731,0.002191829
6389,0.004410054,-2182214.343,8964507.985,0.002185242
6477,0.004410054,-2182214.343,8964507.985,0.002185242
417,0.004413027,-2083012.403,8539139.584,0.002117188
4554,0.004413027,-2083012.403,8539139.584,0.002117188
7736,0.004388073,-1787507.067,7245901.746,0.002079828
2485,-0.003896681,-4187507.067,8707922.353,0.002015516
2214,-0.003908218,-3987507.067,8064942.849,0.001984731
5694,-0.003898828,-4367813.985,9255827.09,0.001976108
7241,0.004414052,-1087507.067,2485859.613,0.001943217
9155,-0.003921924,-4087507.067,8368159.22,0.001888742
7751,-0.003945194,-4287507.067,8961693.563,0.00173356
2971,0.00448767,-1787452.333,7328373.114,0.00166211
8489,0.00448767,-1787452.333,7328373.114,0.00166211
9449,0.00448767,-1787452.333,7328373.114,0.00166211
3356,-0.003972664,-4187507.067,8624794.367,0.001611183
27,-0.003993112,-4087507.067,8290390.083,0.001530493
3571,-0.004003186,-3887507.067,7636049.74,0.001518635
2915,-0.004006035,-4287507.067,8894689.92,0.001444978
8084,-0.004006035,-4287507.067,8894689.92,0.001444978
4286,-0.004012315,-4187507.067,8581280.133,0.001430721
8709,-0.004007996,-4390805.858,9204073.955,0.001424418
5704,-0.004010166,-4387507.067,9191791.39,0.001415437
750,-0.004042217,-4087507.067,8236548.445,0.00132052
8273,-0.004042217,-4087507.067,8236548.445,0.00132052
374,-0.004033306,-4387492.75,9166058.185,0.001319174
5957,-0.004037196,-4409586.573,9227740.829,0.001301297
7007,-0.004037196,-4409586.573,9227740.829,0.001301297
3728,0.004621718,-1995908.036,8338034.118,0.001296485
9943,-0.004053108,-4187507.067,8536414.371,0.001264361
9748,-0.004074643,-3835085.26,7383394.359,0.001234452
5114,-0.004057233,-4387507.067,9139508.674,0.001225907
554,-0.004067272,-4087507.067,8209012.058,0.00122378
2779,-0.004067272,-4087507.067,8209012.058,0.00122378
7978,-0.004070553,-4287507.067,8823416.556,0.001187095
997,0.004632483,-987507.0672,1826114.419,0.001173094
683,-0.004087279,-4287507.067,8804900.601,0.001127443
5724,-0.004087279,-4287507.067,8804900.601,0.001127443
2817,0.004691057,-2029460.917,8540830.965,0.001117137
8360,-0.004118404,-4087507.067,8152679.403,0.001046048
1781,-0.004138359,-3887507.067,7486722.172,0.001009203
9084,-0.004120174,-4387507.067,9069416.92,0.001008425
444,-0.004138218,-4187507.067,8442468.515,0.000972428
5924,-0.004146694,-4387507.067,9039821.669,0.000927791
4407,0.004791952,-2087507.067,8877281.886,0.000900856
848,-0.004174645,-4287507.067,8707922.353,0.00085784
7923,-0.004174645,-4287507.067,8707922.353,0.00085784
9518,-0.004182926,-4465699.152,9231152.769,0.000821048
3881,-0.004197695,-4087507.067,8064942.849,0.000816459
7754,0.004766759,-1087462.774,3206416.428,0.000816127
9494,0.004845979,-2092125.826,8942995.935,0.000795545
6823,0.004852885,-2087507.067,8928709.585,0.000781633
7527,-0.004211392,-4287507.067,8666995.833,0.000763148
7422,-0.00428058,-3116975.081,4275801.937,0.0007414
2363,-0.004215906,-4485641.888,9252702.212,0.00073716
6705,-0.004228197,-4187507.067,8342627.865,0.000731707
4117,-0.004220009,-4481824.234,9236861.612,0.000727711
4760,0.004886145,-2088888.089,8962826.559,0.000723319
9310,-0.004231136,-4387507.067,8945329.097,0.000708566
8357,-0.004257081,-3893218.424,7373012.432,0.000695367
9526,0.004834012,-1072530.788,3286366.082,0.000692267
2895,-0.004252317,-4087507.067,8004223.837,0.000686153
8777,-0.004252317,-4087507.067,8004223.837,0.000686153
6145,0.004911845,-2104247.108,9051607.804,0.000684358
5399,0.004860874,-1687507.067,7203715.755,0.000674388
8952,0.004929758,-2087507.067,8993672.534,0.000652355
1050,0.004875798,-987507.0672,2206089.599,0.000650141
7653,-0.004260984,-4387507.067,8911831.163,0.000643175
6161,-0.004275074,-4187507.067,8290390.083,0.000629153
6931,0.004948227,-2087507.067,9009294.501,0.00062445
1948,0.004959484,-2101854.681,9081543.078,0.000610992
4059,0.004955005,-2027184.384,8751918.967,0.000601935
2091,0.004930699,-987507.0672,2299872.341,0.000566454
5728,-0.004329383,-3987507.067,7599529.325,0.000542792
2052,-0.004320889,-4487507.067,9139508.674,0.000522466
8580,-0.004328125,-4287507.067,8536414.371,0.000522098
945,-0.004355952,-4387507.067,8804900.601,0.000470093
2520,-0.004355952,-4387507.067,8804900.601,0.000470093
8547,-0.004369284,-4287507.067,8490157.38,0.000455352
7164,0.005033841,-987507.0672,2485859.613,0.000434865
8006,-0.004390299,-4287507.067,8466494.509,0.000424382
9268,-0.004389493,-4387507.067,8767002.058,0.000419989
2223,-0.004395556,-4487507.067,9054734.026,0.00040651
3412,0.00511752,-2021632.51,8864105.4,0.000406101
7790,0.00511752,-2021632.51,8864105.4,0.000406101
8337,0.00511752,-2021632.51,8864105.4,0.000406101
2144,-0.004411608,-4287507.067,8442468.515,0.000394965
8115,-0.004421962,-4487507.067,9024676.345,0.000371521
4796,-0.004463485,-3987507.067,7448015.679,0.000347851
2166,-0.004449161,-4487507.067,8993672.534,0.000338394
9220,-0.004459543,-4387507.067,8687616.134,0.000330783
351,-0.004463064,-4487507.067,8977806.789,0.000322531
8293,-0.004463064,-4487507.067,8977806.789,0.000322531
5995,-0.004462939,-4576943.526,9237177.824,0.000319198
9340,-0.004462939,-4576943.526,9237177.824,0.000319198
6303,-0.004477331,-4287507.067,8368159.22,0.000315636
2782,0.005234167,-2022600.543,8966478.72,0.000305123
3619,0.005234167,-2022600.543,8966478.72,0.000305123
5669,0.00517288,-987507.0672,2760647.863,0.000300507
2292,-0.004571728,-2780625.675,1863661.346,0.000299216
2447,-0.004571728,-2780625.675,1863661.346,0.000299216
6492,-0.004496101,-4387507.067,8646056.81,0.000291495
4023,-0.004516079,-4087507.067,7707507.214,0.000285513
9334,-0.004516079,-4087507.067,7707507.214,0.000285513
7363,-0.004514774,-4387507.067,8624794.367,0.000273132
6764,-0.004529272,-4187507.067,8004223.837,0.000268025
