,slope,x,y,P
4016,-0.002988103,8312492.933,7909681.478,0.009447388
9042,0.003149098,7012492.933,6168409.262,0.009437777
5039,0.003384314,6581708.802,7682297.268,0.009430444
9093,0.003051935,7412492.933,3719405.356,0.00935507
963,0.003485529,6413240.288,8237263.315,0.009348334
5714,0.003485529,6413240.288,8237263.315,0.009348334
6943,-0.002847671,8712492.933,2485859.613,0.009063985
5449,-0.002938366,8412492.933,7328490.41,0.009018565
804,-0.002868047,8512492.933,6648528.055,0.008993689
75,0.003067963,7312492.933,4591324.358,0.008797636
2666,-0.002961288,8412492.933,7368906.493,0.00856772
9572,-0.003052692,8292124.261,8113406.906,0.008470041
8238,-0.002946029,8812492.933,1536582.672,0.008331791
9478,0.003209754,7012492.933,6111473.729,0.008077106
5441,-0.002885871,8712492.933,2760647.863,0.007724207
590,0.003183245,7112492.933,5692033.386,0.007676295
4542,-0.002944954,8512492.933,6796092.887,0.00753211
5179,-0.002890926,8712492.933,2851063.991,0.007485027
9688,-0.002989496,8812492.933,1633486.611,0.007218859
9912,-0.002989496,8812492.933,1633486.611,0.007218859
2146,-0.003112667,8338137.868,7997258.271,0.006896226
3619,0.003271328,7012492.933,6053801.131,0.006878032
4533,0.003271328,7012492.933,6053801.131,0.006878032
8963,-0.002911975,8712492.933,3030040.42,0.006832367
5094,0.00319553,7212492.933,5166706.06,0.00674474
6326,-0.002912855,8712492.933,3118574.151,0.006711572
692,0.003201324,7412492.933,3466063.535,0.00667271
7352,0.003550613,6550807.26,7655490.314,0.006552951
1810,-0.003092469,8412492.933,7599529.325,0.006371425
5637,0.003540338,8059785.65,-810072.3202,0.006258341
5918,0.003420912,6812492.933,6747575.511,0.006175745
108,0.003367429,6912492.933,6388882.182,0.006137545
4172,0.003679498,6383961.329,8180064.714,0.006118102
9826,0.003679498,6383961.329,8180064.714,0.006118102
901,-0.002913985,8712492.933,4127085.452,0.005866693
4228,-0.002913985,8712492.933,4127085.452,0.005866693
9252,-0.002913985,8712492.933,4127085.452,0.005866693
8694,0.00333753,7012492.933,5995386.692,0.005784438
8454,-0.00319186,8371499.986,7973031.654,0.005455549
2847,-0.002941023,8712492.933,4284904.988,0.005358898
3861,-0.002941023,8712492.933,4284904.988,0.005358898
6905,-0.002943116,8712492.933,4206375.94,0.005355222
7947,-0.002938782,8712492.933,4665988.68,0.005307299
2089,0.003307492,7412492.933,3293670.667,0.005232277
5599,0.003413031,7012492.933,5936225.825,0.004724615
3739,-0.003246725,8384375.811,8005842.08,0.004705829
4891,-0.003117989,8812492.933,1921797.559,0.004655337
5734,0.003387127,7112492.933,5435586.792,0.004434564
9338,-0.00301754,8712492.933,5435586.792,0.004340281
8174,0.003589958,6812492.933,6597985.524,0.003927419
8639,-0.003063859,8712492.933,5692033.386,0.003904249
7766,0.003929715,6312492.933,8236548.445,0.003653711
2037,0.003490989,7442774.055,2777573.883,0.003546648
3731,0.00348185,7412492.933,3030040.42,0.003492939
5950,-0.003271789,8512492.933,7408746.016,0.003487226
8723,-0.003271789,8512492.933,7408746.016,0.003487226
5988,0.003450403,7312492.933,3966240.724,0.003425399
5238,0.003648232,6812492.933,6546755.628,0.003343385
9138,0.003798783,6612492.933,7203715.755,0.00309734
4601,-0.003286532,8893540.866,1536432.06,0.003057355
2523,-0.003266889,8612492.933,6843947.783,0.002875458
7835,-0.003242292,8812492.933,2393134.691,0.002824817
2472,0.004044616,6308767.962,8153356.233,0.002723977
8686,0.004044616,6308767.962,8153356.233,0.002723977
