mean_wheat,Fishnet_ID,COUNTRY,Wheat_Pr,Wheat_Error_Ratio
0.03985555200,50435,Saudi Arabia,0.39793458200,9.984420289
0.03938458200,45453,South Africa,0.39293514400,9.976877348
0.03920454500,69616,Mongolia,0.39055976900,9.962104368
0.04173090600,58302,Russian Federation,0.41540815100,9.954448413
0.04026387300,61013,Kazakhstan,0.40068091600,9.951375418
0.04407407600,47030,Argentina,0.43578732700,9.887611189
0.06739299300,59512,China,0.66573663400,9.878425106
0.03911618700,64813,Russian Federation,0.38577897600,9.862387047
0.04542212400,33413,Bolivia,0.44754373800,9.852990098
0.05441522600,63426,Sweden,0.53482560600,9.828602127
0.04098570800,69634,China,0.40063485200,9.774989174
0.04074478200,68584,Russian Federation,0.39759791900,9.758253683
0.04862905400,56671,China,0.46876981600,9.639706666
0.04074478000,72212,Russian Federation,0.39213512700,9.624180742
0.04407407600,49179,Argentina,0.42282961300,9.593612649
0.04027027100,56151,Oman,0.38350776600,9.523347037
0.03977647300,62841,Saudi Arabia,0.37871248300,9.521017185
0.04081664200,29945,Sudan,0.38840550100,9.515861226
0.04862905400,55399,China,0.46195826900,9.499635115
0.04409722200,48806,Congo DRC,0.41853654700,9.491222531
0.04084752600,44670,Chad,0.38758903900,9.488678433
0.04236234000,61176,Saudi Arabia,0.40126136900,9.472124746
0.04827538800,59591,China,0.45664150200,9.45909543
0.04375412100,56331,Saudi Arabia,0.41369126300,9.454909699
0.04368759100,67091,Finland,0.41247846700,9.441547532
0.04114819500,12346,Russian Federation,0.38817821800,9.433663324
0.04054568800,60722,Saudi Arabia,0.38102931400,9.397529868
0.04700883500,77159,Canada,0.44124562800,9.3864404
0.04952959200,63429,China,0.46328168900,9.353634268
0.04113273100,55239,Canada,0.38022602700,9.243879941
0.05300407600,63858,Russian Federation,0.48746614300,9.196767113
0.04333333200,5316,Honduras,0.39765728900,9.176706952
0.04220862800,45505,Yemen,0.38625522800,9.151096501
0.04440252400,68484,Kazakhstan,0.40569573200,9.136771865
0.05032060800,56075,Mexico,0.45957465400,9.132931263
0.04302917600,65409,United States,0.39264679600,9.125129331
0.04490740900,42478,Kazakhstan,0.40836435100,9.093473885
0.05936206500,45905,Sweden,0.53868329800,9.07453772
0.04271142200,79297,Russian Federation,0.38757876800,9.074358798
0.04271142200,41401,Russian Federation,0.38628233000,9.044005372
0.05051921600,36280,Australia,0.45500149000,9.006503387
0.04216381700,56589,Congo DRC,0.37911957200,8.991585653
0.05557606400,63222,China,0.49954321100,8.98845969
0.04443713500,68531,Russian Federation,0.39934143400,8.986660234
0.04335465900,70879,Canada,0.38658407700,8.916782785
0.04548489200,78221,Russian Federation,0.40531688400,8.911022236
0.04889523400,74622,Russian Federation,0.43442098000,8.884730565
0.05529303500,43382,China,0.49096194900,8.879272932
0.04345100500,53650,Canada,0.38449554700,8.848944852
0.04417299200,43675,Congo DRC,0.38847125600,8.794316129
0.04611111100,69797,Turkmenistan,0.40531760700,8.790020414
0.04678048900,41113,Peru,0.41069216100,8.779133561
0.04472222200,68884,Mongolia,0.39228109100,8.771502699
0.05068353100,73189,Kazakhstan,0.44425000700,8.765174767
0.04931818100,54631,Brazil,0.43025703300,8.724105883
0.04975686200,64406,Kazakhstan,0.43390785500,8.720563105
0.04653481100,12142,Bolivia,0.40482512100,8.699404001
0.04443713500,7828,Russian Federation,0.38641131600,8.695684724
0.04742940300,24391,Brazil,0.41153534100,8.676797829
0.04409722200,42447,Congo DRC,0.38182063600,8.658609742
0.04409722200,53624,Congo,0.38134694200,8.647867705
0.04443713500,70239,Russian Federation,0.38409992000,8.64366976
0.05619357000,59729,China,0.48470087700,8.625557639
0.04547412000,44007,Argentina,0.39222977300,8.625340589
0.04456093800,44220,Chad,0.38305875400,8.596290186
0.04541333400,17795,Sudan,0.39005586700,8.589016323
0.04700883500,63842,Canada,0.40289122300,8.570542601
0.04764351800,30087,India,0.40694776800,8.541513832
0.04548489200,60552,Russian Federation,0.38674608500,8.502737239
0.05441522600,62460,Norway,0.46134761200,8.478281649
0.04548489200,78565,Russian Federation,0.38543157100,8.473837225
0.05089526500,38768,United States,0.43085095600,8.465442827
0.04578723900,48877,Morocco,0.38725920500,8.457797706
0.04918285400,60309,Russian Federation,0.41562257800,8.450558359
0.04859263600,40231,Australia,0.40995735200,8.436614799
