mean_rapes,Fishnet_ID,COUNTRY,Rapeseed_P,Rapeseed_Error_Ratio
0.03814814700,64061,Uzbekistan,0.37975240400,9.954674968
0.03844660300,50785,Argentina,0.38243034700,9.947051681
0.04404551400,52841,China,0.43661786000,9.912879209
0.04187500100,64051,Kazakhstan,0.41331291200,9.870158857
0.04277633100,45350,Australia,0.42147656600,9.853032183
0.03892562100,38612,Peru,0.38338003700,9.849040995
0.03958333300,44434,Afghanistan,0.38965963000,9.844032841
0.03840909200,76437,Norway,0.37739987900,9.825795387
0.03925619800,66266,Pakistan,0.38473346600,9.800578905
0.04115722600,60214,China,0.40331613500,9.799400353
0.03908767800,48849,United States,0.38288840200,9.795629252
0.04466666800,77694,Finland,0.43632562600,9.768483873
0.04285714200,52019,Russian Federation,0.41861049000,9.767578295
0.04187500100,67733,Kazakhstan,0.40891121500,9.765043707
0.04187500100,34361,Kazakhstan,0.40674705900,9.713362371
0.04187500100,63969,Kazakhstan,0.40529990200,9.678803399
0.03951082600,72637,Canada,0.38233104200,9.676614759
0.04285714200,44763,Russian Federation,0.41372599300,9.653606696
0.04439906000,50624,China,0.42812160600,9.642582658
0.04187500100,70405,Kazakhstan,0.40333796700,9.631951221
0.04090909000,55200,Russian Federation,0.39349019800,9.618649498
0.04051567000,67410,United States,0.38825278100,9.582780712
0.03929411900,53650,Canada,0.37571250200,9.56154538
0.05052101000,57431,Canada,0.48188344900,9.538278213
0.04285714200,67030,Russian Federation,0.40861871600,9.534436897
0.04757575900,39451,Brazil,0.45218905800,9.504610489
0.04285714200,48789,Russian Federation,0.40494182900,9.448642866
0.04285714200,60237,Russian Federation,0.40376190100,9.421111212
0.04090909000,42739,Mongolia,0.38498704300,9.410794594
0.04090909000,36166,Russian Federation,0.38494733500,9.409823954
0.04090909000,77984,Russian Federation,0.38468866100,9.403500811
0.04062400300,65809,United States,0.38181900500,9.398852324
0.04291666500,65771,Turkmenistan,0.40231843900,9.374410593
0.04350649500,71146,Kazakhstan,0.40766371100,9.370180498
0.04198549200,60233,Canada,0.39171751800,9.329830361
0.04359329900,39487,China,0.40657586400,9.32656792
0.04285714200,54180,Russian Federation,0.39941338700,9.319645883
0.04361111300,38699,Brazil,0.40565605800,9.301667169
0.04285714200,48073,Russian Federation,0.39797268900,9.286029596
0.04119222500,60947,India,0.38195742700,9.272561193
0.04361111300,53734,Brazil,0.40375452900,9.258065232
0.04285714200,47082,Russian Federation,0.39664701700,9.255097248
0.04361111300,49550,Bolivia,0.40351949300,9.252675872
0.04198549200,47430,Canada,0.38776206900,9.235620461
0.04125000200,42853,Argentina,0.37998526500,9.211763553
0.04687499900,45265,Russian Federation,0.43168828000,9.20935017
0.04361111300,47948,Peru,0.40098367500,9.194529729
0.04263545800,52681,Mexico,0.39043484300,9.157514926
0.04285714200,75788,Russian Federation,0.39166292000,9.138801649
0.04757575900,21808,Brazil,0.43471287900,9.137276801
0.04285714200,67481,Russian Federation,0.39083486100,9.119480272
0.04285714200,42845,Russian Federation,0.39001453500,9.100339332
0.04285714200,62765,Russian Federation,0.38961360300,9.090984252
0.04485949600,49876,China,0.40684626600,9.069345451
0.04285714200,78694,Russian Federation,0.38773612800,9.047176501
0.04187335400,43294,Australia,0.37772899000,9.020748374
0.04285714200,62859,Russian Federation,0.38647841100,9.01782977
0.04318181800,64758,Pakistan,0.38911520400,9.011088973
0.04694444600,54484,Norway,0.42277943700,9.005952206
0.04499999900,53192,Russian Federation,0.40460232500,8.991162978
0.04285714200,72227,Russian Federation,0.38492352300,8.98154905
0.04331772900,50013,Romania,0.38769629800,8.950060563
0.04368400500,48327,Mexico,0.38947616200,8.915761318
0.04323667300,40231,Australia,0.38507329900,8.906173216
0.04675324600,59313,Russian Federation,0.41457684600,8.867338238
0.04337831500,32762,Australia,0.38439476000,8.861449782
0.05946969900,49363,Brazil,0.52692528700,8.860399428
0.04225000100,73579,Norway,0.37416799700,8.856047057
0.04225000100,70199,Norway,0.37370462800,8.845079743
0.04466666800,77906,Finland,0.39473007100,8.837240132
0.04567652900,72188,Canada,0.40214089400,8.804103613
0.04285714200,52003,Russian Federation,0.37728093600,8.803222016
0.04687499900,64469,Russian Federation,0.41176800300,8.784384251
0.04499999900,71070,Russian Federation,0.39264154800,8.725367927
0.05432738600,49651,Canada,0.47397917800,8.724498138
0.05451389100,54433,Brazil,0.47510306100,8.715266004
0.04687499900,72664,Russian Federation,0.40714652900,8.685792804
0.04687499900,50715,Russian Federation,0.40682070000,8.678841785
0.04567652900,70485,Canada,0.39283230600,8.600309932
0.04785714400,49269,Finland,0.40719549600,8.5085624
0.04420588400,45051,Canada,0.37610440600,8.508016851
0.04420588400,56700,Canada,0.37600098500,8.505677321
0.04615384500,71359,Georgia,0.39255474600,8.505353043
0.04885416800,61602,Kazakhstan,0.41310225100,8.455824097
0.04687499900,68743,Russian Federation,0.39581820700,8.444121929
