mean_sunfl,mean_wheat,Fishnet_ID,COUNTRY,Sunflower_Pred,Sunflower_Error_Ratio
0.02440000100,1.82270017100,3560,Bangladesh,0.39691404500,16.26696839
0.19636363200,1.42333562400,3592,Colombia,0.41034106500,2.089699914
0.42585703600,1.13975778300,3679,Tanzania,0.42130700100,0.989315581
0.76172412000,2.05541993000,3693,Chile,0.46386131900,0.608962362
1.22518076600,2.25805562000,3705,Tajikistan,0.49797515600,0.406450354
0.26861588400,0.30739988800,3710,United States,0.43453828900,1.617693945
0.94060768900,3.03130425800,3850,United States,0.46895698900,0.498568101
0.79003224500,1.23107812000,3854,Mozambique,0.42832939200,0.542166974
0.60666665200,0.00000000000,3928,Brazil,0.45209853900,0.74521739
0.08633333400,0.25158334000,3933,Turkmenistan,0.41106078000,4.761321739
3.01885848600,7.08316050500,3985,Germany,0.64088160200,0.212292694
0.33118326600,5.13939401600,3995,Zambia,0.42088976800,1.270866651
0.38321488500,0.72086214100,4035,Australia,0.40643905500,1.060603518
1.89311754900,1.82746175400,4073,China,0.52221439700,0.275848902
1.52930551800,0.00000000000,4272,Brazil,0.52410312600,0.342706621
0.11125847700,0.27535827100,4276,Australia,0.41808771300,3.757805466
1.56498826200,4.38003681300,4364,China,0.47904548500,0.306101647
0.50399676800,1.01752543800,4372,Laos,0.43446798100,0.862045173
0.09333333100,0.03597222300,4379,Brazil,0.41448450500,4.440905522
0.65083331400,1.54916671900,4441,Angola,0.44733008300,0.68731897
1.74885380300,2.66049528100,4544,Argentina,0.55999272800,0.32020557
0.70604438600,1.17930071600,4603,Australia,0.48348778900,0.684783844
0.19999999600,0.07708333400,4656,Guyana,0.40583728200,2.029186451
1.15499997100,0.00000000000,4697,Brazil,0.52876706900,0.457806998
0.87356737100,3.35579367900,4794,China,0.52026684400,0.595565793
0.75735125000,0.00000000000,4820,India,0.47059752000,0.62137287
0.67429311100,1.03938172200,4845,Botswana,0.45020011900,0.667662344
0.18400790200,0.82907494500,4846,Mexico,0.41020772100,2.22929405
1.01535501900,2.02596742500,4862,China,0.46276849600,0.455770137
0.02994760500,2.11500301000,4869,Turkey,0.40215166100,13.42850826
1.43499996400,1.37065333300,4916,Brazil,0.50060194900,0.348851541
0.29208652200,4.16969703200,4954,Zambia,0.42011463100,1.43832255
0.75923075100,2.24910739800,4970,Chile,0.46488621200,0.612312148
0.89460957900,2.91020103500,4974,Russian Federation,0.47256668000,0.528237894
0.30829606400,0.87253010400,4983,Mozambique,0.42187748400,1.368416705
1.53999996200,0.58476761300,5018,Brazil,0.53874173900,0.349832307
0.41913828200,0.00000000000,5137,Mexico,0.45401062600,1.083200093
0.14154924300,0.49529592200,5184,China,0.41866342000,2.957722776
1.08317095700,3.33282692900,5236,China,0.51632785600,0.476681776
1.15964949900,2.35695191200,5250,United States,0.45042895100,0.388418183
0.30920898500,1.18746841000,5278,Kazakhstan,0.39623409800,1.281444322
0.98308977900,2.58277276500,5286,Greece,0.48720848100,0.495589001
0.86309666800,1.00884564700,5330,South Africa,0.49342193600,0.571687917
0.13029137600,0.16815703800,5354,Congo DRC,0.39515806400,3.032879659
0.76277077500,1.17317712300,5469,Canada,0.45104336900,0.5913223
0.98267708200,0.89591189900,5511,Turkey,0.48152429000,0.490012741
0.10637403700,0.73714132100,5558,Angola,0.42623802000,4.006974183
0.14568810100,0.79328418600,5680,China,0.42792197300,2.937247243
1.54056355100,1.31190130200,5785,Russian Federation,0.43020636200,0.27925259
1.45833329700,0.00000000000,5941,Brazil,0.53416703800,0.366285978
0.02483931700,0.00000000000,6036,India,0.45580723200,18.35023209
0.41290228300,2.95823252500,6069,Mexico,0.43958558100,1.06462376
1.40999996700,3.80471348800,6130,Argentina,0.50245011400,0.356347607
0.74761362200,0.00000000000,6185,Canada,0.45297390600,0.605893061
1.42836048900,3.86438866600,6229,China,0.49849773800,0.348999949
1.49911500700,0.00000000000,6273,Brazil,0.51728255400,0.345058619
0.10694444200,0.00000000000,6323,Brazil,0.42111045300,3.937656274
1.09083330600,0.00000000000,6540,Brazil,0.50626791200,0.464111161
0.83416664600,0.00000000000,6542,Brazil,0.45942939200,0.55076452
0.33493012600,1.21024731600,6585,Argentina,0.45571190700,1.360617847
