mean_rice_,Fishnet_ID,COUNTRY,Rice_Pr,Rice_Error_Ratio
0.06480615400,57606,Turkey,0.40169491000,6.198406867
0.06328106500,50282,Brazil,0.39110820400,6.180493391
0.06250000000,48713,Algeria,0.38523895000,6.1638232
0.06291666600,50961,Sudan,0.38461992800,6.113164483
0.06979580600,41423,Pakistan,0.42564005800,6.098361526
0.08706654900,29457,Nepal,0.53080762300,6.096573588
0.07456755700,42854,Brazil,0.45436877800,6.093384258
0.07319172500,50036,Congo DRC,0.44573328100,6.089940919
0.07924665200,60000,Chad,0.48260093400,6.089858963
0.06909090800,43606,Botswana,0.41953917400,6.072277614
0.06569745500,49344,Congo DRC,0.39732395700,6.047783084
0.06960917000,46856,Brazil,0.42091775300,6.046872172
0.07140481100,59680,Egypt,0.43107520900,6.03706113
0.07476190700,75488,Russian Federation,0.44871167800,6.001875768
0.06767558700,36017,Brazil,0.40456590100,5.978018351
0.07140481100,41038,Egypt,0.42676327300,5.976673939
0.07037743700,59249,Pakistan,0.41966355700,5.963041209
0.07590930500,55566,Peru,0.45171095100,5.950666404
0.08437475300,53661,Brazil,0.50160047700,5.944911945
0.07182064200,64584,China,0.42560031100,5.925877285
0.06993098400,56233,Kenya,0.41362168600,5.914712797
0.06456407900,56619,Congo DRC,0.38021480700,5.888952695
0.07090909100,13490,Tajikistan,0.41664969800,5.875829067
0.07286910900,57215,Brazil,0.42757778200,5.867750929
0.06885345600,53485,Peru,0.40354231600,5.860886867
0.07017986800,44414,Afghanistan,0.41098010300,5.856096837
0.06915800500,23973,Peru,0.40318004700,5.829839178
0.08071428800,68030,Poland,0.47003187500,5.823403596
0.08155844400,69541,Russian Federation,0.47419927400,5.814226593
0.08178350900,39487,China,0.47447650000,5.801615825
0.06655066800,59344,Congo DRC,0.38568722800,5.795392287
0.07068357300,44412,Ethiopia,0.40625771800,5.747554923
0.07031229900,44598,Brazil,0.40321623900,5.734647348
0.06996073600,55582,Brazil,0.40085222000,5.729674142
0.06950477800,59297,Congo,0.39551903500,5.690530153
0.07476190700,59523,Russian Federation,0.42457329500,5.679005687
0.07154554800,55319,Peru,0.40566953100,5.67008769
0.07062500200,48644,Belarus,0.40004907300,5.664411493
0.07031229800,43383,Brazil,0.39817754000,5.662985727
0.08759838300,55321,Liberia,0.49600525900,5.66226501
0.06717302800,53158,Congo,0.37850034700,5.634707237
0.07205303200,55631,Niger,0.40447899400,5.613629056
0.10342972500,57783,China,0.57768434000,5.585283534
0.07060024600,59994,Congo DRC,0.39252685600,5.559851109
0.06852256200,11870,Congo,0.38096189700,5.559656351
0.06863636300,54987,Sudan,0.38122027900,5.554202792
0.07039013000,55218,Congo DRC,0.38807270800,5.513169361
0.07530447300,57728,Brazil,0.41258335500,5.478869164
0.07537155400,50798,Mozambique,0.41159837000,5.460924555
0.07039013000,49622,Congo DRC,0.37993948800,5.397624468
