mean_sorgh,Fishnet_ID,COUNTRY,Sorghum_Pr,Sorghum_Error_Ratio
0.03796794200,66266,Pakistan,0.37990510600,10.00594412
0.04112862300,25906,Colombia,0.41015692800,9.972542188
0.03798887300,43950,Botswana,0.37823140000,9.956373278
0.03925925800,57324,Azerbaijan,0.39060427800,9.94935457
0.03790322600,62103,Yemen,0.37584008000,9.915780783
0.04374999800,69343,Russian Federation,0.43335919000,9.905353367
0.04374999800,71253,Russian Federation,0.43276053400,9.891669801
0.03999999900,60727,Azerbaijan,0.39195622400,9.798905845
0.04772727100,73907,Russian Federation,0.46708848400,9.786616209
0.03999999900,65659,Azerbaijan,0.39123687800,9.780922195
0.03966666600,70784,Azerbaijan,0.38675885200,9.750223324
0.03912344400,51803,Namibia,0.37973935300,9.706184174
0.03999999900,57491,Azerbaijan,0.38731879400,9.682970092
0.04238850100,60528,Mexico,0.40851861200,9.637486638
0.05092592600,43245,Kazakhstan,0.49069545700,9.635474414
0.04090908900,69541,Russian Federation,0.39242493600,9.592609994
0.04090908900,67366,Russian Federation,0.39230228000,9.589611736
0.04090908900,72212,Russian Federation,0.39144911000,9.568756469
0.03988600600,58665,Mauritania,0.38079197800,9.547006988
0.04374999800,46872,Russian Federation,0.41580058600,9.504013829
0.04374999800,47528,Russian Federation,0.41516512500,9.489489005
0.03974798900,47034,Chad,0.37578577200,9.454208413
0.04374999800,58938,Russian Federation,0.41247726000,9.428052088
0.04053095600,44824,Sudan,0.38206257400,9.426438745
0.04090908900,65038,Russian Federation,0.38512115800,9.41407319
0.04125000200,54491,Angola,0.38809728600,9.408418598
0.03997024800,46264,Botswana,0.37592956200,9.405234664
0.04054054100,54362,Oman,0.38077511600,9.392452755
0.04094946400,11870,Congo,0.38319116800,9.357660164
0.04374999800,59883,Russian Federation,0.40858147200,9.339005501
0.04611570200,47706,South Africa,0.42932287900,9.309689767
0.04054054100,56151,Oman,0.37661180200,9.289757677
0.04236111000,47948,Peru,0.39269336800,9.270138766
0.04148134800,56431,Eritrea,0.38422059500,9.262490578
0.04112264800,61683,Yemen,0.38069683500,9.257595352
0.04176473600,64758,Pakistan,0.38523897800,9.224025216
0.04374999800,43199,Russian Federation,0.40314175400,9.214669084
0.04601170000,54848,Mali,0.42289175600,9.190961342
0.04374999800,77100,Russian Federation,0.40198745300,9.18828506
0.04335024100,29453,Australia,0.39824334700,9.186646667
0.04374999800,74453,Russian Federation,0.39957366600,9.133112783
0.04374999800,69634,China,0.39803766600,9.09800421
0.05197017800,44567,Colombia,0.47213322000,9.084695073
0.04649963800,45611,Morocco,0.42068928800,9.047151894
0.04289133900,61053,Saudi Arabia,0.38777466000,9.040861606
0.04374999800,41401,Russian Federation,0.39530781500,9.035607613
0.04374999800,55931,Russian Federation,0.39504609200,9.029625373
0.05729166700,61149,Kazakhstan,0.51692302300,9.022656349
0.04217956400,41007,Botswana,0.37981692700,9.004761808
0.04374999800,71862,Russian Federation,0.39279341100,8.978135519
0.04564970600,49246,Peru,0.40969921600,8.974848951
0.04374999800,46456,Russian Federation,0.39200044200,8.960010512
0.04374999800,68531,Russian Federation,0.39177951700,8.954960798
0.04374999800,71286,Russian Federation,0.39052632000,8.926316294
0.04374999800,79297,Russian Federation,0.39029799400,8.921097414
0.04374999800,52353,Russian Federation,0.38931880600,8.898715973
0.04374999800,79395,Russian Federation,0.38877641300,8.886318418
0.04540586100,42906,Malawi,0.40334358300,8.883073113
0.04374999800,77436,Russian Federation,0.38742839800,8.855506645
0.04412849600,50445,Angola,0.38931813800,8.822374957
0.04374999800,76681,Russian Federation,0.38587658500,8.820036632
0.04540103500,42005,Brazil,0.40019245000,8.814610724
0.05202245300,48024,China,0.45850649500,8.813626974
0.04374999800,43303,Russian Federation,0.38553735700,8.812282849
0.04374999800,68385,Russian Federation,0.38546841400,8.810707008
0.04542552100,39929,Australia,0.39949690500,8.794547563
0.04374999800,66588,Russian Federation,0.38304475400,8.755309063
0.04347755500,43633,Angola,0.38051217700,8.751922158
0.04374999800,40191,Mongolia,0.38184255400,8.727830205
0.04999999800,64427,Russian Federation,0.43585129500,8.717026249
0.04473376300,45214,Australia,0.38976981000,8.713101332
0.04473376300,51815,Australia,0.38975513800,8.712773348
0.04374999800,70239,Russian Federation,0.38065444300,8.700673381
0.04374999800,63946,Russian Federation,0.37978034700,8.680694043
0.04374999800,44656,Mongolia,0.37973881600,8.679744763
0.04611570200,51576,Namibia,0.40026872400,8.679662385
0.04374999800,74989,Russian Federation,0.37950191800,8.674329951
0.04369737900,53487,Botswana,0.37843996800,8.660472931
0.04999999800,52019,Russian Federation,0.43091714400,8.618343225
0.04374999800,61726,Mongolia,0.37640277100,8.603492302
0.04401387400,39367,Namibia,0.37848803500,8.599289283
0.04473376300,39379,Australia,0.38430414300,8.59091919
0.05729166700,66170,Kazakhstan,0.49178305300,8.583849602
