"","mean_cassa","Fishnet_ID","COUNTRY","Cassava_Pr","Cassava_Error_Ratio"
"1",0.084123429,54864,"Congo",0.489473654,5.818517621
"2",0.133583339,69290,"China",0.772411036,5.782240823
"3",0.116988659,53633,"Mexico",0.670203448,5.728789899
"4",0.161919199,52664,"China",0.913338361,5.640704541
"5",0.080151515,54241,"Mali",0.443881282,5.538027347
"6",0.080151515,58779,"Mali",0.443385404,5.53184059
"7",0.082775732,52262,"Congo DRC",0.455021836,5.49704394
"8",0.150428233,43545,"Brazil",0.821197188,5.459062914
"9",0.078216509,55525,"India",0.425315179,5.437665071
"10",0.073333333,50961,"Sudan",0.395980588,5.399735315
"11",0.113583763,43167,"Brazil",0.606923335,5.34339873
"12",0.139734145,54665,"Brazil",0.743821161,5.323116701
"13",0.097770637,55017,"India",0.514708109,5.264444672
"14",0.133583339,57531,"China",0.666373345,4.988446538
"15",0.093183872,44512,"Peru",0.456870266,4.902889912
"16",0.114444441,56233,"Kenya",0.55689708,4.866091137
"17",0.133583339,24749,"China",0.646971792,4.843207221
"18",0.08,54987,"Sudan",0.386353614,4.829420175
"19",0.133583339,42283,"China",0.644115538,4.821825407
"20",0.090300798,41424,"Congo DRC",0.430383078,4.766104924
"21",0.170326663,41898,"Myanmar",0.810404614,4.757943353
"22",0.097770637,53520,"India",0.463119275,4.736793062
"23",0.085555555,48407,"Sudan",0.395536842,4.623157924
"24",0.162089908,65493,"India",0.738385519,4.555407108
"25",0.120475914,45063,"Brazil",0.547724212,4.546337885
"26",0.106932315,43948,"Peru",0.467445751,4.371417106
"27",0.20527186,47733,"Brazil",0.897122615,4.370412072
"28",0.13380606,53176,"Myanmar",0.58417042,4.365799426
"29",0.148425932,43382,"China",0.63534295,4.280538727
"30",0.106993263,56346,"Gabon",0.456656876,4.268090001
"31",0.122222222,60953,"Eritrea",0.521263055,4.264879549
"32",0.235241552,46856,"Brazil",1.000378158,4.25255721
"33",0.098077158,51273,"Gabon",0.406604956,4.145766092
"34",0.093333333,45718,"Sudan",0.385914942,4.134802965
