"","mean_cassa","Fishnet_ID","COUNTRY","Cassava_Pr","Cassava_Error_Ratio"
"35",0.138037072,58197,"Niger",0.569073473,4.12261333
"36",0.166979174,40657,"China",0.686057714,4.108642399
"37",0.139126854,60182,"Senegal",0.570878731,4.103296485
"38",0.196513587,38699,"Brazil",0.804327357,4.092985983
"39",0.149813091,49913,"China",0.611809826,4.083820859
"40",0.12390956,47561,"Brazil",0.505227696,4.077390768
"41",0.167996706,49246,"Peru",0.683573331,4.068968656
"42",0.145727279,59591,"China",0.591650232,4.059982702
"43",0.148425932,63429,"China",0.587613093,3.958965156
"44",0.097777777,56508,"Sudan",0.386635236,3.954224036
"45",0.097777777,62378,"Sudan",0.385551864,3.943144095
"46",0.148425932,71632,"China",0.57914051,3.901882253
"47",0.114444441,39378,"Ethiopia",0.445430283,3.892109386
"48",0.139105893,42846,"Brazil",0.534503479,3.842421536
"49",0.133583339,66790,"China",0.512400498,3.835811426
"50",0.166979174,45279,"China",0.636894694,3.814216341
"51",0.151232841,39151,"Brazil",0.576059533,3.809090203
"52",0.148425932,26976,"China",0.564184948,3.801121141
"53",0.131997956,62140,"Niger",0.50073197,3.793482757
"54",0.124869876,45018,"Congo DRC",0.472757795,3.786003559
"55",0.241430122,15457,"Kenya",0.899705378,3.726566389
"56",0.182132114,21808,"Brazil",0.67496922,3.705931948
"57",0.127661402,48117,"Mali",0.469480134,3.677541737
"58",0.123669207,51838,"Congo DRC",0.451354458,3.649691536
"59",0.106666666,57114,"Sudan",0.38516868,3.610956398
"60",0.109999999,10071,"Sudan",0.393971791,3.581561769
"61",0.323838398,54559,"China",1.15594664,3.569516917
"62",0.13135597,54355,"India",0.468566734,3.567152174
"63",0.161919199,9138,"China",0.577139577,3.564367787
"64",0.180560643,34241,"Cameroon",0.623264686,3.451830231
"65",0.171666662,57475,"Kenya",0.591993235,3.448504375
"66",0.152873285,44567,"Colombia",0.521960993,3.414337521
"67",0.333958348,57783,"China",1.133715378,3.394780771
"68",0.170700643,57657,"Brazil",0.575040385,3.368706613
"69",0.133333333,52209,"Eritrea",0.446120056,3.345900428
"70",0.160617497,44396,"Guatemala",0.531752691,3.310677236
"71",0.202598225,48059,"Brazil",0.660575766,3.260520994
"72",0.182159099,57267,"China",0.584610234,3.209338634
"73",0.133602041,55353,"Congo DRC",0.424065363,3.174093448
"74",0.208693047,54433,"Brazil",0.659920018,3.162156227
"75",0.130769544,54260,"Gabon",0.413162628,3.159471352
"76",0.133333333,62271,"Sudan",0.418421616,3.138162128
"77",0.172522224,54256,"Peru",0.529782211,3.070805597
"78",0.176902554,54348,"Colombia",0.522267177,2.952287376
"79",0.234957322,50599,"Brazil",0.690550651,2.939047164
"80",0.197418365,41679,"Mexico",0.579052329,2.933122909
"81",0.177764794,63159,"India",0.518149914,2.914806145
"82",0.133333333,52611,"Sudan",0.388474907,2.91356181
"83",0.133333333,60481,"Sudan",0.388445368,2.913340267
"84",0.168736849,73454,"Kazakhstan",0.488255705,2.893592644
"85",0.158888888,50868,"Ethiopia",0.45466125,2.861504387
"86",0.197956714,48710,"Brazil",0.557640545,2.816982227
"87",0.178381244,10814,"Brazil",0.498429475,2.794180957
"88",0.147115737,30535,"Gabon",0.410226667,2.788462168
"89",0.207257609,58052,"Central African Republic",0.575636888,2.777398093
"90",0.202487389,48278,"Cameroon",0.557897989,2.755223383
"91",0.162951061,53084,"India",0.448221471,2.750650829
"92",0.180639227,53734,"Brazil",0.49405352,2.735028976
"93",0.203453948,50080,"Ecuador",0.549109208,2.698936115
"94",0.146666666,62311,"Sudan",0.393739303,2.684586169
"95",0.267166678,52841,"China",0.706123714,2.643008175
"96",0.338170973,59236,"Kenya",0.887331754,2.623914602
"97",0.271854574,26400,"Brazil",0.710306793,2.612818988
"98",0.22515151,51277,"Angola",0.586594317,2.605331481
"99",0.267166678,30088,"China",0.696005667,2.60513651
"100",0.195909088,42897,"Botswana",0.50826546,2.594394498
"101",0.333958348,68190,"China",0.854130335,2.557595401
"102",0.204332525,49406,"Congo DRC",0.516761158,2.529020566
"103",0.186810421,48415,"Congo DRC",0.46593084,2.494137305
"104",0.216040611,12570,"Argentina",0.536082532,2.481397037
"105",0.260543358,3560,"Bangladesh",0.640238385,2.457319925
"106",0.296851865,56671,"China",0.723138228,2.436023867
"107",0.173333332,61686,"Sudan",0.420036476,2.42328738
"108",0.205080282,53112,"Mauritania",0.496906191,2.422983751
"109",0.333958348,71649,"China",0.804858066,2.410055238
"110",0.183702807,47997,"Congo DRC",0.442342661,2.407925433
"111",0.179246167,51612,"India",0.419579103,2.340798188
"112",0.28779114,58292,"Brazil",0.668803359,2.323919211
"113",0.268358741,57358,"Brazil",0.623274394,2.322541802
"114",0.212530245,38850,"Mozambique",0.486824325,2.290611979
"115",0.395802486,67891,"China",0.902377914,2.279869243
"116",0.227031509,47387,"Congo",0.512981458,2.259516577
"117",0.296851865,59577,"China",0.66531781,2.241245175
"118",0.198813813,52167,"Gabon",0.44533965,2.239983446
"119",0.241790425,43544,"Myanmar",0.537926593,2.224763834
"120",0.204332525,58032,"Congo DRC",0.449133536,2.198052102
"121",0.200403062,60113,"Congo DRC",0.437491521,2.183058066
"122",0.195541273,42837,"India",0.426007873,2.178608467
"123",0.205488248,45258,"Congo DRC",0.447401044,2.177258546
"124",0.215916665,54930,"India",0.467300902,2.164265097
"125",0.218141814,57708,"Peru",0.469691104,2.153145678
"126",0.267166678,41557,"China",0.569169689,2.130391759
"127",0.265260971,54551,"Central African Republic",0.562778084,2.121601538
"128",0.416363654,63222,"China",0.882697994,2.120016926
"129",0.339631612,55582,"Brazil",0.71595306,2.10802833
"130",0.186666666,63197,"Sudan",0.392882146,2.10472579
"131",0.233636644,42298,"Congo DRC",0.490574059,2.099730807
"132",0.322965677,53472,"Mali",0.675824181,2.092557287
"133",0.228131486,47183,"India",0.477135209,2.091492136
"134",0.2383762,6783,"Colombia",0.495077705,2.076875565
"135",0.23948383,56813,"Brazil",0.49322142,2.059518674
"136",0.335781826,55566,"Peru",0.69006577,2.055101606
"137",0.243241012,45105,"Colombia",0.498226441,2.048283046
"138",0.333958348,68001,"China",0.681724576,2.041346114
"139",0.299626181,48024,"China",0.611395247,2.040526782
"140",0.195555554,44824,"Sudan",0.395714312,2.023539112
"141",0.296851865,55399,"China",0.596329626,2.008845813
"142",0.297210946,56589,"Congo DRC",0.595796691,2.004625667
"143",0.244937076,44418,"Congo DRC",0.485662302,1.982804359
"144",0.249739753,38121,"Congo DRC",0.483067219,1.934282441
"145",0.525701228,55026,"Brazil",1.000108062,1.902426718
"146",0.345155297,44598,"Brazil",0.651074766,1.886324132
"147",0.267829462,44592,"Argentina",0.501743846,1.873370623
"148",0.308636373,59116,"Guatemala",0.576849288,1.869025619
"149",0.30609081,33913,"Mozambique",0.570818937,1.864867936
"150",0.547117922,42415,"Brazil",1.018759538,1.862047462
"151",0.374609629,11765,"Congo DRC",0.697467925,1.861852635
"152",0.213333332,62211,"Sudan",0.391875879,1.836918194
"153",0.257379112,60420,"India",0.46808175,1.818647
"154",0.296650055,42855,"Brazil",0.538143828,1.814069537
"155",0.403079282,57728,"Brazil",0.720691712,1.787965158
"156",0.271987964,51669,"Congo DRC",0.485947274,1.78664992
"157",0.476081397,44748,"Brazil",0.833123273,1.74995973
"158",0.298577251,49128,"Brazil",0.521436374,1.74640356
"159",0.408833123,45941,"Brazil",0.712268107,1.742197652
"160",0.653448734,6323,"Brazil",1.128418812,1.726866628
"161",0.667916695,39659,"China",1.149029999,1.720319327
"162",0.667916695,65955,"China",1.147233491,1.717629608
"163",0.529054295,53406,"Guyana",0.906729618,1.71386874
"164",0.368429744,42758,"Angola",0.627641787,1.703558948
"165",0.485757597,57412,"China",0.826228686,1.700907389
"166",0.445277797,69458,"China",0.754356732,1.694126087
"167",0.257379112,36198,"India",0.431960491,1.67830438
"168",0.249739753,57694,"Congo DRC",0.416355589,1.667157847
"169",0.314939953,55718,"Burkina Faso",0.522055888,1.657636267
"170",0.301669673,49934,"Peru",0.499895914,1.657097013
"171",0.291145126,54607,"Congo",0.481373345,1.65337937
"172",0.34513041,56996,"Brazil",0.568370362,1.646827824
"173",0.260721698,47032,"India",0.425012498,1.630138578
"174",0.338526386,44741,"Mozambique",0.548370792,1.619876071
"175",0.296418018,56156,"Congo",0.479592845,1.617961176
"176",0.455427896,1797,"Mozambique",0.736154891,1.616402723
"177",0.627310806,17568,"Brazil",1.002907206,1.598740523
"178",0.306171344,42447,"Congo DRC",0.488830388,1.596590921
"179",0.339997222,55469,"Guatemala",0.542382878,1.595256793
"180",0.295972765,47302,"Gabon",0.471491136,1.593022034
"181",0.350909103,54454,"Mozambique",0.556509858,1.585908867
"182",0.422280095,57790,"Cameroon",0.668060653,1.58203207
"183",0.3358994,54539,"Brazil",0.524156434,1.560456595
"184",0.316118648,47768,"Brazil",0.492809051,1.558936982
"185",0.674947397,46539,"China",1.038255104,1.538275588
"186",0.306171344,43675,"Congo DRC",0.470659595,1.537242476
"187",0.350965977,62630,"Mexico",0.538879196,1.535417195
"188",0.289715062,41678,"Congo DRC",0.440155916,1.519271773
"189",0.325902122,50222,"India",0.494344363,1.516849169
"190",0.381666683,42436,"China",0.576075409,1.509367819
"191",0.393319329,59973,"Chad",0.588217914,1.49552252
"192",0.454545455,45038,"Argentina",0.674712505,1.48436751
"193",0.32159144,54751,"Peru",0.475086159,1.477297278
"194",0.372790714,63569,"Nepal",0.549665404,1.474461094
"195",0.540601823,45372,"Peru",0.796075351,1.47257245
"196",0.387761889,47472,"Mozambique",0.570344184,1.470861888
"197",0.334179401,46664,"Congo DRC",0.490144246,1.46670993
"198",0.335489873,46916,"Mali",0.490197788,1.461140343
"199",0.608994961,57225,"India",0.889495402,1.460595668
"200",0.480883393,45613,"Mozambique",0.693585263,1.442314859
"201",0.289715062,56380,"Congo DRC",0.417279585,1.44031029
"202",0.428686662,46361,"India",0.615278477,1.435263869
"203",0.499734945,19282,"Peru",0.712054753,1.424864841
"204",0.319999998,50511,"Sudan",0.453832245,1.418225774
"205",0.500937521,50769,"China",0.707307688,1.411967877
"206",0.667916695,65989,"China",0.937884996,1.40419457
"207",0.353397386,43389,"Peru",0.486413017,1.3763911
"208",0.506210548,56883,"China",0.694308727,1.371580916
"209",0.40866505,53187,"Congo DRC",0.557028787,1.363044838
"210",0.32097979,44318,"Gabon",0.435533197,1.356886666
"211",0.530696154,36017,"Brazil",0.716714076,1.350516808
"212",0.396614449,50798,"Mozambique",0.534005509,1.346409619
"213",0.502484918,12142,"Bolivia",0.671320895,1.336002079
"214",0.371495377,58393,"Colombia",0.492532844,1.325811503
"215",0.834895869,65717,"China",1.104923181,1.323426336
"216",0.485757597,56224,"China",0.642368596,1.322405661
"217",0.445277797,58240,"China",0.588579415,1.321825204
"218",0.485757597,65795,"China",0.637908924,1.313224802
"219",0.5,21598,"Argentina",0.656482983,1.312965966
"220",0.359999998,54873,"Sudan",0.472093386,1.311370524
"221",0.367405613,53862,"Congo DRC",0.480836696,1.308735302
"222",0.77934883,47972,"Brazil",1.018508354,1.30687096
"223",0.400750017,60282,"China",0.52327876,1.305748566
"224",0.806158586,57485,"Brazil",1.051276994,1.304057306
"225",0.298571427,54378,"Sudan",0.388873752,1.30244798
"226",0.532338354,7400,"Brazil",0.690065784,1.296291689
"227",0.385911097,47914,"Brazil",0.49771671,1.289718575
"228",0.354444443,37616,"Ethiopia",0.456231469,1.287173429
"229",0.559605598,26733,"Mozambique",0.718454033,1.283857838
"230",0.400750017,61619,"China",0.514290537,1.283320063
"231",0.6008861,51907,"Brazil",0.767706321,1.277623698
"232",0.367405613,50396,"Congo DRC",0.468500424,1.275158592
"233",0.728636395,51667,"India",0.928281267,1.273997941
"234",0.570981569,42854,"Brazil",0.721484944,1.263587098
"235",0.462262396,46552,"Mozambique",0.574702427,1.243238542
"236",0.534333356,63145,"China",0.656509506,1.22865155
"237",0.403797958,43489,"Congo",0.494633371,1.224952631
"238",0.898878543,59729,"China",1.098112412,1.221647152
"239",0.665653746,28643,"Peru",0.811952237,1.219781669
"240",0.913391319,53092,"Brazil",1.107959962,1.213017837
"241",0.497168422,51012,"Brazil",0.601302297,1.20945392
"242",0.401851134,46923,"Myanmar",0.483652173,1.203560553
"243",0.525495942,25822,"Brazil",0.631465721,1.201656703
"244",0.485757597,70096,"China",0.580947464,1.195961664
"245",0.597154502,39451,"Brazil",0.714143142,1.19591017
"246",0.440774647,45821,"Brazil",0.526067021,1.193505626
"247",0.396730963,59558,"Gabon",0.469361518,1.183072565
"248",0.412258293,54111,"Myanmar",0.486000521,1.17887385
"249",0.410976497,52349,"Congo DRC",0.47410029,1.153594654
"250",0.928303797,43021,"Brazil",1.055904939,1.137456232
"251",0.415555553,56582,"Ethiopia",0.4723103,1.136575595
"252",0.437044568,57388,"Congo DRC",0.495230689,1.13313544
"253",0.933053898,49772,"Brazil",1.055649557,1.13139183
"254",0.667916695,64595,"China",0.746642246,1.11786732
"255",0.437044568,53901,"Congo DRC",0.487907893,1.116380179
"256",0.445277797,48990,"Kazakhstan",0.496839778,1.115797332
"257",0.448958327,4845,"Botswana",0.499743849,1.113118566
"258",1.038981526,70012,"China",1.147874107,1.104807043
"259",0.534333356,65686,"China",0.588182464,1.100778114
"260",0.506590897,5558,"Angola",0.557637077,1.100764108
"261",0.542084949,50290,"Peru",0.595878166,1.099233925
"262",0.593703729,66371,"China",0.651258071,1.096941183
"263",0.534333356,42027,"China",0.5853585,1.095493091
"264",0.534333356,39487,"China",0.585113932,1.095035385
"265",0.465798855,44410,"Botswana",0.509238471,1.093258314
"266",0.405167296,53586,"Sudan",0.441583363,1.089879088
"267",0.667916695,44416,"Nepal",0.72764565,1.089425755
"268",0.699666556,44568,"Peru",0.760946919,1.087585097
"269",0.451598068,35562,"Brazil",0.48842753,1.081553631
"270",0.476775892,36934,"Congo DRC",0.513730694,1.077509796
"271",0.497784429,2288,"Congo DRC",0.536029025,1.076829635
"272",0.788944989,48662,"India",0.84936063,1.076577761
"273",0.428639882,51268,"Congo DRC",0.460205769,1.073641974
"274",0.480615698,43133,"Central African Republic",0.51490845,1.07135171
"275",0.40866505,57593,"Congo DRC",0.437216298,1.069864668
"276",0.497287909,55321,"Liberia",0.531056378,1.067905269
"277",0.511764161,34003,"Gabon",0.544757122,1.064469073
"278",0.647676795,28568,"China",0.688698938,1.063337367
"279",0.427973054,52644,"Congo",0.454195429,1.061271089
"280",0.363636362,53443,"Sudan",0.384197152,1.056542173
"281",0.507689937,57169,"Central African Republic",0.534983412,1.053760126
"282",0.5204705,39742,"Kenya",0.543383688,1.04402399
"283",0.711107799,53320,"Mozambique",0.738782401,1.03891759
"284",0.709996281,52418,"Brazil",0.733649931,1.033315175
"285",0.569355713,45691,"Brazil",0.583870473,1.025493307
"286",0.681502581,45906,"Brazil",0.696120335,1.021449301
"287",0.593401819,55887,"Malawi",0.604004549,1.017867707
"288",0.468091806,45628,"Mali",0.475426346,1.01566902
"289",0.836016272,48313,"Brazil",0.845254744,1.011050589
"290",0.977735843,59982,"India",0.988209284,1.010711933
"291",0.492652438,44311,"Brazil",0.495150801,1.005071249
"292",0.647676795,59275,"China",0.650749273,1.004743844
"293",0.501977624,55478,"Central African Republic",0.504135142,1.004298036
"294",0.568330631,51297,"Mozambique",0.569457918,1.001983506
"295",0.657833119,53624,"Congo",0.658427634,1.000903747
"296",0.597029383,48650,"Uganda",0.597457639,1.000717311
"297",0.814776253,46112,"India",0.815091555,1.00038698
"298",0.489874151,54365,"Congo DRC",0.490044655,1.000348057
"299",0.574252259,55407,"Myanmar",0.571983111,0.996048517
"300",0.429840551,58655,"Congo DRC",0.427540215,0.994648397
"301",0.982692361,28009,"Brazil",0.970369635,0.98746024
"302",0.537538548,58119,"Brazil",0.529946387,0.985876062
"303",0.468091806,53947,"Mali",0.460404306,0.98357694
"304",0.591182947,30978,"Brazil",0.579085956,0.979537652
"305",0.650952549,53158,"Congo",0.63615162,0.977262661
"306",1.165640448,56555,"Mali",1.126622328,0.966526453
"307",0.778390888,54571,"Brazil",0.749703713,0.963145541
"308",0.742129661,69222,"China",0.714544426,0.962829629
"309",0.639411758,54122,"Peru",0.612782667,0.958353767
"310",0.638236735,45828,"Argentina",0.610846846,0.957085063
"311",1.038981526,58680,"China",0.990155944,0.953006304
"312",0.828960574,42906,"Malawi",0.789005105,0.95180052
"313",0.628734636,48826,"Botswana",0.597285544,0.949980341
"314",1.133434392,59512,"China",1.060125098,0.935321096
"315",0.535978158,49955,"Myanmar",0.499870351,0.932631943
"316",0.666261309,53321,"Kenya",0.620296769,0.931011242
"317",0.573255863,44572,"Brazil",0.533101754,0.929954299
"318",0.496654391,58778,"Congo DRC",0.461622094,0.92946343
"319",0.650077285,43383,"Brazil",0.595876496,0.916624084
"320",0.646096466,47557,"Mexico",0.590954044,0.914652958
"321",0.781697088,43975,"Bolivia",0.71457792,0.914136602
"322",0.809595994,50624,"China",0.736650703,0.909899145
"323",1.145000049,49337,"China",1.037245816,0.905891504
"324",0.728636395,57913,"China",0.659776046,0.905494223
"325",0.624349382,51697,"Congo DRC",0.565078627,0.905067969
"326",0.53333333,56478,"Ethiopia",0.480283341,0.90053127
"327",0.493333331,52251,"Sudan",0.443943204,0.899884877
"328",0.538042257,50629,"Congo DRC",0.482144186,0.8961084
"329",0.582066543,41666,"Mexico",0.515003506,0.884784587
"330",0.815410925,41113,"Peru",0.714529297,0.876281241
"331",0.593703729,69848,"Kazakhstan",0.518175739,0.87278505
"332",0.589978993,56391,"Chad",0.514748641,0.872486389
"333",0.700294802,48021,"Brazil",0.610087837,0.871187156
"334",0.81711881,40045,"Brazil",0.708286721,0.866809958
"335",0.71447777,51677,"India",0.618406989,0.865537061
"336",0.674947397,62994,"China",0.583190131,0.864052715
"337",0.687929782,47794,"Colombia",0.589949388,0.8575721
"338",0.601209185,55240,"Congo DRC",0.514564144,0.85588204
"339",0.702600469,48314,"Mexico",0.599029233,0.852588718
"340",0.612561968,54651,"Colombia",0.518901241,0.847099997
"341",0.603454858,42879,"Ecuador",0.511163299,0.84706137
"342",0.656759799,52363,"Congo",0.552159658,0.840733033
"343",0.58695519,56619,"Congo DRC",0.492683257,0.839388194
"344",0.834895869,66825,"China",0.699608003,0.837958396
"345",0.582990725,49731,"Congo DRC",0.488424796,0.837791709
"346",0.742129661,39588,"China",0.621703201,0.837728545
"347",0.591182925,55783,"Brazil",0.49356925,0.834884144
"348",0.646729343,44007,"Argentina",0.538876418,0.83323329
"349",0.567272724,61307,"Sudan",0.471517853,0.831201348
"350",1.052720785,4804,"Guyana",0.863098085,0.8198737
"351",0.600078056,48380,"Brazil",0.488646602,0.814305068
"352",0.906266552,45746,"Mozambique",0.737965997,0.814292435
"353",0.834895869,73621,"China",0.677902348,0.811960357
"354",0.694608869,55707,"Mozambique",0.562613502,0.809971665
"355",0.608367175,43363,"Peru",0.491904041,0.808564402
"356",0.642500771,50036,"Congo DRC",0.517815971,0.805938287
"357",0.58662382,63139,"India",0.472202965,0.804950206
"358",0.681968727,51424,"Guatemala",0.548907943,0.804887264
"359",0.901759283,53611,"Brazil",0.724178407,0.803072861
"360",0.773053779,58303,"Brazil",0.619755523,0.801697812
"361",0.555770563,52137,"Gabon",0.445485463,0.801563618
"362",0.814245015,51741,"Brazil",0.652088587,0.800850573
"363",0.676877942,42157,"Congo",0.53665805,0.792843165
"364",0.676255746,54429,"Mozambique",0.535862989,0.792396948
"365",0.711566776,55224,"Sudan",0.563723244,0.792228169
"366",0.817857178,45684,"Kazakhstan",0.646457266,0.790428064
"367",0.812876523,12149,"Brazil",0.642352188,0.79022111
"368",0.742129661,56467,"China",0.582301215,0.784635416
"369",0.890555594,71210,"China",0.698232142,0.784041049
"370",0.754747169,48729,"Mozambique",0.589997781,0.781715792
"371",1.039930387,53485,"Peru",0.80378705,0.7729239
"372",0.98598916,47828,"Brazil",0.756160645,0.766905637
"373",1.306275469,56787,"Brazil",1.001416386,0.766619606
"374",0.935083373,66833,"China",0.715731225,0.765419689
"375",1.001875043,71955,"China",0.765281858,0.763849607
"376",0.65129693,48598,"Peru",0.494255386,0.758878728
"377",0.759413307,927,"Brazil",0.574659136,0.756714599
"378",0.902883139,56332,"Zambia",0.680035085,0.75318173
"379",0.643626226,33016,"Mali",0.483122073,0.750625213
"380",0.956893917,45290,"Angola",0.718231904,0.750586759
"381",1.187407458,52039,"China",0.888373542,0.74816234
"382",0.684960828,42159,"Congo DRC",0.512106788,0.747643905
"383",1.335833391,27114,"China",0.994038343,0.744133475
"384",0.890555594,51905,"China",0.661194546,0.742451735
"385",0.789568457,58784,"Chad",0.585449276,0.741480072
"386",0.971515193,48971,"China",0.719566554,0.740664232
"387",1.108468056,23973,"Peru",0.820083178,0.739834742
"388",0.710250272,47948,"Peru",0.522814778,0.73609937
"389",0.703123023,54995,"Peru",0.516832002,0.735052025
"390",0.655061404,48664,"Sudan",0.478956676,0.731163022
"391",0.68678432,57830,"Congo DRC",0.500675794,0.729014597
"392",0.845777529,48949,"Argentina",0.615665078,0.727927921
"393",0.833333333,46957,"Argentina",0.606190548,0.727428658
"394",0.734606802,56800,"Liberia",0.532015097,0.724217494
"395",0.988181808,35351,"Peru",0.713892935,0.72243076
"396",0.890195582,55884,"Brazil",0.640741253,0.719775818
"397",0.720007545,58337,"Congo",0.517642461,0.718940329
"398",0.693848975,54188,"Bolivia",0.497884104,0.717568407
"399",0.716465235,52256,"Congo",0.513707186,0.717002251
"400",0.890555594,66007,"China",0.632332611,0.710042826
"401",1.14913206,44586,"Guinea",0.80975619,0.704667652
"402",0.890555594,47777,"China",0.626992352,0.704046279
"403",0.759602698,6036,"India",0.53416786,0.703220067
"404",0.681108417,56273,"Congo DRC",0.478715596,0.702847864
"405",0.972777751,47377,"Kenya",0.682646629,0.701749838
"406",0.825393438,32308,"Brazil",0.578724222,0.701149531
"407",1.202250051,54964,"China",0.837795226,0.696856054
"408",0.890555594,62699,"China",0.619339562,0.695453003
"409",1.013134284,54631,"Brazil",0.703452851,0.694333281
"410",0.75533197,55545,"Brazil",0.524085434,0.693847811
"411",1.214197997,25910,"Senegal",0.841736341,0.693244712
"412",0.831387802,11870,"Congo",0.574756779,0.691322121
"413",1.035176248,55319,"Peru",0.714563356,0.690281831
"414",0.734811227,59994,"Congo DRC",0.507132745,0.690153779
"415",0.890189807,7234,"Bangladesh",0.614334185,0.690115951
"416",1.155133181,53913,"Brazil",0.793181486,0.68665804
"417",0.749219259,59180,"Congo DRC",0.514160276,0.686261425
"418",0.936524073,55218,"Congo DRC",0.640811663,0.684244732
"419",0.883703755,28799,"Zambia",0.602770835,0.682096044
"420",1.075684929,47103,"Madagascar",0.731069724,0.679631837
"421",0.968797088,810,"Equatorial Guinea",0.650762947,0.67172265
"422",0.921799298,50321,"Gambia",0.61880301,0.671299068
"423",0.885440942,59344,"Congo DRC",0.592080188,0.668683997
"424",0.703813986,54982,"Peru",0.469682878,0.667339506
"425",0.721111107,42659,"Ethiopia",0.480536173,0.666382986
"426",0.85547958,18973,"Mexico",0.567855604,0.663786275
"427",0.882668975,44103,"Brazil",0.584745634,0.662474439
"428",1.461774306,29447,"Bolivia",0.966174983,0.660960436
"429",0.858583778,48830,"Brazil",0.567238616,0.660667754
"430",0.761939887,46567,"Congo DRC",0.502882672,0.66000308
"431",1.01185337,44082,"Brazil",0.666371477,0.658565259
"432",1.136832884,48299,"Brazil",0.745555321,0.65581787
"433",0.762372898,59367,"Gabon",0.496816915,0.651671795
"434",1.823933681,48630,"Brazil",1.188429218,0.651574797
"435",0.791987737,56830,"Niger",0.514854032,0.650078288
"436",1.268953323,40309,"Brazil",0.822117484,0.647870547
"437",0.796045495,26437,"Congo",0.514228441,0.645978709
"438",1.000364855,55991,"Gambia",0.646141559,0.645905897
"439",1.191367315,49223,"Peru",0.7683801,0.644956505
"440",1.202250051,62549,"China",0.773293883,0.643205531
"441",1.206548851,62798,"India",0.776058326,0.64320506
"442",0.722168865,57592,"Gabon",0.46135266,0.638843188
"443",1.10272042,2351,"Brazil",0.701640648,0.636281541
"444",0.894412062,57896,"Brazil",0.568517499,0.635632639
"445",0.703082725,44202,"Congo DRC",0.446693954,0.635336267
"446",0.927355412,66827,"China",0.589131063,0.635280773
"447",0.895275275,48037,"Argentina",0.566141879,0.632366262
"448",0.905717216,58061,"Central African Republic",0.572141021,0.631699399
"449",0.831164421,57709,"Brazil",0.522510887,0.628649247
"450",1.332204727,45323,"Cameroon",0.836778695,0.628115693
"451",1.145584017,40170,"Madagascar",0.719276593,0.627868914
"452",0.858333309,60369,"Kenya",0.538639677,0.627541389
"453",0.807416525,49657,"Congo DRC",0.505086653,0.625558974
"454",1.109425955,46551,"Brazil",0.692071384,0.623810342
"455",0.84272233,59688,"Mali",0.52305686,0.620675211
"456",1.782879291,36048,"Brazil",1.105181622,0.619885837
"457",1.151267658,38902,"Bhutan",0.711965337,0.618418603
"458",0.847345518,65309,"India",0.52295177,0.617164733
"459",1.736583408,58659,"China",1.071329198,0.61691779
"460",1.022855761,40903,"Zambia",0.628827941,0.614776751
"461",0.799999996,47715,"Ethiopia",0.491655657,0.614569574
"462",0.813951807,56871,"Peru",0.499542566,0.613724992
"463",0.940895033,60891,"Central African Republic",0.574845435,0.610955967
"464",1.091620109,49377,"India",0.666738729,0.610779083
"465",0.852836122,50392,"Brazil",0.52001627,0.609749349
"466",0.888738098,45061,"Central African Republic",0.541693792,0.609508913
"467",0.836446199,48806,"Congo DRC",0.509764914,0.609441366
"468",0.811515129,52458,"Ethiopia",0.494304655,0.609113296
"469",0.939802988,50674,"Brazil",0.568996315,0.605442122
