mean_groun,Fishnet_ID,COUNTRY,Groundnut_,Groundnut_Error_Ratio
0.21778385200,24,Congo DRC,0.40296783000,1.850310876
0.61812499800,59,Sudan,0.44854441900,0.725653259
1.27241443500,119,India,0.52782171900,0.414819028
0.51271695400,161,Tanzania,0.44446525300,0.866882301
0.17492308000,275,Peru,0.44083609400,2.520171117
0.05787724300,304,Brazil,0.42056064200,7.26642494
0.77996224700,356,Tanzania,0.43908127600,0.56295196
1.13601498400,363,India,0.52161234400,0.459159739
0.78058237900,376,Brazil,0.45957709500,0.588761811
0.83910888400,393,Paraguay,0.48402573800,0.576833051
2.94282869500,464,China,0.64652703900,0.219695778
0.35671544500,566,Bolivia,0.45705935600,1.281299597
0.75999999000,576,Ecuador,0.46941863200,0.617656103
0.02358528400,599,Angola,0.39223160100,16.6303531
0.33670885700,644,Angola,0.40301295900,1.1969182
0.21326553000,665,Australia,0.43616190300,2.045158929
0.65471362600,675,Sierra Leone,0.44519259900,0.679980653
0.12720464900,718,Nigeria,0.46641095100,3.666618749
1.90444027400,758,United States,0.56699256000,0.297721366
0.22887818700,787,Brazil,0.41595297700,1.81735526
0.47929592600,828,Brazil,0.42761402600,0.892171209
1.48918523300,842,China,0.47170873100,0.316756251
1.43949153500,889,Colombia,0.46892475500,0.325757216
0.19643939200,927,Brazil,0.41815047900,2.128648815
1.60917537500,956,China,0.57776431700,0.359043723
2.91833327900,1015,Spain,0.66323296500,0.227264298
0.51111110000,1105,Tanzania,0.43700124300,0.855002451
2.53663383800,1206,Mexico,0.59895448600,0.236121776
3.28804344500,1215,Indonesia,0.62516108400,0.190131637
0.87156781000,1256,Pakistan,0.49113886700,0.563511939
1.34491782800,1415,Australia,0.50228539000,0.373469204
1.84685947200,1477,Indonesia,0.58692093100,0.317794039
2.11524428300,1520,China,0.58814167500,0.278049055
3.25145871800,1529,China,0.59011126300,0.181491236
1.45530307100,1566,Peru,0.45936691200,0.315650342
1.35278165300,1581,South Africa,0.51078595300,0.377581964
0.92076581600,1593,Mexico,0.52451581500,0.569651703
1.90999996700,1624,Indonesia,0.58363271600,0.305566872
1.04439393500,1629,Bolivia,0.50114151100,0.479839545
0.20424057900,1630,Mozambique,0.40323455200,1.974311638
1.90999996700,1650,Indonesia,0.56273151900,0.294623837
1.38999998600,1759,Kazakhstan,0.50531860000,0.363538565
1.90999996700,1789,Indonesia,0.58373223200,0.305618975
0.18063940400,1797,Mozambique,0.40324531100,2.232321974
0.30252426800,1979,Angola,0.40335896900,1.333311115
0.04340793200,2000,Brazil,0.41285197600,9.510980067
0.98181842300,2069,United States,0.56857328900,0.579102282
1.22666666200,2177,Belize,0.51700379100,0.421470483
