mean_cassa,Fishnet_ID,COUNTRY,Cassava_Pr,Cassava_Error_Ratio
0.170700643,57657,Brazil,0.575040385,3.368706613
0.133333333,52209,Eritrea,0.446120056,3.345900428
0.160617497,44396,Guatemala,0.531752691,3.310677236
0.202598225,48059,Brazil,0.660575766,3.260520994
0.182159099,57267,China,0.584610234,3.209338634
0.133602041,55353,Congo DRC,0.424065363,3.174093448
0.208693047,54433,Brazil,0.659920018,3.162156227
0.130769544,54260,Gabon,0.413162628,3.159471352
0.133333333,62271,Sudan,0.418421616,3.138162128
0.172522224,54256,Peru,0.529782211,3.070805597
0.176902554,54348,Colombia,0.522267177,2.952287376
0.234957322,50599,Brazil,0.690550651,2.939047164
0.197418365,41679,Mexico,0.579052329,2.933122909
0.177764794,63159,India,0.518149914,2.914806145
0.133333333,52611,Sudan,0.388474907,2.91356181
0.133333333,60481,Sudan,0.388445368,2.913340267
0.168736849,73454,Kazakhstan,0.488255705,2.893592644
0.158888888,50868,Ethiopia,0.45466125,2.861504387
0.197956714,48710,Brazil,0.557640545,2.816982227
0.178381244,10814,Brazil,0.498429475,2.794180957
0.147115737,30535,Gabon,0.410226667,2.788462168
0.207257609,58052,Central African Republic,0.575636888,2.777398093
0.202487389,48278,Cameroon,0.557897989,2.755223383
0.162951061,53084,India,0.448221471,2.750650829
0.180639227,53734,Brazil,0.49405352,2.735028976
0.203453948,50080,Ecuador,0.549109208,2.698936115
0.146666666,62311,Sudan,0.393739303,2.684586169
0.267166678,52841,China,0.706123714,2.643008175
0.338170973,59236,Kenya,0.887331754,2.623914602
0.271854574,26400,Brazil,0.710306793,2.612818988
0.22515151,51277,Angola,0.586594317,2.605331481
0.267166678,30088,China,0.696005667,2.60513651
0.195909088,42897,Botswana,0.50826546,2.594394498
0.333958348,68190,China,0.854130335,2.557595401
0.204332525,49406,Congo DRC,0.516761158,2.529020566
0.186810421,48415,Congo DRC,0.46593084,2.494137305
0.216040611,12570,Argentina,0.536082532,2.481397037
0.260543358,3560,Bangladesh,0.640238385,2.457319925
0.296851865,56671,China,0.723138228,2.436023867
0.173333332,61686,Sudan,0.420036476,2.42328738
0.205080282,53112,Mauritania,0.496906191,2.422983751
0.333958348,71649,China,0.804858066,2.410055238
0.183702807,47997,Congo DRC,0.442342661,2.407925433
0.179246167,51612,India,0.419579103,2.340798188
0.28779114,58292,Brazil,0.668803359,2.323919211
0.268358741,57358,Brazil,0.623274394,2.322541802
0.212530245,38850,Mozambique,0.486824325,2.290611979
0.395802486,67891,China,0.902377914,2.279869243
0.227031509,47387,Congo,0.512981458,2.259516577
0.296851865,59577,China,0.66531781,2.241245175
0.198813813,52167,Gabon,0.44533965,2.239983446
0.241790425,43544,Myanmar,0.537926593,2.224763834
0.204332525,58032,Congo DRC,0.449133536,2.198052102
0.200403062,60113,Congo DRC,0.437491521,2.183058066
0.195541273,42837,India,0.426007873,2.178608467
0.205488248,45258,Congo DRC,0.447401044,2.177258546
0.215916665,54930,India,0.467300902,2.164265097
0.218141814,57708,Peru,0.469691104,2.153145678
0.267166678,41557,China,0.569169689,2.130391759
0.265260971,54551,Central African Republic,0.562778084,2.121601538
0.416363654,63222,China,0.882697994,2.120016926
0.339631612,55582,Brazil,0.71595306,2.10802833
0.186666666,63197,Sudan,0.392882146,2.10472579
0.233636644,42298,Congo DRC,0.490574059,2.099730807
0.322965677,53472,Mali,0.675824181,2.092557287
0.228131486,47183,India,0.477135209,2.091492136
0.2383762,6783,Colombia,0.495077705,2.076875565
0.23948383,56813,Brazil,0.49322142,2.059518674
0.335781826,55566,Peru,0.69006577,2.055101606
0.243241012,45105,Colombia,0.498226441,2.048283046
0.333958348,68001,China,0.681724576,2.041346114
0.299626181,48024,China,0.611395247,2.040526782
0.195555554,44824,Sudan,0.395714312,2.023539112
0.296851865,55399,China,0.596329626,2.008845813
0.297210946,56589,Congo DRC,0.595796691,2.004625667
0.244937076,44418,Congo DRC,0.485662302,1.982804359
0.249739753,38121,Congo DRC,0.483067219,1.934282441
0.525701228,55026,Brazil,1.000108062,1.902426718
0.345155297,44598,Brazil,0.651074766,1.886324132
0.267829462,44592,Argentina,0.501743846,1.873370623
0.308636373,59116,Guatemala,0.576849288,1.869025619
0.30609081,33913,Mozambique,0.570818937,1.864867936
0.547117922,42415,Brazil,1.018759538,1.862047462
0.374609629,11765,Congo DRC,0.697467925,1.861852635
0.213333332,62211,Sudan,0.391875879,1.836918194
0.257379112,60420,India,0.46808175,1.818647
0.296650055,42855,Brazil,0.538143828,1.814069537
0.403079282,57728,Brazil,0.720691712,1.787965158
0.271987964,51669,Congo DRC,0.485947274,1.78664992
0.476081397,44748,Brazil,0.833123273,1.74995973
0.298577251,49128,Brazil,0.521436374,1.74640356
0.408833123,45941,Brazil,0.712268107,1.742197652
0.653448734,6323,Brazil,1.128418812,1.726866628
0.667916695,39659,China,1.149029999,1.720319327
0.667916695,65955,China,1.147233491,1.717629608
0.529054295,53406,Guyana,0.906729618,1.71386874
0.368429744,42758,Angola,0.627641787,1.703558948
0.485757597,57412,China,0.826228686,1.700907389
0.445277797,69458,China,0.754356732,1.694126087
0.257379112,36198,India,0.431960491,1.67830438
0.249739753,57694,Congo DRC,0.416355589,1.667157847
0.314939953,55718,Burkina Faso,0.522055888,1.657636267
0.301669673,49934,Peru,0.499895914,1.657097013
0.291145126,54607,Congo,0.481373345,1.65337937
0.34513041,56996,Brazil,0.568370362,1.646827824
0.260721698,47032,India,0.425012498,1.630138578
0.338526386,44741,Mozambique,0.548370792,1.619876071
0.296418018,56156,Congo,0.479592845,1.617961176
0.455427896,1797,Mozambique,0.736154891,1.616402723
0.627310806,17568,Brazil,1.002907206,1.598740523
0.306171344,42447,Congo DRC,0.488830388,1.596590921
0.339997222,55469,Guatemala,0.542382878,1.595256793
0.295972765,47302,Gabon,0.471491136,1.593022034
0.350909103,54454,Mozambique,0.556509858,1.585908867
0.422280095,57790,Cameroon,0.668060653,1.58203207
0.3358994,54539,Brazil,0.524156434,1.560456595
0.316118648,47768,Brazil,0.492809051,1.558936982
0.674947397,46539,China,1.038255104,1.538275588
0.306171344,43675,Congo DRC,0.470659595,1.537242476
0.350965977,62630,Mexico,0.538879196,1.535417195
0.289715062,41678,Congo DRC,0.440155916,1.519271773
0.325902122,50222,India,0.494344363,1.516849169
0.381666683,42436,China,0.576075409,1.509367819
0.393319329,59973,Chad,0.588217914,1.49552252
0.454545455,45038,Argentina,0.674712505,1.48436751
0.32159144,54751,Peru,0.475086159,1.477297278
0.372790714,63569,Nepal,0.549665404,1.474461094
0.540601823,45372,Peru,0.796075351,1.47257245
0.387761889,47472,Mozambique,0.570344184,1.470861888
0.334179401,46664,Congo DRC,0.490144246,1.46670993
0.335489873,46916,Mali,0.490197788,1.461140343
0.608994961,57225,India,0.889495402,1.460595668
0.480883393,45613,Mozambique,0.693585263,1.442314859
0.289715062,56380,Congo DRC,0.417279585,1.44031029
0.428686662,46361,India,0.615278477,1.435263869
0.499734945,19282,Peru,0.712054753,1.424864841
0.319999998,50511,Sudan,0.453832245,1.418225774
0.500937521,50769,China,0.707307688,1.411967877
0.667916695,65989,China,0.937884996,1.40419457
0.353397386,43389,Peru,0.486413017,1.3763911
0.506210548,56883,China,0.694308727,1.371580916
0.40866505,53187,Congo DRC,0.557028787,1.363044838
0.32097979,44318,Gabon,0.435533197,1.356886666
0.530696154,36017,Brazil,0.716714076,1.350516808
0.396614449,50798,Mozambique,0.534005509,1.346409619
0.502484918,12142,Bolivia,0.671320895,1.336002079
0.371495377,58393,Colombia,0.492532844,1.325811503
0.834895869,65717,China,1.104923181,1.323426336
0.485757597,56224,China,0.642368596,1.322405661
0.445277797,58240,China,0.588579415,1.321825204
0.485757597,65795,China,0.637908924,1.313224802
0.5,21598,Argentina,0.656482983,1.312965966
0.359999998,54873,Sudan,0.472093386,1.311370524
0.367405613,53862,Congo DRC,0.480836696,1.308735302
0.77934883,47972,Brazil,1.018508354,1.30687096
0.400750017,60282,China,0.52327876,1.305748566
0.806158586,57485,Brazil,1.051276994,1.304057306
0.298571427,54378,Sudan,0.388873752,1.30244798
0.532338354,7400,Brazil,0.690065784,1.296291689
0.385911097,47914,Brazil,0.49771671,1.289718575
0.354444443,37616,Ethiopia,0.456231469,1.287173429
0.559605598,26733,Mozambique,0.718454033,1.283857838
0.400750017,61619,China,0.514290537,1.283320063
0.6008861,51907,Brazil,0.767706321,1.277623698
0.367405613,50396,Congo DRC,0.468500424,1.275158592
0.728636395,51667,India,0.928281267,1.273997941
0.570981569,42854,Brazil,0.721484944,1.263587098
0.462262396,46552,Mozambique,0.574702427,1.243238542
0.534333356,63145,China,0.656509506,1.22865155
0.403797958,43489,Congo,0.494633371,1.224952631
0.898878543,59729,China,1.098112412,1.221647152
0.665653746,28643,Peru,0.811952237,1.219781669
0.913391319,53092,Brazil,1.107959962,1.213017837
0.497168422,51012,Brazil,0.601302297,1.20945392
0.401851134,46923,Myanmar,0.483652173,1.203560553
