mean_maize,Fishnet_ID,COUNTRY,Longitude,Field1,Maize_Pr,Maize_Error_Ratio
0.038333333,62378,Sudan,16.5103,62378,0.382338483,9.974047469
0.053660802,52664,China,42.1292,52664,0.535029968,9.970592091
0.050537513,59591,China,37.9899,59591,0.503623618,9.965342339
0.038925315,57708,Peru,-2.24386,57708,0.387542686,9.956057799
0.038214705,64195,Saudi Arabia,24.1295,64195,0.378760446,9.911379559
0.039911635,47733,Brazil,-7.64738,47733,0.394823372,9.892437932
0.038214705,47445,Saudi Arabia,20.7904,47445,0.376751383,9.858806525
0.038333333,56508,Sudan,19.0916,56508,0.377044477,9.835942964
0.042099612,54365,Congo DRC,2.27666,54365,0.413993594,9.833667683
0.049791669,76435,Russian Federation,54.0851,76435,0.489588589,9.832741076
0.040200248,49501,Brazil,-0.435754,49501,0.395160287,9.829797244
0.038775959,41678,Congo DRC,-1.33998,41678,0.379803159,9.794810207
0.054042552,52851,Namibia,-28.1043,52851,0.52916843,9.791699511
0.05046275,57267,China,46.013,57267,0.491384886,9.73757645
0.049791669,64335,Russian Federation,51.3591,64335,0.48465309,9.733618088
0.040714756,2288,Congo DRC,-3.14718,2288,0.394122478,9.680089401
0.045218202,57790,Cameroon,3.17995,57790,0.437285829,9.670570913
0.049791669,71401,Russian Federation,50.2203,71401,0.479117871,9.622450515
0.049791669,65642,Russian Federation,51.918,65642,0.478865908,9.61739017
0.042036176,48445,Saudi Arabia,26.5779,48445,0.403287764,9.593826137
0.049791669,72910,Russian Federation,53.0152,72910,0.474433146,9.528363992
0.051244961,63429,China,38.6973,63429,0.48231784,9.412005212
0.059062501,50917,Kazakhstan,51.918,50917,0.553017741,9.363263181
0.04725747,46116,Australia,-31.2622,46116,0.440771277,9.327018078
0.047227169,60676,Morocco,34.3494,60676,0.439591406,9.308019416
0.05406789,46235,Australia,-19.0606,46235,0.502725239,9.298036949
0.041323079,60722,Saudi Arabia,27.3827,60722,0.381875651,9.241219683
0.041243516,36934,Congo DRC,1.37279,36934,0.379241964,9.195189954
0.043351816,54760,Mali,15.6418,54760,0.398621111,9.195026824
0.04318013,50282,Brazil,-4.95121,50282,0.396992474,9.193869356
0.049791669,69905,Russian Federation,50.2203,69905,0.456952244,9.177283131
0.043180129,44598,Brazil,-4.95121,44598,0.396051531,9.172078458
0.049791669,65266,Russian Federation,54.0851,65266,0.455908762,9.156326172
0.048892797,58355,China,33.601,58355,0.446875522,9.139905046
0.058983153,48163,Australia,-19.0606,48163,0.53883533,9.13541075
0.047489034,27295,Saudi Arabia,20.7904,27295,0.428924699,9.032078837
0.045099246,39451,Brazil,-8.54258,39451,0.407167795,9.028261692
0.043479993,57485,Brazil,-8.54258,57485,0.392271162,9.021877303
0.046257521,40657,China,47.8586,40657,0.416793852,9.010293742
0.041818182,57114,Sudan,17.3749,57114,0.374692472,8.960037335
0.049791669,63026,Russian Federation,50.2203,63026,0.445545541,8.948194546
0.043019477,57068,Saudi Arabia,23.3024,57068,0.379070571,8.811603428
0.042703825,52771,Botswana,-23.2723,52771,0.375003821,8.781504256
0.043125,10071,Sudan,14.7695,10071,0.377748145,8.759377275
0.044525833,52644,Congo,1.37279,52644,0.389674241,8.75164404
