,FISHNET_ID,COUNTRY.x,CassavaGCO,Latitude,Longitude,CONTINENT,CountyPixelCount,cassava_HgHa,AET_mean,cassava_Fertilizer,Pesticide,GDP_Mean,cassavaGCO,cassavaBinaryGCO,Sim5x,Sim10x,Sim50x,Sim100x,Sim1000x
4,275,Peru,Inside,-4.0497,-69.9564,South America,147,1.321559605,870.9315476,60.31791108,16571,2065.427423,Inside,1,1.321559605,1.321559605,1.321559605,1.321559605,1.321559605
5,304,Brazil,Inside,-7.64738,-60.0749,South America,931,1.64217488,853.5208333,65.01879988,976736,3807.754204,Inside,1,1.64217488,1.64217488,1.64217488,1.64217488,1.64217488
10,566,Bolivia,Inside,-11.2146,-66.3631,South America,118,3.826839642,833.952381,12.41334152,26397,972.8034761,Inside,1,3.826839642,3.826839642,3.826839642,3.826839642,3.826839642
16,787,Brazil,Inside,-5.85147,-57.38,South America,931,5.900632728,888.4285714,52.49647569,976736,3807.754204,Inside,1,5.900632728,5.900632728,5.900632728,5.900632728,5.900632728
18,828,Brazil,Inside,-7.64738,-55.5833,South America,931,7.252939052,889.9821429,51.20002002,976736,3807.754204,Inside,1,7.252939052,7.252939052,7.252939052,7.252939052,7.252939052
21,927,Brazil,Inside,1.37279,-64.5665,South America,931,0.759413307,1010.261905,61.52032038,976736,3807.754204,Inside,1,0.759413307,0.759413307,0.759413307,0.759413307,0.759413307
23,1037,Brazil,Inside,-4.0497,-66.3631,South America,931,1.697598159,871.8392857,115.8326696,976736,3807.754204,Inside,1,1.697598159,1.697598159,1.697598159,1.697598159,1.697598159
31,1566,Peru,Inside,-8.54258,-76.2446,South America,147,11.38379729,825.8422619,63.41398337,16571,2065.427423,Inside,1,11.38379729,11.38379729,11.38379729,11.38379729,11.38379729
33,1629,Bolivia,Inside,-16.4788,-68.1597,South America,118,8.122830434,721.8511905,2.835287823,26397,972.8034761,Inside,1,8.122830434,8.122830434,8.122830434,8.122830434,8.122830434
38,1964,Brazil,Inside,-12.1,-52.8884,South America,931,4.379133013,875.3363095,81.2884324,976736,3807.754204,Inside,1,4.379133013,4.379133013,4.379133013,4.379133013,4.379133013
40,2000,Brazil,Inside,-5.85147,-58.2783,South America,931,2.87380592,872.9255952,65.86265399,976736,3807.754204,Inside,1,2.87380592,2.87380592,2.87380592,2.87380592,2.87380592
44,2351,Brazil,Inside,-5.85147,-68.1597,South America,931,1.10272042,821.5416667,64.45499152,976736,3807.754204,Inside,1,1.10272042,1.10272042,1.10272042,1.10272042,1.10272042
49,2664,Brazil,Inside,-0.437725,-51.12,South America,931,3.915742356,930.3005952,107.6350896,976736,3807.754204,Inside,1,3.915742356,3.915742356,3.915742356,3.915742356,3.915742356
60,3344,Guyana,Inside,5.88412,-60.0749,South America,26,6.716599822,970.5386905,11.39263546,2030,964.1759833,Inside,1,6.716599822,6.716599822,6.716599822,6.716599822,6.716599822
69,3928,Brazil,Inside,-8.54258,-55.5833,South America,931,7.763008522,894.7142857,51.18201198,976736,3807.754204,Inside,1,7.763008522,7.763008522,7.763008522,7.763008522,7.763008522
77,4379,Brazil,Inside,4.08244,-62.7698,South America,931,1.427095566,1041.571429,50.55330191,976736,3807.754204,Inside,1,1.427095566,1.427095566,1.427095566,1.427095566,1.427095566
79,4656,Guyana,Inside,5.88412,-60.9732,South America,26,7.659109276,969.8720238,28.78357972,2030,964.1759833,Inside,1,7.659109276,7.659109276,7.659109276,7.659109276,7.659109276
83,4804,Guyana,Inside,3.17995,-57.38,South America,26,1.052720785,992.2321429,13.20644021,2030,964.1759833,Inside,1,1.052720785,1.052720785,1.052720785,1.052720785,1.052720785
109,6323,Brazil,Inside,-6.75027,-71.753,South America,931,0.653448734,798.047619,93.43063439,976736,3807.754204,Inside,1,0.653448734,0.653448734,0.653448734,0.653448734,0.653448734
111,6540,Brazil,Inside,-2.24386,-51.9901,South America,931,9.209863934,892.1309524,65.34615328,976736,3807.754204,Inside,1,9.209863934,9.209863934,9.209863934,9.209863934,9.209863934
112,6542,Brazil,Inside,-10.3264,-63.6682,South America,931,6.541329834,836.6130952,59.28731408,976736,3807.754204,Inside,1,6.541329834,6.541329834,6.541329834,6.541329834,6.541329834
117,6694,Brazil,Inside,-4.95121,-53.7867,South America,931,2.931485736,860.7559524,50.20566364,976736,3807.754204,Inside,1,2.931485736,2.931485736,2.931485736,2.931485736,2.931485736
