,FISHNET_ID,COUNTRY.x,CassavaGCO,Latitude,Longitude,CONTINENT,CountyPixelCount,cassava_HgHa,AET_mean,cassava_Fertilizer,Pesticide,GDP_Mean,cassavaGCO,cassavaBinaryGCO,Sim5x,Sim10x,Sim50x,Sim100x,Sim1000x
121,6783,Colombia,Inside,2.27666,-69.0581,South America,119,0.2383762,945.1994048,50.708485,476933,2463.075323,Inside,1,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762
129,7400,Brazil,Inside,-0.435754,-64.5665,South America,931,0.532338354,982.7529762,49.31842562,976736,3807.754204,Inside,1,0.532338354,0.532338354,0.532338354,0.532338354,0.532338354
133,7583,Brazil,Inside,-5.85147,-56.4816,South America,931,2.2579904,900.4761905,54.12556608,976736,3807.754204,Inside,1,2.2579904,2.2579904,2.2579904,2.2579904,2.2579904
136,7699,Brazil,Inside,-8.54258,-57.38,South America,931,3.786502286,877.4285714,61.07112699,976736,3807.754204,Inside,1,3.786502286,3.786502286,3.786502286,3.786502286,3.786502286
140,7970,Bolivia,Inside,-16.4788,-63.6682,South America,118,9.958337459,974.1220238,3.707035423,26397,972.8034761,Inside,1,9.958337459,9.958337459,9.958337459,9.958337459,9.958337459
177,10617,Brazil,Inside,-9.43566,-68.1597,South America,931,9.237233563,775.5178571,71.19498676,976736,3807.754204,Inside,1,9.237233563,9.237233563,9.237233563,9.237233563,9.237233563
178,10814,Brazil,Inside,-6.75027,-63.6682,South America,931,0.178381244,834.3035714,75.96149877,976736,3807.754204,Inside,1,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244
182,10925,Peru,Inside,-4.0497,-75.3463,South America,147,1.466244999,827.1994048,67.33051649,16571,2065.427423,Inside,1,1.466244999,1.466244999,1.466244999,1.466244999,1.466244999
184,11078,Brazil,Inside,-13.8618,-52.8884,South America,931,8.912530928,819.0892857,81.97946811,976736,3807.754204,Inside,1,8.912530928,8.912530928,8.912530928,8.912530928,8.912530928
185,11226,Bolivia,Inside,-12.1,-65.4648,South America,118,7.837551746,875.7142857,7.15887359,26397,972.8034761,Inside,1,7.837551746,7.837551746,7.837551746,7.837551746,7.837551746
193,11784,Bolivia,Inside,-10.3264,-68.1597,South America,118,10.7601669,790.9077381,87.62994865,26397,972.8034761,Inside,1,10.7601669,10.7601669,10.7601669,10.7601669,10.7601669
199,12142,Bolivia,Inside,-14.7378,-62.7698,South America,118,0.502484918,876.1011905,4.164328122,26397,972.8034761,Inside,1,0.502484918,0.502484918,0.502484918,0.502484918,0.502484918
200,12149,Brazil,Inside,-0.435754,-68.1597,South America,931,0.812876523,876.9345238,65.87927842,976736,3807.754204,Inside,1,0.812876523,0.812876523,0.812876523,0.812876523,0.812876523
201,12187,Peru,Inside,-5.85147,-77.1429,South America,147,2.094378918,751.0565476,54.81724805,16571,2065.427423,Inside,1,2.094378918,2.094378918,2.094378918,2.094378918,2.094378918
207,12458,Brazil,Inside,-12.1,-55.5833,South America,931,18.22814065,872.8035714,81.14479095,976736,3807.754204,Inside,1,18.22814065,18.22814065,18.22814065,18.22814065,18.22814065
218,13150,Brazil,Inside,-2.24386,-61.8715,South America,931,0.063671596,903.1755952,68.29292813,976736,3807.754204,Inside,1,0.063671596,0.063671596,0.063671596,0.063671596,0.063671596
224,13526,Peru,Inside,-13.8618,-73.5496,South America,147,10.86999989,538.4732143,38.23811484,16571,2065.427423,Inside,1,10.86999989,10.86999989,10.86999989,10.86999989,10.86999989
237,14210,Bolivia,Inside,-16.4788,-65.4648,South America,118,5.488003175,1058.03869,8.526605253,26397,972.8034761,Inside,1,5.488003175,5.488003175,5.488003175,5.488003175,5.488003175
260,15711,Peru,Inside,-8.54258,-75.3463,South America,147,12.85805196,913.8095238,43.84793975,16571,2065.427423,Inside,1,12.85805196,12.85805196,12.85805196,12.85805196,12.85805196
265,16290,Ecuador,Inside,-2.24386,-76.2446,South America,46,1.123353604,784.5,23.00277889,100557,2023.86319,Inside,1,1.123353604,1.123353604,1.123353604,1.123353604,1.123353604
267,16304,Brazil,Inside,-3.14718,-51.9901,South America,931,14.65641081,857.7242063,63.86807301,976736,3807.754204,Inside,1,14.65641081,14.65641081,14.65641081,14.65641081,14.65641081
289,17568,Brazil,Inside,-7.64738,-67.2614,South America,931,0.627310806,785.7053571,70.6810665,976736,3807.754204,Inside,1,0.627310806,0.627310806,0.627310806,0.627310806,0.627310806
297,18102,Peru,Inside,-3.14718,-75.3463,South America,147,0.872204542,805.3412698,71.580741,16571,2065.427423,Inside,1,0.872204542,0.872204542,0.872204542,0.872204542,0.872204542
316,19282,Peru,Inside,-3.14718,-70.8547,South America,147,0.499734945,844.625,36.40147933,16571,2065.427423,Inside,1,0.499734945,0.499734945,0.499734945,0.499734945,0.499734945
318,19312,Guyana,Inside,2.27666,-59.1766,South America,26,8.517185887,913.5089286,11.62835749,2030,964.1759833,Inside,1,8.517185887,8.517185887,8.517185887,8.517185887,8.517185887
326,19739,Bolivia,Inside,-17.3436,-65.4648,South America,118,6.524367361,814.75,17.2944283,26397,972.8034761,Inside,1,6.524367361,6.524367361,6.524367361,6.524367361,6.524367361
331,19967,Brazil,Inside,-10.3264,-54.685,South America,931,14.34166031,911.9583333,103.6923652,976736,3807.754204,Inside,1,14.34166031,14.34166031,14.34166031,14.34166031,14.34166031
336,20521,Brazil,Inside,0.468577,-67.2614,South America,931,1.354794204,940.7172619,64.86601703,976736,3807.754204,Inside,1,1.354794204,1.354794204,1.354794204,1.354794204,1.354794204
359,21800,Brazil,Inside,-8.54258,-60.0749,South America,931,1.54454008,848.3928571,76.8763198,976736,3807.754204,Inside,1,1.54454008,1.54454008,1.54454008,1.54454008,1.54454008
360,21808,Brazil,Inside,-4.95121,-70.8547,South America,931,0.182132114,836.7291667,69.5924036,976736,3807.754204,Inside,1,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114
373,22451,Brazil,Inside,-4.0497,-53.7867,South America,931,13.58526435,848.6517857,51.27688864,976736,3807.754204,Inside,1,13.58526435,13.58526435,13.58526435,13.58526435,13.58526435
375,22652,Brazil,Inside,-5.85147,-49.2951,South America,931,13.88384185,891.0178571,83.98129344,976736,3807.754204,Inside,1,13.88384185,13.88384185,13.88384185,13.88384185,13.88384185
380,22927,Ecuador,Inside,-3.14718,-78.0412,South America,46,2.918147409,780.4484127,60.02562582,100557,2023.86319,Inside,1,2.918147409,2.918147409,2.918147409,2.918147409,2.918147409
392,23908,Brazil,Inside,-6.75027,-55.5833,South America,931,8.039814472,889.5357143,50.76684871,976736,3807.754204,Inside,1,8.039814472,8.039814472,8.039814472,8.039814472,8.039814472
394,23973,Peru,Inside,-9.43566,-71.753,South America,147,1.108468056,797.1279762,83.46188404,16571,2065.427423,Inside,1,1.108468056,1.108468056,1.108468056,1.108468056,1.108468056
399,24121,Bolivia,Inside,-17.3436,-66.3631,South America,118,6.588081886,684.0595238,15.22451902,26397,972.8034761,Inside,1,6.588081886,6.588081886,6.588081886,6.588081886,6.588081886
418,25557,Peru,Inside,-4.0497,-77.1429,South America,147,1.376170099,871.8035714,62.0302494,16571,2065.427423,Inside,1,1.376170099,1.376170099,1.376170099,1.376170099,1.376170099
421,25906,Colombia,Inside,2.27666,-71.753,South America,119,3.324293832,966.0595238,52.45330193,476933,2463.075323,Inside,1,3.324293832,3.324293832,3.324293832,3.324293832,3.324293832
434,26400,Brazil,Inside,-4.95121,-69.0581,South America,931,0.271854574,863.7083333,97.4679956,976736,3807.754204,Inside,1,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574
457,27511,Brazil,Inside,-0.435754,-61.8715,South America,931,2.560299884,953.5,79.77516744,976736,3807.754204,Inside,1,2.560299884,2.560299884,2.560299884,2.560299884,2.560299884
463,27763,Peru,Inside,-5.85147,-78.0412,South America,147,2.611173716,676.4107143,58.58189212,16571,2065.427423,Inside,1,2.611173716,2.611173716,2.611173716,2.611173716,2.611173716
468,28009,Brazil,Inside,-3.14718,-61.8715,South America,931,0.982692361,879.6646825,130.1090063,976736,3807.754204,Inside,1,0.982692361,0.982692361,0.982692361,0.982692361,0.982692361
470,28073,Brazil,Inside,-11.2146,-62.7698,South America,931,10.92792732,833.0119048,103.4177659,976736,3807.754204,Inside,1,10.92792732,10.92792732,10.92792732,10.92792732,10.92792732
472,28128,Brazil,Inside,-1.33998,-60.0749,South America,931,2.046970904,947.8720238,71.79761668,976736,3807.754204,Inside,1,2.046970904,2.046970904,2.046970904,2.046970904,2.046970904
483,28643,Peru,Inside,-7.64738,-73.5496,South America,147,0.665653746,818.4702381,81.38233259,16571,2065.427423,Inside,1,0.665653746,0.665653746,0.665653746,0.665653746,0.665653746
485,28682,Bolivia,Inside,-15.6102,-61.8715,South America,118,9.169311555,793.547619,4.134835034,26397,972.8034761,Inside,1,9.169311555,9.169311555,9.169311555,9.169311555,9.169311555
486,28694,Bolivia,Inside,-13.8618,-65.4648,South America,118,5.934289152,873.75,3.776930411,26397,972.8034761,Inside,1,5.934289152,5.934289152,5.934289152,5.934289152,5.934289152
498,29168,Brazil,Inside,-4.95121,-48.3968,South America,931,17.47423317,890.9404762,91.78210294,976736,3807.754204,Inside,1,17.47423317,17.47423317,17.47423317,17.47423317,17.47423317
502,29447,Bolivia,Inside,-14.7378,-61.8715,South America,118,1.461774306,850.8035714,4.294126326,26397,972.8034761,Inside,1,1.461774306,1.461774306,1.461774306,1.461774306,1.461774306
514,29902,Brazil,Inside,-1.33998,-56.4816,South America,931,4.242285046,1023.821429,98.70782101,976736,3807.754204,Inside,1,4.242285046,4.242285046,4.242285046,4.242285046,4.242285046
519,30015,Colombia,Inside,4.08244,-71.753,South America,119,4.608065738,988.8214286,50.78752433,476933,2463.075323,Inside,1,4.608065738,4.608065738,4.608065738,4.608065738,4.608065738
532,30464,Brazil,Inside,-10.3264,-51.0917,South America,931,12.78843655,857.6845238,103.4486419,976736,3807.754204,Inside,1,12.78843655,12.78843655,12.78843655,12.78843655,12.78843655
541,30729,Ecuador,Inside,-3.14718,-77.1429,South America,46,1.949887105,818.1170635,90.37260673,100557,2023.86319,Inside,1,1.949887105,1.949887105,1.949887105,1.949887105,1.949887105
545,30894,Brazil,Inside,-9.43566,-52.8884,South America,931,1.217946337,900.4702381,77.23184593,976736,3807.754204,Inside,1,1.217946337,1.217946337,1.217946337,1.217946337,1.217946337
546,30963,Bolivia,Inside,-9.43566,-66.3631,South America,118,4.689480921,797.6488095,126.8675586,26397,972.8034761,Inside,1,4.689480921,4.689480921,4.689480921,4.689480921,4.689480921
548,30978,Brazil,Inside,1.37279,-57.38,South America,931,0.591182947,957.4017857,73.74976613,976736,3807.754204,Inside,1,0.591182947,0.591182947,0.591182947,0.591182947,0.591182947
558,31557,Suriname,Inside,5.68587,-55.5708,South America,5,9.466707531,1110.083333,35.52561373,1704,2143.136311,Inside,1,9.466707531,9.466707531,9.466707531,9.466707531,9.466707531
566,31778,Guyana,Inside,3.17995,-59.1766,South America,26,7.787697574,925.3422619,11.53736202,2030,964.1759833,Inside,1,7.787697574,7.787697574,7.787697574,7.787697574,7.787697574
567,31809,Brazil,Inside,-4.95121,-50.1934,South America,931,8.576631337,851.4107143,54.06830734,976736,3807.754204,Inside,1,8.576631337,8.576631337,8.576631337,8.576631337,8.576631337
569,31868,Brazil,Inside,-5.85147,-71.753,South America,931,0.041738609,804.485119,75.32202453,976736,3807.754204,Inside,1,0.041738609,0.041738609,0.041738609,0.041738609,0.041738609
576,32204,Brazil,Inside,-3.14718,-56.4816,South America,931,5.301214092,924.1130952,131.740318,976736,3807.754204,Inside,1,5.301214092,5.301214092,5.301214092,5.301214092,5.301214092
579,32308,Brazil,Inside,1.37279,-67.2614,South America,931,0.825393438,981.7232143,73.80198693,976736,3807.754204,Inside,1,0.825393438,0.825393438,0.825393438,0.825393438,0.825393438
580,32385,Brazil,Inside,-4.0497,-51.9901,South America,931,5.350753188,831.8125,50.24261529,976736,3807.754204,Inside,1,5.350753188,5.350753188,5.350753188,5.350753188,5.350753188
590,32674,Bolivia,Inside,-18.2042,-64.5665,South America,118,8.976560708,562.5,21.71755777,26397,972.8034761,Inside,1,8.976560708,8.976560708,8.976560708,8.976560708,8.976560708
602,33095,Brazil,Inside,-7.64738,-63.6682,South America,931,2.2846758,831.7619048,89.11168531,976736,3807.754204,Inside,1,2.2846758,2.2846758,2.2846758,2.2846758,2.2846758
607,33240,Bolivia,Inside,-16.4788,-67.2614,South America,118,7.700418552,874.0178571,3.068395513,26397,972.8034761,Inside,1,7.700418552,7.700418552,7.700418552,7.700418552,7.700418552
616,33579,Brazil,Inside,4.05466,-52.0237,South America,931,4.526792992,1041.139881,47.56180213,976736,3807.754204,Inside,1,4.526792992,4.526792992,4.526792992,4.526792992,4.526792992
618,33629,Brazil,Inside,-0.772438,-47.4862,South America,931,9.420476309,929.2797619,100.3482243,976736,3807.754204,Inside,1,9.420476309,9.420476309,9.420476309,9.420476309,9.420476309
619,33638,Peru,Inside,-13.8618,-72.6513,South America,147,10.70530292,600.6875,39.29724035,16571,2065.427423,Inside,1,10.70530292,10.70530292,10.70530292,10.70530292,10.70530292
627,33924,Colombia,Inside,3.17995,-75.3463,South America,119,5.29535683,871.6547619,59.88659482,476933,2463.075323,Inside,1,5.29535683,5.29535683,5.29535683,5.29535683,5.29535683
629,33943,Brazil,Inside,2.27666,-56.4816,South America,931,1.896082757,979.25,35.81647412,976736,3807.754204,Inside,1,1.896082757,1.896082757,1.896082757,1.896082757,1.896082757
642,34349,Peru,Inside,-10.3264,-76.2446,South America,147,10.86999989,563.6845238,38.96620905,16571,2065.427423,Inside,1,10.86999989,10.86999989,10.86999989,10.86999989,10.86999989
653,34636,Brazil,Inside,0.424565,-50.2756,South America,931,8.001433629,946.5505952,53.94496245,976736,3807.754204,Inside,1,8.001433629,8.001433629,8.001433629,8.001433629,8.001433629
661,34784,Brazil,Inside,-9.43566,-51.0917,South America,931,13.41109443,867.6220238,63.30534184,976736,3807.754204,Inside,1,13.41109443,13.41109443,13.41109443,13.41109443,13.41109443
666,35012,Brazil,Inside,2.27666,-60.0749,South America,931,6.269069245,926.1666667,61.02625837,976736,3807.754204,Inside,1,6.269069245,6.269069245,6.269069245,6.269069245,6.269069245
669,35078,Brazil,Inside,-11.2146,-60.9732,South America,931,11.72662129,845.7380952,97.36663747,976736,3807.754204,Inside,1,11.72662129,11.72662129,11.72662129,11.72662129,11.72662129
679,35353,Brazil,Inside,-1.28887,-49.3064,South America,931,6.972927116,924.7470238,501.6045685,976736,3807.754204,Inside,1,6.972927116,6.972927116,6.972927116,6.972927116,6.972927116
682,35388,Colombia,Inside,2.27666,-70.8547,South America,119,0.925937454,943.2559524,50.9178587,476933,2463.075323,Inside,1,0.925937454,0.925937454,0.925937454,0.925937454,0.925937454
685,35396,Brazil,Inside,0.468577,-52.8884,South America,931,3.345931245,972.9672619,72.62196499,976736,3807.754204,Inside,1,3.345931245,3.345931245,3.345931245,3.345931245,3.345931245
686,35399,Brazil,Inside,-7.64738,-65.4648,South America,931,0.989783569,826.75,75.95554962,976736,3807.754204,Inside,1,0.989783569,0.989783569,0.989783569,0.989783569,0.989783569
694,35562,Brazil,Inside,0.468577,-69.0581,South America,931,0.451598068,894.5952381,75.40485935,976736,3807.754204,Inside,1,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068
696,35605,Brazil,Inside,-5.85147,-48.3968,South America,931,16.12478854,891.7083333,102.4882798,976736,3807.754204,Inside,1,16.12478854,16.12478854,16.12478854,16.12478854,16.12478854
706,36017,Brazil,Inside,-5.85147,-66.3631,South America,931,0.530696154,828.0029762,124.3657385,976736,3807.754204,Inside,1,0.530696154,0.530696154,0.530696154,0.530696154,0.530696154
708,36048,Brazil,Inside,-7.64738,-69.9564,South America,931,1.782879291,799.2738095,96.01586926,976736,3807.754204,Inside,1,1.782879291,1.782879291,1.782879291,1.782879291,1.782879291
722,36372,Brazil,Inside,-10.3264,-52.8884,South America,931,5.727084782,908.5029762,82.43998895,976736,3807.754204,Inside,1,5.727084782,5.727084782,5.727084782,5.727084782,5.727084782
746,36991,Peru,Inside,-12.1,-72.6513,South America,147,9.117756969,861.4880952,39.49026508,16571,2065.427423,Inside,1,9.117756969,9.117756969,9.117756969,9.117756969,9.117756969
756,37118,Brazil,Inside,-4.0497,-51.0917,South America,931,7.252939118,824.4464286,66.87934143,976736,3807.754204,Inside,1,7.252939118,7.252939118,7.252939118,7.252939118,7.252939118
770,37478,Brazil,Inside,-10.3264,-64.5665,South America,931,4.659671088,846.6458333,58.99885838,976736,3807.754204,Inside,1,4.659671088,4.659671088,4.659671088,4.659671088,4.659671088
771,37480,Peru,Inside,-4.95121,-76.2446,South America,147,1.341406544,844.8630952,46.38733973,16571,2065.427423,Inside,1,1.341406544,1.341406544,1.341406544,1.341406544,1.341406544
772,37496,Brazil,Inside,-2.27512,-49.2827,South America,931,9.583629824,901.7916667,290.2302508,976736,3807.754204,Inside,1,9.583629824,9.583629824,9.583629824,9.583629824,9.583629824
790,37805,Peru,Inside,-8.54258,-72.6513,South America,147,2.57150533,792.1875,63.45494033,16571,2065.427423,Inside,1,2.57150533,2.57150533,2.57150533,2.57150533,2.57150533
802,38041,Brazil,Inside,-8.54258,-67.2614,South America,931,2.228431283,777.6607143,70.55403378,976736,3807.754204,Inside,1,2.228431283,2.228431283,2.228431283,2.228431283,2.228431283
808,38203,Brazil,Inside,3.17995,-51.9901,South America,931,5.84615873,1030.270833,68.05940873,976736,3807.754204,Inside,1,5.84615873,5.84615873,5.84615873,5.84615873,5.84615873
810,38273,Brazil,Inside,-3.14718,-52.8884,South America,931,14.60167166,849.5892857,69.34689275,976736,3807.754204,Inside,1,14.60167166,14.60167166,14.60167166,14.60167166,14.60167166
817,38447,Brazil,Inside,-10.3264,-62.7698,South America,931,13.05528996,827.2529762,106.1961616,976736,3807.754204,Inside,1,13.05528996,13.05528996,13.05528996,13.05528996,13.05528996
828,38612,Peru,Inside,-11.2146,-69.9564,South America,147,1.474826009,807.6755952,37.81908275,16571,2065.427423,Inside,1,1.474826009,1.474826009,1.474826009,1.474826009,1.474826009
832,38699,Brazil,Inside,-2.24386,-64.5665,South America,931,0.196513587,924.8571429,57.0220752,976736,3807.754204,Inside,1,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587
834,38712,Peru,Inside,-14.7378,-69.9564,South America,147,4.779239438,655.1220238,26.58270727,16571,2065.427423,Inside,1,4.779239438,4.779239438,4.779239438,4.779239438,4.779239438
841,38780,Colombia,Inside,5.88412,-67.2614,South America,119,4.431087603,1016.985119,120.9718945,476933,2463.075323,Inside,1,4.431087603,4.431087603,4.431087603,4.431087603,4.431087603
857,39076,Brazil,Inside,-2.24386,-60.9732,South America,931,1.35397316,899.9077381,66.78648329,976736,3807.754204,Inside,1,1.35397316,1.35397316,1.35397316,1.35397316,1.35397316
861,39151,Brazil,Inside,0.468577,-69.9564,South America,931,0.151232841,894.1488095,65.61839202,976736,3807.754204,Inside,1,0.151232841,0.151232841,0.151232841,0.151232841,0.151232841
874,39297,Colombia,Inside,2.27666,-72.6513,South America,119,7.236420075,981.4107143,54.47166733,476933,2463.075323,Inside,1,7.236420075,7.236420075,7.236420075,7.236420075,7.236420075
883,39451,Brazil,Inside,-8.54258,-52.8884,South America,931,0.597154502,878.8154762,50.56103088,976736,3807.754204,Inside,1,0.597154502,0.597154502,0.597154502,0.597154502,0.597154502
896,39591,Bolivia,Inside,-14.7378,-63.6682,South America,118,4.847976989,915.952381,3.942337204,26397,972.8034761,Inside,1,4.847976989,4.847976989,4.847976989,4.847976989,4.847976989
903,39680,Brazil,Inside,-4.0497,-63.6682,South America,931,1.490136756,867.5714286,67.56546472,976736,3807.754204,Inside,1,1.490136756,1.490136756,1.490136756,1.490136756,1.490136756
908,39743,Peru,Inside,-5.85147,-74.4479,South America,147,3.539590836,836.8422619,41.20678628,16571,2065.427423,Inside,1,3.539590836,3.539590836,3.539590836,3.539590836,3.539590836
909,39746,Peru,Inside,-11.2146,-69.0581,South America,147,7.143410675,794.5178571,185.4785913,16571,2065.427423,Inside,1,7.143410675,7.143410675,7.143410675,7.143410675,7.143410675
922,39956,Brazil,Inside,-0.435754,-54.685,South America,931,2.757485257,979.0327381,55.05191886,976736,3807.754204,Inside,1,2.757485257,2.757485257,2.757485257,2.757485257,2.757485257
926,40035,Brazil,Inside,-7.64738,-48.3968,South America,931,16.68863266,889.014881,85.57552209,976736,3807.754204,Inside,1,16.68863266,16.68863266,16.68863266,16.68863266,16.68863266
928,40045,Brazil,Inside,-4.0497,-69.0581,South America,931,0.81711881,875.9613095,161.6433917,976736,3807.754204,Inside,1,0.81711881,0.81711881,0.81711881,0.81711881,0.81711881
931,40074,Brazil,Inside,0.468577,-55.5833,South America,931,4.351763368,983.6815476,75.69813576,976736,3807.754204,Inside,1,4.351763368,4.351763368,4.351763368,4.351763368,4.351763368
933,40117,Brazil,Inside,-1.50641,-45.7793,South America,931,5.891849551,906.047619,107.9360982,976736,3807.754204,Inside,1,5.891849551,5.891849551,5.891849551,5.891849551,5.891849551
944,40237,Brazil,Inside,-4.0497,-58.2783,South America,931,2.980205145,889.0059524,98.06361934,976736,3807.754204,Inside,1,2.980205145,2.980205145,2.980205145,2.980205145,2.980205145
949,40309,Brazil,Inside,-4.95121,-51.9901,South America,931,1.268953323,818.4017857,56.56432318,976736,3807.754204,Inside,1,1.268953323,1.268953323,1.268953323,1.268953323,1.268953323
950,40338,Brazil,Inside,-13.8618,-57.38,South America,931,14.53528297,899.0922619,82.21425613,976736,3807.754204,Inside,1,14.53528297,14.53528297,14.53528297,14.53528297,14.53528297
960,40503,Peru,Inside,-11.2146,-72.6513,South America,147,5.519071536,864.9672619,38.78557064,16571,2065.427423,Inside,1,5.519071536,5.519071536,5.519071536,5.519071536,5.519071536
992,40906,Brazil,Inside,-7.64738,-61.8715,South America,931,2.231118444,837.9136905,85.97748103,976736,3807.754204,Inside,1,2.231118444,2.231118444,2.231118444,2.231118444,2.231118444
1012,41113,Peru,Inside,-12.1,-69.9564,South America,147,0.815410925,860.702381,51.29088284,16571,2065.427423,Inside,1,0.815410925,0.815410925,0.815410925,0.815410925,0.815410925
1024,41276,Brazil,Inside,4.08244,-59.1766,South America,931,8.476035648,938.5803571,16.6374238,976736,3807.754204,Inside,1,8.476035648,8.476035648,8.476035648,8.476035648,8.476035648
1032,41410,Colombia,Inside,0.468577,-74.4479,South America,119,3.993814568,865.1755952,49.39297224,476933,2463.075323,Inside,1,3.993814568,3.993814568,3.993814568,3.993814568,3.993814568
1036,41485,Ecuador,Inside,-1.33998,-77.1429,South America,46,3.853107277,740.952381,8.73539639,100557,2023.86319,Inside,1,3.853107277,3.853107277,3.853107277,3.853107277,3.853107277
1053,41724,Ecuador,Inside,-4.0497,-78.9395,South America,46,2.676600095,735.7410714,98.33232411,100557,2023.86319,Inside,1,2.676600095,2.676600095,2.676600095,2.676600095,2.676600095
1055,41741,Brazil,Inside,-10.3264,-57.38,South America,931,15.42897896,883.0863095,82.60319317,976736,3807.754204,Inside,1,15.42897896,15.42897896,15.42897896,15.42897896,15.42897896
1080,41969,Brazil,Inside,0.468577,-60.0749,South America,931,1.37374766,945.0416667,83.73630872,976736,3807.754204,Inside,1,1.37374766,1.37374766,1.37374766,1.37374766,1.37374766
