"","slope","pval","x","y","moran_i","moran_p"
"1",-0.0104289905464738,0,10112492.9328,4956820.84405,0.999000999000999,-0.0104289905464738
"2",-0.0177481179593651,0,6712492.9328,6597985.52385,0.999000999000999,-0.0177481179593651
"3",-0.031163961813544,0,2212492.9328,4739871.9205,0.999000999000999,-0.031163961813544
"4",-0.00129721457572311,0,-11187507.0672,4127085.45205,0.999000999000999,-0.00129721457572311
"5",-0.0246410431882442,0,4412492.9328,5692033.38605,0.999000999000999,-0.0246410431882442
"6",-0.0338308265432837,0,-790133.99061709,4803176.61401786,0.999000999000999,-0.0338308265432837
"7",-0.00738604696858428,0,14127836.9794687,3965154.48394561,0.999000999000999,-0.00738604696858428
"8",-0.0237947306454732,0,4712492.9328,6334843.7973,0.999000999000999,-0.0237947306454732
"9",0.000930513977227543,0,-8771279.84668557,144150.475438518,0.999000999000999,0.000930513977227543
"10",-0.00906567049382732,0,12812492.9328,5692033.38605,0.999000999000999,-0.00906567049382732
"11",-0.0150448064107421,0,7912492.9328,6546755.62765,0.999000999000999,-0.0150448064107421
"12",0.00119732853589826,0,16408033.5233688,-2206879.37196702,0.999000999000999,0.00119732853589826
"13",-0.0207909744359771,0,5512492.9328,5995386.6925,0.999000999000999,-0.0207909744359771
"14",-0.0281391118944953,0,3412492.9328,6053801.1307,0.999000999000999,-0.0281391118944953
"15",-0.0262506315856625,0,3412492.9328,4206375.9398,0.999000999000999,-0.0262506315856625
"16",-0.0113549456399511,0,10312492.9328,6442209.80895,0.999000999000999,-0.0113549456399511
"17",0.0117319483290503,0,2050842.19526024,-3775434.87350539,0.999000999000999,0.0117319483290503
"18",-0.00161736041012472,0,-11187507.0672,4515881.04325,0.999000999000999,-0.00161736041012472
"19",0.00144281797086279,0,16312492.9328,-2389758.88315,0.999000999000999,0.00144281797086279
"20",-0.00962354723834365,0,10712492.9328,4284904.9877,0.999000999000999,-0.00962354723834365
"21",-0.00819146288090046,0,-6985704.68469731,5115265.28676029,0.999000999000999,-0.00819146288090046
"22",-0.0350265752363609,0,912492.932799999,5754221.76605,0.999000999000999,-0.0350265752363609
"23",-0.00871435027672425,0,12012492.9328,3635670.1505,0.999000999000999,-0.00871435027672425
"24",0.000919663169883541,0,-8687507.0672,151795.706449999,0.999000999000999,0.000919663169883541
"25",-0.0353628446086696,0,12492.9327999987,5166706.0601,0.999000999000999,-0.0353628446086696
"26",-0.00264927923005483,0,-10487507.0672,5166706.0601,0.999000999000999,-0.00264927923005483
"27",-0.0338584601420293,0,-587507.067200001,4591324.3577,0.999000999000999,-0.0338584601420293
"28",-0.00133946644178195,0,-13387507.0672,6168409.26195,0.999000999000999,-0.00133946644178195
"29",-0.00905537894884088,0,12012492.9328,4362668.1,0.999000999000999,-0.00905537894884088
"30",-0.00992627614057377,0,10112492.9328,4127085.45205,0.999000999000999,-0.00992627614057377
"31",-0.0138083298652358,0,7412492.9328,4591324.3577,0.999000999000999,-0.0138083298652358
"32",-0.0160180329030517,0,7312492.9328,6280089.1027,0.999000999000999,-0.0160180329030517
"33",0.00329716560178765,0,-6987507.0672,-2389758.88315,0.999000999000999,0.00329716560178765
"34",-0.00955816255284745,0,11812492.9328,5629078.8036,0.999000999000999,-0.00955816255284745
"35",-0.0192493550210403,0,5412492.9328,4439661.28485,0.999000999000999,-0.0192493550210403
"36",-0.0296717680599997,0,2418883.75473804,4200841.35112075,0.999000999000999,-0.0296717680599997
"37",-0.0014848434029864,0,-11487507.0672,4591324.3577,0.999000999000999,-0.0014848434029864
"38",-0.0248196149246141,0,4412492.9328,6168409.26195,0.999000999000999,-0.0248196149246141
"39",-0.00900166200791975,0,-6703968.83000999,5096827.93404532,0.999000999000999,-0.00900166200791975
"40",-0.0267045247962845,0,3812492.9328,6891146.59695,0.999000999000999,-0.0267045247962845
"41",-0.00891026736014553,0,12412492.9328,4515881.04325,0.999000999000999,-0.00891026736014553
"42",-0.00894880423617252,0,12412492.9328,4665988.6803,0.999000999000999,-0.00894880423617252
"43",-0.00795175420896303,0,14312492.9328,5166706.0601,0.999000999000999,-0.00795175420896303
"44",-0.0112190909175705,0,10312492.9328,6280089.1027,0.999000999000999,-0.0112190909175705
"45",0.00632555736325831,0,-7696071.79992324,-5755025.24162447,0.999000999000999,0.00632555736325831
"46",-0.000868143160608869,0,-13587507.0672,5435586.79185,0.999000999000999,-0.000868143160608869
"47",-0.00187112747310271,0,-12287507.0672,5995386.6925,0.999000999000999,-0.00187112747310271
"48",0.00285297272029059,0,-7687507.0672,-1918332.28425,0.999000999000999,0.00285297272029059
"49",-0.00255895820001404,0,-9787507.0672,4206375.9398,0.999000999000999,-0.00255895820001404
"50",-0.0127455477160078,0,7912492.9328,4284904.9877,0.999000999000999,-0.0127455477160078
"51",0.00465657636818593,0,-6587507.0672,-3716378.65495,0.999000999000999,0.00465657636818593
"52",-0.00138699667711786,0,-12687507.0672,5629078.8036,0.999000999000999,-0.00138699667711786
"53",-0.00329277887485538,0,-8887507.0672,3884698.0893,0.999000999000999,-0.00329277887485538
"54",-0.00865155411873394,0,13412492.9328,5369537.7302,0.999000999000999,-0.00865155411873394
"55",-0.00821518608230628,0,12012492.9328,3030040.4197,0.999000999000999,-0.00821518608230628
"56",-0.00731632294553717,0,14212492.9328,3966240.724,0.999000999000999,-0.00731632294553717
"57",-0.0140516052556896,0,8212492.9328,6111473.7287,0.999000999000999,-0.0140516052556896
"58",-0.00798108683233253,0,12512492.9328,3118574.15065,0.999000999000999,-0.00798108683233253
"59",-0.0158311770407607,0,7612492.9328,6698389.3221,0.999000999000999,-0.0158311770407607
"60",-0.00954974201319504,0,10912492.9328,4362668.1,0.999000999000999,-0.00954974201319504
"61",-0.0116449596067031,0,8812492.9328,4515881.04325,0.999000999000999,-0.0116449596067031
"62",0.00355066059379488,0,-7387507.0672,-2666317.15395,0.999000999000999,0.00355066059379488
"63",-0.00714421625419277,0,12709237.0221098,2506815.5729037,0.999000999000999,-0.00714421625419277
"64",-0.0181744442945505,0,5912492.9328,5166706.0601,0.999000999000999,-0.0181744442945505
"65",-0.0256054511979816,0,3712492.9328,4439661.28485,0.999000999000999,-0.0256054511979816
"66",-0.0109775700766766,0,8912492.9328,3884698.0893,0.999000999000999,-0.0109775700766766
"67",0.00232764669071424,0,-6987507.0672,-1533058.3871,0.999000999000999,0.00232764669071424
"68",0.00261114055600421,0,-7387507.0672,-1726507.8001,0.999000999000999,0.00261114055600421
"69",-0.00971902011119834,0,10412492.9328,4127085.45205,0.999000999000999,-0.00971902011119834
"70",-0.0299616781165748,0,2812492.9328,5435586.79185,0.999000999000999,-0.0299616781165748
"71",-0.00686936603564206,0,12206042.5383791,2044757.31743106,0.999000999000999,-0.00686936603564206
"72",-0.00837309035691661,0,13712492.9328,5097529.1727,0.999000999000999,-0.00837309035691661
"73",-0.0355748261160282,0,412492.932799999,5565354.77945,0.999000999000999,-0.0355748261160282
"74",-0.00906765307641224,0,12912492.9328,5815647.437,0.999000999000999,-0.00906765307641224
"75",-0.00971902011119834,0,10412492.9328,4127085.45205,0.999000999000999,-0.00971902011119834
"76",-0.0098775168714281,0,10212492.9328,4206375.9398,0.999000999000999,-0.0098775168714281
