"","slope","x","y","P"
"1",0.0136730019019221,10412492.9328,5500858.34039163,4.2756901972703e-24
"2",-0.0118233743075894,4412492.9328,4127085.45203006,2.49979455079532e-11
"3",0.0126451555624536,14917497.1132479,-3543537.82423708,6.01633205604373e-19
"4",0.0150972209830843,11612492.9328,5369537.73016214,2.92647594393698e-30
"5",0.012523272562438,9712492.93280001,6442209.80892822,2.3081201194074e-20
"6",-0.0303905891624405,-5687507.0672,-3115372.0254598,8.6571876079742e-86
"7",0.0142180972899186,12210534.6290618,-778562.231072881,7.60603511122842e-20
"8",0.0122158575382755,16412492.9328,-4663292.26859693,7.06810496582573e-19
"9",0.00905632629859022,8312492.9328,4515881.04324807,8.7770338706498e-10
"10",-0.0127440505296989,5572260.37026159,-1540644.93384633,7.00136793242944e-07
"11",-0.00492821897167322,4912492.9328,6546755.6276696,0.00177498588133703
"12",0.0142605196840099,11745728.0544349,-185439.626876658,1.03984144525716e-19
"13",0.0154735893450635,13918008.3963521,671499.832689885,1.63063954835979e-28
"14",-0.0120153128582938,3612492.9328,6334843.79725628,6.19473447616382e-13
"15",-0.0510150873536504,-587507.067200001,650655.63004269,1.62743067166075e-101
"16",-0.0277733362188232,-6287507.0672,-746440.832947172,1.15769188903759e-76
"17",-0.0178026900471914,2812492.9328,5629078.8036412,6.9690058038579e-24
"18",0.0133553383971995,10212492.9328,5302709.05529041,1.11801153096167e-22
"19",-0.0472425296712255,3212492.9328,-2666317.15395143,1.68849630755968e-52
"20",-0.0475090452464162,-287507.067199999,1536582.67234473,9.94353673963704e-91
"21",0.0106996258639455,8912492.9328,5027567.56382831,4.73191338415454e-14
"22",-0.0202006034032206,-9258379.56429025,2537986.46990735,2.80181209397324e-49
"23",-0.0265122000261813,-6737387.58463333,1251505.03351495,6.72926110334734e-68
"24",-0.0200438688231896,-8687507.0672,4439661.28484339,4.15615605766722e-45
"25",-0.0257059804586985,-7787507.0672,-3462959.4860516,1.11873753958793e-72
"26",-0.0437003162567748,3412492.9328,-2482503.60327161,2.39861481119637e-46
"27",-0.0245644052307782,4489402.06877802,-1435386.89448943,2.60392146192459e-19
"28",-0.00858835238086475,4912492.9328,3966240.7240197,1.03727338774286e-06
"29",-0.0230948516052969,4913160.89331813,-2390407.42104354,4.24196006860018e-16
"30",-0.0150049229574458,-12887507.0672,4284904.98774022,1.72072349970516e-34
"31",-0.0286544070073287,-6487507.0672,-4044118.94671272,1.17360260910099e-80
"32",-0.0463337141465459,1412492.9328,551106.137634527,8.02434466008963e-73
"33",-0.0513591773077992,1112492.9328,-48183.2180021848,3.42728424930113e-84
"34",-0.0165311635814368,-10287507.0672,5995386.69249296,4.54584381723856e-35
"35",-0.00372066639914837,5612492.9328,4127085.45203006,0.0279224660930284
"36",0.0081758515962049,8012492.9328,4885289.0052153,2.70088935768843e-08
"37",-0.0225242486611629,-8787507.0672,-447800.504883018,1.93881706325239e-60
"38",0.0154981440685078,13188508.3840251,1054748.89648298,1.11163641181799e-27
"39",-0.0186048934123279,-9187507.0672,5166706.06012322,1.37240766475019e-40
"40",-0.0278009451460265,-6687507.0672,-3462959.4860516,4.7558495343131e-79
"41",-0.0453113975886486,1312492.9328,849251.060033627,2.47372373702523e-72
"42",-0.0211215506789775,-8087507.0672,5027567.56382831,3.49205498842859e-46
"43",-0.030317401873202,-5518719.39417414,4757.14092390169,2.81431605367596e-81
"44",0.0115968788471597,9312492.9328,5692033.38606482,3.9259861287952e-17
"45",-0.0420990790896811,1912492.9328,650655.630042691,2.96139240530262e-61
"46",-0.00372066639914837,5612492.9328,4127085.45203006,0.0279224660930284
"47",0.0135723353408007,10412492.9328,2669631.82290004,7.43673722141606e-20
"48",-0.0328382697440394,3412492.9328,-447800.504883018,8.37222352613529e-35
"49",0.0146939161316069,11212492.9328,6053801.13068652,7.77501575507366e-29
"50",-0.0247879586255254,-7687507.0672,-1533058.38713084,8.94715063125092e-69
"51",-0.0142894276467876,-14355786.2942919,5874866.95601478,1.25053796101211e-31
"52",-0.0480373265434799,-787507.067199999,1439313.28041778,4.94225105496499e-96
"53",0.0110491367914796,9012492.9328,6648528.05500051,1.06389465316763e-15
"54",0.0151691535412567,12814119.9800434,524285.054721539,3.53036511635163e-25
"55",-0.0167180777113104,-10187507.0672,5754221.76604979,8.93676459211203e-36
"56",-0.0275322061128058,-7087507.0672,-4282068.02038063,1.31904677746064e-77
"57",-0.0159796711540389,-11687507.0672,3884698.08929774,4.17273281479057e-37
"58",0.0148312855287048,15412492.9328,-547490.131163024,6.49718658333298e-28
"59",-0.0150558818530887,-12287507.0672,4739871.92051838,5.09295019558776e-34
"60",-0.0215885441970676,2612492.9328,4591324.35771204,6.62865848279209e-31
"61",-0.0200679944902882,-8587507.0672,4739871.92051838,1.52355905888092e-44
"62",0.0137438722981659,10907289.4839755,447751.816258464,8.76987595140287e-18
