FISHNET_ID,Latitude,Longitude,cassava_HgHa,AET_mean,cassava_Fertilizer,Pesticide,GDP_Mean,cassavaBinaryGCO,Sim0.1x,Sim0.5x,Sim1.0x,Sim1.5x,Sim2.0x,Sim2.5x,Sim3x,Sim3.5x,Sim4.0x,Sim4.5x,Sim5.0x,Sim10.0x,Sim50.0x,Sim100x,Sim1000x
48113,14.7695,25.2651,0.012222222,195.6279762,2.763915798,5286,387.7801545,0,0.001222222,0.006111111,0.012222222,0.018333333,0.024444444,0.030555555,0.036666666,0.042777777,0.048888888,0.054999999,0.06111111,0.12222222,0.6111111,1.2222222,12.222222
52858,14.7695,26.1634,0.012222222,186.2886905,2.763915798,5286,387.7801545,0,0.001222222,0.006111111,0.012222222,0.018333333,0.024444444,0.030555555,0.036666666,0.042777777,0.048888888,0.054999999,0.06111111,0.12222222,0.6111111,1.2222222,12.222222
61597,19.0916,33.3499,0.012222222,22.51190476,1.946119568,5286,387.7801545,0,0.001222222,0.006111111,0.012222222,0.018333333,0.024444444,0.030555555,0.036666666,0.042777777,0.048888888,0.054999999,0.06111111,0.12222222,0.6111111,1.2222222,12.222222
53172,18.2354,33.3499,0.013333333,36.01190476,1.952077529,5286,387.7801545,0,0.001333333,0.006666667,0.013333333,0.02,0.026666666,0.033333333,0.039999999,0.046666666,0.053333332,0.059999999,0.066666665,0.13333333,0.66666665,1.3333333,13.333333
59792,18.2354,-89.7193,0.022045455,969.1934524,8.494229833,73426,1677.111797,0,0.002204546,0.011022728,0.022045455,0.033068183,0.04409091,0.055113638,0.066136365,0.077159093,0.08818182,0.099204548,0.110227275,0.22045455,1.10227275,2.2045455,22.045455
29945,16.5103,35.1465,0.024444444,149.1488095,2.850157282,5286,387.7801545,0,0.002444444,0.012222222,0.024444444,0.036666666,0.048888888,0.06111111,0.073333332,0.085555554,0.097777776,0.109999998,0.12222222,0.24444444,1.2222222,2.4444444,24.444444
60667,15.6418,29.7566,0.026666667,124.8452381,2.732598445,5286,387.7801545,0,0.002666667,0.013333334,0.026666667,0.040000001,0.053333334,0.066666668,0.080000001,0.093333335,0.106666668,0.120000002,0.133333335,0.26666667,1.33333335,2.6666667,26.666667
57331,1.37279,10.892,0.032492542,872.8452381,71.43886227,0,4221.065231,0,0.003249254,0.016246271,0.032492542,0.048738813,0.064985084,0.081231355,0.097477626,0.113723897,0.129970168,0.146216439,0.16246271,0.32492542,1.6246271,3.2492542,32.492542
56431,17.3326,38.6122,0.039550562,209.4583333,1.975754487,182,316.0033745,0,0.003955056,0.019775281,0.039550562,0.059325843,0.079101124,0.098876405,0.118651686,0.138426967,0.158202248,0.177977529,0.19775281,0.39550562,1.9775281,3.9550562,39.550562
46346,-0.435754,26.1634,0.041387866,960.514881,230.9195649,0,183.9673847,0,0.004138787,0.020693933,0.041387866,0.062081799,0.082775732,0.103469665,0.124163598,0.144857531,0.165551464,0.186245397,0.20693933,0.41387866,2.0693933,4.1387866,41.387866
53155,-0.435754,27.0617,0.041387866,956.8720238,263.241682,0,183.9673847,0,0.004138787,0.020693933,0.041387866,0.062081799,0.082775732,0.103469665,0.124163598,0.144857531,0.165551464,0.186245397,0.20693933,0.41387866,2.0693933,4.1387866,41.387866
31868,-5.85147,-71.753,0.041738609,804.485119,75.32202453,976736,3807.754204,1,0.004173861,0.020869305,0.041738609,0.041738609,0.041738609,0.104346523,0.125215827,0.146085132,0.166954436,0.187823741,0.041738609,0.41738609,2.08693045,4.1738609,41.738609
57383,-1.33998,-64.5665,0.047896766,948.5922619,54.72249833,976736,3807.754204,1,0.004789677,0.023948383,0.047896766,0.047896766,0.047896766,0.119741915,0.143690298,0.167638681,0.191587064,0.215535447,0.047896766,0.47896766,2.3948383,4.7896766,47.896766
58884,-1.33998,33.3499,0.048187884,896.8988095,24.36853388,55,387.1450508,0,0.004818788,0.024093942,0.048187884,0.072281826,0.096375768,0.12046971,0.144563652,0.168657594,0.192751536,0.216845478,0.24093942,0.48187884,2.4093942,4.8187884,48.187884
56790,3.17995,36.0448,0.048310139,234.5952381,3.932967185,19074,419.8013152,0,0.004831014,0.02415507,0.048310139,0.072465209,0.096620278,0.120775348,0.144930417,0.169085487,0.193240556,0.217395626,0.241550695,0.48310139,2.41550695,4.8310139,48.310139
