FISHNET_ID,Latitude,Longitude,cassava_HgHa,AET_mean,cassava_Fertilizer,Pesticide,GDP_Mean,cassavaBinaryGCO,Sim1.0x,Sim0.1x,Sim0.2x,Sim0.5x,Sim0.8x,Sim1.1x,Sim1.2x,Sim1.5x,Sim1.8x,Sim2.0x,Sim2.5x,Sim3.0x,Sim4.0x,Sim5.0x
49246,-1.33998,-73.5496,0.167996706,822.9166667,37.77637163,16571,2065.427423,1,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706,0.167996706
57657,2.27666,-68.1597,0.170700643,967.6875,55.48796786,976736,3807.754204,1,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643,0.170700643
54256,-2.24386,-71.753,0.172522224,818.1190476,37.73363253,16571,2065.427423,1,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224,0.172522224
54348,1.37279,-70.8547,0.176902554,928.2083333,50.84559244,476933,2463.075323,1,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554,0.176902554
10814,-6.75027,-63.6682,0.178381244,834.3035714,75.96149877,976736,3807.754204,1,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244,0.178381244
53734,-1.33998,-68.1597,0.180639227,870.1755952,75.35216875,976736,3807.754204,1,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227,0.180639227
21808,-4.95121,-70.8547,0.182132114,836.7291667,69.5924036,976736,3807.754204,1,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114,0.182132114
38699,-2.24386,-64.5665,0.196513587,924.8571429,57.0220752,976736,3807.754204,1,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587,0.196513587
48710,-8.54258,-66.3631,0.197956714,798.9642857,75.96098632,976736,3807.754204,1,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714,0.197956714
48059,-4.95121,-69.9564,0.202598225,856.6964286,138.7970752,976736,3807.754204,1,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225,0.202598225
50080,-2.24386,-75.3463,0.203453948,796.4583333,37.61697527,100557,2023.86319,1,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948,0.203453948
47733,-7.64738,-59.1766,0.20527186,856.1547619,57.04666108,976736,3807.754204,1,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186,0.20527186
54433,-5.85147,-70.8547,0.208693047,819.0803571,108.2409334,976736,3807.754204,1,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047,0.208693047
57708,-2.24386,-72.6513,0.218141814,807.0178571,37.73880081,16571,2065.427423,1,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814,0.218141814
50599,-6.75027,-72.6513,0.234957322,798.1071429,76.32818875,976736,3807.754204,1,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322,0.234957322
46856,-7.64738,-68.1597,0.235241552,782.3184524,73.37963837,976736,3807.754204,1,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552,0.235241552
6783,2.27666,-69.0581,0.2383762,945.1994048,50.708485,476933,2463.075323,1,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762,0.2383762
56813,-1.33998,-63.6682,0.23948383,948.3214286,75.09485283,976736,3807.754204,1,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383,0.23948383
45105,0.468577,-71.753,0.243241012,902.5208333,50.77231052,476933,2463.075323,1,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012,0.243241012
57358,-3.14718,-63.6682,0.268358741,893.1210317,59.77881323,976736,3807.754204,1,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741,0.268358741
26400,-4.95121,-69.0581,0.271854574,863.7083333,97.4679956,976736,3807.754204,1,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574,0.271854574
58292,-4.0497,-67.2614,0.28779114,871.1994048,65.99789886,976736,3807.754204,1,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114,0.28779114
42855,-4.95121,-65.4648,0.296650055,862.672619,379.1395926,976736,3807.754204,1,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055,0.296650055
49128,-8.54258,-59.1766,0.298577251,854.172619,75.98139686,976736,3807.754204,1,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251,0.298577251
49934,-5.85147,-73.5496,0.301669673,814.2410714,64.70012067,16571,2065.427423,1,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673,0.301669673
47768,-0.435754,-69.0581,0.316118648,860.3869048,75.42076933,976736,3807.754204,1,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648,0.316118648
54751,-3.14718,-74.4479,0.32159144,798.6984127,55.28435279,16571,2065.427423,1,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144,0.32159144
55566,-2.24386,-70.8547,0.335781826,841.7202381,37.76197706,16571,2065.427423,1,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826,0.335781826
54539,1.37279,-62.7698,0.3358994,937.9077381,77.17056579,976736,3807.754204,1,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994,0.3358994
