Simulation,Variable,Importance,Fert_Standard
5,cassava_Fertilizer,0.272,1
5,cassava_Fertilizer,0.273,1
5,cassava_Fertilizer,0.271,1
5,cassava_Fertilizer,0.272,1
5,cassavaBinaryGCO,0.316,1.166051661
5,cassavaBinaryGCO,0.317,1.165441176
5,cassavaBinaryGCO,0.312,1.142857143
5,cassavaBinaryGCO,0.318,1.173431734
5,cassavaBinaryGCO,0.318,1.169117647
5,GDP_Mean,0.217,0.800738007
5,GDP_Mean,0.21,0.772058824
5,GDP_Mean,0.209,0.765567766
5,GDP_Mean,0.217,0.800738007
5,GDP_Mean,0.213,0.783088235
5,Pesticide,0.269,0.992619926
5,Pesticide,0.27,0.992647059
5,Pesticide,0.265,0.970695971
5,Pesticide,0.261,0.963099631
5,Pesticide,0.268,0.985294118
10,AET_mean,0.247,0.85467128
10,AET_mean,0.249,0.83557047
10,AET_mean,0.248,0.855172414
10,AET_mean,0.246,0.848275862
10,AET_mean,0.245,0.833333333
10,cassava_Fertilizer,0.289,1
10,cassava_Fertilizer,0.298,1
10,cassava_Fertilizer,0.29,1
10,cassava_Fertilizer,0.29,1
10,cassava_Fertilizer,0.294,1
10,cassavaBinaryGCO,0.099,0.342560554
10,cassavaBinaryGCO,0.099,0.332214765
10,cassavaBinaryGCO,0.1,0.344827586
10,cassavaBinaryGCO,0.095,0.327586207
10,cassavaBinaryGCO,0.097,0.329931973
10,GDP_Mean,0.237,0.820069204
10,GDP_Mean,0.232,0.77852349
10,GDP_Mean,0.237,0.817241379
10,GDP_Mean,0.23,0.793103448
10,GDP_Mean,0.241,0.819727891
10,Pesticide,0.248,0.858131488
10,Pesticide,0.259,0.869127517
10,Pesticide,0.252,0.868965517
10,Pesticide,0.26,0.896551724
10,Pesticide,0.25,0.850340136
15,cassavaBinaryGCO,0.126,0.67379679
15,cassavaBinaryGCO,0.131,0.71195652
15,cassavaBinaryGCO,0.131,0.70810811
15,cassavaBinaryGCO,0.13,0.69148936
15,cassavaBinaryGCO,0.132,0.72527473
25,cassavaBinaryGCO,0.081,0.32793522
25,cassavaBinaryGCO,0.083,0.3254902
25,cassavaBinaryGCO,0.078,0.31578947
25,cassavaBinaryGCO,0.081,0.324
25,cassavaBinaryGCO,0.081,0.32142857
