"","X1","X2","distances"
"40618",16610430.5419784,-2484095.86148791,1953804.01512158
"40648",14912492.9328,-1629975.9613,2283033.53463475
"40682",16909969.5079703,-2759789.93899038,2005828.22959856
"40723",15312492.9328,-3462959.48605,429148.506685395
"40731",14712492.9328,-3462959.48605,686123.211118866
"40737",16512492.9328,-2757354.6945,1693602.11867559
"40768",14438183.6635643,-1604586.7908851,2423617.48884489
"40778",16711129.3784102,-3880780.3649241,1459822.45299355
"40893",15812492.9328,-2108372.58065,1865746.6017719
"40905",13512492.9328,-3632617.3477,1757444.75777325
"40952",16612492.9328,-3290516.78655,1486418.98836246
"40966",16612492.9328,-3203276.62205,1523566.06185323
"40967",15312492.9328,-2013585.1064,1875139.04255476
"40984",16508615.0098029,-4177218.00951092,1290188.97577474
"41069",15412492.9328,-3716378.65495,235235.144017726
"41116",16412492.9328,-4588599.63195,1356295.7567362
"41126",13212492.9328,-3026814.8206,2213142.16126612
"41160",14312492.9328,-2666317.15395,1540533.25884248
"41194",14112528.3435095,-3540618.81954239,1190519.97279196
"41229",13512492.9328,-3026814.8206,1940283.46278341
"41271",16712492.9328,-3377081.28795,1547828.94844595
"41299",15312492.9328,-2937617.42485,952075.801474514
"41380",16112492.9328,-2202676.04035,1892354.83344284
"41420",15712492.9328,-3290516.78655,754543.795304901
"41448",15912492.9328,-4203511.25305,732710.928559714
"41508",15753639.428203,-1739692.87456271,2205984.67294595
"41527",16512492.9328,-3716378.65495,1272756.23598177
"41581",12829234.745471,-3290718.35442497,2494580.53008835
"41631",13512789.8042337,-3710673.1733752,1747525.965205
"41658",15812492.9328,-3290516.78655,819493.88996634
"41704",12812492.9328,-3115372.02545,2558207.42172312
"41798",14812492.9328,-3462959.48605,610736.405902831
"41861",13512492.9328,-3203276.62205,1868690.11566946
"41966",16312492.9328,-3799416.93585,1064837.63690512
"41981",13712492.9328,-3548141.3286,1575854.4422309
"42008",15912153.1753036,-1435993.55039191,2539229.95425109
"42024",16212492.9328,-3799416.93585,965217.745542754
"42038",15512492.9328,-2202676.04035,1705169.6208003
"42060",14537592.2535893,-1267915.18493203,2715294.05649719
"42063",16612492.9328,-4124193.2187,1381556.7406948
"42104",15112492.9328,-3548141.3286,366867.518765855
"42116",15812492.9328,-3203276.62205,885088.906019415
"42183",13712492.9328,-2847792.8487,1857272.37372505
"42206",13712492.9328,-3203276.62205,1684182.45499673
"42213",14183766.9147883,-1564437.83705057,2556823.34725337
"42279",16812492.9328,-3548141.3286,1597675.81803353
"42318",16212492.9328,-2757354.6945,1483774.39201698
"42424",13712492.9328,-3026814.8206,1763283.21867727
"42442",15812533.9995024,-1726546.51567333,2232857.98388356
"42466",13612492.9328,-2574695.0043,2099956.26203237
"42471",14412492.9328,-2847792.8487,1336075.57676038
"42497",15412492.9328,-1918332.28425,1975977.70138612
"42503",15712492.9328,-2757354.6945,1220826.34437095
"42526",12912492.9328,-3026814.8206,2492247.28628532
"42569",16212492.9328,-3026814.8206,1290354.65115016
"42592",14212492.9328,-3026814.8206,1349198.72241418
"42653",13612492.9328,-3632617.3477,1658567.44610634
"42672",16112492.9328,-3462959.48605,960228.938359297
"42777",16223403.7185759,-4733109.97890794,1288260.00297089
"42793",15812492.9328,-3026814.8206,1027657.30625958
"42795",13712492.9328,-2757354.6945,1909381.84497741
"42813",14412492.9328,-2013585.1064,2053300.11420197
"42825",14612492.9328,-3377081.28795,817840.218996024
"42836",16512492.9328,-2666317.15395,1755673.2179135
"42847",16212492.9328,-2847792.8487,1416089.01085994
"42895",14012492.9328,-2847792.8487,1617455.52030942
"42902",15712492.9328,-3462959.48605,626980.085350772
"42917",16412492.9328,-2757354.6945,1620510.48738458
"42925",16484598.6321724,-4534909.56723926,1392772.06566526
"42971",16512492.9328,-4044118.9467,1270829.32231403
"42999",15212492.9328,-2482503.6033,1405758.96536613
"43004",14412492.9328,-2108372.58065,1967164.41326006
"43007",16012492.9328,-2666317.15395,1439173.0142007
"43016",13712492.9328,-2666317.15395,1964647.38353873
"43020",14412492.9328,-3026814.8206,1202000.41010065
"43097",15912492.9328,-3716378.65495,683011.75412744
"43113",14812492.9328,-2482503.6033,1472149.00131443
"43122",13912492.9328,-2296477.34305,2079552.83153477
"43126",16469015.5886722,-4780468.88183317,1509888.63720867
"43139",15212492.9328,-2296477.34305,1591722.53728839
"43154",13912492.9328,-2666317.15395,1812265.74623141
"43186",16712492.9328,-3462959.48605,1521657.9753732
"43196",13212492.9328,-2482503.6033,2476182.6135256
"43212",15912492.9328,-3799416.93585,667040.933026989
"43226",14112492.9328,-2013585.1064,2193020.67227026
"43231",16012492.9328,-1918332.28425,2111371.88963229
"43237",13512492.9328,-2296477.34305,2357032.96381449
"43253",14712492.9328,-2013585.1064,1950062.31925006
"43277",15512492.9328,-2389758.88315,1520564.20089501
"43278",13612492.9328,-3377081.28795,1716544.10290475
"43282",15007049.1115547,-1362905.88401535,2536609.4347767
"43286",16112492.9328,-1918332.28425,2149447.63904322
"43294",16612492.9328,-3115372.02545,1565028.20600868
"43304",15512492.9328,-3377081.28795,573557.053603934
"43344",15012492.9328,-2574695.0043,1334575.15924564
"43391",15512492.9328,-2296477.34305,1612539.092763
"43414",14512492.9328,-1822633.2914,2193280.44862103
"43432",15037818.8024468,-3708502.46153249,278756.832563808
"43439",14012492.9328,-2757354.6945,1677033.30912253
"43509",16212492.9328,-2482503.6033,1702497.35250826
"43515",16312492.9328,-3203276.62205,1262755.65920484
"43518",16712492.9328,-3203276.62205,1613532.59697163
"43527",15012492.9328,-2666317.15395,1244540.07497273
"43575",16412492.9328,-3548141.3286,1209806.77502357
"43576",15012492.9328,-3377081.28795,563735.940351176
"43584",13917295.9298087,-1730622.89791738,2536281.51951456
"43586",13012492.9328,-2482503.6033,2643295.77274439
"43588",15312492.9328,-2574695.0043,1314455.22770943
"43591",15612492.9328,-2202676.04035,1723321.59864585
"43604",16312492.9328,-3548141.3286,1114180.65691067
"43615",15912492.9328,-3115372.02545,1016698.58315503
"43632",16012492.9328,-3716378.65495,780217.247268529
"43647",13712492.9328,-3632617.3477,1559833.28273978
"43679",14812492.9328,-2847792.8487,1128730.93935257
"43714",14212492.9328,-2013585.1064,2142795.73587025
"43719",16154719.8764159,-4632870.91407015,1171053.28443325
"43725",15512492.9328,-2666317.15395,1249019.40797904
"43766",13112492.9328,-2666317.15395,2463013.59348489
"43767",12915812.3634091,-3796646.51429322,2337286.36174764
"43771",15012492.9328,-1726507.8001,2174374.58929943
"43800",16512492.9328,-3632617.3477,1286712.46842325
"43815",15712492.9328,-2847792.8487,1137602.12877046
"43816",14512492.9328,-1918332.28425,2103421.69011442
"43845",14712492.9328,-2666317.15395,1334982.5123334
"43846",16312492.9328,-4737203.89085,1359298.74268969
"43910",15412492.9328,-2013585.1064,1881058.29935497
"43911",16712492.9328,-2937617.42485,1742906.44756966
"43918",17012492.9328,-3115372.02545,1923083.16831043
"43926",13512492.9328,-3290516.78655,1838529.47012939
"43944",13312492.9328,-3377081.28795,2004949.36774971
"43959",14112492.9328,-2108372.58065,2112589.43924741
"43977",13112492.9328,-3548141.3286,2165620.89090972
"44025",15912492.9328,-3026814.8206,1085501.46741851
"44041",14012492.9328,-3290516.78655,1375267.28159636
"44073",14112492.9328,-2482503.6033,1808752.44449256
"44084",15712492.9328,-2482503.6033,1478961.71417736
"44090",16103619.2832919,-1640422.63407368,2403493.57544935
"44097",14212492.9328,-2847792.8487,1469908.21260972
"44125",15312492.9328,-3203276.62205,687177.479450137
"44132",16030302.9917014,-4392225.57450276,928078.001637865
"44139",12919985.6162082,-3633197.4675216,2345191.02695964
"44180",16212492.9328,-3881724.4436,961188.221072226
"44190",16011041.8729909,-1633880.30742603,2378443.45141185
"44195",16512492.9328,-4124193.2187,1283146.57428534
"44196",16312492.9328,-2296477.34305,1912629.99531045
"44199",15112492.9328,-2202676.04035,1690759.54797365
"44200",15306437.2478027,-1830489.79095763,2057974.50097796
"44206",16312492.9328,-3881724.4436,1061186.45533527
"44219",13212492.9328,-2937617.42485,2249341.34846481
"44235",13012492.9328,-3290516.78655,2317114.82866928
"44242",17065968.062714,-2768547.95586468,2132016.63816817
"44265",14012492.9328,-2389758.88315,1943863.94563968
"44285",12937534.3260951,-2328400.64100768,2790182.11062333
"44301",15512492.9328,-3548141.3286,428400.937162345
"44320",13912492.9328,-3290516.78655,1465989.83597104
"44338",14112492.9328,-3290516.78655,1285921.45657831
"44391",14712492.9328,-2757354.6945,1252229.21085548
"44400",16212492.9328,-3548141.3286,1019394.25129577
"44437",16315466.0485963,-4799582.50985415,1401385.54909602
"44490",13812492.9328,-2757354.6945,1829746.68372111
"44494",15412492.9328,-3290516.78655,618574.691574108
"44495",16812492.9328,-3290516.78655,1671499.08832836
"44559",14312492.9328,-3290516.78655,1112682.248356
"44640",16912492.9328,-3377081.28795,1737884.41703279
"44688",13712492.9328,-2482503.6033,2083902.54542328
"44713",15312492.9328,-3026814.8206,863081.720240611
"44714",17011871.4730946,-3290069.87442614,1859226.28801175
"44732",15912492.9328,-1726507.8001,2260090.68944643
"44749",16486058.6058733,-4432652.60293215,1349635.40430958
"44756",13912492.9328,-2108372.58065,2226783.85693394
"44767",16112492.9328,-2296477.34305,1809332.94493942
"44773",16131835.2798845,-4533016.64219522,1091650.52924137
"44784",14112492.9328,-2847792.8487,1542204.99831846
"44786",13612492.9328,-3462959.48605,1692983.22424844
"44789",15912492.9328,-3963293.9918,665473.952499436
"44791",14512492.9328,-2482503.6033,1587614.87524335
"44819",16912492.9328,-3290516.78655,1765260.06552621
"44865",16212492.9328,-2108372.58065,2022361.48318235
"44874",13112492.9328,-3377081.28795,2198943.87693772
"44877",14812492.9328,-3115372.02545,888314.778521676
"44882",15212492.9328,-1822633.2914,2065457.91603619
"44883",14612492.9328,-3115372.02545,1002314.99660632
"44939",14212492.9328,-3203276.62205,1244041.80999434
"44948",14912492.9328,-1533058.3871,2378921.28559389
"44952",16296170.3396459,-4326729.26784343,1133326.40685154
"44979",16245018.9277352,-4785087.70455133,1338913.15200271
"44984",15112492.9328,-2757354.6945,1138865.04167785
"44991",16208251.8504095,-1920745.57421404,2187401.34073757
"45000",13012492.9328,-3203276.62205,2341117.9519848
"45035",16012492.9328,-2847792.8487,1288735.92848194
"45054",12914232.3634221,-2391536.02989896,2774991.83378112
"45079",16812492.9328,-2757354.6945,1927430.88757018
"45081",13212492.9328,-3632617.3477,2054728.78664011
"45096",13112492.9328,-2574695.0043,2509710.50504909
"45101",13950372.1312275,-1636397.86769388,2600183.35000322
"45102",16012492.9328,-3632617.3477,802782.344786347
"45104",13912492.9328,-3115372.02545,1545638.40396409
"45119",14912492.9328,-2847792.8487,1093740.11086307
"45121",15812492.9328,-2013585.1064,1956352.7064945
"45123",16912492.9328,-3462959.48605,1714616.80480944
"45132",16712492.9328,-2847792.8487,1793454.08917359
"45134",15612492.9328,-3203276.62205,773895.715352244
"45155",14512492.9328,-3115372.02545,1068831.81827774
"45157",13612492.9328,-3115372.02545,1811710.90018014
"45194",13683731.6863511,-1849748.04949408,2571127.91440971
"45198",16612492.9328,-3881724.4436,1361182.71476101
"45208",15512492.9328,-3026814.8206,899654.29423283
"45214",14212492.9328,-1822633.2914,2311661.18545217
"45217",13412492.9328,-3632617.3477,1856442.34490749
"45218",12644899.4603785,-2670661.41606554,2876576.54589355
"45228",16012492.9328,-4124193.2187,797054.35686971
"45229",16212492.9328,-3963293.9918,964135.50470478
"45232",13312492.9328,-3462959.48605,1984814.98069959
"45236",12713412.3292416,-2756594.72426654,2778569.99192834
"45240",14412492.9328,-3377081.28795,982036.063741745
"45260",16412492.9328,-2666317.15395,1685275.80871491
"45310",13112492.9328,-2389758.88315,2611226.1428736
"45313",15828058.757479,-1181757.21275997,2766747.47828818
"45350",13112492.9328,-3290516.78655,2220642.93075183
