OBJECTID,COUNTRY,Fishnet_ID,Rowid_,FISHNET__1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
25,Congo DRC,24,1,24,40,3436461878.01000000000,0.68561244011,2.75744891167,2.07183647156,2.35464007854,0.34159247272,94.18560314180
120,India,119,2,119,52,4467400441.42000000000,2.37860989571,2.37860989571,0.00000000000,2.37860989571,0.00000000000,123.68771457700
162,Tanzania,161,3,161,95,8161596960.28000000000,1.55119872093,2.14650201797,0.59530329704,2.00859517047,0.25109670409,190.81654119500
251,Russian Federation,250,4,250,33,2835081049.36000000000,1.74987030029,1.74987030029,0.00000000000,1.74987030029,0.00000000000,57.74571990970
357,Tanzania,356,5,356,57,4896958176.17000000000,0.89732730389,1.97116339207,1.07383608818,1.33758993734,0.38542689939,76.24262642860
364,India,363,6,363,86,7388393037.73000000000,2.28860378265,2.51482033730,0.22621655464,2.38164727632,0.05639840880,204.82166576400
465,China,464,7,464,80,6872923756.02000000000,0.33311104775,0.85187172890,0.51876068115,0.64777022600,0.18462695519,51.82161808010
470,Turkmenistan,469,8,469,6,515469281.70200000000,1.00989425182,1.18593728542,0.17604303360,1.03923475742,0.06560736502,6.23540854454
577,Ecuador,576,9,576,5,429557734.75100000000,0.00000000000,0.59989345074,0.59989345074,0.27330906391,0.19094569532,1.36654531956
666,Australia,665,10,665,68,5841985192.62000000000,0.09885501862,1.13251757622,1.03366255760,0.39764955289,0.14638685915,27.04016959670
719,Nigeria,718,11,718,105,9020712429.78000000000,1.59000349045,1.64400744438,0.05400395393,1.59360375404,0.01347095288,167.32839417500
759,United States,758,12,758,8,687292375.60200000000,1.94693207741,1.94693207741,0.00000000000,1.94693207741,0.00000000000,15.57545661930
957,China,956,13,956,77,6615189115.17000000000,1.39879000187,2.45930433273,1.06051433086,1.97892103722,0.31754359709,152.37691986600
1016,Spain,1015,14,1015,70,6013808286.52000000000,0.54580593109,1.13180756569,0.58600163460,0.57929173878,0.13601999385,40.55042171480
1106,Tanzania,1105,15,1105,1,85911546.95030000000,1.54836869240,1.54836869240,0.00000000000,1.54836869240,0.00000000000,1.54836869240
1301,Brazil,1300,16,1300,47,4037842706.66000000000,0.37802624703,0.70204925537,0.32402300835,0.57546574004,0.11660841533,27.04688978200
1318,Russian Federation,1317,17,1317,14,1202761657.30000000000,2.17027211189,2.55193901062,0.38166689873,2.40193469184,0.14920462166,33.62708568570
1416,Australia,1415,18,1415,22,1890054032.91000000000,0.00000000000,0.35259640217,0.35259640217,0.05445908958,0.11849113894,1.19809997082
1524,Argentina,1523,19,1523,1,85911546.95030000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
1530,China,1529,20,1529,70,6013808286.52000000000,1.07282543182,2.30866241455,1.23583698273,1.72278487342,0.31255781088,120.59494113900
1567,Peru,1566,21,1566,48,4123754253.61000000000,0.98360872269,1.88168525696,0.89807653427,1.34529252847,0.22319383721,64.57404136660
1582,South Africa,1581,22,1581,1,85911546.95030000000,0.83528268337,0.83528268337,0.00000000000,0.83528268337,0.00000000000,0.83528268337
1594,Mexico,1593,23,1593,1,85911546.95030000000,0.53364324570,0.53364324570,0.00000000000,0.53364324570,0.00000000000,0.53364324570
1651,Indonesia,1650,24,1650,1,85911546.95030000000,1.52622807026,1.52622807026,0.00000000000,1.52622807026,0.00000000000,1.52622807026
1667,Sweden,1666,25,1666,9,773203922.55300000000,1.70677506924,2.03323459625,0.32645952702,1.74304835002,0.10259633126,15.68743515010
1694,Russian Federation,1693,26,1693,3,257734640.85100000000,1.88436388969,1.88436388969,0.00000000000,1.88436388969,0.00000000000,5.65309166908
1790,Indonesia,1789,27,1789,7,601380828.65200000000,1.39787185192,1.89603221416,0.49816036224,1.63865251201,0.13395082749,11.47056758400
