OBJECTID,COUNTRY,Fishnet_ID,OBJECTID_1,Fishnet__1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
25,Congo DRC,24,1,24,27,0.18750000000,1.03740501404,3.61104416847,2.57363915443,2.23115142186,1.08977795378,60.24108839040
60,Sudan,59,2,59,107,0.74305555556,0.79465079308,1.13518905640,0.34053826332,0.80738119544,0.06459973660,86.38978791240
120,India,119,3,119,92,0.63888888889,0.93001544476,1.37118244171,0.44116699696,1.03293187074,0.17376195812,95.02973210810
155,South Sudan,154,4,154,14,0.09722222222,1.39201688766,1.39201688766,0.00000000000,1.39201688766,0.00000000000,19.48823642730
162,Tanzania,161,5,161,100,0.69444444444,3.04438066483,4.59773206711,1.55335140228,3.79936826229,0.28450102012,379.93682622900
357,Tanzania,356,6,356,61,0.42361111111,0.38792473078,1.55650019646,1.16857546568,0.98294063084,0.47361997121,59.95937848090
364,India,363,7,363,110,0.76388888889,0.93001544476,3.95726013184,3.02724468708,2.15315935395,0.97829047078,236.84752893400
377,Brazil,376,8,376,42,0.29166666667,2.56483483315,6.57413005829,4.00929522514,2.84828325680,0.61450329552,119.62789678600
394,Paraguay,393,9,393,107,0.74305555556,0.00000000000,2.07537269592,2.07537269592,1.77355016058,0.40352358866,189.76986718200
465,China,464,10,464,80,0.55555555556,2.91178536415,2.91178584099,0.00000047684,2.91178565621,0.00000009234,232.94285249700
577,Ecuador,576,11,576,3,0.02083333333,0.12411010265,1.77905273438,1.65494263172,1.05994077524,0.69278858206,3.17982232571
666,Australia,665,12,665,68,0.47222222222,0.98998856545,3.77080512047,2.78081655502,1.57693113299,1.00162205876,107.23131704300
719,Nigeria,718,13,718,116,0.80555555556,0.27321696281,1.07277703285,0.79956007004,0.48809910540,0.24997320490,56.61949622630
759,United States,758,14,758,71,0.49305555556,1.62507617474,5.01410579681,3.38902962208,3.14492125746,1.17210021668,223.28940928000
957,China,956,15,956,70,0.48611111111,1.64049458504,3.27260971069,1.63211512566,2.94450278282,0.53890438538,206.11519479800
1016,Spain,1015,16,1015,77,0.53472222222,0.00000000000,0.16970682144,0.16970682144,0.12783111226,0.07316432520,9.84299564362
1106,Tanzania,1105,17,1105,83,0.57638888889,2.02668857574,7.03262567520,5.00593709946,5.98032558395,0.82568315476,496.36702346800
1207,Mexico,1206,18,1206,15,0.10416666667,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
1257,Pakistan,1256,19,1256,85,0.59027777778,0.45670497417,0.60717386007,0.15046888590,0.53664751053,0.06069667273,45.61503839490
1301,Brazil,1300,20,1300,21,0.14583333333,0.49999582768,2.45114231110,1.95114648342,0.69961046605,0.57159156074,14.69181978700
1318,Russian Federation,1317,21,1317,11,0.07638888889,4.40970706940,4.73219108582,0.32248401642,4.67780824141,0.09976165856,51.45589065550
1343,Chad,1342,22,1342,110,0.76388888889,0.22409620881,0.55899268389,0.33489647508,0.36347300952,0.10644967255,39.98203104730
1416,Australia,1415,23,1415,42,0.29166666667,0.00000000000,4.46107435226,4.46107435226,1.06858952840,0.87312657729,44.88076019290
1524,Argentina,1523,24,1523,40,0.27777777778,1.43147480488,1.93386805058,0.50239324570,1.77059024572,0.23530836103,70.82360982890
1530,China,1529,25,1529,54,0.37500000000,2.38114356995,3.73856687546,1.35742330551,2.53196838167,0.42659698856,136.72629261000
1567,Peru,1566,26,1566,13,0.09027777778,1.44646430016,3.07961440086,1.63315010071,2.31548685294,0.65193655618,30.10132908820
1582,South Africa,1581,27,1581,2,0.01388888889,5.01358556747,5.01358556747,0.00000000000,5.01358556747,0.00000000000,10.02717113490
1594,Mexico,1593,28,1593,16,0.11111111111,0.00000000000,0.07315027714,0.07315027714,0.03657513857,0.03657513857,0.58520221710
1798,Mozambique,1797,29,1797,64,0.44444444444,2.07410883904,5.34359550476,3.26948666573,3.41380912438,0.56870524893,218.48378396000
2070,United States,2069,30,2069,79,0.54861111111,1.52710103989,1.93758630753,0.41048526764,1.59464924849,0.15219981603,125.97729063000
2106,Russian Federation,2105,31,2105,3,0.02083333333,1.69970703125,1.69970703125,0.00000000000,1.69970703125,0.00000000000,5.09912109375
2182,Gabon,2181,32,2181,8,0.05555555556,1.22065126896,1.22065126896,0.00000000000,1.22065126896,0.00000000000,9.76521015167
2230,Australia,2229,33,2229,60,0.41666666667,0.71020627022,5.66807031631,4.95786404610,3.51976974408,1.55068122670,211.18618464500
2289,Congo DRC,2288,34,2288,6,0.04166666667,1.69065117836,3.20153284073,1.51088166237,2.94971923033,0.56307235050,17.69831538200
2330,United States,2329,35,2329,4,0.02777777778,0.00000000000,0.65750169754,0.65750169754,0.49312627316,0.28470658655,1.97250509262
2421,China,2420,36,2420,31,0.21527777778,1.32668662071,1.64049458504,0.31380796433,1.42791499630,0.14669385281,44.26536488530
2460,Australia,2459,37,2459,1,0.00694444444,0.96751546860,0.96751546860,0.00000000000,0.96751546860,0.00000000000,0.96751546860
2475,Ethiopia,2474,38,2474,62,0.43055555556,0.00000000000,1.99031233788,1.99031233788,0.25014830789,0.57345067800,15.50919508930
2478,Niger,2477,39,2477,110,0.76388888889,0.00000000000,0.93902093172,0.93902093172,0.50990405841,0.42700868293,56.08944642540
2603,Greece,2602,40,2602,13,0.09027777778,1.55971848965,2.54970693588,0.98998844624,2.30084472436,0.34517941790,29.91098141670
2741,Congo DRC,2740,41,2740,100,0.69444444444,1.15360248089,1.79286146164,0.63925898075,1.27745802045,0.10261038990,127.74580204500
