Fishnet_ID,COUNTRY,mean_barle,NEAR_DIST,Producer
70784,Azerbaijan,1.929999948,3431.43408,Bottom
67587,Armenia,1.489907361,4753.490579,Bottom
63254,Turkmenistan,0.237575762,6567.715998,Bottom
42857,Turkmenistan,0.077129631,6967.203294,Bottom
45207,Pakistan,0.037070982,11218.86103,Bottom
65659,Azerbaijan,1.929999948,12936.34787,Bottom
69455,Georgia,1.342727264,15698.97342,Bottom
49998,Turkmenistan,0.036296297,16931.60353,Bottom
52534,Pakistan,0.040778081,18397.86386,Bottom
45688,Georgia,1.23944444,22238.70829,Bottom
70203,Georgia,1.009444441,23008.77247,Bottom
59388,Greece,2.59488821,25850.08747,Bottom
61913,Turkmenistan,0.387916674,29523.15111,Bottom
64123,Turkmenistan,0.004537037,29847.64509,Bottom
59601,Georgia,1.326923072,31501.55137,Bottom
57491,Azerbaijan,1.929999948,31838.84868,Bottom
60744,Turkmenistan,0.477750009,32541.48993,Bottom
56349,Pakistan,0.092677456,33729.70858,Bottom
62440,Afghanistan,0.430368265,33948.69301,Bottom
48520,Afghanistan,1.394387137,34148.46808,Bottom
67799,Turkmenistan,0.285833339,38346.90161,Bottom
51066,Bulgaria,2.510337546,39293.11795,Bottom
32656,Greece,0.817577564,40037.93281,Bottom
68606,Turkmenistan,0.316272733,44661.02923,Bottom
67543,Armenia,1.197036995,49851.67996,Bottom
52617,Greece,1.767251325,49869.5673,Bottom
64537,Bulgaria,2.457655014,51713.30269,Bottom
48838,Armenia,1.55191662,52848.26262,Bottom
63639,Turkmenistan,0.253166672,53005.60109,Bottom
55872,Bulgaria,2.621761521,53444.6825,Bottom
46832,Bulgaria,2.505054785,54004.25923,Bottom
9863,Turkmenistan,0.018148149,54091.69531,Bottom
67736,Afghanistan,1.492839918,54760.64889,Bottom
53363,Greece,1.608639121,56893.23154,Bottom
41897,Pakistan,0.028449824,57615.23028,Bottom
59249,Pakistan,0.02038904,61309.41548,Bottom
68881,Azerbaijan,1.415333295,61382.79461,Bottom
55972,Afghanistan,1.022124628,65770.25217,Bottom
44414,Afghanistan,0.040347025,66359.53417,Bottom
36563,Afghanistan,0.021165765,67188.14052,Bottom
64761,Georgia,1.282424238,70131.44384,Bottom
58985,Azerbaijan,1.848450654,72222.5354,Bottom
64366,Afghanistan,0.995226612,73405.53356,Bottom
69797,Turkmenistan,0.009074074,75133.43413,Bottom
57522,Georgia,1.436759241,79073.65939,Bottom
57324,Azerbaijan,1.894259208,80038.81316,Bottom
46114,Greece,1.062850833,80619.94703,Bottom
60727,Azerbaijan,1.929999948,81596.11985,Bottom
45584,Turkmenistan,0.064343436,84714.89776,Bottom
64408,Afghanistan,0.425738896,84950.8522,Bottom
469,Turkmenistan,0.081666668,89102.33722,Bottom
69212,Bulgaria,2.286171015,90105.25206,Bottom
27167,Turkmenistan,0.261333338,91996.99896,Bottom
71025,Greece,2.529926814,92265.74187,Bottom
30285,Greece,1.062850833,94123.22451,Bottom
67179,Georgia,1.838148099,95821.07727,Bottom
67506,Georgia,1.226666662,96512.96734,Bottom
59895,Georgia,1.157407409,96863.72705,Bottom
57277,Georgia,1.864814764,98867.65933,Bottom
52481,Pakistan,0.030330804,100262.2405,Bottom
67277,Turkmenistan,0.059393941,100331.7077,Bottom
64758,Pakistan,0.055606474,101789.3328,Bottom
41890,Georgia,1.054166663,104371.895,Bottom
50900,Greece,2.101079668,108417.2193,Bottom
47881,Libya,0.01780303,109435.1062,Bottom
71156,Greece,1.421902168,111908.1803,Bottom
69279,Bulgaria,2.844737441,112786.9682,Bottom
62241,Afghanistan,0.578258737,113985.8463,Bottom
69023,Afghanistan,1.203976606,114545.4009,Bottom
43641,Bulgaria,2.916582054,115043.8899,Bottom
44812,Greece,0.885709027,115646.9029,Bottom
51324,Georgia,1.290555551,116827.0763,Bottom
57298,Greece,1.062850833,117046.3413,Bottom
43624,Turkmenistan,0.326666673,117663.9573,Bottom
42508,Turkmenistan,0.49000001,119133.2539,Bottom
50776,Azerbaijan,1.736999953,120262.0551,Bottom
59816,Georgia,1.463131323,120532.4039,Bottom
67419,Bulgaria,2.89861149,120829.0616,Bottom
64575,Azerbaijan,1.895535663,121271.1528,Bottom
63735,Bulgaria,1.793221934,126232.1846,Bottom
41423,Pakistan,0.020220536,126380.0235,Bottom
48353,Turkmenistan,0.232750005,127001.4006,Bottom
53830,Greece,1.332798784,131836.0826,Bottom
56995,Greece,1.062850833,134726.7752,Bottom
60277,Afghanistan,1.357910737,134732.9157,Bottom
64536,Greece,1.850229667,141749.0563,Bottom
52878,Afghanistan,1.004620847,143592.999,Bottom
53674,Bulgaria,2.159689154,147275.3043,Bottom
58984,Bulgaria,2.959528115,148082.5272,Bottom
51563,Greece,2.388406802,149011.125,Bottom
63119,Afghanistan,1.305415695,149222.1875,Bottom
46011,Georgia,1.512314796,151113.6834,Bottom
44185,Afghanistan,0.181916659,152126.3069,Bottom
56614,Afghanistan,0.062575755,152552.9695,Bottom
57763,Turkmenistan,0.104351854,152779.3595,Bottom
58356,Azerbaijan,1.72148148,155871.1235,Bottom
52676,Azerbaijan,1.896666626,156656.8086,Bottom
66266,Pakistan,0.05055134,156756.8629,Bottom
2602,Greece,2.431911724,158339.5489,Bottom
69036,Bulgaria,2.914963484,159982.3052,Bottom
63699,Turkmenistan,0.013363637,162094.0166,Bottom
59362,Afghanistan,0.181916659,164457.5959,Bottom
22653,Turkmenistan,0.028405798,164691.9441,Bottom
59696,Turkmenistan,0.073500001,164943.2587,Bottom
47146,Greece,1.062850833,166203.0081,Bottom
64317,Georgia,1.77574071,166311.5757,Bottom
10031,Georgia,1.428333346,170005.2057,Bottom
52094,Georgia,1.614629647,170198.2532,Bottom
50336,Georgia,1.481944454,171239.0896,Bottom
71073,Georgia,1.171851861,177880.2283,Bottom
49266,Greece,1.062850833,178823.5204,Bottom
66838,Azerbaijan,1.929999948,178923.026,Bottom
61906,Georgia,1.441481487,179166.0272,Bottom
48122,Azerbaijan,1.654285669,181046.2783,Bottom
55169,Pakistan,0.163112322,182951.0055,Bottom
48587,Greece,1.570338249,183132.9942,Bottom
63376,Greece,2.245103697,183172.005,Bottom
64681,Georgia,0.907159095,183468.035,Bottom
64524,Russian Federation,1.712525271,185101.08,Top
60898,Bulgaria,3.154448951,185495.7761,Bottom
35165,Bulgaria,2.711935125,186852.8929,Bottom
63609,Pakistan,0.500458262,189300.486,Bottom
60698,Pakistan,0.428169847,190300.0332,Bottom
67461,Bulgaria,2.703983636,191376.2784,Bottom
58896,Turkmenistan,0.022685186,193102.1941,Bottom
49658,Bulgaria,2.902591987,193704.9969,Bottom
48471,Afghanistan,0.562583315,195420.7233,Bottom
65670,Afghanistan,0.033363884,195429.5361,Bottom
60652,Afghanistan,0.589999974,195834.1303,Bottom
66990,Greece,1.073623002,196119.591,Bottom
61000,Afghanistan,0.487314824,199929.9512,Bottom
62825,Bulgaria,1.669035311,200876.1311,Bottom
65295,Pakistan,0.275252044,201446.5767,Bottom
50293,Romania,2.491534948,201985.5764,Bottom
45945,Afghanistan,0.589999974,202924.8484,Bottom
56219,Turkmenistan,0.17966667,204959.1621,Bottom
56385,Greece,1.602865854,206234.4744,Bottom
53030,Greece,1.931845305,206404.2052,Bottom
70330,Turkmenistan,0.004537037,208204.8699,Bottom
64417,Pakistan,0.305835605,211397.4042,Bottom
66235,Greece,1.570338249,211603.7725,Bottom
63591,Libya,0.079811321,212912.3395,Bottom
62336,Romania,2.644979168,213929.1816,Bottom
47496,Bulgaria,1.911008802,214422.2404,Bottom
51293,Afghanistan,0.589999974,215102.744,Bottom
49606,Georgia,1.550370386,221169.264,Bottom
64527,Russian Federation,1.7139815,223822.5854,Top
59766,Turkmenistan,0.022685186,224772.9375,Bottom
62372,Greece,1.062850833,226310.9514,Bottom
54922,Greece,2.627015553,226522.5104,Bottom
68401,Greece,2.453853839,227732.4624,Bottom
61830,Turkmenistan,0.081666668,230855.1181,Bottom
55086,Russian Federation,1.730000019,230925.5856,Top
47655,Azerbaijan,1.640000014,231443.3624,Bottom
55984,Afghanistan,0.589999974,232662.9289,Bottom
67482,Greece,2.770266104,235923.2174,Bottom
71359,Georgia,0.115333335,236050.9789,Bottom
65548,Afghanistan,0.16627272,237883.1375,Bottom
63098,Georgia,1.721851867,238576.261,Bottom
58103,Turkmenistan,0.004949495,238701.3301,Bottom
