Fishnet_ID,mean_groun,NEAR_DIST,COUNTRY,Producer
44393,2.56451618300,191325.13639700000,Nicaragua,Bottom
51301,2.50730774500,196985.44585600000,Nicaragua,Bottom
19826,3.03761200400,222203.18605000000,Nicaragua,Bottom
47288,1.52640003200,229285.00081500000,Costa Rica,Bottom
36113,3.18000006700,234755.36887000000,Nicaragua,Bottom
62660,3.00333339600,234765.89002500000,Nicaragua,Bottom
46532,2.59500005300,251500.49859300000,Costa Rica,Bottom
49117,2.38436174800,251683.92520900000,Honduras,Bottom
60042,2.69818187500,254791.90157100000,Nicaragua,Bottom
56130,0.91896553100,276214.66365600000,Costa Rica,Bottom
41179,1.07000005200,276286.36101900000,Saint Vincent and the Grenadines,Bottom
49870,1.11297874100,300907.52632200000,Costa Rica,Bottom
61565,1.68375002800,305069.83518100000,Honduras,Bottom
45283,0.73403226900,316959.67900600000,Costa Rica,Bottom
53580,0.09919355000,317096.38457100000,Costa Rica,Bottom
40971,2.79454551300,332378.42543800000,Nicaragua,Bottom
44827,3.18000006700,332380.79539400000,Nicaragua,Bottom
55560,0.87000000500,340312.76310900000,Honduras,Bottom
53519,1.51659577500,344687.93745100000,Costa Rica,Bottom
5316,2.52977277900,346711.31513500000,Honduras,Bottom
42784,2.10999989500,359283.08730200000,Barbados,Bottom
57882,2.10999989500,359330.89711900000,Barbados,Bottom
12886,1.14517243200,370436.83974900000,Costa Rica,Bottom
47556,0.75701299100,373756.61457200000,Honduras,Bottom
38737,1.22008066400,382464.44697500000,Costa Rica,Bottom
60753,0.81250001000,385166.01419800000,Honduras,Bottom
49527,0.13924528500,388080.57359100000,Costa Rica,Bottom
55089,1.01859376600,407951.88299100000,Costa Rica,Bottom
52743,3.18000006700,429997.61246300000,Nicaragua,Bottom
46247,2.80271192300,429997.61496000000,Nicaragua,Bottom
53647,2.76450005800,439878.69293100000,Costa Rica,Bottom
24331,2.05363640000,440874.50039600000,Honduras,Bottom
58120,0.45830357400,441342.54381600000,Honduras,Bottom
57984,1.23000001900,453893.82128700000,Costa Rica,Bottom
6773,1.23000001900,470318.81765000000,Costa Rica,Bottom
56799,0.87000000500,471566.17529700000,Honduras,Bottom
55204,0.77031250400,518369.75706800000,Honduras,Bottom
51164,2.39815389200,527611.78114500000,Honduras,Bottom
27475,3.18000006700,527614.46491900000,Nicaragua,Bottom
45946,1.08000001000,536212.17931600000,Honduras,Bottom
22358,0.86395833800,561527.11572000000,Honduras,Bottom
63558,0.90399999600,569342.86423300000,Dominican Republic,Bottom
12862,1.01810525800,591165.60222700000,Dominican Republic,Bottom
58986,1.12999999500,592375.62977200000,Dominican Republic,Bottom
56290,0.78395604800,601197.46694600000,Honduras,Bottom
51188,1.31600001100,625433.11476700000,El Salvador,Bottom
62669,0.92022727600,632192.29842100000,El Salvador,Bottom
63905,0.81999999300,639365.50988500000,Haiti,Bottom
44703,0.87000000500,649739.30525100000,Honduras,Bottom
60336,1.10102563600,651217.63964500000,Dominican Republic,Bottom
60912,0.81999999300,652055.52441500000,Haiti,Bottom
59139,0.85791667100,653582.67338800000,Honduras,Bottom
61463,1.07619047200,669455.83516200000,Dominican Republic,Bottom
50698,1.12999999500,671387.86217400000,Dominican Republic,Bottom
59093,0.81999999300,678479.37486200000,Haiti,Bottom
22423,1.26999998100,680615.71900100000,Saba,Bottom
45424,0.96284721600,686145.16844500000,Dominican Republic,Bottom
45766,1.10645832900,687206.38706100000,Dominican Republic,Bottom
60977,0.82585106900,687656.09035500000,Guatemala,Bottom
61689,0.80948717200,688578.92723700000,Haiti,Bottom
42304,1.12999999500,698396.22303700000,Dominican Republic,Bottom
42985,0.81999999300,716838.66077100000,Haiti,Bottom
32269,1.12999999500,717669.47742700000,Dominican Republic,Bottom
45576,1.11066672000,719137.53363700000,Jamaica,Bottom
57448,1.00000000000,725397.69916200000,El Salvador,Bottom
18391,0.97221374100,728560.03656700000,El Salvador,Bottom
50871,1.19000005700,730064.70807800000,Jamaica,Bottom
59338,1.12999999500,731311.01603500000,Dominican Republic,Bottom
52727,0.81999999300,736242.02872100000,Haiti,Bottom
