OBJECTID,mean_cassa,Fishnet_ID,COUNTRY,NEAR_DIST
4776,8.583333492,56904,Guadeloupe,608258.8179
3246,11.10911107,51188,El Salvador,625433.1148
5766,6.557942286,62669,El Salvador,632192.2984
5883,4.340000153,63905,Haiti,639365.5099
1637,4.236829281,44703,Honduras,649739.3053
5467,6.528204942,60336,Dominican Republic,651217.6396
5565,4.340000153,60912,Haiti,652055.5244
5258,1.999464095,59139,Honduras,653582.6734
5640,3.724290212,61463,Dominican Republic,669455.8352
3123,2.715006828,50698,Dominican Republic,671387.8622
5246,4.340000153,59093,Haiti,678479.3749
5699,2.164999962,62059,Antigua and Barbuda,681228.8316
1809,5.440694431,45424,Dominican Republic,686145.1684
1901,6.56041648,45766,Dominican Republic,687206.3871
5580,2.161395296,60977,Guatemala,687656.0904
5666,4.284359125,61689,Haiti,688578.9272
1181,6.699999809,42304,Dominican Republic,698396.223
408,4.062678132,23201,Puerto Rico,702811.112
1287,4.340000153,42985,Haiti,716838.6608
609,4.414489129,32269,Dominican Republic,717669.4774
1844,17.50933355,45576,Jamaica,719137.5336
894,4.135389467,38929,Puerto Rico,723051.9353
4888,12.75,57448,El Salvador,725397.6992
317,7.736119076,18391,El Salvador,728560.0366
3172,18.76000023,50871,Jamaica,730064.7081
5295,2.715006828,59338,Dominican Republic,731311.016
3618,4.340000153,52727,Haiti,736242.0287
2658,1.799999952,48887,Cayman Islands,739565.6519
5414,1.799999952,60016,Cayman Islands,742674.6676
4108,18.76000023,54500,Jamaica,742679.7744
5234,2.013674479,59040,El Salvador,746907.6461
4151,18.76000023,54638,Jamaica,759194.7234
2514,3.383479261,48336,Puerto Rico,774201.4585
784,1.58214759,36984,Guatemala,776626.8953
1618,5.309333293,44630,Dominican Republic,780677.9797
4438,6.699999809,55672,Dominican Republic,781605.1213
708,3.999607984,35144,Haiti,782806.6822
2588,6.699999809,48634,Dominican Republic,791557.2718
5608,4.006153987,61223,Haiti,806961.2973
4586,6.214965933,56174,El Salvador,825396.6685
45,16.31371392,2177,Belize,838258.9584
2699,4.419908732,49082,Guatemala,840084.9759
5161,1.955213456,58616,El Salvador,841096.5866
4996,7.196636283,57934,Belize,846903.9447
5626,8.582563252,61329,Guatemala,864891.545
4774,1.825116916,56899,Guatemala,867336.0624
1060,4.650000095,41123,Cuba,885178.3178
2508,0.702600469,48314,Mexico,893505.9085
5900,4.581617741,64091,Cuba,897139.1283
1658,2.552057485,44816,Guatemala,902890.89
5713,3.100000064,62224,Cuba,906839.3528
3879,4.405263248,53676,Cuba,912946.5746
3306,0.681968727,51424,Guatemala,920399.7265
5077,4.317857231,58237,Cuba,925699.2528
1994,2.023093392,46169,Guatemala,925843.1057
3497,1.944796714,52241,Guatemala,935912.258
5622,4.497541076,61314,Cuba,938423.5889
367,4.579545548,21111,Cuba,939704.5398
3768,1.103061774,53276,Guatemala,946646.6817
4869,3.558333185,57361,Bahamas,953850.2816
3042,1.876796829,50378,Guatemala,959289.4772
5425,6.099999746,60084,Bahamas,961822.483
79,4.650000095,4340,Cuba,977787.7109
5871,4.650000095,63754,Cuba,978681.0533
4799,9.149999619,57038,Bahamas,978917.5067
5776,1.501446812,62790,Mexico,984828.539
5968,3.875000079,64913,Cuba,986963.6219
3663,4.650000095,52880,Cuba,989463.0974
2472,3.487500072,48176,Cuba,990217.2968
2373,1.010320153,47720,Guatemala,991216.9756
5434,4.650000095,60147,Cuba,994214.4442
5369,0.022045455,59792,Guatemala,997299.6089
1430,4.650000095,43777,Cuba,1012225.883
991,4.650000095,40291,Cuba,1013260.015
4490,2.550275693,55847,Guatemala,1024181.885
322,4.471153938,18707,Cuba,1024203.71
5817,1.741916272,63198,Guatemala,1030932.51
4044,2.626576054,54291,Guatemala,1031180.698
2315,4.650000095,47485,Cuba,1041278.832
303,4.446175366,17433,Mexico,1047700.364
1538,4.577343844,44302,Cuba,1049240.175
1730,4.227272814,45107,Cuba,1049938.355
3286,2.571176523,51349,Cuba,1051446.373
3635,2.440764704,52787,Guatemala,1052159.157
3751,4.56621631,53227,Cuba,1057821.652
336,2.066666709,19299,Cuba,1057962.859
2915,6.02202328,49927,Mexico,1058833.14
5532,4.650000095,60719,Cuba,1075419.497
626,3.926666747,32882,Cuba,1075661.647
1558,0.160617497,44396,Guatemala,1077351.049
2993,4.5379519,50192,Cuba,1077549.576
5121,4.51714295,58438,Cuba,1079449.65
4386,0.339997222,55469,Guatemala,1081006.299
5081,4.650000095,58246,Cuba,1083437.509
5338,4.574999809,59575,Bahamas,1093288.929
2738,4.278000088,49220,Cuba,1101022.57
5091,3.049999873,58291,Bahamas,1104331.74
1593,4.574999809,44536,Bahamas,1109274.574
1098,0.582066543,41666,Mexico,1115269.099
4349,2.490303078,55358,Guatemala,1117192.596
1061,10.32574178,41127,Mexico,1117353.361
4408,1.125200033,55558,Guatemala,1126785.953
1821,4.650000095,45468,Cuba,1139709.5
2151,4.368181908,46755,Cuba,1140454.937
5570,4.340000089,60935,Cuba,1140966.028
5251,0.308636373,59116,Guatemala,1145673.076
5307,3.875000079,59386,Cuba,1147851.179
3664,3.100000064,52881,Cuba,1149373.893
2678,1.295995298,48979,Mexico,1159900.484
2187,3.043007109,46906,Mexico,1171921.37
5440,1.545194153,60169,Mexico,1180673.75
5869,7.316573705,63721,Mexico,1189857.852
4281,9.756582499,55116,Mexico,1205031.288
5990,3.049999873,65401,Bahamas,1208905.232
4635,11.08844828,56375,Mexico,1244396.856
362,2.63719324,20763,Mexico,1249303.292
5097,4.934557683,58310,Mexico,1263718.008
2500,2.109556198,48286,Mexico,1289261.594
2301,8.191479495,47436,Mexico,1294125.906
5725,9.149999619,62381,Bahamas,1296554.483
78,6.00468725,4293,Bahamas,1302124.94
5732,7.319999695,62434,Bahamas,1306900.994
765,9.679376592,36552,Mexico,1330500.954
5844,1.829999924,63515,Bahamas,1348260.328
4547,1.825971603,56053,Mexico,1356215.953
5293,6.797142574,59333,Bahamas,1368442.351
2294,6.756094933,47395,Mexico,1384232.655
1364,6.756094933,43419,Mexico,1417934.394
4921,9.149999619,57590,Bahamas,1440564.551
1871,0.057744401,45669,Mexico,1452386.364
5705,2.149666569,62125,Mexico,1475164.743
5614,1.790076435,61252,Mexico,1506464.358
1870,6.099999746,45665,Bahamas,1513207.262
5877,9.149999619,63807,Bahamas,1515491.838
5306,6.099999746,59385,Bahamas,1569709.789
2673,5.228571211,48967,Bahamas,1574896.192
2694,2.614285605,49056,Bahamas,1583782.83
3869,0.116988659,53633,Mexico,1730842.13
5758,0.350965977,62630,Mexico,1751609.709
4600,5.469219804,56225,Mexico,1828405.324
3244,4.792500989,51183,Mexico,1834521.116
1101,0.197418365,41679,Mexico,1840662.764
5539,6.572635564,60764,Mexico,1844665.559
2967,3.858007738,50070,Mexico,1868380.409
1031,7.416856098,40823,Mexico,1878398.877
2713,3.545073972,49133,Mexico,1896335.437
5842,7.896734584,63502,Mexico,1924530.046
2334,0.646096466,47557,Mexico,1928274.164
4079,2.438289943,54403,Mexico,1930692.654
5205,1.374031804,58861,Mexico,1938039.536
4552,7.705653509,56075,Mexico,1960261.972
5669,8.471042554,61730,Mexico,1963927.959
2807,2.384897795,49514,Mexico,1986529.553
5860,8.614619547,63629,Mexico,2003016.848
3907,1.129595735,53794,Mexico,2016639.979
4351,0.070410461,55370,Mexico,2031710.323
2509,2.943328345,48323,Mexico,2045197.147
3804,1.250316309,53407,Mexico,2050353.064
4670,4.51405238,56536,Mexico,2052551.672
1210,15.31506244,42470,Mexico,2077254.379
2903,1.645153038,49864,Mexico,2087421.952
5486,12.78786708,60461,Mexico,2105663.602
328,0.85547958,18973,Mexico,2127551.028
3479,8.997988979,52156,Mexico,2145195.303
3789,5.668056607,53355,Mexico,2168441.709
1370,2.168890964,43440,Mexico,2240774.607
4344,11.85999966,55334,Cabo Verde,2524276.314
5769,11.85999966,62711,Cabo Verde,2576208.447
5628,11.85999966,61350,Cabo Verde,2596814.624
540,5.929999828,29846,Cabo Verde,2601250.33
2936,2.964999914,49994,Cabo Verde,2686547.509
5394,7.906666438,59907,Cabo Verde,2688549.343
1075,11.85999966,41297,Cabo Verde,2691104.36
224,6.500893434,12730,Guinea-Bissau,2786103.144
2781,1.441280278,49433,Guinea-Bissau,2836028.654
5546,10.59677403,60824,Guinea-Bissau,2843709.433
4532,1.000364855,55991,Gambia,2850704.639
3135,10.09027173,50740,Guinea,2864451.978
2361,5.211598396,47658,Sierra Leone,2866877.393
1738,3.663503647,45136,Guinea,2869865.023
2176,3.194205469,46869,Sierra Leone,2870055.374
5363,2.809990274,59749,Gambia,2871889.335
2816,5.022545322,49556,Guinea,2881650.454
15,3.834718354,675,Sierra Leone,2882940.677
5667,15.53077409,61707,Guinea-Bissau,2887090.901
538,6.864004503,29834,Guinea,2898958.424
1464,3.667948181,43962,Sierra Leone,2901152.179
4740,4.677489072,56794,Guinea,2911562.569
1514,5.49525547,44208,Guinea,2913886.221
4303,5.774002832,55189,Gambia,2920846.431
1846,5.303113671,45586,Guinea,2922318.229
3944,5.500689833,53906,Gambia,2938089.375
3932,3.14855387,53871,Liberia,2939412.808
150,3.2575335,8295,Liberia,2940393.206
1433,7.60101168,43787,Gambia,2945557.453
4834,5.208225601,57194,Guinea,2951761.491
5578,15.5180924,60959,Guinea,2958516.217
977,4.455800491,40146,Senegal,2969926.599
3317,5.567441702,51484,Guinea,2978372.717
2253,3.220615053,47230,Sierra Leone,2987319.329
3949,2.224233194,53929,Liberia,2997856.145
4093,5.375160217,54447,Guinea,3004469.093
3625,4.869345357,52748,Senegal,3005621.166
1945,4.791760636,45971,Gambia,3009522.995
2940,4.773963928,50006,Liberia,3014645.392
2841,7.76787155,49634,Gambia,3019743.912
4743,0.734606802,56800,Liberia,3028596.128
1479,6.317411613,44036,Guinea,3036250.369
5438,4.361332211,60163,Guinea,3036401.041
4471,5.16724448,55780,Mauritania,3045529.154
254,5.49525547,14355,Guinea,3058964.746
2158,2.98905554,46773,Liberia,3061614.648
619,3.227601661,32630,Guinea,3074307.051
172,3.881958663,9883,Senegal,3074348.893
5496,2.933998664,60532,Liberia,3075282.969
5658,3.936248907,61634,Senegal,3075342.669
2506,2.892422508,48302,Gambia,3082498.837
2010,5.317471743,46212,Guinea,3087560.318
743,3.832034745,35997,Gambia,3095808.454
1217,3.282100201,42529,Liberia,3102218.85
4716,4.821300899,56703,Guinea,3115220.528
2475,1.685402806,48193,Liberia,3116049.626
1608,1.14913206,44586,Guinea,3117497.282
1698,5.35336316,44977,Guinea,3121928.634
4339,0.497287909,55321,Liberia,3126498.794
5344,5.457093974,59607,Guinea,3140643.774
5661,3.046645728,61657,Senegal,3142394.421
3724,0.205080282,53112,Mauritania,3144145.055
966,1.567306585,39988,Senegal,3146645.068
3028,0.921799298,50321,Gambia,3156909.823
686,4.127154066,34585,Guinea,3161971.832
1065,2.482577994,41189,Côte d'Ivoire,3165846.58
3572,5.42536559,52528,Guinea,3171603.484
446,1.214197997,25910,Senegal,3173161.708
350,3.5497745,19919,Côte d'Ivoire,3188836.408
1078,6.176513294,41324,Guinea,3195334.96
1411,3.568851023,43666,Côte d'Ivoire,3207038.579
1501,5.411994024,44138,Guinea,3208273.203
3651,0.982922167,52832,Senegal,3212053.484
4282,1.203860866,55119,Côte d'Ivoire,3218686.155
5444,0.139126854,60182,Senegal,3219423.177
4213,6.457718338,54886,Côte d'Ivoire,3220650.691
5178,4.388572077,58738,Guinea,3223202.833
3821,0.322965677,53472,Mali,3232656.718
4522,4.953161503,55942,Guinea,3250207.608
1859,4.501424955,45630,Mali,3251711.594
103,4.579379559,5463,Guinea,3256524.829
5008,3.058432826,57969,Côte d'Ivoire,3256869.28
5057,5.515712825,58157,Côte d'Ivoire,3269857.481
5660,7.994906924,61654,Guinea,3276509.635
4900,4.962747122,57497,Côte d'Ivoire,3276551.561
4674,1.165640448,56555,Mali,3293579.017
2009,5.49525547,46211,Guinea,3295370.484
5284,4.015122596,59293,Côte d'Ivoire,3297167.843
2185,2.404174268,46899,Guinea,3306680.887
5239,11.43294555,59049,Mali,3309647.666
1312,3.171004936,43155,Côte d'Ivoire,3311317.526
310,10.4877036,17919,Mali,3331373.35
5427,5.507587506,60105,Côte d'Ivoire,3339090.636
659,3.372088584,33800,Guinea,3342257.354
1671,3.852394957,44854,Côte d'Ivoire,3348393.08
1515,2.674342647,44209,Guinea,3358621.347
5062,12.2812911,58169,Mali,3369021.454
1051,5.53098258,41033,Côte d'Ivoire,3377409.503
5468,5.001531072,60339,Côte d'Ivoire,3383077.202
5504,5.147940238,60602,Côte d'Ivoire,3387680.033
5531,13.4023609,60705,Mali,3387797.711
5645,4.119841767,61536,Guinea,3391025.774
3347,5.552490052,51627,Côte d'Ivoire,3404356.649
5465,10.43276463,60329,Mali,3412068.984
3987,5.635926508,54061,Côte d'Ivoire,3428570.543
5376,6.956855064,59836,Côte d'Ivoire,3428740.149
364,3.859879999,20767,Mali,3429715.786
3983,4.883180586,54051,Côte d'Ivoire,3440377.97
435,3.552794051,25027,Guinea,3441561.983
5780,13.85804152,62844,Mali,3445665.818
694,13.50958015,34721,Mali,3467028.334
5398,4.579378764,59924,Côte d'Ivoire,3471327.966
4517,8.803980337,55926,Guinea,3476174.317
5552,5.329153905,60856,Côte d'Ivoire,3478559.847
605,6.522084423,32040,Côte d'Ivoire,3483618.614
5287,7.000240192,59307,Mali,3493726.737
4577,6.680892517,56142,Côte d'Ivoire,3497770.973
4671,2.680472345,56537,Mali,3504864.691
1003,3.438194864,40498,Côte d'Ivoire,3515917.788
168,5.188653267,9684,Côte d'Ivoire,3518601.759
5701,14.15289343,62088,Mali,3523433.509
3345,12.72090191,51619,Mali,3525357.001
2741,5.972487432,49236,Côte d'Ivoire,3532787.916
3665,13.5898832,52884,Mali,3547266.985
351,3.250256766,19938,Côte d'Ivoire,3560181.776
5000,11.37344954,57948,Mali,3562068.805
332,5.984366056,19193,Côte d'Ivoire,3569914.777
495,12.86015147,28002,Mali,3576181.569
734,8.178171277,35686,Côte d'Ivoire,3580719.375
980,3.967098973,40169,Mali,3581175.738
1639,7.515662114,44711,Côte d'Ivoire,3591531.206
5069,13.5526761,58203,Mali,3602251.606
1138,5.914685739,41991,Côte d'Ivoire,3603650.704
312,4.619951905,18046,Côte d'Ivoire,3609063.204
1913,14.58858504,45819,Mali,3609946.804
5159,5.953807181,58608,Côte d'Ivoire,3625590.4
2801,13.04048634,49497,Mali,3628446.644
3156,12.44737428,50815,Mali,3648656.474
5100,3.645357986,58320,Burkina Faso,3649594.54
5630,5.03209133,61375,Mali,3658576.012
1930,14.0617247,45896,Mali,3659450.408
1049,6.047673435,40989,Côte d'Ivoire,3661709.238
1435,7.941111315,43792,Côte d'Ivoire,3678193.136
4508,13.08790742,55902,Mali,3682052.483
2136,6.692599114,46706,Côte d'Ivoire,3685610.936
2405,3.382475037,47845,Burkina Faso,3691900.269
175,14.86142227,9947,Mali,3695276.71
2964,5.81366643,50066,Côte d'Ivoire,3699804.792
5525,13.51686902,60685,Mali,3710479.489
2641,6.379275112,48818,Côte d'Ivoire,3718756.017
4520,7.578681577,55937,Burkina Faso,3735889.043
1814,4.90846946,45442,Mali,3736997.634
5370,3.963156995,59806,Burkina Faso,3739526.114
2153,14.17840033,46758,Mali,3743504.118
1340,5.857139261,43305,Côte d'Ivoire,3753910.963
5004,11.84616492,57954,Mali,3762773.436
4993,8.7073314,57924,Côte d'Ivoire,3767233.694
509,9.541157153,28543,Côte d'Ivoire,3779986.292
3314,1.467569771,51467,Burkina Faso,3780714.154
5682,13.25824205,61840,Burkina Faso,3781296.511
3727,3.09938905,53131,Côte d'Ivoire,3790997.86
2305,12.20067527,47452,Mali,3793243.22
207,11.2469399,11964,Côte d'Ivoire,3812258.125
2181,2.816227487,46891,Mali,3816377.439
882,2.336269271,38779,Burkina Faso,3823634.111
3509,14.30857304,52282,Mali,3828290.875
501,2.389510497,28168,Burkina Faso,3829921.841
1129,7.19255348,41950,Mali,3844356.33
4162,13.68869364,54666,Côte d'Ivoire,3846490.641
2368,10.13505062,47708,Ghana,3852781.692
397,6.514902631,22646,Burkina Faso,3867960.074
2222,1.177466991,47079,Burkina Faso,3870053.443
1175,10.25152534,42255,Ghana,3874635.658
5744,7.723373269,62551,Mali,3876781.108
5433,8.36151902,60128,Côte d'Ivoire,3882610.559
1350,2.30691667,43345,Mali,3896656.663
5549,12.95920631,60843,Ghana,3906072.543
5627,1.700456175,61331,Burkina Faso,3911867.519
2888,8.21676766,49804,Burkina Faso,3913762.908
4104,4.810794036,54482,Burkina Faso,3920542.427
3529,7.006465008,52336,Mali,3926677.171
5520,14.67557526,60670,Ghana,3939421.601
5353,1.828660019,59700,Burkina Faso,3955224.976
4078,10.27104568,54402,Ghana,3958680.629
4453,0.314939953,55718,Burkina Faso,3959882.508
5043,8.213408586,58106,Burkina Faso,3961044.018
3848,10.65553099,53570,Ghana,3969539.42
1765,11.64292404,45250,Ghana,3974613.839
3728,4.709954869,53134,Mali,3977780.639
4561,2.901166967,56101,Burkina Faso,3999876.156
5404,12.27286678,59956,Ghana,4000177.279
521,1.466063125,28912,Burkina Faso,4000631.008
5560,12.52649267,60884,Mali,4009717.337
933,8.818881295,39566,Ghana,4011578.065
5352,0.84272233,59688,Mali,4030048.816
4127,14.45591658,54563,Ghana,4032679.533
3660,1.818217102,52862,Burkina Faso,4042969.411
4912,9.16391114,57557,Burkina Faso,4045986.493
4476,2.385435104,55789,Ghana,4050168.696
2779,10.003517,49422,Mali,4059696.417
4398,10.30083474,55502,Ghana,4066698.158
5366,10.06259043,59778,Ghana,4066981.158
2092,1.833464234,46529,Burkina Faso,4086589.952
508,1.444727336,28442,Burkina Faso,4089889.98
4797,12.3054438,57018,Mali,4093473.73
2374,10.8607044,47722,Ghana,4094552.299
2542,8.595452112,48424,Ghana,4103014.923
3019,5.691207438,50287,Mali,4110728.77
4938,10.33993379,57660,Ghana,4126242.243
5636,1.804236977,61432,Burkina Faso,4131172.597
229,4.021701412,12897,Burkina Faso,4131566.46
2386,6.216588454,47785,Ghana,4140711.814
5537,11.38289061,60756,Mali,4142256.402
4642,9.660770039,56408,Ghana,4159688.232
504,7.352863664,28229,Ghana,4170443.297
3929,1.817243426,53863,Burkina Faso,4173866.73
5165,9.064644559,58645,Mali,4177903.087
2840,1.52373286,49633,Burkina Faso,4179612.605
3224,6.517399109,51091,Ghana,4189179.317
5790,5.529261476,62945,Mali,4192188.315
3258,8.69546149,51248,Ghana,4194826.717
4417,1.92596044,55580,Burkina Faso,4217744.952
1957,1.800520982,46017,Burkina Faso,4219875.345
4693,6.230111741,56613,Ghana,4220089.435
3974,12.10577625,54022,Mali,4225521.794
2941,5.183169656,50008,Ghana,4231592.341
3349,6.682117754,51644,Ghana,4252712.804
5759,1.814026648,62637,Burkina Faso,4261598.676
964,4.455509279,39945,Burkina Faso,4262965.23
3033,1.33022305,50347,Burkina Faso,4269769.565
58,5.172567103,2915,Mali,4274345.398
1964,6.894045694,46063,Benin,4279164.061
2927,9.487482569,49971,Benin,4284041.617
3684,5.73935292,52966,Benin,4286989.308
1143,1.814054132,42025,Burkina Faso,4304485.856
3053,1.809481047,50433,Burkina Faso,4309046.694
4530,5.667333852,55980,Mali,4309452.819
4265,9.849048495,55064,Benin,4314202.517
2804,4.726210097,49508,Benin,4322857.005
3301,10.40676254,51411,Benin,4346034.452
5609,3.595569096,61224,Burkina Faso,4348622.833
4796,1.810629962,57011,Burkina Faso,4349758.221
4940,1.110532456,57670,Mali,4357133.629
2974,3.757116937,50107,Burkina Faso,4360252.484
4811,9.359062124,57099,Benin,4379123.891
5567,10.99828317,60919,Benin,4379480.5
5177,3.754958388,58719,Burkina Faso,4391755.681
4185,4.96536859,54760,Mali,4394011.108
2357,1.770159499,47638,Burkina Faso,4398658.033
3052,10.03820405,50427,Benin,4408564.437
1285,8.317808535,42962,Benin,4414481.914
4763,7.661008856,56865,Burkina Faso,4434841.193
2348,6.691405894,47605,Burkina Faso,4438389.918
2882,9.97594434,49790,Benin,4439634.406
2457,0.127661402,48117,Mali,4440579.574
2787,6.65179825,49448,Burkina Faso,4450978.451
913,9.378736879,39242,Benin,4472279.856
3358,8.422013119,51686,Nigeria,4475942.496
5584,6.000085874,61023,Mali,4479160.905
401,16.67125226,22874,Burkina Faso,4479463.97
5383,4.396216554,59866,Burkina Faso,4488682.897
1810,9.44849921,45425,Nigeria,4503159.525
4071,8.166996386,54380,Benin,4506445.029
5041,14.751044,58080,Mali,4521588.034
3957,0.468091806,53947,Mali,4524646.578
343,16.45233645,19696,Burkina Faso,4527465.898
16,9.093481049,718,Nigeria,4533495.393
3717,8.125103921,53086,Benin,4542072.652
4782,3.846178416,56950,Mali,4564868.876
4280,8.831416296,55114,Benin,4565368.535
5285,17.55194335,59296,Niger,4567566.905
3077,8.554757695,50505,Nigeria,4571888.625
2734,13.17715351,49202,Burkina Faso,4579087.379
3645,9.16574606,52820,Nigeria,4597973.366
2238,6.594998781,47171,Benin,4598725.992
1103,8.679206585,41689,Nigeria,4602410.05
5556,6.467439943,60870,Niger,4608833.309
1858,0.468091806,45628,Mali,4609300.39
3203,18.60636286,50995,Niger,4616960.304
4870,7.414814221,57365,Nigeria,4627601.491
922,7.921279123,39430,Benin,4633513.282
2636,9.681607239,48802,Nigeria,4647611.989
4204,1.341959491,54848,Mali,4651103.926
4731,17.97093091,56771,Niger,4656117.202
2626,8.055345535,48778,Nigeria,4658729.142
995,7.950577799,40352,Nigeria,4659210.377
3356,9.089111884,51674,Nigeria,4665073.566
2914,11.31952508,49926,Benin,4669674.682
263,6.779838085,15271,Nigeria,4679130.556
569,7.755750577,30710,Nigeria,4691305.977
2292,8.843671752,47393,Nigeria,4692992.674
1317,0.877672136,43185,Mali,4694508.99
4191,11.99689766,54792,Niger,4696507.268
4446,7.748386383,55703,Nigeria,4700759.601
120,7.493242351,6640,Nigeria,4706660.549
828,17.29113568,37779,Niger,4706849.126
5548,8.966338992,60842,Nigeria,4721938.01
3418,7.842437804,51927,Nigeria,4725280.14
5141,10.40688797,58532,Nigeria,4732885.489
2252,3.641820026,47220,Mali,4737837.033
128,18.81910838,6884,Niger,4745089.643
1190,0.073472222,42368,Mali,4748787.075
5611,8.118485003,61235,Nigeria,4752345.599
1832,10.5127077,45526,Nigeria,4760299.59
2059,7.608648203,46401,Nigeria,4760598.513
4175,4.784993649,54734,Sao Tome and Principe,4778226.098
631,0.643626226,33016,Mali,4780242.434
4187,8.095847136,54779,Nigeria,4784167.556
4034,0.080151515,54241,Mali,4784472.749
265,12.94606645,15329,Niger,4784540.917
5604,9.34816434,61195,Nigeria,4788205.191
5184,0.080151515,58779,Mali,4797025.736
2410,8.066254195,47865,Nigeria,4797110.047
568,6.886421204,30687,Nigeria,4797870.462
4851,10.18627258,57273,Nigeria,4802816.694
2299,8.285177165,47424,Nigeria,4816491.372
1132,7.901865929,41959,Nigeria,4817354.492
5773,10.60515314,62756,Mali,4825041.092
3106,12.28046914,50637,Nigeria,4828882.998
4535,0.073472222,55997,Mali,4830907.975
1535,15.81159842,44296,Niger,4834460.746
789,8.096710378,37064,Nigeria,4846203.027
5592,7.19577582,61082,Nigeria,4851855.746
5382,11.19765731,59862,Nigeria,4855708.674
2190,0.335489873,46916,Mali,4866472.7
5119,12.66991774,58436,Niger,4872999.365
2013,7.691413313,46221,Nigeria,4877294.575
1999,2.168096256,46178,Gabon,4881733.264
86,9.12589683,4785,Nigeria,4883599.591
5225,7.515260402,58979,Nigeria,4887619.624
2366,1.826086943,47691,Gabon,4890430.175
1115,6.194989014,41830,Cameroon,4898485.325
3786,8.616521619,53342,Cameroon,4899118.324
5381,6.668152163,59857,Nigeria,4909718.946
758,8.073526657,36345,Nigeria,4911249.017
1182,14.39973694,42335,Niger,4912670.387
1169,1.007999992,42217,Gabon,4921044.429
881,14.39714153,38762,Niger,4924208.625
1629,9.361083137,44676,Nigeria,4925032.021
5123,2.21994612,58446,Equatorial Guinea,4939717.897
3091,7.640839754,50582,Nigeria,4940287.64
2877,7.549666434,49775,Nigeria,4943427.801
687,0.877707449,34606,Gabon,4947790.247
5593,10.39544913,61098,Nigeria,4951290.216
3134,1.055979848,50739,Mali,4953173.552
