OBJECTID,mean_cassa,Fishnet_ID,COUNTRY,NEAR_DIST
5533,8.083184911,60724,Panama,12801.52756
5257,11.37187511,59138,Trinidad and Tobago,25649.85271
2285,7.064516354,47354,Panama,59884.68995
2806,10.39714296,49512,Trinidad and Tobago,78678.70653
2168,8.372551065,46826,Panama,111704.8021
4194,7.422826262,54800,Panama,124625.5774
2251,4.537500143,47219,Grenada,141045.3167
3448,12.13000011,52052,Trinidad and Tobago,160370.5927
1557,8.733870906,44393,Nicaragua,191325.1364
3273,8.539038401,51301,Nicaragua,196985.4459
4393,13.5254359,55488,Panama,217409.6293
633,9.169307859,33084,Panama,217639.6765
348,10.34507455,19826,Nicaragua,222203.1861
2270,3.141898842,47288,Costa Rica,229285.0008
770,14.85518983,36722,Panama,234134.1847
750,10.82999992,36113,Nicaragua,234755.3689
5763,10.22833326,62660,Nicaragua,234765.89
2093,3.587661564,46532,Costa Rica,251500.4986
2708,8.858084993,49117,Honduras,251683.9252
5417,9.189090844,60042,Nicaragua,254791.9016
252,13.89520755,14238,Panama,265605.2983
4572,2.190351281,56130,Costa Rica,276214.6637
1062,6.300000191,41179,Saint Vincent and the Grenadines,276286.361
1226,12.16165881,42598,Panama,286446.6527
2904,2.946807653,49870,Costa Rica,300907.5263
5648,6.883888761,61565,Honduras,305069.8352
647,14.32353783,33406,Panama,314229.3255
1779,1.892159356,45283,Costa Rica,316959.679
3851,1.387715305,53580,Costa Rica,317096.3846
1046,9.51727266,40971,Nicaragua,332378.4254
1661,10.82999992,44827,Nicaragua,332380.7954
4409,5.199999809,55560,Honduras,340312.7631
3831,6.291301107,53519,Costa Rica,344687.9375
3030,3.029999971,50338,Saint Lucia,344793.9922
100,8.801969622,5316,Honduras,346711.3151
1255,17.07999992,42784,Barbados,359283.0873
4985,17.07999992,57882,Barbados,359330.8971
1319,15.91631095,43188,Panama,367356.9647
4094,4.030146599,54449,Panama,367357.5591
228,4.478352423,12886,Costa Rica,370436.8397
2333,4.524675159,47556,Honduras,373756.6146
653,8.613306514,33595,Panama,376940.9767
878,10.0342842,38737,Costa Rica,382464.447
5536,3.947777669,60753,Honduras,385166.0142
2810,6.829403032,49527,Costa Rica,388080.5736
4272,5.019981056,55089,Costa Rica,407951.883
1866,2.5,45657,Dominica,421294.0044
3622,10.82999992,52743,Nicaragua,429997.6125
2024,9.545084679,46247,Nicaragua,429997.615
3875,9.77699995,53647,Costa Rica,439878.6929
424,8.084793256,24331,Honduras,440874.5004
5050,2.739285614,58120,Honduras,441342.5438
5012,10.78534824,57984,Costa Rica,453893.8213
125,11.43000031,6773,Costa Rica,470318.8177
4742,5.082551732,56799,Honduras,471566.1753
2214,3.598181811,47042,Dominica,498451.0187
4169,12.55291557,54714,Costa Rica,498777.7746
4306,4.515605733,55204,Honduras,518369.7571
1225,7.522500038,42596,Dominica,521038.5487
3240,8.924461423,51164,Honduras,527611.7811
481,10.82999992,27475,Nicaragua,527614.4649
1938,4.654359919,45946,Honduras,536212.1793
391,2.716220707,22358,Honduras,561527.1157
5848,5.359999847,63558,Dominican Republic,569342.8642
4646,7.553333473,56442,Guadeloupe,588816.3033
227,5.888210437,12862,Dominican Republic,591165.6022
5226,6.699999809,58986,Dominican Republic,592375.6298
4618,4.318475084,56290,Honduras,601197.4669
