mean_maize,Fishnet_ID,COUNTRY,NEAR_DIST
0.20938079400,51459,United States,609.94523774100
0.08865241400,60975,United States,801.02838251300
0.81482896800,56054,United States,2117.63240374000
6.37913478200,47490,United States,8183.21909645000
3.04166210900,49187,United States,8833.72788655000
3.10528852500,57172,United States,17978.15241290000
5.60149892200,48914,United States,23007.08585490000
7.84168923300,61038,United States,30916.75530130000
1.14942380400,59165,Colombia,31128.46497580000
6.44271419800,53714,United States,36561.59374540000
11.44804107000,65476,United States,40893.33782520000
6.62561874400,39153,United States,40911.47748570000
3.80132353300,65786,United States,42175.84410700000
3.57545897400,37621,Colombia,55629.37559600000
6.76875880000,44203,United States,56193.92293060000
3.73828603400,45710,Colombia,57302.79025980000
6.99331820000,63663,United States,60696.66946440000
4.99551041900,59370,United States,62641.79682150000
9.30515207400,53724,United States,65442.07777020000
2.47501603400,63381,United States,66474.24083560000
7.62146059700,59162,United States,68188.00796610000
1.64415704800,43095,United States,75735.40469700000
3.72037124600,62173,United States,75736.27350630000
1.62263352900,67473,United States,75741.59168560000
4.55085608700,49423,United States,76172.39773090000
2.17259255900,30526,United States,85994.91300320000
1.68077392300,50155,Colombia,87460.48914420000
9.17150866200,44895,United States,94808.18203330000
6.01891342700,55507,United States,102019.36868400000
9.10261553100,52490,United States,108616.61094200000
1.30980229600,56985,Colombia,114169.21900400000
7.31725041900,60099,United States,115659.70114100000
0.62679151700,58619,United States,118581.42581400000
2.15422741900,62335,United States,122637.27938800000
0.22153837700,41578,United States,123612.28166600000
8.69471806600,41454,United States,124718.62075000000
4.04835387200,59643,United States,125112.60592500000
4.99216795000,60521,Colombia,128404.98607700000
4.39510526700,61632,United States,135686.44381600000
0.83143206500,45719,United States,139569.39055800000
2.54421765500,66223,United States,141207.16739100000
0.41335819600,64287,United States,142264.69191300000
0.87102406800,62947,United States,143762.71725800000
8.33686722100,65906,United States,144361.75840500000
3.47957713000,47329,United States,146999.71975000000
1.19765809400,62591,United States,151199.66146100000
2.74857038900,56509,Colombia,154662.45172000000
3.95278703500,55863,Colombia,155290.27355600000
0.65326805100,46647,United States,159113.55085700000
2.84406626200,17371,United States,159830.09058000000
6.01719804200,60052,United States,159830.19166600000
2.15459565300,63730,United States,161114.24240600000
1.57995605800,57081,Colombia,164056.51426500000
4.39466319300,59559,United States,165976.55426400000
2.44448691600,45781,United States,172882.09907400000
5.68363002900,44617,United States,173557.04564300000
1.69545316700,37066,Colombia,175058.22266900000
2.53946778100,57616,Colombia,177054.82839800000
1.72772914600,67278,United States,177670.19560100000
2.09236693400,56913,United States,178437.92855600000
0.10974622000,58345,United States,180270.59842800000
1.50429964100,68165,United States,181009.07260900000
3.25931587200,48151,United States,182906.22795300000
3.39590962900,37474,United States,186762.09254000000
3.69320679400,39250,United States,201315.61891000000
2.19455618400,55326,United States,203260.80229100000
1.36605090100,54648,Colombia,205961.50830600000
0.90666665000,19299,Cuba,216147.05284500000
1.95258314000,63332,United States,222217.53116300000
0.65921175500,44262,United States,222586.38587500000
4.54351798900,44894,United States,223308.03280000000
1.74451143200,56958,Colombia,227312.13327000000
7.67369329900,41441,United States,236653.54989100000
1.92766417800,44533,Colombia,236791.86425000000
2.48266056200,63212,United States,236828.02175900000
1.77237591200,52744,Colombia,238524.61831000000
4.53098335100,64272,United States,239125.42606000000
1.45494878300,58344,United States,239215.85890700000
1.43603704800,57319,United States,241348.01870000000
7.10462726800,38691,United States,243205.44925700000
7.52690097600,65202,United States,243205.44925700000
2.36451683000,61378,United States,243211.89493100000
5.81059312000,61486,United States,243867.71292800000
6.93424123900,39449,United States,244136.18724000000
1.62965793600,61153,United States,250171.74834700000
0.46360957600,61652,United States,251604.99663500000
1.99709127000,46074,Colombia,253694.79085600000
2.29737449000,52161,Colombia,254053.81478000000
2.15306485500,57442,United States,255203.77996500000
6.36910585100,63875,United States,256310.83130700000
3.68289136000,57800,United States,260728.01750500000
