Fishnet_ID,COUNTRY,mean_wheat,NEAR_DIST,Producer
71515,Russian Federation,1.632309874,1326791.279,Top
65936,Russian Federation,2.203197576,1327010.27,Top
60931,Russian Federation,1.480662743,1327439.684,Top
45981,Russian Federation,1.852923816,1327957.253,Top
49085,Kenya,1.899999976,1328738.821,Bottom
59167,Kenya,1.741666645,1329362.76,Bottom
29522,India,1.309695192,1329625.434,Top
21450,Pakistan,0.663642056,1329913.125,Bottom
59042,India,1.842747897,1330714.206,Top
62488,Kazakhstan,1.060682352,1330852.406,Bottom
62283,Kyrgyzstan,2.306481388,1332378.687,Bottom
30992,Chad,1.792242481,1332704.485,Bottom
52385,China,4.226675201,1333025.503,Top
64303,Kazakhstan,1.044678207,1335189.799,Bottom
52653,India,0.574699804,1335284.636,Top
56811,Chad,0.997475156,1335600.069,Bottom
61304,Italy,4.807077214,1335827.163,Bottom
55084,South Sudan,0.30016908,1336808.502,Bottom
60063,South Sudan,0.069460614,1336880.969,Bottom
56183,South Sudan,0.081864295,1337047.016,Bottom
31599,South Sudan,0.277842455,1337573.949,Bottom
55383,Poland,3.038544188,1338423.393,Bottom
76114,Russian Federation,2.091565371,1340900.262,Top
64116,Kazakhstan,0.009951372,1341684.228,Bottom
73465,Poland,3.397456835,1342183.159,Bottom
61681,Central African Republic,0.154632557,1342428.008,Bottom
56629,Kenya,0.37424242,1342514.557,Bottom
52758,Poland,3.569729427,1342601.224,Bottom
54418,Russian Federation,1.931936871,1342994.561,Top
27112,India,3.692760095,1344210.802,Top
59393,India,3.44674628,1344216.208,Top
55712,India,0.378955245,1344504.83,Top
59461,Kyrgyzstan,2.410005295,1344567.73,Bottom
65483,Italy,0.357074477,1345276.899,Bottom
74896,Russian Federation,1.107908487,1345482.836,Top
59191,India,3.466744533,1346816.505,Top
48476,India,2.767974342,1347355.778,Top
64966,Germany,6.129815351,1347498.71,Top
50655,Italy,0.488714837,1348274.153,Bottom
45013,Germany,5.513623377,1348471.612,Top
69693,Germany,6.246070099,1348925.243,Top
58791,Switzerland,3.358312731,1350082.619,Bottom
68752,Poland,3.259493589,1350887.991,Bottom
60143,India,0.985468545,1351109.966,Top
34791,Russian Federation,1.562849879,1352180.976,Top
59645,Kenya,1.728472201,1352741.829,Bottom
40536,Germany,5.887462542,1353543.272,Top
50201,India,1.590852729,1354770.707,Top
56760,Poland,3.282031208,1354884.649,Bottom
65306,India,3.418205764,1354997.648,Top
71034,Kazakhstan,0.022045455,1355333.628,Bottom
52631,Chad,1.319818694,1355606.102,Bottom
45252,India,2.206647075,1356318.926,Top
62122,India,0.276332399,1357683.119,Top
50328,Russian Federation,2.091565371,1357907.32,Top
71483,Kazakhstan,0.952832418,1358145.635,Bottom
63113,Kazakhstan,0.977128421,1358503.821,Bottom
