Fishnet_ID,mean_sorgh,COUNTRY,NEAR_DIST,Producer
4803,1.989636045,Brazil,8387650.257,Bottom
1130,0.743871706,Australia,8389492.728,Bottom
2363,0.131219037,Australia,8403566.259,Bottom
3456,1.466922005,Brazil,8405398.325,Bottom
3562,0.081781309,Australia,8406358.283,Bottom
3564,2.304396456,Brazil,8406899.505,Bottom
4578,0.122064221,Australia,8409969.624,Bottom
3306,0.826513863,Australia,8411678.676,Bottom
3650,2.18904765,Brazil,8412690.329,Bottom
6184,0.189951622,Brazil,8421075.734,Bottom
4612,0.800165545,Australia,8427757.211,Bottom
1289,1.475332753,Brazil,8429274.87,Bottom
1059,0.669622882,Australia,8433926.12,Bottom
2560,0.014911254,Australia,8435973.618,Bottom
5037,1.485387206,Brazil,8436765.631,Bottom
1174,1.091707927,Brazil,8437900.054,Bottom
2672,0.08995944,Australia,8444762.79,Bottom
4285,0.435305801,Brazil,8448653.725,Bottom
2329,0.446415275,Australia,8449026.44,Bottom
3192,1.940923685,Brazil,8453353.413,Bottom
1804,1.608199499,Brazil,8466818.433,Bottom
1986,0.269878319,Australia,8467085.233,Bottom
2525,0.983978042,Brazil,8469215.692,Bottom
4532,0.732949595,Australia,8470377.006,Bottom
4707,0.185004969,Brazil,8476486.404,Bottom
5212,1.327755392,Brazil,8477618.433,Bottom
215,0.131219037,Australia,8479986.981,Bottom
2379,0.070098265,Australia,8489223.953,Bottom
3266,0.741122066,Australia,8491796.134,Bottom
3538,1.732625054,Brazil,8497040.163,Bottom
3521,2.24354885,Brazil,8498384.775,Bottom
3983,1.993106959,Brazil,8502054.49,Bottom
4895,0.391775234,Brazil,8504557.056,Bottom
1334,0.295242834,Australia,8504620.552,Bottom
4100,0.035049132,Australia,8507402.543,Bottom
4197,0.070344225,Australia,8510349.045,Bottom
1072,0.441342354,Australia,8513271.335,Bottom
2414,1.722033922,Brazil,8520554.732,Bottom
200,0.933493484,Brazil,8526646.256,Bottom
427,0.268402576,Australia,8527656.716,Bottom
2706,1.685526734,Brazil,8527741.602,Bottom
683,0.205621576,Australia,8529145.654,Bottom
59,0.347324611,Australia,8530868.489,Bottom
3272,0.02394182,Brazil,8542661.627,Bottom
789,0.256732899,Australia,8542694.967,Bottom
4282,1.825558747,Brazil,8544065.394,Bottom
1892,0.061508924,Australia,8547645.423,Bottom
613,0.719675517,Australia,8550879.773,Bottom
4557,1.709564556,Brazil,8551357.056,Bottom
692,0.590908388,Australia,8551462.483,Bottom
3242,1.839588425,Brazil,8557268.921,Bottom
4114,0.380101083,Brazil,8561345.156,Bottom
4059,1.767967882,Brazil,8567747.192,Bottom
3628,0.885847335,Brazil,8570089.558,Bottom
822,0.257449706,Australia,8572118.852,Bottom
1025,0.373857411,Australia,8572286.915,Bottom
2919,0.435727338,Australia,8572869.551,Bottom
2336,0.107361031,Australia,8575361.764,Bottom
4665,1.676755184,Brazil,8586949.58,Bottom
1311,1.194521097,Brazil,8590029.022,Bottom
5327,0.986798718,Brazil,8591585.324,Bottom
5145,0.205029746,Australia,8594516.517,Bottom
1272,1.175325703,Brazil,8597736.316,Bottom
5430,1.623713646,Brazil,8611977.385,Bottom
2373,0.055125521,Australia,8612899.033,Bottom
1981,0.064256743,Australia,8613713.071,Bottom
