mean_sunfl,Fishnet_ID,COUNTRY,NEAR_DIST
0.12516926800,49454,Canada,893.97502651600
0.72654890800,47763,Canada,6512.06788007000
0.81366549100,64478,Canada,6540.55218115000
0.35937326600,55087,Mexico,6626.58340426000
0.44423211100,28188,Mexico,7700.24124626000
0.73335179500,61286,Canada,8255.85996246000
0.56009525700,56086,Mexico,8897.43346497000
0.79321728100,62333,Canada,11237.48046010000
0.81717252700,73565,Canada,11455.98255450000
0.24166739600,65383,Mexico,12715.94937770000
0.67000580800,72388,Canada,14700.57039540000
0.41937626600,58019,Mexico,15838.76407110000
0.59448707100,57400,Mexico,16910.59548050000
0.48945229500,70193,Canada,22144.91694830000
0.54267161500,68453,Canada,23701.44607370000
0.65571427300,61076,Canada,24603.12390130000
0.36919381200,1206,Mexico,25591.15076190000
0.57225824800,53219,Canada,26492.26084860000
0.34499853600,42949,Canada,26501.90703650000
0.78027137500,10592,Canada,27427.31918430000
0.58808272100,31733,Mexico,27593.56418230000
0.80769416700,62286,Canada,29507.47708780000
0.60711229100,19311,Canada,31152.06012270000
1.60227108000,59405,Canada,38764.73297580000
0.44545245600,56470,Canada,38767.47429450000
0.65664916700,7809,Canada,38768.31599190000
1.93588179300,43617,Canada,38769.39557920000
1.42029269300,69504,Canada,38770.68403900000
0.93825337300,58900,Canada,38771.41356300000
0.68206512300,68576,Canada,38771.99868360000
0.87876267000,60417,Canada,38772.25207200000
0.95071220400,70615,Canada,38772.29314350000
1.24594982600,63727,Canada,38772.36122740000
1.09862456800,16529,Canada,38772.99288890000
1.15618432300,49532,Canada,38773.21946440000
1.22539289300,60201,Canada,38773.21946440000
0.09348539000,50728,Canada,38774.44732830000
0.01869707800,72610,Canada,38774.44732830000
1.21227538600,56099,Canada,38774.58694780000
1.25328266500,61952,Canada,38775.96266070000
1.91943620100,57530,Canada,38776.08907660000
1.54373260300,36565,Canada,38776.50267990000
1.58390329100,62183,Canada,38779.85694560000
0.46845035400,17204,Canada,38781.50391210000
0.67309480900,72917,Canada,38781.50391210000
0.89745974900,60956,Canada,38782.37303560000
0.39843749300,65085,Canada,38785.14313540000
0.49958164700,73782,Canada,38785.14313540000
0.28687499500,67329,Canada,38789.30606580000
0.14068965300,51856,Canada,38800.59923580000
0.23906249600,71062,Canada,38800.59923580000
0.04024402400,52681,Mexico,41858.71933530000
0.84638296300,68727,Canada,42347.97971860000
0.54008529100,39161,Canada,42351.17640980000
0.60842854100,71490,Canada,42770.03380000000
0.24472614800,50834,Canada,43650.99157950000
0.49045183400,51214,Mexico,44242.05235830000
0.50531401000,64218,Mexico,44528.58816690000
0.63378325800,57603,Mexico,44870.98479660000
0.41290228300,6069,Mexico,44971.59133070000
