mean_soybe,mean_sunfl,mean_wheat,Fishnet_ID,COUNTRY,NEAR_DIST
0.03163636400,0.05527627300,0.14455126500,55639,India,223.75150782400
0.07833333300,0.00000000000,0.08197141700,34528,Russian Federation,248.62780604800
0.84341737200,0.00924376500,1.29907983500,42364,India,841.36049782500
0.69851517700,0.30681819400,0.91031790100,55418,India,1214.90328841000
0.36080808000,0.00000000000,0.49282209800,50878,Russian Federation,1909.55340715000
0.54518014100,0.00000000000,1.47180448100,65967,India,2359.39487386000
0.34270833200,0.00000000000,0.35862494900,72860,Russian Federation,2721.19117925000
0.62283106000,0.00000000000,1.80135892500,60864,Nepal,3065.94842835000
1.12268518500,0.91241142200,0.04490740900,42478,Kazakhstan,3713.59307390000
0.59729166500,0.00000000000,0.81583131800,46840,Russian Federation,4166.49186728000
0.86590288700,1.22048699300,0.67861126600,63256,Myanmar,4516.33767797000
0.84425925700,0.00000000000,0.00000000000,5126,Russian Federation,4644.70856687000
0.52083333300,0.12336241400,0.40416667900,70633,Kazakhstan,5262.77850806000
1.18675577800,0.00000000000,0.78800259300,44137,North Korea,5399.72555497000
0.36555555500,1.80550842800,1.82777770400,53740,Kyrgyzstan,6302.95653447000
0.59509513300,0.19073747000,0.23268926400,56098,Laos,7619.90763778000
0.63412947100,1.87420689600,0.02488289300,57506,Afghanistan,7799.36744747000
0.87285714100,0.00000000000,0.91339578800,58688,Russian Federation,8691.79723740000
0.46564814700,0.82892445900,2.32824064600,58269,Kyrgyzstan,9841.67299228000
0.11190476200,0.22983857600,0.12696324400,68480,Russian Federation,9860.27149387000
1.40357893600,0.14400000600,1.39369825700,65575,India,10210.29621140000
0.15666666600,0.08044350100,0.04443713500,7828,Russian Federation,10500.06303880000
1.26125907900,0.97673784100,1.38840579500,59261,Myanmar,10644.18121600000
0.74416666500,0.00000000000,0.79121540700,62503,Mongolia,11314.09139460000
0.95971917400,0.00000000000,1.70566100600,42835,Nepal,11358.44752570000
1.13913334600,0.00000000000,0.00000000000,48253,Vietnam,12941.00976260000
0.91683835100,1.40828324100,1.60918850600,60445,Myanmar,14881.99769790000
0.03285315300,0.16058089500,0.34022279800,41131,Afghanistan,14889.90788720000
1.20548166200,0.00000000000,1.85573787900,43700,Nepal,15306.62563510000
0.47979166500,0.98543289300,0.54435490700,69295,Russian Federation,15442.41564710000
0.79686203800,2.00396459900,0.57469980400,52653,India,15446.88230520000
0.94565476600,0.00000000000,1.66669745700,61330,Bhutan,16460.73864800000
0.95953513700,1.74594063200,2.24818344500,42354,Myanmar,16533.15327040000
0.33113636300,0.68011324000,0.37569578000,62141,Russian Federation,17037.68939030000
0.78333333100,1.60887002900,0.88874270500,51570,Russian Federation,17341.73302550000
0.93999999800,0.00000000000,1.28393125500,49479,Russian Federation,17671.10233900000
0.89590591200,0.00000000000,1.39062693100,62262,Nepal,17682.96714080000
0.30519480400,0.62683247900,0.34626339200,75032,Russian Federation,18043.47001890000
0.93999999800,0.00000000000,0.98365700200,66910,Russian Federation,18849.31778970000
0.32312499900,0.00000000000,0.37797353900,66498,Mongolia,19533.67771900000
1.22395833300,0.23329365400,0.94979169500,62781,Kazakhstan,20370.92418080000
0.33604166600,0.04116946700,0.30098888300,61881,Kazakhstan,20562.72687190000
0.80644776700,0.00000000000,1.59802343200,60171,Bhutan,20639.40393060000
0.00216666700,0.04766666600,0.14841666700,67224,Tajikistan,20929.21914880000
0.37208333200,0.00000000000,0.47677286000,71745,Mongolia,22295.03087030000
0.15666666600,0.00000000000,0.20210029000,62832,Russian Federation,22737.85937150000
0.49393615700,0.00000000000,0.00000000000,64470,Laos,22991.71026740000
0.90409937000,0.00000000000,2.02375686200,63880,North Korea,23157.86827610000
0.85874369600,0.00000000000,0.00000000000,64794,Laos,23183.80511450000
0.34379629500,1.73381636300,1.71898141200,54075,Kyrgyzstan,24478.89782100000
0.93525580400,1.05545553800,1.38749390300,60939,Laos,24647.09315420000
0.60185185200,0.18608989000,0.46703705100,20166,Kazakhstan,25396.25376060000
0.20434343400,0.45181816900,1.03454541300,60253,Tajikistan,25480.40907970000
0.59185185000,0.00000000000,0.00000000000,69026,Russian Federation,26229.45939390000
0.98940326700,0.00000000000,1.84862961900,60844,North Korea,26964.60907550000
0.77874999900,0.37052520400,0.57293106000,70721,Kazakhstan,27110.31807990000
1.11111111100,0.21178431000,0.86222224800,47056,Kazakhstan,27326.01192290000
1.24041182100,1.00286636900,1.76684361900,65536,Myanmar,27769.26227620000
1.61811444400,0.00000000000,1.28749244300,65992,North Korea,28064.59352240000
1.67493774500,0.00000000000,1.34060057600,61989,North Korea,28073.98508930000
0.81999500600,2.42354340000,0.09728648900,50172,Afghanistan,29176.42394930000
0.13708333300,0.28155225500,0.15552997300,67982,Russian Federation,29753.82081690000
0.13708333300,0.28155225500,0.15552997300,73917,Russian Federation,30891.83724320000
0.34181818100,0.00000000000,0.46688409300,55397,Russian Federation,31711.76681880000
0.00040404000,0.00888888900,0.02767676800,13490,Tajikistan,32242.45048820000
0.44288461400,0.00000000000,0.60492914900,69061,Russian Federation,32816.47612670000
0.70499999800,0.00000000000,0.73774275200,63924,Russian Federation,33062.01508670000
0.71578878700,0.00000000000,1.59282489100,65973,North Korea,33224.88649490000
0.84425925700,0.00000000000,1.15316047900,66824,Russian Federation,33447.00587290000
0.48284444800,0.03904566300,1.27854388600,58789,India,33744.10843950000
0.60708333200,1.24687427300,0.68877559700,47975,Russian Federation,33917.24351440000
0.46999999900,0.51800841100,2.34999990500,10922,Kyrgyzstan,35413.13795810000
