SOURCE_ID,mean_sorgh,GiZScore,NEAR_DIST,NEAR_RANK,NEAR_X,NEAR_Y
24,0.315052643,0.33083684,1074384.987,295,30.20578794,1.824838998
59,0.326780836,0.351352767,716410.6515,162,29.30747266,9.913968571
82,5.60444461,9.673052862,4920623.319,3440,2.358014135,43.12510269
119,0.903129756,1.369352062,5598168.249,4604,86.79965084,22.05267853
154,0.075595569,-0.092067303,932722.4421,235,27.51084209,8.127972805
161,0.995795337,1.532799287,1439327.918,489,32.00241851,-2.695687276
275,0.231439393,0.183434009,11767417.32,8500,-69.50720859,-3.598665039
356,0.792934989,1.174482539,2104216.464,810,39.18894078,-8.989674489
363,0.717683814,1.041956596,5505916.522,4454,85.90133556,22.05267853
376,0.26118348,0.23553809,8607257.584,6737,-38.96448893,-11.65802482
393,1.217045476,1.925425867,10895133,7955,-58.72742519,-22.85734615
398,0.228260859,0.177397106,10529983.33,7777,143.3935137,46.79964608
464,3.012463842,5.096948397,8717061.205,6808,118.2406858,33.97684583
576,0.127076795,-0.000642681,12917169.98,9584,-80.286992,-1.792030028
665,1.438674712,2.31501076,12817720.34,9511,149.6817207,-33.19773203
675,0.545810812,0.737898602,5350591.32,4193,-12.91334569,9.022090045
718,1.056466587,1.639737716,3479566.987,1550,4.154644703,9.022090045
733,1.39638641,2.24194054,11660033.85,8431,-65.91394746,-26.95256711
758,2.598369584,4.366061937,13085352.61,9685,-99.15161297,36.19181514
842,3.260916589,5.532764107,5156177.221,3864,78.71481329,34.72190291
889,2.033806969,3.365818153,12528239.2,9265,-77.59204615,2.728475555
956,1.39415219,2.239658011,7735620.267,6289,107.4609024,36.91655438
1015,4.081852052,6.984166944,5197563.125,3933,-3.03187757,41.79485858
1087,0.006853775,-0.213828419,1254681.704,390,46.37546306,14.33245432
1105,0.465965611,0.597327049,1675934.188,592,36.49399493,-5.401677201
1206,3.606007912,6.143768174,13954101.95,10000,-104.5415047,29.36955533
1224,3.673846025,6.264138299,4461939.608,2690,12.29815247,44.42683895
1256,0.573183167,0.786880138,4142447.445,2221,69.73166044,29.36955533
1300,0.284037013,0.276164804,9529862.866,7289,-47.94764178,-9.881638007
1317,0.207812491,0.142089463,4110880.404,2184,46.37546306,45.70002889
1342,0.399943879,0.480413157,1740413.65,620,20.32431982,13.45489258
1415,0.992674437,1.527090723,12198509.64,8919,143.3935137,-18.63347536
1509,1.373333295,2.202049272,4234965.729,2345,15.8327434,43.73309765
1520,4.089818663,6.998948165,9122439.113,7046,123.6305775,41.11907488
1523,0.407791601,0.496608485,11361927.73,8234,-63.21900161,-23.68725562
1529,3.398932934,5.779459755,8053919.67,6422,111.0541635,35.46024618
1566,2.610984808,4.384871279,12527502.92,9264,-75.79541558,-8.095480024
1593,2.287321048,3.81474867,14443311.99,10174,-107.2364505,25.36067104
1629,0.038181818,-0.157114778,11749532.36,8489,-67.71057803,-16.04546807
1759,2.75,4.631881159,5618338.376,4638,67.93502988,53.2860827
1797,0.310079949,0.322133844,2787644.925,1171,32.00241851,-15.17488847
1863,0.039402985,-0.156367053,1552513.424,534,49.96872419,10.80339589
1964,0.02394182,-0.182676615,10048154.5,7555,-52.4392182,-11.65802482
2069,2.764579543,4.656877628,11992811.25,8687,-81.35110333,30.15333299
2105,0.362499984,0.415560274,5447913.41,4357,57.15524647,55.89339366
2181,0.133402777,0.009851236,2817522.78,1188,11.34116698,2.728475555
2229,0.592760754,0.821267332,12771400.93,9472,148.7834054,-26.95256711
2288,0.036666668,-0.160872629,2125296.071,822,21.2226351,-2.695687276
2329,4.764040819,8.188800851,12082580.11,8795,-88.37182956,39.7462773
2420,2.860674104,4.828174355,7496029.283,6169,104.7659565,36.91655438
2457,1.049999952,1.629719025,6153894.248,5320,75.12155215,55.89339366
2468,1.009711981,1.558237054,14134053.14,10064,-97.3549824,16.07699615
2474,0.938653946,1.431645353,681166.2141,149,40.98557135,6.333885882
2477,0.511430183,0.677403699,2887587.642,1229,9.544536408,12.57406233
2511,1.689443854,2.760740464,12848263.9,9531,-92.86340598,32.46685781
2530,3.581999874,6.100695795,3655782.557,1672,14.93442811,36.71760726
2592,0.742424209,1.086141575,4123333.819,2195,43.6805172,46.32592291
2602,1.823999977,2.996306283,3601290.001,1633,23.84716504,40.43620685
2640,0.347324611,0.38725336,9967670.248,7512,119.1390011,-32.43921198
2666,0.062499997,-0.115676361,7477375.008,6159,98.47774954,57.378289
2688,0.978813545,1.502599737,6851608.376,5765,98.47774954,10.72776106
2723,0.006985563,-0.211660143,3758905.46,1774,10.05643651,33.97684583
2728,0.747727239,1.095379697,5391678.062,4253,35.86463144,58.33609991
2740,0.934541437,1.424570752,1955740.212,724,28.40915737,-6.30126233
2760,1.049999952,1.630159361,5998407.947,5171,74.22323686,54.34915586
2808,0.014137387,-0.200657365,3775300.598,1792,21.2226351,-21.18220445
2824,0.825709915,1.232098327,8502113.835,6659,-38.96448893,-7.199269999
2903,0.708095313,1.024736348,4505642.646,2756,76.91818272,16.07699615
2915,0.335525119,0.366647259,4173569.403,2260,-2.133562286,16.07699615
2917,2.466233761,4.130578946,5787598.436,4902,68.83334516,54.87057396
2990,0.899999959,1.364476383,5475116.692,4400,58.05356175,55.89339366
3005,3.806375742,6.497368782,7027572.002,5906,100.2743801,30.93086991
3068,1.546874978,2.505968686,6815725.571,5742,98.47774954,15.20655249
3079,0.602710053,0.840838754,11624274.24,8414,-88.37182956,47.55634683
3092,1.693372091,2.766253333,11669880.55,8438,-65.91394746,-28.55084903
3108,1.550873667,2.516125066,13471139.4,9835,-100.9482435,32.46685781
3297,0.962840411,1.474596328,1972258.35,733,35.83673651,-8.095541057
3302,3.806375742,6.498358451,7827344.903,6326,108.3592177,39.04931339
3321,0.264038307,0.24005549,9949158.223,7503,122.1438823,-17.36305502
3335,1.200287634,1.893620264,4982983.698,3547,19.42600453,-32.43921198
3409,1.371264147,2.195597874,1196208.457,358,31.10410323,0.016412769
3512,0.719662897,1.046658749,9967333.914,7511,-49.74427234,-22.02227995
3526,0.053249998,-0.131639609,2815973.88,1187,40.98557135,34.72190291
3560,0.889199989,1.344877615,6114907.597,5282,91.8438724,21.69055394
3592,2.217791608,3.690931809,11742271.64,8483,-71.30383916,7.231832141
3679,1.311187337,2.089580344,2017522.014,764,32.00241851,-8.095480024
3705,3.33944443,5.671856193,4489712.816,2731,67.03671459,39.04931339
3710,4.180439472,7.157319006,13612162.99,9888,-109.9313964,38.34534672
3820,0.516922956,0.687431564,4315670.377,2467,74.22323686,22.05267853
3854,0.492697736,0.644468073,3982596.628,2033,32.9007338,-26.14465047
3873,0.014583333,-0.199458055,5843683.581,4992,45.47714777,61.91726393
3933,0.138249993,0.019422308,4248564.193,2358,62.54513817,39.7462773
3995,0.333176735,0.362706805,3139652.981,1361,23.91758095,-16.04546807
4012,0.980833343,1.507348856,4259338.073,2381,35.59567965,48.16090152
4035,0.633478481,0.892992694,12677076.64,9394,147.8850902,-19.86999669
4073,4.167256717,7.135779584,9180363.757,7077,124.5288928,42.46353935
4115,0.710937468,1.029694803,7558858.587,6205,102.0710107,52.74434452
4272,0.121885624,-0.0103743,8629082.018,6747,-38.96448893,-12.54203224
4276,0.501625337,0.660463625,12583930.51,9318,146.9867749,-30.1249931
4340,0.545882341,0.738639327,11990979.97,8685,-77.59204615,21.21278221
4364,3.257592515,5.527180122,5218836.77,3965,78.71481329,36.19181514
