Fishnet_ID,COUNTRY,mean_potat,potato_Fe,NEAR_DIST
19,Chile,19.20090000000,0.00000000000,2764932.16132000000
24,Congo DRC,0.77316400000,0.00000000000,11538397.40950000000
59,Sudan,6.59405000000,0.00000000000,11579374.75120000000
82,France,25.01700000000,0.00000000000,9570422.09009000000
119,India,22.85670000000,61.80600000000,17504353.65610000000
154,South Sudan,6.32855000000,0.00000000000,11345029.44350000000
161,Tanzania,3.28397000000,0.00000000000,11650505.94420000000
275,Peru,1.38868000000,0.00000000000,675385.83894400000
304,Brazil,0.00000000000,0.00000000000,1529019.38887000000
356,Tanzania,6.57647000000,0.00000000000,12379252.16080000000
363,India,12.94110000000,64.45730000000,17428047.81960000000
376,Brazil,0.00000000000,0.00000000000,3787277.78491000000
393,Paraguay,0.00000000000,0.00000000000,2186324.64585000000
398,Russian Federation,5.27000000000,0.00000000000,14513816.35320000000
464,China,20.03700000000,0.00000000000,16931327.15360000000
469,Turkmenistan,0.99818200000,0.00000000000,14009710.50790000000
556,United Kingdom,28.73650000000,0.00000000000,9950261.27948000000
566,Bolivia,1.92226000000,0.00000000000,848699.36723600000
576,Ecuador,0.00000000000,0.00000000000,967619.96710600000
579,Chile,13.60800000000,0.00000000000,4583995.02238000000
599,Angola,3.37091000000,0.00000000000,10201932.67280000000
644,Angola,5.09579000000,0.00000000000,9594173.39588000000
665,Australia,9.87120000000,0.00000000000,13340983.19920000000
671,United States,5.85975000000,0.00000000000,6205948.53783000000
675,Sierra Leone,0.00000000000,0.00000000000,7047235.31166000000
718,Nigeria,0.32291000000,0.00000000000,8817295.75374000000
733,Argentina,12.52100000000,0.00000000000,2126120.68079000000
758,United States,1.68644000000,0.00000000000,5581164.47497000000
787,Brazil,0.00000000000,0.00000000000,1851989.39769000000
808,South Sudan,2.66182000000,0.00000000000,11922218.10430000000
810,Equatorial Guinea,0.00000000000,0.00000000000,9350742.34561000000
828,Brazil,0.00000000000,0.00000000000,2022215.56372000000
842,China,5.48279000000,0.00000000000,16022274.70780000000
889,Colombia,16.54300000000,0.00000000000,1264244.82686000000
927,Brazil,0.00000000000,0.00000000000,1521852.61793000000
956,China,12.64580000000,75.45080000000,16836350.05720000000
1015,Spain,34.71560000000,0.00000000000,9103233.67948000000
1037,Brazil,0.00000000000,0.00000000000,980953.29296000000
1058,Chile,16.26050000000,0.00000000000,4894530.60339000000
1087,Yemen,0.13064300000,0.00000000000,13567264.64150000000
1105,Tanzania,5.34479000000,0.00000000000,12178841.12870000000
1206,Mexico,17.82710000000,0.00000000000,5285343.84192000000
1215,Indonesia,0.00000000000,0.00000000000,19079979.53450000000
1224,Italy,34.58070000000,0.00000000000,10448345.29940000000
1256,Pakistan,14.78970000000,0.00000000000,15631088.21120000000
1300,Brazil,0.00000000000,0.00000000000,2803613.22960000000
1317,Russian Federation,0.91605300000,0.00000000000,13081498.07850000000
1342,Chad,6.35934000000,1.36078000000,10658387.94550000000
1415,Australia,10.66130000000,0.00000000000,14732539.11700000000
1477,Indonesia,3.78818000000,0.00000000000,16004283.73070000000
1520,China,10.37310000000,82.49840000000,16007010.51470000000
1523,Argentina,0.00000000000,0.00000000000,1944990.62859000000
1529,China,16.96210000000,73.08670000000,16941583.10270000000
1566,Peru,10.02760000000,0.00000000000,156932.63463300000
1581,South Africa,35.91950000000,124.75800000000,10856970.78690000000
1593,Mexico,21.22280000000,0.00000000000,5159375.12056000000
1624,Indonesia,8.56995000000,33.99730000000,18494846.37720000000
1629,Bolivia,4.94095000000,0.00000000000,987529.01678000000
1630,Mozambique,5.20492000000,0.00000000000,11968292.03690000000
1650,Indonesia,11.88760000000,0.00000000000,17999482.25350000000
1666,Sweden,0.56570900000,0.00000000000,10707790.36170000000
1689,Argentina,0.00000000000,0.00000000000,3818473.85677000000
1759,Kazakhstan,10.31910000000,3.06353000000,14026254.71300000000
1789,Indonesia,12.19570000000,33.84880000000,18829783.34230000000
1797,Mozambique,3.84886000000,0.00000000000,11365028.04720000000
1828,Venezuela,0.00000000000,0.00000000000,1643174.90851000000
1863,Somalia,0.00000000000,0.00000000000,13939134.13810000000
1964,Brazil,0.00000000000,0.00000000000,2319904.51750000000
1979,Angola,4.75385000000,0.00000000000,9591034.97632000000
2000,Brazil,0.00000000000,0.00000000000,1754436.72326000000
2069,United States,19.03610000000,0.00000000000,4323510.67245000000
2105,Russian Federation,3.06748000000,0.00000000000,13305019.62750000000
2177,Belize,11.60810000000,32.01210000000,3227593.44702000000
2181,Gabon,0.35537100000,0.00000000000,9481236.15900000000
2228,Mongolia,5.88610000000,0.00000000000,15677970.40640000000
2229,Australia,8.88443000000,0.00000000000,13813083.46790000000
2288,Congo DRC,0.18424100000,0.00000000000,10470713.87220000000
2329,United States,35.10020000000,82.68390000000,5528445.81444000000
2351,Brazil,0.00000000000,0.00000000000,709583.52007300000
2389,China,0.00000000000,0.00000000000,17156859.72130000000
2420,China,5.79113000000,0.00000000000,16846953.88000000000
2436,New Zealand,21.89150000000,0.00000000000,11172653.98570000000
2455,Namibia,0.00000000000,0.00000000000,9844003.92398000000
2457,Russian Federation,10.87410000000,16.02930000000,14134297.77110000000
2468,Mexico,0.00000000000,0.00000000000,3755586.80608000000
2474,Ethiopia,7.48628000000,0.00000000000,12895433.70890000000
2477,Niger,8.94800000000,0.00000000000,9488528.48557000000
2511,United States,12.96430000000,0.00000000000,4930264.92549000000
2530,Italy,0.00000000000,0.00000000000,10509909.53870000000
2569,United Kingdom,35.38560000000,134.11200000000,9510556.99921000000
