SOURCE_ID,mean_sunfl,GiZScore,NEAR_DIST,NEAR_X,NEAR_Y
19,1.398249967,4.976974814,8669882.38,-71.30383916,-33.94967734
24,0.004393939,-0.217270131,12992227.79,29.30747266,1.824838998
59,0.600208348,2.002444972,12180504.59,28.40915737,10.80339589
82,2.07979867,7.518427021,7759398.577,1.459698851,43.77953811
119,0.187879528,0.4672168,12998623.65,87.69796613,22.8875601
154,0.642083349,2.158371329,12274429.55,26.61252681,8.127972805
161,0.283333336,0.822069995,13494492.96,31.10410323,-2.695687276
275,0.174999996,0.41828042,5635790.833,-70.40552388,-3.598665039
304,0.25666666,0.724145358,6539809.02,-60.52405575,-7.199269999
356,0.300769234,0.886909098,14614522.27,39.18894078,-8.989674489
363,0.531077526,1.745859339,13006763.98,86.79965084,22.8875601
376,1.539999962,5.506354723,8336907.229,-39.86280422,-11.65802482
393,1.126893939,3.967672727,8062743.787,-59.62574047,-22.85734615
464,1.816461568,6.53653702,10931512.51,119.1390011,33.97684583
579,0.66626372,2.248818943,10304934.34,-74.78642079,-50.48770305
599,0.272691273,0.782896838,13660725.77,20.32431982,-16.91221321
644,0.558426949,1.846827757,12583173.71,13.31730735,-9.881638007
665,0.40506373,1.275520511,13897324.53,150.580036,-32.43921198
787,0.618333318,2.071776822,6546487.863,-57.8291099,-5.401677201
808,0.24363637,0.674053209,12736933.95,32.00241851,7.231832141
828,0.566805542,1.880328794,6824220.468,-56.03247933,-7.199269999
842,1.299272974,4.608592833,11631992.71,78.71481329,35.46024618
927,0.116515149,0.200725977,5433286.649,-65.01563217,1.824838998
956,0.8893017,3.083149597,10965611.04,108.3592177,37.63441344
1015,0.918202819,3.189385999,7486487.052,-3.930192854,42.46353935
1037,0.288749993,0.842473948,5831623.223,-66.81226274,-3.598665039
1058,0.856071408,2.955937059,10635018.14,-73.10046973,-53.26653887
1105,0.271527781,0.778092034,14121082.22,36.49399493,-5.401677201
1206,0.369193812,1.142515521,1306126.591,-104.5415047,29.36955533
1224,1.685212062,6.04924327,8332107.156,12.23948226,45.0670023
1256,0.566478664,1.878258928,12133823.64,69.73166044,30.15333299
1300,1.411666632,5.028978771,7543455.411,-48.84595706,-9.881638007
1317,0.009360361,-0.197523646,9821732.807,46.37546306,46.32592291
1415,0.007348485,-0.206818224,13605643.02,144.291829,-18.63347536
1509,0.651631753,2.198044318,8629935.003,15.68800808,43.77953811
1520,1.286359763,4.56171164,10007377.12,124.5288928,41.11907488
1529,2.03376106,7.346885742,10994857.45,111.9524788,36.19181514
1581,1.226677895,4.337415772,15341413.7,30.20578794,-30.90275818
1593,0.739218735,2.520896639,1819565.762,-107.2364505,25.36067104
1630,0.216559128,0.573398321,15081983.27,37.39231022,-16.91221321
1759,0.144989941,0.306688721,9517410.605,67.93502988,53.82100625
1797,0.204662154,0.529489618,14444688.61,31.10410323,-15.17488847
1828,0.333333326,1.008309535,5073345.652,-66.81226274,4.53345902
1964,0.684444427,2.319587226,7396776.492,-53.33753348,-11.65802482
1979,0.524504489,1.720345212,12449293.89,13.22856644,-8.095480024
2000,0.363611102,1.122662969,6488522.119,-58.72742519,-5.401677201
2105,0.09786674,0.130951952,9070444.642,57.15524647,56.39488812
2229,0.262644858,0.744717293,13615530.55,149.6817207,-26.14465047
2329,0.288226749,0.841305646,805426.3117,-89.27014485,39.7462773
2351,0.149722219,0.324395739,5905951.62,-68.60889331,-5.401677201
2420,1.145126602,4.035786535,11045314.4,105.6642718,37.63441344
2455,0.339393932,1.031321248,13709040.2,17.62937397,-21.18220445
2457,0.446119811,1.428694226,9293453.949,75.12155215,56.39488812
2468,0.414999992,1.313027088,2664921.242,-97.92305849,16.07699615
2511,0.773790553,2.650333793,956362.7048,-93.76172127,32.46685781
2592,0.7135555,2.426672191,9667003.719,43.6805172,46.94469194
2602,0.94979229,3.307702151,9257933.602,23.01926567,41.11907488
2640,0.005519556,-0.213794402,16471645.76,120.0373164,-32.43921198
2664,0.604999985,2.021993878,6513917.614,-51.54090291,0.016412769
2666,0.031428571,-0.117163184,9016665.762,99.37606482,57.86029637
2688,0.416101697,1.316543838,14069611.36,99.37606482,10.80339589
2723,0.008854167,-0.199280045,8937227.818,9.544536408,34.72190291
2733,0.017290839,-0.168288802,10849117.46,40.08725607,33.22514052
2735,0.769090891,2.631939774,10758626.64,-70.18602734,-53.80170907
2760,0.471539736,1.523591475,9457462.666,74.22323686,54.87057396
2795,0.389659945,1.218818219,1525661.324,-108.1347658,52.19575295
2798,0.719687483,2.448405817,9358594.57,-73.10046973,-41.09441287
2808,0.082424241,0.073997594,13938778.55,20.32431982,-21.18220445
2824,1.539999962,5.506161752,7977496.988,-39.86280422,-7.199269999
2903,0.460154614,1.481240018,13671499.6,76.91818272,16.94359866
2917,0.294096745,0.862104723,9355836.253,68.83334516,55.38530466
2952,2.128205681,7.699803433,7929943.475,12.23948226,50.50850028
2990,0.25282241,0.708181964,9087681.211,58.05356175,56.39488812
3005,1.192515051,4.211485468,11795178.76,101.1726954,31.70207379
3068,0.442152776,1.414059794,13602878.11,99.37606482,15.20655249
3108,0.054165339,-0.030825287,872371.3811,-100.9482435,32.46685781
3131,0.381893928,1.189455485,13009910.53,17.62937397,-10.77115798
3560,0.024400001,-0.141923052,13030966.34,92.18954255,22.05267853
3592,0.196363632,0.497745805,4496900.005,-72.20215445,7.231832141
3850,0.940607689,3.271207921,1649681.616,-118.0162339,43.77953811
3854,0.790032245,2.710556849,15235489.53,32.00241851,-26.14465047
4364,1.564988262,5.598762488,11470499.81,78.71481329,36.91655438
6036,0.024839317,-0.140791067,13438822.3,72.85372672,18.66455611
6810,1.188514691,4.1949838,14622057.62,20.32431982,-33.19773203
6860,1.709494705,6.136104463,14998166.98,24.81589624,-33.19773203
3297,0.253174471,0.709771793,14269934.91,35.59567965,-8.095480024
3302,3.140903018,11.47181641,10718708.18,109.2575329,39.7462773
3321,0.099005834,0.134420686,15282900.56,122.7322622,-16.91221321
3335,1.123091864,3.951162808,14433966.4,18.52768925,-32.43921198
3409,0.56791665,1.882236234,13207129.5,30.20578794,0.016412769
3438,1.315416634,4.669112052,7273457.132,-44.35438064,-2.695687276
3512,1.539999962,5.507435455,8492432.197,-50.64258763,-22.02227995
3526,0.263550362,0.749749885,10676265.76,40.98557135,35.46024618
3679,0.425857036,1.353211368,13919402.68,31.10410323,-8.095480024
3693,0.76172412,2.604536504,10382620.47,-73.99878502,-51.05732034
3705,1.225180766,4.33228512,11043011.9,67.03671459,39.7462773
3710,0.268615884,0.767856091,990008.3799,-109.9313964,38.34534672
3928,0.606666652,2.028994627,6904253.37,-56.03247933,-8.095480024
3933,0.086333334,0.088633967,10884225.05,62.54513817,40.43620685
3985,3.018858486,11.01756516,7847562.935,12.23948226,51.64027117
3995,0.331183266,1.000825657,13830387.76,23.01926567,-16.04546807
4012,1.175316606,4.147897362,9148405.338,34.69736436,48.75837299
4035,0.383214885,1.193619116,13327412.25,148.7834054,-20.25110366
4073,1.893117549,6.822439052,9841132.272,125.4272081,42.46353935
4272,1.529305518,5.466472629,8408773.561,-39.86280422,-12.54203224
4276,0.111258477,0.180777935,13951318.65,147.8850902,-29.34099072
4372,0.503996768,1.645271107,13027704.12,100.2743801,20.36802369
4379,0.093333331,0.11438003,5306315.589,-63.21900161,4.53345902
4441,0.650833314,2.191566059,13179143.4,16.73105868,-14.30066122
4544,1.748853803,6.284037272,9484669.511,-59.62574047,-37.60847846
4603,0.706044386,2.396926286,14679081.22,142.4951985,-34.69497692
4656,0.199999996,0.511737712,5272116.116,-61.42237104,6.333885882
4697,1.154999971,4.071898692,7352186.651,-45.25269592,-4.500736801
4794,0.873567371,3.023476155,11885496.25,103.8676412,30.15333299
4820,0.75735125,2.588214989,14168648.21,79.61312857,12.57406233
4845,0.674293111,2.279182205,14288122.23,25.71421152,-19.48764166
4846,0.184007902,0.45245666,1500171.834,-107.2364505,28.57963469
4862,1.015355019,3.55140377,11713502.83,101.1726954,32.46685781
4869,0.029947605,-0.120101437,10150803.55,32.9007338,36.91655438
4916,1.434999964,5.116010184,8635294.128,-53.33753348,-25.33104167
4954,0.292086522,0.855016633,14261283.39,32.00241851,-11.65802482
4970,0.759230751,2.595754683,9207096.67,-73.37199594,-39.72110273
4974,0.894609579,3.101563391,8986178.475,37.39231022,51.64027117
4983,0.308296064,0.915362904,15155153.06,34.69736436,-21.18220445
5018,1.539999962,5.507454523,7734183.977,-54.23584876,-16.04546807
5045,1.550499413,5.544518879,10434371.81,35.87699209,35.46024618
5137,0.419138282,1.328446332,2013227.835,-105.43982,22.8875601
5184,0.141549243,0.295315792,11136906.34,87.69796613,39.7462773
5236,1.083170957,3.804849779,10255106.63,121.8339469,39.7462773
5250,1.159649499,4.088162777,670998.9892,-95.55835183,45.70002889
5278,0.309208985,0.918453932,9459556.897,67.93502988,54.34915586
5286,0.983089779,3.431885272,9107329.952,20.32431982,41.11907488
5330,0.863096668,2.982835858,14734624.54,22.12095039,-32.43921198
5354,0.130291376,0.251912982,13569042.13,29.30747266,-5.401677201
5469,0.762770775,2.608363563,2220517.676,-73.10046973,48.16090152
5511,0.982677082,3.429196328,10233921.66,41.88388664,40.43620685
5546,0.373999993,1.15948117,2796729.881,-65.01563217,45.70002889
5558,0.106374037,0.163255883,13794441.89,21.2226351,-17.77494155
5680,0.145688101,0.311917469,9723140.52,117.3423705,46.94469194
5785,1.540563551,5.506323328,9337157.765,89.49459669,55.89339366
5941,1.458333297,5.202614379,8587319.371,-43.45606536,-17.77494155
6069,0.412902283,1.305167402,1439351.269,-109.9313964,30.93086991
6130,1.409999967,5.019745125,10664260.81,-69.50720859,-52.72455261
6185,0.747613622,2.551934193,1891392.019,-78.49036144,49.34878108
6229,1.428360489,5.090234373,12067367.94,100.2743801,29.36955533
6273,1.499115007,5.353593588,8399724.712,-38.06617365,-10.77115798
6323,0.106944442,0.164664147,5812678.312,-72.20215445,-6.30126233
6520,0.728845105,2.482617229,1224974.406,-92.86340598,30.15333299
6540,1.090833306,3.832283162,6600589.722,-52.4392182,-1.792030028
6542,0.834166646,2.875374334,6581390.766,-64.11731689,-9.881638007
6585,0.334930126,1.017156774,8788960.382,-56.03247933,-28.55084903
6673,0.014416667,-0.178475995,8654491.605,-69.50720859,-33.19773203
6694,0.229090903,0.622036026,6706992.039,-54.23584876,-4.500736801
6719,0.90826801,3.152480503,8242838.19,-64.11731689,-26.95256711
6752,0.540000021,1.779439464,12482611.41,78.71481329,27.78367435
6886,1.282203732,4.545574004,9341825.988,-55.13416405,-33.94967734
6918,0.208636372,0.543594519,11828971.86,54.46030061,29.36955533
6946,1.446360201,5.155165914,14560461.21,145.1901443,-36.89036885
6990,1.168264721,4.119593047,14808539.91,22.12095039,-33.94967734
7125,0.146666666,0.312809909,14067639.42,99.43737588,10.80339589
7134,0.33291667,1.006853636,13972722.15,36.49399493,-3.598665039
7138,1.585264131,5.674765766,9298029.899,-56.03247933,-33.94967734
7188,0.040478018,-0.081721568,9897486.18,84.10470499,51.07786445
7233,0.969837354,3.380852538,12548778.63,75.12155215,26.98178314
7234,0.061000001,-0.005595642,13122733.5,92.18954255,21.21278221
