Fishnet_ID,COUNTRY,mean_potat,potato_Fe,NEAR_DIST
19,Chile,19.2009,0,2764932.161
24,Congo DRC,0.773164,0,11538397.41
59,Sudan,6.59405,0,11579374.75
82,France,25.017,0,9570422.09
119,India,22.8567,61.806,17504353.66
154,South Sudan,6.32855,0,11345029.44
161,Tanzania,3.28397,0,11650505.94
275,Peru,1.38868,0,675385.8389
304,Brazil,0,0,1529019.389
356,Tanzania,6.57647,0,12379252.16
363,India,12.9411,64.4573,17428047.82
376,Brazil,0,0,3787277.785
393,Paraguay,0,0,2186324.646
398,Russian Federation,5.27,0,14513816.35
464,China,20.037,0,16931327.15
469,Turkmenistan,0.998182,0,14009710.51
556,United Kingdom,28.7365,0,9950261.279
566,Bolivia,1.92226,0,848699.3672
576,Ecuador,0,0,967619.9671
579,Chile,13.608,0,4583995.022
599,Angola,3.37091,0,10201932.67
644,Angola,5.09579,0,9594173.396
665,Australia,9.8712,0,13340983.2
671,United States,5.85975,0,6205948.538
675,Sierra Leone,0,0,7047235.312
718,Nigeria,0.32291,0,8817295.754
733,Argentina,12.521,0,2126120.681
758,United States,1.68644,0,5581164.475
787,Brazil,0,0,1851989.398
808,South Sudan,2.66182,0,11922218.1
810,Equatorial Guinea,0,0,9350742.346
828,Brazil,0,0,2022215.564
842,China,5.48279,0,16022274.71
889,Colombia,16.543,0,1264244.827
927,Brazil,0,0,1521852.618
956,China,12.6458,75.4508,16836350.06
1015,Spain,34.7156,0,9103233.679
1037,Brazil,0,0,980953.293
1058,Chile,16.2605,0,4894530.603
1087,Yemen,0.130643,0,13567264.64
1105,Tanzania,5.34479,0,12178841.13
1206,Mexico,17.8271,0,5285343.842
1215,Indonesia,0,0,19079979.53
1224,Italy,34.5807,0,10448345.3
1256,Pakistan,14.7897,0,15631088.21
1300,Brazil,0,0,2803613.23
1317,Russian Federation,0.916053,0,13081498.08
1342,Chad,6.35934,1.36078,10658387.95
1415,Australia,10.6613,0,14732539.12
1477,Indonesia,3.78818,0,16004283.73
1520,China,10.3731,82.4984,16007010.51
1523,Argentina,0,0,1944990.629
1529,China,16.9621,73.0867,16941583.1
1566,Peru,10.0276,0,156932.6346
1581,South Africa,35.9195,124.758,10856970.79
1593,Mexico,21.2228,0,5159375.121
1624,Indonesia,8.56995,33.9973,18494846.38
1629,Bolivia,4.94095,0,987529.0168
1630,Mozambique,5.20492,0,11968292.04
1650,Indonesia,11.8876,0,17999482.25
1666,Sweden,0.565709,0,10707790.36
1689,Argentina,0,0,3818473.857
1759,Kazakhstan,10.3191,3.06353,14026254.71
1789,Indonesia,12.1957,33.8488,18829783.34
1797,Mozambique,3.84886,0,11365028.05
1828,Venezuela,0,0,1643174.909
1863,Somalia,0,0,13939134.14
1964,Brazil,0,0,2319904.518
1979,Angola,4.75385,0,9591034.976
2000,Brazil,0,0,1754436.723
2069,United States,19.0361,0,4323510.672
2105,Russian Federation,3.06748,0,13305019.63
2177,Belize,11.6081,32.0121,3227593.447
2181,Gabon,0.355371,0,9481236.159
2228,Mongolia,5.8861,0,15677970.41
2229,Australia,8.88443,0,13813083.47
2288,Congo DRC,0.184241,0,10470713.87
2329,United States,35.1002,82.6839,5528445.814
2351,Brazil,0,0,709583.5201
2389,China,0,0,17156859.72
2420,China,5.79113,0,16846953.88
2436,New Zealand,21.8915,0,11172653.99
2455,Namibia,0,0,9844003.924
2457,Russian Federation,10.8741,16.0293,14134297.77
2468,Mexico,0,0,3755586.806
2474,Ethiopia,7.48628,0,12895433.71
2477,Niger,8.948,0,9488528.486
2511,United States,12.9643,0,4930264.925
2530,Italy,0,0,10509909.54
2569,United Kingdom,35.3856,134.112,9510556.999
2592,Russian Federation,3.59831,0,12864190.77
2602,Greece,25.46,0,11289918.64
2614,Indonesia,0,0,18149590.27
2628,Canada,7.60237,0,7332413.028
2640,Australia,29.6149,0,15078269.11
2664,Brazil,0,0,2689664.949
2666,Russian Federation,0.21166,0,14564832.45
2688,Myanmar,12.4843,0,19231883.66
2692,Latvia,5.4016,0,11211339.14
2723,Tunisia,0,0,10020849.08
2728,Russian Federation,8.0242,0,12016856.43
2733,Iraq,0.352622,0,12839509.11
2735,Chile,15.447,0,4966950.639
2740,Congo DRC,3.17428,0,11185718.23
2760,Russian Federation,10.6517,16.5091,14228818.21
2795,Canada,28.6916,77.6893,7521064.713
2798,Chile,9.50344,0,3542193.267
2808,Botswana,0,0,10118179.45
2824,Brazil,0,0,3799295.344
2903,India,13.7044,63.4775,16806725.66
2915,Mali,0,0,8339102.973
2917,Kazakhstan,9.74559,0,13950758.45
2952,Germany,20.6106,0,10539083.68
2954,Russian Federation,0,0,13189306.02
2990,Russian Federation,8.77084,0,13351881.39
3005,China,10.2431,57.2983,17447032.15
3068,Myanmar,5.99846,0,18995140.38
3079,United States,3.68215,0,6365666.03
3092,Argentina,8.53577,0,2289700.635
3108,United States,0,0,5332632.495
3131,Angola,3.25855,0,10030748.59
3280,United Kingdom,37.8063,0,9626874.843
3297,Tanzania,5.00364,0,12018097.21
3302,China,15.8002,57.6661,16594782.18
3321,Australia,5.67899,0,16491395.18
3335,South Africa,0.309513,0,9730627.043
3344,Guyana,0,0,2227369.975
3409,Uganda,6.6428,0,11604368.57
3438,Brazil,0,0,3375856.257
3512,Brazil,9.72882,0,2910385.917
3526,Iraq,1.28556,0,12892355.59
3560,Bangladesh,11.368,0,17968883.09
3592,Colombia,11.7857,0,1728410.216
3679,Tanzania,3.84192,0,11535494.12
3693,Chile,12.0285,0,4647490.833
3695,Afghanistan,9.19101,0,14854775.56
3705,Tajikistan,13.1889,47.219,14909837.15
3710,United States,0,0,6364455.104
3767,Bolivia,2.82044,0,1511772.486
3820,India,13.6705,39.3201,16352656.58
3850,United States,14.7495,0,7329119.76
3854,Mozambique,19.41,0,11149167.12
3873,Russian Federation,0.206098,0,12412218.59
3928,Brazil,0,0,2016538.904
3933,Turkmenistan,0.356,0,14538540.86
3985,Germany,39.0009,92.2419,10557402.37
3995,Zambia,7.01636,0,10501046.59
4012,Ukraine,6.88329,0,12165310.98
4035,Australia,17.7689,0,14284427.04
4063,Canada,10.4821,0,7410221.618
1509,Croatia,0,0,10712566.34
4073,China,19.6172,0,15841054.93
4115,Russian Federation,0,0,15098230.25
4266,Indonesia,6.75236,34.1117,18565788.95
4272,Brazil,0,0,3789870.326
4276,Australia,3.36518,0,13750148.41
4340,Cuba,21.909,0,3318056.684
4364,China,4.86597,0,15915101.23
4372,Laos,13.2923,0,18598916.67
4379,Brazil,0,0,1878369.226
4441,Angola,5.78673,0,9871971.881
4544,Argentina,27.04,29.2444,3484182.045
4584,Ethiopia,1.742,0,13018444.05
4603,Australia,20.1991,0,13743320.49
4656,Guyana,0,0,2159789.734
4669,New Zealand,18.1618,0,10970516.25
4680,United States,13.3127,0,5240147.99
4697,Brazil,0,0,3241472.958
4705,Australia,19.3904,0,14561493.07
4785,Nigeria,4.4434,0,9188930.131
4794,China,9.50719,0,17661977.48
4800,Argentina,3.99455,0,3451663.419
4804,Guyana,0,0,2256930.284
4816,Finland,10.897,0,11188732.99
4820,India,1.39841,0,17167838.22
4827,Kazakhstan,0,0,13709023.49
4845,Botswana,1.1032,0,10703524.32
4846,Mexico,16.9117,0,5405712.845
4862,China,8.93752,57.2407,17364449.6
4869,Turkey,17.9179,0,12153408.36
4916,Brazil,4.59943,0,2858024.376
4954,Zambia,5.77818,0,11547571.43
4970,Chile,10.2396,0,3388932.761
4974,Russian Federation,8.86166,19.9539,12298073.72
4983,Mozambique,11.9303,0,11562615.66
4998,Madagascar,0.801221,0,12668625.2
5018,Brazil,0,0,2315869.521
5045,Syria,21.7698,0,12431222.18
5126,Russian Federation,0,0,14904806.42
5137,Mexico,14.7833,0,4838056.725
5152,Mongolia,6.46507,0,15478558.25
5184,China,2.01213,0,16138478.11
5236,China,13.4531,0,16255501.3
5250,United States,31.8084,0,6403540.918
5278,Kazakhstan,9.56851,0,13986948.09
5286,Greece,16.4376,0,11061568.91
5316,Honduras,11.2469,0,2750876.355
5330,South Africa,2.15961,0,10060237.23
5341,Argentina,0,0,4404966.991
5354,Congo DRC,1.72753,0,11399434.43
5457,Malaysia,0,0,19167532.32
5463,Guinea,0,0,7414118.551
5469,Canada,3.7694,0,6348664.433
5477,Mongolia,7.43,1.4628,15545766.74
5511,Turkey,15.7295,0,12883146.89
5521,United States,4.12823,0,4340838.121
5542,Congo DRC,2.5464,0,10600082.5
5546,Canada,21.5748,0,6145626.579
5558,Angola,0.337091,0,10278321.94
5643,United States,42.0448,0,6017714.348
5680,China,10.8466,0,15670593.99
5731,Portugal,10.1803,0,8706052.817
5785,Russian Federation,10.189,0,14609494.71
5818,Canada,3.11006,0,7179669.778
5941,Brazil,1.52051,0,3475878.384
5972,Indonesia,1.0894,0,18524596.84
5998,Papua New Guinea,4.15532,0,14179610.88
6014,Indonesia,15.1067,44.9929,18007690.36
6036,India,4.07134,0,16345058.93
6069,Mexico,23.2383,0,5777048.016
6130,Argentina,20.4121,99.9073,4852909.737
6185,Canada,0,0,6487136.412
6229,China,10.4446,57.3989,17674036.33
6273,Brazil,6.91096,0,3983005.677
6323,Brazil,0,0,321906.4374
6328,Niger,5.62529,0,9776865.532
6382,Argentina,2.76014,0,3627616.827
6520,United States,13.8108,0,4677379.729
6540,Brazil,0,0,2530162.025
6542,Brazil,0,0,1129335.613
6581,Laos,24.5012,0,18758671.34
6585,Argentina,0.388987,0,2881173.608
6640,Nigeria,0.672054,0,9038826.933
6646,Indonesia,3.88108,0,16209942.8
6673,Argentina,6.15911,0,2710138.329
6694,Brazil,0,0,2261689.438
6709,Congo DRC,2.86034,0,10935728.31
6719,Argentina,7.5712,0,2247862.277
6749,United States,13.2645,0,6540708.502
6752,India,21.7307,67.924,16526735.39
6773,Costa Rica,24.34,212.649,2453503.016
6783,Colombia,0,0,1327700.884
6810,South Africa,0.309513,0,9880752.789
6816,Madagascar,1.13158,0,13015113.07
6860,South Africa,23.0134,0,10287489.04
6884,Niger,11.0628,0,8933487.172
6886,Uruguay,13.1411,31.712,3379651.388
6918,Iran,9.38674,0,14257534.49
6946,Australia,26.4887,0,13402052.88
6990,South Africa,0,0,10039987.94
7007,Indonesia,0,0,18507533.91
7009,Chad,0.173984,0,10288170.06
7134,Tanzania,6.76628,0,12219343.44
7138,Uruguay,9.5221,63.7534,3327013.79
7154,Finland,9.94506,0,11402237.79
7188,Kazakhstan,0.449381,0,14924223.75
7233,India,2.80098,0,16258473.05
7234,Bangladesh,12.18,54.2384,18045292.4
7275,Mozambique,8.89,0,12186370.93
7306,Russian Federation,6.64285,0,12879556.81
7338,Japan,27.895,0,17406540.39
7388,Ukraine,11.9734,0,12123865.84
7400,Brazil,0,0,1381697.462
7404,Namibia,0,0,9609979.049
7417,Indonesia,6.78062,33.5977,17445990.93
7423,South Africa,34.3231,0,11124726.06
7447,Argentina,15.502,0,2694633.144
7455,Central African Republic,5.24568,3.75392,11148492.41
7473,Indonesia,0,0,18687055.82
7480,Kazakhstan,4.11666,0,13667486.59
7549,Hungary,28.1477,69.0454,11099375.43
7583,Brazil,0,0,1949693.087
7593,China,17.1563,0,16602955.65
7615,Mongolia,7.26114,0,15732877.64
7638,India,21.7307,77.2482,16648929.28
7662,Australia,23.129,0,15250516.36
7699,Brazil,0,0,1819086.861
7715,Venezuela,17.2896,0,2223069.363
7750,India,0,0,16993308.78
7805,Argentina,2.73131,0,3036028.31
7809,Canada,28.6916,77.7438,7307376.408
7828,Russian Federation,0.136883,0,14935058.66
7847,China,15.8568,89.0492,15632258.03
7851,Finland,0,0,11318438.11
7868,Indonesia,6.78062,33.586,17354739.76
7882,Australia,10.7013,0,13420665.34
7889,South Africa,31.4882,0,10438130.65
7947,Uruguay,12.0516,0,3133349.987
7970,Bolivia,10.6091,0,1350474.663
8005,Thailand,0,0,19129184.26
8056,Australia,35.0279,58.8829,14219901.14
8075,Brazil,0,0,3199791.647
8094,United States,28.7727,107.213,6463895.867
8123,Russian Federation,0,0,12907597.82
8173,Russian Federation,0,0,14680965.41
8206,Argentina,8.25398,0,3019688.049
8212,Brazil,14.5765,0,2960517.029
8295,Liberia,0,0,7150019.683
8356,Botswana,22.9818,0,10692769.36
8395,Argentina,16.9,0,3365152.284
8461,Indonesia,1.59038,0,16357209.15
7125,Thailand,0,0,19324929.93
8537,Chad,6.00418,0,10182670.87
8556,New Zealand,16.7227,0,10996738.71
8591,Botswana,0,0,10446259.09
8679,Zimbabwe,20.8244,0,11228188.83
8681,Indonesia,0.14331,0,18923304.63
8694,India,0,0,17079860.53
8699,Brazil,15.7777,0,3117107.284
8759,United Kingdom,40.7955,0,9654538.764
8782,Russian Federation,0,0,14728264.73
8866,Argentina,26.7669,0,2597417.448
9004,Argentina,0,0,3871739.138
9006,United States,19.5764,0,6413562.58
9043,Russian Federation,1.69131,0,14564311.16
9046,Indonesia,13.7873,34.2898,18756289.68
9057,Mozambique,9.85741,0,11448200.51
9137,Tanzania,6.44218,0,12259962.07
9138,China,0,0,16088704.8
9155,Tanzania,2.39075,0,11766683.36
9212,Congo DRC,1.87892,0,11204381.04
9242,Canada,33.9782,0,7738042.602
9272,Russian Federation,0,0,15229151.41
9286,Chile,10.1018,0,3075940.717
9291,Malawi,5.6595,0,11715003.91
9349,Lebanon,17.3999,0,12418660.07
9368,Turkey,18.7735,0,11895943.25
9371,Kenya,0,0,12785826.31
9452,Mexico,12.2222,0,5620250.259
9482,Sudan,7.2595,0,11481599.62
9494,Australia,1.12178,0,16460359.27
9522,United States,28.7727,107.119,6446352.494
9585,Kazakhstan,10.9572,0,14851024.3
9598,Brazil,4.84037,0,3312930.634
9633,Argentina,27.04,18.6747,2864447.463
9684,Côte d'Ivoire,0,0,7751512.784
9702,Brazil,8.41851,0,3239384.144
9730,France,36.9096,24.3771,9644137.217
9775,Mozambique,10.16,0,11998175.14
9799,Congo DRC,0.673401,0,11288303.16
9863,Turkmenistan,0.244,0,14254056.4
9883,Senegal,17.2178,0,6927357.969
9899,Chad,6.16803,0,10325590.24
9924,Brazil,0,0,2619020.361
9947,Mali,0,0,7843390.422
10009,Russian Federation,10.1274,0,13039650.32
10021,Namibia,0,0,9695734.201
10031,Georgia,7.63646,0,12809951.75
10071,Sudan,0.1464,0,11730304.93
10155,Bosnia and Herzegovina,9.00027,0,10661838.31
10242,United States,10.8336,0,6276713.881
10288,Botswana,0,0,10519939.01
10290,Mexico,3.80704,0,4723977.931
10312,Congo DRC,2.24162,0,11043801.8
10340,Argentina,13.9297,0,2714283.634
10354,Iran,9.39245,0,13421060.62
10367,Finland,17.1769,0,11240909.58
10392,Argentina,15.2407,0,2187236.214
10414,United States,2.19588,0,7369387.152
10452,Brazil,2.31865,0,2947718.317
10460,Turkey,32.2917,0,12293896.88
10505,China,14.787,0,17644100.89
10514,Myanmar,12.9037,0,19056916
10537,China,4.28537,0,16496422.28
10592,Canada,19.4556,0,5756179.041
10604,China,12.9971,83.4304,17731684.05
10617,Brazil,0,0,633898.0216
10640,Australia,1.71025,0,14228452.47
10642,Austria,28.8672,0,10775588.12
10670,Syria,0.708579,0,12711397.61
10693,South Africa,31.6785,125.693,10826335.22
10700,Mongolia,9.56435,0,15584181.92
10708,Ethiopia,5.97463,0,12351880.95
10814,Brazil,0,0,1150688.607
10819,Brazil,4.25432,0,3062585.928
10834,Peru,7.31182,0,362397.5767
10846,Australia,5.55277,0,14265852.3
10855,Somalia,0,0,14037190.84
10896,Argentina,5.62162,0,3248695.953
10902,China,2.31305,0,15968827.02
10922,Kyrgyzstan,15.4469,9.44547,15257102.84
10925,Peru,3.41851,0,516640.0637
10951,Argentina,23.2544,0,2556420.88
11003,New Zealand,32.1075,0,11089677.95
11033,Argentina,2.08866,0,1790425.282
11078,Brazil,0,0,2344258.029
11085,Mexico,14.8864,79.7157,3982563.211
11102,Canada,0,0,6544404.806
11125,Japan,31.88,0,14646571.39
11152,Ukraine,4.75132,27.1401,12125045.8
11164,Israel,40.2395,0,12333894.11
11183,Afghanistan,12.9741,0,15058327.15
11209,Indonesia,5.19376,0,18347986.2
11226,Bolivia,4.45732,0,967394.3162
11233,Cameroon,0.969918,0,9726825.338
11235,Brazil,0,0,3415669.469
11260,Russian Federation,7.5842,0,12778033.47
11267,Argentina,23.1342,0,3317379.807
11285,Brazil,0,0,2255105.992
11332,United States,4.02853,0,4776554.366
11339,Papua New Guinea,4.34,0,15031251.23
11425,Argentina,7.29751,0,3204719.686
11455,Spain,21.9434,0,9023735.254
11486,Afghanistan,15.942,0,15292762.89
11502,Russian Federation,0,0,13013174.98
11570,Argentina,21.8505,0,2326318.819
11588,Central African Republic,2.85474,0,11134553.42
11607,Mexico,35.4299,0,4713195.803
11651,Somalia,0,0,13227235.55
11765,Congo DRC,0.0997631,0,11174549.9
11784,Bolivia,0.101918,0,638490.7165
11832,Russian Federation,11.6342,15.3987,14177754.95
11847,Brazil,0,0,1772325.966
11870,Congo,0.592723,0,10254893.58
11946,Mongolia,13.4662,0,15362979.82
11956,Turkey,8.25744,0,13063443.35
11964,Côte d'Ivoire,0,0,8097488.465
11966,Mexico,23.7664,0,4584413.598
11986,Brazil,6.94186,0,3815809.885
11992,Chad,6.34097,1.44943,10548188.91
12050,Namibia,0,0,9742286.348
12100,Mongolia,7.75102,0,15547628.83
12142,Bolivia,0.448588,0,1342958.397
12149,Brazil,0,0,1114348.173
12167,Venezuela,0,0,2172156.185
12187,Peru,5.31878,0,405136.0145
12215,Indonesia,3.91769,33.4848,16555477.25
12346,Russian Federation,0.302371,0,14758156.55
12349,Venezuela,0,0,1683583.393
12392,China,13.7355,69.2504,15422705.78
12402,China,18.6049,95.8026,15918678.64
12408,China,21.6588,0,15557221.7
12445,Latvia,15.4623,0,11247541.72
12458,Brazil,0,0,2027408.674
12472,Indonesia,6.75236,33.9459,18689811.24
12532,Australia,16.1529,0,13711519.18
12565,Kazakhstan,10.079,0,14820706.51
12570,Argentina,4.21129,0,1816845.103
12618,Mozambique,13.3704,0,11435615.49
12729,Australia,10.8844,0,12813118.07
12730,Guinea-Bissau,0,0,6808758.394
12737,Argentina,4.0672,0,1727573.733
12742,United States,7.60561,0,7868278.19
12857,China,12.7248,0,18008779.11
12862,Dominican Republic,13.0499,0,2996232.11
12886,Costa Rica,15.6288,0,2291706.838
12897,Burkina Faso,7.77436,0,8269236.472
13066,Somalia,0,0,13050361.55
13094,Brazil,0,0,3588880.901
13106,Argentina,0,0,3477432.718
13134,Russian Federation,0.634979,0,14534133.88
13150,Brazil,0,0,1512751.455
13172,South Africa,11.0953,0,10380989.21
13182,Colombia,15.9726,60.6415,1811282.439
13231,India,2.79874,0,17545520.19
13254,Indonesia,0,0,17752027.09
13286,Madagascar,3.93733,0,12771235.24
13300,Canada,3.80118,0,7304737.706
13354,South Africa,35.9195,124.416,11090282.15
13403,Canada,4.14675,0,7252015.997
13429,Angola,3.82268,0,9418315.757
13490,Tajikistan,0.262424,0,15338156.09
13524,United States,45.4621,106.796,6919424.88
13526,Peru,11.49,58.3708,475195.1107
13537,Argentina,6.66564,0,2274060.232
13553,Vietnam,7.5404,0,19885643.77
13562,Brazil,19.4034,154.824,2951418.97
13598,Brazil,5.84759,0,3702238.576
13629,Niger,11.1964,0.788198,9143276.641
13635,Indonesia,0,0,17520580.33
13646,France,26.3079,0,9399326.601
13670,Argentina,27.04,18.6447,2940880.423
13674,Brazil,0,0,2196541.468
13679,Uruguay,10.7521,0,3433925.522
13711,New Zealand,7.55471,0,11308568.52
13778,Russian Federation,14.3402,15.5525,13834382.12
13781,Argentina,0.305994,0,3049289.759
13830,Angola,3.71832,0,9786264.168
13862,China,6.99193,0,16964708.76
13892,United States,0.446024,0,5779634.801
13947,China,5.35873,0,15927992.45
13959,Australia,2.91649,0,13273435.08
14021,Mexico,28.5344,0,4441633.16
14064,Kazakhstan,8.793,0,13382546.73
14077,Kazakhstan,10.3959,2.83091,13770633.31
14095,Pakistan,13.2418,0,15438477.56
14126,Russian Federation,1.35716,0,15150707.62
14183,Iraq,7.54972,0,13420050.71
14187,Nigeria,4.44002,0,9533045.141
14193,Congo DRC,1.2231,0,10830265.71
14204,Indonesia,13.83,0,18779890.73
14210,Bolivia,5.50857,0,1194695.118
14238,Panama,10.3006,0,1932885.234
14304,Argentina,2.95049,0,3701566.083
14327,Angola,5.44964,0,10252667.22
14339,Argentina,2.76545,0,3746516.628
14355,Guinea,0,0,7154580.635
14361,Kazakhstan,0.728571,0,13334869.64
14367,Argentina,17.8993,25.6047,3344848.77
14373,Poland,19.8044,45.4242,11246628.52
14381,Zambia,4.98753,0,11177782.39
14389,Congo DRC,0.493501,0,11303000.32
14397,Russian Federation,1.69328,0,14184589.56
14445,Argentina,3.1276,0,2768812.77
14479,China,11.142,80.4791,17818236.24
14547,Iran,12.7869,0,13461774.7
14559,Russian Federation,0.410649,0,14680439.66
14623,United States,24.2643,0,5940432.209
14624,United States,10.7093,0,4955668.655
14643,Turkmenistan,0,0,14035202.58
14685,Kazakhstan,5.58507,0,14526339.18
14704,Pakistan,13.4481,0,15552712.5
14762,New Zealand,30.5786,0,11175143.62
14824,Canada,28.6916,0,7449632.763
14833,Chile,9.33672,0,3762866.498
14882,Indonesia,0.249058,0,18447379.48
14967,United States,15.3966,0,6532644.645
14993,Chile,0,0,1430805.709
15016,Argentina,1.07548,0,2461480.762
15035,Argentina,27.04,18.6674,3158951.669
15083,Angola,5.0676,0,9935883.725
15216,Iran,1.58916,0,14490639.03
15260,Tanzania,3.77324,0,11632240.05
15271,Nigeria,0,0,9010685.794
15292,Central African Republic,2.4948,0,10952042.11
15329,Niger,7.21419,0,8953500.456
15346,Zimbabwe,14.0668,0,11297337.6
15414,Kazakhstan,8.23203,12.8105,13668170.16
15448,France,26.5787,52.151,9473455.771
15456,Brazil,0,0,3788775.84
15457,Kenya,5.22359,0,12289709.7
15477,China,7.18182,0,17925638.88
15493,Niger,11.1791,0.865758,9314958.967
15511,Philippines,0.290167,0,18114279.53
15571,Botswana,0,0,10391468.46
15623,Russian Federation,14.3402,15.485,13832696.56
15681,China,6.41696,57.1536,17535200.28
15694,Bolivia,3.8156,0,1463113.333
15711,Peru,5.12777,0,59719.83573
15749,United States,32.605,0,7193641.437
15764,Argentina,0,0,4123913.294
15793,Russian Federation,2.9574,0,14385731.54
15838,Iran,0,0,14177352.12
15857,Saudi Arabia,0.623925,0,13435281.24
15866,Tunisia,10.1697,0,9971651.026
15917,South Africa,32.2835,0,10846100.66
15949,Argentina,18.2998,0,2440116.125
16044,Mozambique,4.01727,0,12140931.11
16052,Zambia,3.85247,0,11199031.64
16072,Indonesia,3.63785,0,15949740.6
16084,Central African Republic,1.77954,0,10544574.54
16152,United States,7.56215,0,3871997.31
16181,Argentina,9.5596,0,3139398.93
16231,Chile,0,0,3980612.911
16270,Kazakhstan,0.801429,0,13320267.89
16290,Ecuador,0.522449,0,730115.9422
16297,Tanzania,3.79062,0,11497034.89
16304,Brazil,0,0,2502177.835
16335,Uganda,3.47053,0,11735806.65
16370,Kenya,6.26545,0,12159593.99
16426,Greece,23.5902,0,11617958.8
16452,United States,1.16062,0,6841278.078
16515,Colombia,9.57567,0,1421397.282
16529,Canada,26.8285,0,7228467.805
16530,Bolivia,10.4415,0,1525957.898
16571,United States,5.4183,0,5214534.317
16587,Cameroon,4.61644,26.7471,9873378.85
16600,Nepal,21.1855,0,16912960.18
16682,Indonesia,4.95507,0,17621329.86
16685,Indonesia,3.68724,0,15922102.35
16688,Canada,19.1052,0,7973107.96
16724,China,18.0034,116.009,17904450.92
16770,Colombia,15.8706,71.7545,1612021.319
16806,Australia,20.2777,0,12817778.76
16842,South Sudan,2.40306,0,11711617.23
16880,United States,0,0,5156713.297
16894,Mozambique,4.6178,0,11271460.08
16915,Australia,0.471135,0,13802661.38
16926,Venezuela,13.7104,0,1863599.209
16953,Russian Federation,7.94296,0,12484958.37
16970,Philippines,7.47671,0,18112932.79
16982,Namibia,0,0,9844411.127
17016,Chile,9.81588,0,2919973.055
17023,United States,27.8016,107.292,6431091.987
17027,Denmark,40.0978,85.0192,10475108.38
17035,Mongolia,7.43,1.42211,15454896.76
17087,India,3.17536,0,15942137.01
17157,Brazil,19.3527,162.177,3304744.712
17174,Malaysia,0,0,19451217.88
17192,Russian Federation,10.54,0,14432748.52
17204,Canada,3.13751,0,7747391.494
17281,China,19.8131,0,16750003.17
17282,Argentina,27.04,18.8684,2787731.956
17311,Vietnam,6.26432,45.1394,19608707
17325,India,21.7307,86.7995,16383236.56
17363,Congo DRC,3.03475,0,11361416.86
17371,United States,35.1114,0,5839326.299
17400,United States,12.6918,0,5700135.723
17433,Mexico,0,0,3522218.359
17457,Brazil,0,0,3319342.118
17472,New Zealand,2.1405,0,10902821.79
17516,Russian Federation,8.8704,20.2684,12331761.73
17517,Botswana,0,0,10355057.9
17519,Kazakhstan,4.85161,0,15122209.67
17520,United States,31.5964,0,5853284.633
17568,Brazil,0,0,742779.8538
17588,Russian Federation,0.847838,0,13930796.71
17598,Ethiopia,8.71,0,12772057.5
17633,China,6.9848,0,15999056.21
17641,Australia,27.7385,0,14999045.29
17670,Australia,13.5666,0,13232470.39
17728,Angola,4.0788,0,9518294.964
17755,Brazil,3.40995,0,2922384.63
17783,Russian Federation,2.50636,0,13126457.31
17795,Sudan,0.281538,0,12529117.8
17813,United States,24.0318,0,5068445.907
17876,Russian Federation,13.6884,0,13672737.25
17883,India,11.0424,67.9311,17395569.8
17919,Mali,0,0,7396229.068
17975,Australia,2.47672,0,14435312.29
17988,China,4.58798,0,17178482.69
18045,United States,0,0,5443122.235
18046,Côte d'Ivoire,0,0,7848069.269
18077,Mexico,2.88283,0,5415250.553
18097,Congo DRC,2.84551,0,11438767.63
18102,Peru,2.18405,0,615874.7387
18116,Russian Federation,3.9013,0,12916752.93
18154,Libya,3.03182,0,10947285.79
18196,Australia,17.7689,0,13567284.69
18254,Iran,18.617,0,13683385.15
18303,Sudan,0.266182,0,11873368.37
18313,Tanzania,4.83306,0,12306740.53
18356,Mongolia,1.27371,0,16157193.49
18387,Oman,16.8548,0,14635032.88
18391,El Salvador,19.7483,0,2939058.894
18446,Brazil,0,0,3492157.785
18508,Zambia,8.79181,3.70159,10460329.28
18584,Argentina,7.774,0,3283122.123
18598,Tunisia,0.435,0,10036337.23
18599,Yemen,0.56,0,13955977.12
18663,Australia,30.4283,0,14370002.73
18675,Finland,0,0,11631593.88
18679,China,8.3452,0,16646843.89
18705,India,11.8615,0,16133791.31
