mean_rice_,NEAR_DIST,NEAR_RANK,NEAR_X,NEAR_Y
2.942161811,113120.4593,1,107.0477634,20.70388206
4.122752876,113293.4697,2,108.6941452,19.3788822
3.186515596,127003.1349,3,108.9394731,19.51856069
3.56372838,135243.4005,4,107.6027253,21.21278221
3.856344859,136854.2843,5,106.5840183,20.34250016
4.237324601,137614.4742,6,106.5625871,20.28956463
3.730496526,138775.2336,7,107.4609024,21.21278221
5.002671453,139772.5078,8,106.5625871,20.36802369
3.861930575,148296.3001,9,109.2575329,19.8998648
4.614824405,157738.5775,10,109.2575329,19.51856069
3.530905695,174103.8953,11,108.6990374,18.66455611
3.96177474,180094.0265,12,108.3943542,21.555554
6.444509837,188520.8144,13,106.5625871,21.21278221
3.521738327,210421.7944,14,109.2575329,18.66455611
3.806046145,210571.4272,15,109.7422002,20.65971815
4.512558387,215250.8988,16,109.2575329,21.43276828
3.656461631,220056.5984,17,105.8120284,19.51856069
4.484706891,225853.8057,18,107.8481443,22.05275134
4.140951551,228271.5836,19,105.6642718,20.02628466
3.850068334,229362.6245,20,107.4609024,22.05267853
4.123598044,231384.1487,21,105.6642718,20.36802369
5.006820802,232063.3045,22,108.3592177,22.05267853
3.870510454,235086.4735,23,105.6642718,19.51856069
2.479978443,241706.5333,24,110.1558482,20.0279145
3.074643675,244620.2537,25,110.1558482,20.36802369
3.355739126,248193.3195,26,110.1558482,19.51856069
3.314652424,260234.2539,27,106.2524912,18.21471799
3.470135407,262292.068,28,106.5625871,22.05267853
5.131324839,263355.0469,29,105.6642718,21.21278221
5.809749158,269324.3043,30,109.2575329,22.05267853
3.205821286,273532.7919,31,105.6642718,18.66455611
5.40887253,274994.1219,32,110.1558482,21.21278221
2.810407639,284934.2766,33,110.1558482,18.66455611
3.359021303,285793.5747,34,106.4372945,17.80617783
3.213348866,300454.6555,35,106.5625871,17.58909157
4.575569601,318306.0069,36,107.8492177,22.88763398
4.195246657,320035.3273,37,105.6642718,22.05267853
4.630896229,320788.2785,38,107.4609024,22.8875601
2.778257047,322258.3018,39,104.7659565,20.03964771
4.438584752,322713.642,40,108.3592177,22.8875601
2.960269823,324300.5654,41,104.7659565,20.36802369
3.26647373,327376.1482,42,104.7659565,19.51856069
7.029438488,329625.8975,43,110.1558482,22.05267853
3.026569128,335370.2527,44,105.6642718,17.80617783
4.668621105,344966.1411,45,106.5625871,22.8875601
3.417970557,347376.3393,46,107.1591308,16.94359866
3.587385696,347426.0847,47,104.7659565,21.21278221
5.155491604,350312.0368,48,109.2575329,22.8875601
2.761073952,356371.712,49,104.7659565,18.66455611
3.261315147,365752.6035,50,106.5625871,16.94359866
3.306527818,369359.2911,51,107.4609024,16.69610285
4.900056505,371252.6268,52,111.0541635,21.47470121
4.937507432,390426.8455,53,105.6642718,22.8875601
3.590340268,391768.5453,54,104.7659565,22.05267853
6.169627739,398281.0484,55,110.1558482,22.8875601
6.550391714,402747.0506,56,111.0541635,22.05267853
2.010951317,406101.7314,57,104.7659565,17.80617783
3.420328458,410196.186,58,107.8503664,23.71735442
3.123747908,410466.4883,59,105.6642718,16.94359866
4.612598271,412111.9201,60,107.4609024,23.71727971
4.283829965,413603.5403,61,108.3592177,23.71727971
2.480765722,416235.7087,62,103.8676412,20.05759572
2.371237903,417650.0184,63,103.8676412,20.36802369
2.692927322,420485.2431,64,103.8676412,19.51856069
4.536212726,431088.8933,65,106.5625871,23.71727971
4.907724625,435353.3662,66,109.2575329,23.71727971
2.663861889,435414.2189,67,103.8676412,21.21278221
3.492321431,435622.7387,68,107.849122,16.07701267
2.529765669,437526.027,69,107.4609024,16.07699615
2.485545156,443843.7439,70,103.8676412,18.66455611
4.810036932,450775.4082,71,104.7659565,22.8875601
2.885191959,456311.0286,72,106.5625871,16.07699615
3.150298381,460269.766,73,108.3592177,15.8834001
6.075564424,460294.1707,74,111.0541635,22.8875601
3.574544528,462240.0073,75,111.9524788,21.60119815
4.598372885,468050.7877,76,105.6642718,23.71727971
1.946016199,470304.6498,77,104.7659565,16.94359866
3.263621193,471142.7139,78,103.8676412,22.05267853
5.780643131,474583.6057,79,110.1558482,23.71727971
5.620049126,482897.2417,80,111.9524788,22.05267853
1.897330667,485046.7917,81,103.8676412,17.80617783
1.979937434,493044.8529,82,105.6642718,16.07699615
5.1520262,501508.717,83,107.8515908,24.54177081
5.175523855,503065.637,84,107.4609024,24.54169549
4.754821149,504280.9132,85,108.3592177,24.54169549
2.149727792,510201.0616,86,102.969326,20.08014776
2.177556211,511193.345,87,102.969326,20.36802369
2.918232087,513966.7116,88,102.969326,19.51856069
5.571710366,518632.4798,89,106.5625871,24.54169549
5.395878087,519169.3531,90,104.7659565,23.71727971
5.769294396,520860.833,91,103.8676412,22.8875601
4.446554121,522161.1043,92,109.2575329,24.54169549
1.532652225,525352.9778,93,102.969326,21.21278221
5.838987361,527406.679,94,111.0541635,23.71727971
5.885974646,531456.0751,95,111.9524788,22.8875601
2.688131955,531937.2432,96,107.8422362,15.20660962
2.469900069,533509.0097,97,107.4609024,15.20655249
3.082775472,533673.789,98,102.969326,18.66455611
3.322138526,534724.4572,99,108.3592177,15.20655249
2.050307208,540263.6758,100,103.8676412,16.94359866
1.833482301,544103.4978,101,104.7659565,16.07699615
2.76964256,549090.3437,102,106.5625871,15.20655249
6.349963909,549556.6562,103,105.6642718,24.54169549
3.180434132,554321.0057,104,112.8507941,21.72841248
2.992296199,554886.5006,105,102.969326,22.05267853
5.376622753,555097.58,106,110.1558482,24.54169549
4.665955372,567101.9813,107,112.8507941,22.05267853
1.990944135,568794.0818,108,102.969326,17.80617783
1.961109224,580116.2734,109,105.6642718,15.20655249
7.641920119,580716.5754,110,103.8676412,23.71727971
5.601318847,590182.4829,111,111.9524788,23.71727971
5.681632826,592228.5516,112,107.8528913,25.36074673
6.348661083,593441.2126,113,104.7659565,24.54169549
6.365247575,593537.8956,114,107.4609024,25.36067104
5.541665381,594561.9098,115,108.3592177,25.36067104
5.896676683,597263.3367,116,102.969326,22.8875601
5.569455244,600617.4292,117,111.0541635,24.54169549
2.381766453,604151.5968,118,102.0710107,20.10732784
2.080153162,604838.4906,119,102.0710107,20.36802369
1.971126477,605875.1273,120,103.8676412,16.07699615
6.694869522,606707.0581,121,106.5625871,25.36067104
2.728192727,607646.6925,122,102.0710107,19.51856069
5.115518912,608563.8632,123,112.8507941,22.8875601
5.250011219,609707.5553,124,109.2575329,25.36067104
1.852919673,616386.9497,125,102.0710107,21.21278221
1.97863199,616908.5138,126,102.969326,16.94359866
1.934485676,624287.6965,127,104.7659565,15.20655249
2.986080241,624843.7848,128,102.0710107,18.66455611
2.670984077,628653.4515,129,107.841831,14.33250871
1.45149548,629990.5215,130,107.4609024,14.33245432
3.323833801,631024.7557,131,108.3592177,14.33245432
4.889233357,633183.976,132,105.6642718,25.36067104
5.839423649,637969.3407,133,110.1558482,25.36067104
3.279531869,641288.2184,134,102.0710107,22.05267853
1.76522469,643297.5977,135,106.5625871,14.33245432
7.675587817,647655.5681,136,103.8676412,24.54169549
7.38693712,649733.7884,137,102.969326,23.71727971
2.643056767,655503.8385,138,102.0710107,17.80617783
5.546175682,656105.3825,139,111.9524788,24.54169549
5.428813059,660075.657,140,112.8507941,23.71727971
3.442762869,667209.8758,141,113.8227724,22.21999116
1.578431229,670091.8621,142,105.6642718,14.33245432
5.03584723,671395.1951,143,104.7659565,25.36067104
1.877667227,675425.5741,144,102.969326,16.07699615
5.718152418,677707.3857,145,111.0541635,25.36067104
4.877090895,677848.1454,146,102.0710107,22.8875601
1.92322861,679043.2356,147,103.8676412,15.20655249
2.042186022,679732.9161,148,109.2575329,14.0227473
5.855122757,682341.2256,149,107.8542691,26.17415121
5.972916547,683469.4508,150,107.4609024,26.1740754
6.071631459,684353.2923,151,108.3592177,26.1740754
5.092899279,689623.8616,152,113.7491094,22.8875601
5.383037778,694864.5681,153,106.5625871,26.1740754
6.049476715,697469.3811,154,109.2575329,26.1740754
2.413824243,698038.7454,155,102.0710107,16.94359866
2.8220844,698084.5247,156,101.1726954,20.13916504
1.905883822,698542.3086,157,101.1726954,20.36802369
2.978166319,701443.5408,158,101.1726954,19.51856069
3.199163372,708091.6072,159,101.1726954,21.21278221
0.883026559,708844.9851,160,104.7659565,14.33245432
6.988117446,709835.1345,161,102.969326,24.54169549
3.022212823,716840.6634,162,101.1726954,18.66455611
4.337841225,717953.8047,163,105.6642718,26.1740754
5.599043734,719256.4077,164,112.8507941,24.54169549
5.850335883,719472.2412,165,103.8676412,25.36067104
6.25963885,722151.0429,166,110.1558482,26.1740754
6.581144355,724086.096,167,102.0710107,23.71727971
3.262571598,725745.7511,168,107.8415001,13.45494411
1.160520966,726909.6902,169,107.4609024,13.45489258
5.916217898,727041.0209,170,111.9524788,25.36067104
3.937208315,727810.0798,171,108.3592177,13.45489258
3.159526137,729401.6873,172,101.1726954,22.05267853
4.482233654,735056.6933,173,113.7491094,23.71727971
1.743217771,738521.8875,174,106.5625871,13.45489258
1.840158862,742042.4791,175,102.969326,15.20655249
