mean_cassa,NEAR_DIST,NEAR_X,NEAR_Y
2.808748635,10176293.16,29.30747266,0.920742084
1.576666658,10385377.87,28.40915737,9.913968571
1.1635959,10106401.03,26.61252681,7.231832141
5.801523579,10211778.98,31.10410323,-3.598665039
1.321559605,1708745.51,-69.50720859,-4.500736801
1.64217488,1106934.393,-60.52405575,-8.095480024
3.248233954,10833124.26,39.18894078,-9.881638007
11.04362595,2440982.51,-39.86280422,-12.54203224
9.099270228,586711.175,-59.62574047,-22.85734615
15.09491731,18231994.33,119.1390011,33.97684583
3.826839642,824911.405,-65.91394746,-11.65802482
3.311975388,2626317.05,-80.286992,-2.695687276
4.385763788,8626690.885,20.32431982,-17.77494155
6.583544152,8126275.582,13.31603616,-9.963191021
3.834718354,6090435.043,-13.27805491,8.423608993
9.093481049,7719021.807,3.256329419,8.127972805
5.900632728,1368662.35,-57.8291099,-6.30126233
0.639999997,10643853.92,32.00241851,6.333885882
0.968797088,8077809.277,9.364718145,1.149445045
7.252939052,1267600.278,-56.03247933,-8.095480024
14.56058396,15693917.95,78.71481329,35.46024618
7.572463795,2787967.708,-77.59204615,1.824838998
0.759413307,2107951.195,-64.11731689,0.920742084
16.03000069,17598589.59,107.4609024,37.63441344
1.697598159,1557066.251,-65.91394746,-4.500736801
7.874305281,10683993.31,36.49399493,-6.30126233
4.464501588,17581661.93,103.9405183,1.019164118
19.76083744,1618515.271,-48.84595706,-10.77115798
1.326233769,9580015.225,19.42600453,13.45489258
8.818422483,16564766.35,138.9019373,-5.401677201
15.88157475,17370893.74,124.5288928,41.11907488
16.03000069,17875909.83,111.0541635,36.19181514
11.38379729,1803697.688,-75.79541558,-8.989674489
11.8113037,17171655.53,105.6642718,-4.500736801
8.122830434,629124.179,-67.71057803,-16.91221321
2.666824391,10357205.29,37.39231022,-17.6474943
12.71085674,17160740.02,112.9789033,-7.199269999
12.86684246,17176286.9,95.78280368,4.53345902
0.455427896,9781589.018,31.10410323,-16.04546807
1.927060717,2433860.335,-65.91394746,3.63142439
0.383255803,12680198.99,49.96872419,10.80339589
4.379133013,1100380.687,-53.33753348,-12.54203224
5.915145494,8137215.287,13.13779754,-8.989674489
2.87380592,1340329.494,-58.72742519,-6.30126233
16.31371392,4794176.026,-88.36129086,16.50176409
1.089967486,8215690.456,10.44285169,1.824838998
0.497784429,9071701.116,20.32431982,-3.598665039
1.10272042,1440936.201,-67.71057803,-6.30126233
2.466451645,16778007.35,88.59628141,29.36955533
14.28127334,17476225.49,104.7659565,37.63441344
15.03159466,8452635.526,8.646221124,12.57406233
13.28273869,17554756.37,116.0861092,-4.045554958
3.915742356,2206878.717,-51.54090291,-0.887920689
10.62543895,17740770.66,98.52610031,10.01305404
3.996439302,8528483.802,17.62937397,-11.65802482
5.602758358,2489999.123,-44.35438064,-3.598665039
15.76283401,17979778.77,102.969326,30.15333299
1.052720785,2336833.702,-57.8291099,2.728475555
36.6414211,15841074.89,79.61312857,11.69016253
18.81910838,7954312.959,3.256329419,13.45489258
11.41791709,2894527.784,-63.21900161,8.127972805
9.431106567,15843328.01,78.71481329,16.07699615
5.188653267,6725974.415,-6.625138706,8.127972805
6.251789342,9710078.03,27.51084209,-7.199269999
9.237644043,2625919.645,-39.86280422,-8.095480024
10.42845082,15653375.77,76.91818272,16.07699615
5.172567103,7473591.252,-3.03187757,16.07699615
16.03000069,17671003.68,100.2743801,31.70207379
15.34535112,17897254.61,98.47774954,14.33245432
1.46941673,16586333.71,87.69796613,32.46685781
25.69926739,1258279.688,-50.64258763,-22.02227995
0.260543358,17255092.34,91.86587797,22.05267853
3.991610937,10493640.21,35.59567965,-8.989674489
16.03000069,17421389.53,108.3592177,39.7462773
6.716599822,2597396.856,-60.52405575,5.434354136
10.93260803,10209731.87,30.20578794,-0.887920689
12.46949974,2883996.468,-71.30383916,6.333885882
6.52014321,10025573.62,31.10410323,-8.989674489
4.301908016,15435359.99,74.22323686,22.05267853
7.763008522,1182519.324,-56.03247933,-8.989674489
4.625454729,8928251.843,23.01926567,-16.91221321
15.88157475,17206922.39,125.4272081,42.46353935
11.10671468,17104020.31,102.969326,-3.598665039
13.17414669,2414029.251,-39.86280422,-13.42297741
6.00468725,4922393.121,-77.59204615,23.73096629
4.650000095,4610292.276,-77.59204615,20.68526914
14.54574136,15645914.58,78.71481329,36.91655438
13.29463885,18047840.01,99.37606482,20.36802369
1.427095566,2394078.649,-62.32068632,3.63142439
6.810833176,8330866.258,16.73105868,-15.17488847
7.659109276,2593530.068,-61.42237104,5.434354136
5.692300363,2285357.93,-45.25269592,-5.401677201
