SOURCE_ID,mean_wheat,GiZScore,NEAR_DIST,NEAR_X,NEAR_Y
19,4.522922027,6.081001213,13741404.25,-70.40552388,-33.94967734
24,0.398168532,0.295572259,3188016.736,30.20578794,1.824838998
82,4.467002098,6.006533822,4018602.595,2.358014135,43.12510269
119,1.903461068,2.407923811,4409841.038,86.79965084,22.8875601
275,0.134999998,-0.074339293,12422563.89,-69.50720859,-3.598665039
363,1.5527683,1.91608326,4321445.462,85.90133556,22.8875601
393,0.291175913,0.145818675,12274508.01,-58.72742519,-22.85734615
464,4.085880488,5.47061386,7055092.509,118.2406858,33.97684583
469,0.415000002,0.319380143,1684774.844,55.3586159,39.04931339
556,2.981582701,3.921395792,4880189.491,-1.268608844,59.85110917
579,1.797831648,2.258390907,14230314.96,-73.99878502,-51.05732034
599,0.253276335,0.093753816,5483183.87,21.2226351,-16.91221321
644,1.329213528,1.60170771,5216566.019,14.03611283,-9.881638007
665,0.961499807,1.085398834,13074415.17,149.6817207,-32.43921198
671,0.957456969,1.082898886,12058606.23,-107.2364505,38.34534672
718,0.617034741,0.601971863,4581389.52,4.154644703,9.022090045
733,1.29867802,1.558956231,13113521.4,-65.91394746,-26.95256711
758,1.721472003,2.154497617,11895262.51,-99.15161297,36.19181514
842,4.717504569,6.354915955,3457745.015,78.71481329,34.72190291
889,2.998757531,3.942269624,12843195.86,-77.59204615,2.728475555
927,0.063333333,-0.174930456,11607365.09,-64.11731689,1.824838998
956,1.245308976,1.486495866,6013942.146,107.4609024,37.63441344
1015,3.371819666,4.469121937,4435796.221,-3.03187757,41.79485858
1058,2.310004617,2.976760772,14097540.14,-72.20215445,-53.80170907
1087,0.019345621,-0.236424874,1437384.558,46.37546306,15.20655249
1105,0.508113859,0.450001004,3727009.425,37.39231022,-5.401677201
1206,3.672100297,4.889378745,12804374.1,-104.5415047,29.36955533
1224,3.296228079,4.365131657,3298032.604,12.29815247,44.42683895
1256,2.17968533,2.795206723,2602096.439,69.73166044,30.15333299
1317,0.182170685,-0.006184041,2004848.899,46.37546306,45.70002889
1342,1.800128357,2.261427749,2790343.117,20.32431982,14.33245432
1415,1.005324662,1.146392402,11942719.01,143.3935137,-18.63347536
1509,1.16625762,1.37711232,3009061.468,15.8327434,43.73309765
1520,2.099694424,2.684261946,7284567.271,123.6305775,41.11907488
1523,0.223453681,0.050847348,12735464.26,-63.21900161,-23.68725562
1529,3.534638549,4.697560797,6358971.067,111.0541635,36.19181514
1566,1.078636355,1.249324634,13270765.84,-75.79541558,-8.095480024
1593,2.526309345,3.281638569,13322408.67,-107.2364505,25.36067104
1629,0.623636956,0.611439359,12851287.19,-67.71057803,-16.04546807
1630,0.416774186,0.322208179,4976574.323,38.2906255,-16.91221321
1666,0.563490516,0.53181613,3994777.147,14.03611283,57.378289
1689,0.022037038,-0.232028423,13627250.35,-66.81226274,-43.1012148
1759,1.18746841,1.402795748,3486289.062,67.93502988,53.2860827
1797,0.46640292,0.392906517,4905614.324,32.00241851,-15.17488847
1828,0.128472224,-0.083539717,11631963.39,-65.91394746,4.53345902
1863,0.055074628,-0.186365243,1943332.397,50.4426827,11.69016253
1979,1.248468511,1.488357754,5058014.03,14.03611283,-8.095480024
2105,0.463354226,0.38718774,3314411.97,57.15524647,55.89339366
2181,0.157013894,-0.043102121,4370246.482,11.34116698,2.728475555
2228,0.541022725,0.496613577,5693721.042,104.7659565,48.14043174
2229,0.53425303,0.485966639,12770601.82,148.7834054,-26.14465047
2288,0.070555554,-0.163692551,4110788.203,21.2226351,-2.695687276
2329,4.1756183,5.596667583,11000294.18,-88.37182956,39.7462773
2389,5.394931358,7.305560333,4425098.151,88.59628141,29.36955533
2420,2.758770459,3.608906011,5779024.931,104.7659565,37.63441344
2436,3.374999951,4.47021606,15025662.04,170.3429723,-44.40346895
2455,2.879545364,3.776948075,6032644.423,18.52768925,-21.18220445
2457,1.162638256,1.367744647,4027124.426,75.12155215,55.89339366
2474,0.945016079,1.062116181,2381936.594,41.88388664,6.333885882
2477,1.809659055,2.274818724,3824159.997,9.544536408,13.45489258
2511,1.14171441,1.340592539,11875375.76,-92.86340598,32.46685781
2569,4.820468766,6.502412297,4765028.538,-4.046526797,53.30152706
2592,1.637859489,2.036007989,2054086.863,43.6805172,46.32592291
2602,1.976859884,2.512457935,2252102.344,23.84716504,40.43620685
2628,0.680719753,0.692973191,10290243.35,-100.0499283,53.82100625
2640,1.09122933,1.266907786,10444183.72,119.1390011,-32.43921198
2666,0.056578768,-0.184453276,5387976.416,98.47774954,57.378289
2688,0.669491513,0.675633581,6066560.844,98.47774954,10.72776106
2692,0.910752322,1.017801215,3673109.222,22.12095039,57.378289
2723,0.0159375,-0.239383003,3185636.952,10.44285169,34.50123292
2728,0.658124569,0.661571686,3428562.366,36.49399493,58.33591094
2733,0.01257005,-0.245000856,553595.924,40.98557135,32.46685781
2735,2.075298266,2.647627902,13919781.07,-69.50720859,-54.26672913
2740,1.072542104,1.242088779,4092933.771,28.40915737,-6.30126233
2760,1.180388451,1.39281065,3877754.331,74.22323686,54.34915586
2795,2.175351007,2.789774019,10653648.41,-108.1347658,52.74434452
2798,2.131966387,2.727458886,14037397.4,-72.20215445,-41.09441287
2808,0.972651491,1.102568065,5911280.915,21.2226351,-21.18220445
6520,1.6512687,2.054739948,12015356.27,-91.9650907,30.15333299
6585,1.210247316,1.43506276,12176250.31,-55.13416405,-28.55084903
6884,1.218151625,1.445020725,4291306.187,4.154644703,14.33245432
6886,1.864926797,2.353079435,12309469.52,-54.23584876,-33.94967734
6918,1.273765528,1.523424996,1117975.559,54.46030061,28.57963469
6946,1.713157956,2.139638697,12745359.7,144.291829,-36.89036885
8094,2.143443871,2.746150006,10978160.64,-98.25329769,45.70002889
8123,0.146439161,-0.057564914,3633463.499,53.56198533,59.72493528
9043,0.221137939,0.04711138,4634415.372,86.79965084,55.38530466
9057,0.556363626,0.518340745,5588700.817,34.69736436,-22.02227995
9633,1.958711147,2.485006473,13075109.04,-63.21900161,-33.19773203
13106,0.017631892,-0.237911056,13876666.84,-70.40552388,-40.4112881
13134,0.132017126,-0.078501164,5231018.69,95.78280368,57.378289
2903,0.560020295,0.522756093,3670424.618,76.91818272,16.94359866
2915,0.068440504,-0.167761107,4783290.102,-2.133562286,16.94359866
2917,1.160907457,1.365488317,3651981.38,68.83334516,54.87057396
2952,4.21748514,5.658767632,3531690.374,13.13779754,49.93214842
2990,1.200850457,1.421420842,3339412.596,58.05356175,55.89339366
