mean_rye_Y,NEAR_DIST,NEAR_RANK,NEAR_X,NEAR_Y
1.024637785,15415288.37,8243,-70.40552388,-33.94967734
3.384627108,4405062.487,4262,2.358014135,43.77953811
0.086515154,13247538.28,7543,-69.50720859,-3.598665039
1.619666694,5312041.245,5146,118.2406858,33.97684583
2.096250057,4378394.163,4236,-1.235247001,60.01609252
0.24000001,13530306.77,7634,-65.91394746,-10.77115798
0.563684216,13870250.38,7753,-80.286992,-1.792030028
2.292596607,16222794.16,8388,-73.99878502,-50.48770305
0.274909089,12516768.91,7467,149.6817207,-32.43921198
1.290712802,10961270.35,7101,-107.2364505,38.34534672
0.863636398,14650198.22,8074,-65.91394746,-26.95256711
1.013653678,11012997.79,7120,-99.15161297,36.19181514
1.562333359,1994249.306,1520,78.71481329,35.46024618
1.720000029,4259028.066,4140,107.4609024,37.63441344
1.658718309,4867278.651,4737,-3.03187757,42.46353935
2.94572006,16117445.34,8370,-72.20215445,-53.26653887
1.704074102,5392235.7,5213,124.5288928,42.46353935
0.732868464,5307742.667,5142,-8.421769274,41.79485858
1.720000029,4012556.565,3975,99.37606482,29.36955533
0.057166667,8546789.188,5668,25.71421152,-29.34099072
0.625454556,3718279.707,3748,95.78280368,29.36955533
0.072916667,748983.6441,110,51.76535476,47.55634683
1.207442641,14579456.86,8056,-58.72742519,-36.1653808
2.288561778,2773035.059,2754,23.01926567,50.50850028
0.399975484,2945265.82,2987,89.49459669,59.72493528
0.180598505,899368.1958,193,47.27377834,45.70002889
0.300681816,11063927.26,7137,143.3935137,-18.63347536
0.520498077,3354675.109,3447,15.8327434,43.77953811
1.704074102,5384981.726,5209,123.6305775,41.11907488
0.400000016,14221215.4,7905,-63.21900161,-23.68725562
1.720000029,4616636.376,4490,111.0541635,36.19181514
0.736212133,14084914.45,7845,-75.79541558,-8.095480024
0.105,8540272.758,5664,30.35022882,-30.90275818
0.610000024,14065556.69,7836,-67.71057803,-16.04546807
0.410278227,3471717.922,3555,14.03611283,57.378289
0.011111112,15518839.52,8259,-66.81226274,-43.1012148
1.28713119,1476171.74,734,67.93502988,53.2860827
0.078717634,10957690.66,7099,-81.35110333,30.15333299
0.508008795,1535951.953,804,57.29640808,55.89348418
0.209999998,12023034.4,7343,148.7834054,-26.14465047
0.468578668,10304644.23,6811,-88.37182956,39.7462773
1.720000029,3139138.976,3241,88.59628141,29.36955533
1.532363662,4039360.794,3994,104.7659565,37.63441344
2.216995035,2002946.903,1532,75.12155215,55.89339366
3.992857252,4616627.271,4489,-4.046526797,53.30152706
1.681707194,1119009.675,358,44.57883249,46.32592291
1.909172807,2767183.325,2747,23.91758095,41.11907488
0.451499997,10392861.81,6855,119.1390011,-32.43921198
0.109084223,3348890.636,3437,98.47774954,57.378289
0.751988943,3001719.075,3070,22.12095039,57.378289
1.2211548,2319658.77,2086,36.49399493,58.33591094
2.646422299,15941740.42,8338,-69.50720859,-53.80170907
2.136285305,1845861.373,1255,74.22323686,54.34915586
1.9480271,9404403.78,6163,-108.1347658,52.74434452
1.426094176,1653354.056,963,68.83334516,54.87057396
3.574587812,3472914.122,3557,13.13779754,50.50850028
1.349575676,1536911.22,809,58.05356175,55.89339366
1.720000029,3954424.599,3929,100.2743801,31.70207379
0.954545492,14746547.18,8096,-65.91394746,-28.55084903
5.114255459,4474299.464,4333,-2.133562286,54.34915586
1.720000029,4244864.059,4125,108.3592177,39.7462773
0.084512194,9336156.343,6111,122.3624912,-17.01083588
0.120166667,9115891.921,5957,19.42600453,-32.43921198
2.621073427,16164767.32,8378,-73.10046973,-51.05732034
1.660000021,859824.6547,170,67.03671459,39.7462773
0.370000015,14352089.19,7962,-66.81226274,-21.18220445
0.023333333,7959811.937,5571,32.9007338,-26.14465047
0.021333428,2323539.994,2098,46.37546306,61.91726393
0.128916669,476051.9421,29,62.54513817,40.43620685
5.906786993,3471122.989,3552,13.13779754,51.56556071
0.903216948,1828565.441,1231,35.59567965,48.16090152
0.354374997,11511374.45,7247,147.8850902,-19.86999669
0.089249999,12103731.36,7363,146.9867749,-29.34099072
1.560740767,1923310.897,1391,78.71481329,36.91655438
1.207442641,14651943.02,8076,-58.72742519,-37.60847846
0.423818179,12072725.71,7354,141.5968832,-34.69497692
0.456933904,11168304.73,7167,-96.45666712,33.97684583
0.310563378,11219692.39,7181,132.6137303,-31.67419348
1.691333361,4263368.027,4143,102.969326,30.15333299
0.2888889,15389621.17,8238,-66.81226274,-39.72110273
1.114716926,3244685.128,3348,22.12095039,62.75259407
0.009259259,260133.2324,14,54.46030061,43.12510269
1.720000029,3913510.261,3903,100.2743801,32.46685781
1.353870861,2093511.396,1702,33.79904908,36.91655438
0.294609373,13437071.58,7597,-52.4392182,-25.33104167
4.300524692,1758815.961,1111,38.2906255,51.07786445
0.159259262,2486352.273,2361,86.79965084,39.7462773
1.351428594,5273103.575,5108,121.2283451,39.52846418
1.943571822,9826792.181,6525,-94.66003655,46.32592291
1.28713119,1524293.002,791,67.93502988,53.82100625
1.343590743,2986997.139,3052,21.2226351,41.11907488
0.067666667,8965981.846,5855,23.01926567,-32.43921198
0.168935283,15875756.21,8317,-69.50720859,-48.73681047
1.289809712,1228664.356,458,42.78220192,40.43620685
0.503642556,10992395.46,7111,-82.08362257,30.15333299
0.462148595,8645297.635,5693,-64.11731689,46.18208147
1.56758616,11290905.87,7197,-108.1347658,35.46024618
0.175185188,4621197.21,4494,116.4440552,46.94469194
2.66525493,2701381.633,2663,88.59628141,55.38530466
0.241154475,9045952.579,5910,-94.66003655,53.82100625
4.851774216,15872786.97,8315,-68.60889331,-52.72455261
0.229606278,15752996.19,8289,-70.40552388,-41.77045405
0.200455132,13859402.56,7749,-55.13416405,-28.55084903
0.286892373,15228831.21,8206,-68.60889331,-33.19773203
1.054545496,14427279.78,8000,-63.21900161,-26.95256711
0.168632576,9587553.425,6314,-92.86340598,48.16090152
0.127166667,9114793.962,5955,21.2226351,-33.19773203
