Fishnet_ID,sunflower_HgHa,AET_mean,Growing_Mean,GDP_Mean,sunflower_Fertilizer
154,0.642083349,699.9821429,8.520661157,NA,11.15491945
155,NA,NA,NA,NA,0.015541662
156,NA,NA,NA,NA,0.023086117
157,NA,NA,NA,NA,0.024261025
158,NA,NA,NA,NA,0.033264381
159,NA,NA,NA,NA,0.021198841
160,NA,NA,9.363636364,NA,0.021386033
161,0.283333336,741.3869048,NA,387.1450508,16.54617253
162,NA,NA,NA,NA,0.028487153
163,NA,NA,NA,NA,0.035397908
164,NA,NA,NA,NA,0.017318745
165,NA,NA,NA,NA,0.020962499
166,NA,NA,NA,NA,0.025384371
167,NA,NA,NA,NA,0.012701962
168,NA,NA,NA,NA,0.027529732
169,NA,NA,NA,NA,0.025306194
170,NA,NA,NA,NA,0.020896527
171,NA,NA,NA,NA,0.028939284
172,NA,NA,NA,NA,0.03847546
173,NA,NA,NA,NA,0.026714995
174,NA,NA,NA,NA,0.023636312
175,NA,NA,NA,NA,0.029652029
176,NA,NA,NA,NA,0.021985425
177,NA,NA,NA,NA,0.034967347
178,NA,NA,NA,NA,0.042178818
179,NA,NA,NA,NA,0.018281406
180,NA,NA,NA,NA,0.030429678
181,NA,NA,NA,NA,0.014363077
182,NA,NA,NA,NA,0.028346905
183,NA,NA,NA,NA,0.018520515
184,NA,NA,NA,NA,0.043664393
185,NA,NA,NA,NA,0.028244626
186,NA,NA,NA,NA,0.025492008
187,NA,NA,NA,NA,0.033892346
188,NA,NA,NA,NA,0.019214934
189,NA,NA,NA,NA,0.023670481
190,NA,NA,NA,NA,0.022159023
191,NA,NA,NA,NA,0.023102434
192,NA,NA,NA,NA,0.032619867
193,NA,NA,NA,NA,0.019002897
194,NA,NA,NA,NA,0.017470711
195,NA,NA,NA,NA,0.036855875
196,NA,NA,NA,NA,0.038318746
197,NA,NA,NA,NA,0.058425734
198,NA,NA,NA,NA,0.019531565
199,NA,NA,NA,NA,0.022573264
200,NA,NA,50.27272727,NA,0.020919474
201,NA,NA,6,NA,0.029157986
202,NA,NA,NA,NA,0.023523382
203,NA,NA,NA,NA,0.04061521
204,NA,NA,NA,NA,0.028659717
205,NA,NA,NA,NA,0.026911537
206,NA,252.4880952,NA,2161.113229,0
207,NA,NA,NA,NA,0.041037989
208,NA,NA,NA,NA,0.02786854
209,NA,NA,NA,NA,0.023225017
210,NA,NA,NA,NA,0.023394362
211,NA,NA,NA,NA,0.028619699
212,NA,NA,NA,NA,0.019275007
213,NA,NA,NA,NA,0.017777332
214,NA,NA,NA,NA,0.023031439
215,NA,NA,NA,NA,0.043727121
216,NA,NA,NA,NA,0.024528788
217,NA,NA,NA,NA,0.029325114
218,NA,NA,NA,NA,0.034566793
219,NA,NA,NA,NA,0.022554691
220,NA,NA,NA,NA,0.031658264
221,NA,NA,NA,NA,0.033338286
222,NA,NA,NA,NA,0.045361075
223,NA,NA,NA,NA,0.015052271
224,NA,NA,NA,NA,0.022632647
225,NA,NA,NA,NA,0.023565625
226,NA,NA,NA,NA,0.024015393
227,NA,NA,NA,NA,0.027880208
228,NA,NA,NA,NA,0.030921192
229,NA,NA,NA,NA,0.016578626
230,NA,NA,NA,NA,0.018556272
231,NA,NA,NA,NA,0.032642537
232,NA,NA,NA,NA,0.019952251
233,NA,NA,6.487804878,NA,0.032446469
234,NA,NA,NA,NA,0.026087639
235,NA,NA,NA,NA,0.021187382
236,NA,NA,NA,NA,0.033218566
237,NA,NA,NA,NA,0.023786837
238,NA,NA,NA,23616.9058,1.736710694
239,NA,NA,NA,NA,0.036918151
240,NA,NA,NA,NA,0.022942636
241,NA,NA,NA,NA,0.021281715
242,NA,NA,NA,NA,0.021224899
243,NA,NA,NA,NA,0.036660216
244,NA,NA,5,NA,0.029520134
245,NA,NA,75.40909091,NA,0.023488594
246,NA,NA,NA,NA,0.024128761
247,NA,NA,NA,NA,0.022795832
248,NA,NA,NA,NA,0.01270091
249,NA,NA,NA,NA,0.041736138
250,NA,400.7202381,NA,2161.113229,0
251,NA,5.797619048,NA,NA,0.033608125
252,NA,NA,NA,NA,0.02004097
253,NA,NA,NA,NA,0.018094433
254,NA,NA,NA,NA,0.038145502
255,NA,NA,NA,NA,0.020284403
256,NA,NA,NA,NA,0.021202245
257,NA,NA,4,NA,0.027235417
258,NA,NA,NA,NA,0.025633353
259,NA,NA,NA,NA,0.023050459
260,NA,NA,NA,NA,0.020985656
261,NA,NA,NA,NA,0.022544372
262,NA,NA,NA,NA,0.018312628
263,NA,NA,NA,NA,0.022443565
264,NA,NA,NA,NA,0.028692474
265,NA,NA,16,NA,0.023670166
266,NA,NA,NA,2161.113229,0
267,NA,NA,NA,NA,0.035039233
268,NA,NA,7.020833333,NA,0.022550002
269,NA,NA,NA,NA,0.022195303
270,NA,NA,NA,NA,0.020148147
271,NA,NA,NA,NA,0.03756988
272,NA,NA,NA,NA,0.015646558
273,NA,NA,NA,NA,0.033912146
