"","slope","pval","x","y","moran_i","moran_p"
"1",0.042975723725345,0,2012492.9328,-248114.4736,0.342,0.042975723725345
"2",0.0394064092745515,0,2812492.9328,-1726507.8001,0.342,0.0394064092745515
"3",0.0187443568378203,0,-6087507.0672,-3462959.48605,0.342,0.0187443568378203
"4",0.0182540775251172,0,-5987507.0672,-2574695.0043,0.342,0.0182540775251172
"5",-0.0185403816726199,0,14046973.1442467,-368896.996637548,0.342,-0.0185403816726199
"6",0.0182925865014577,0,-6487507.0672,-447800.50485,0.342,0.0182925865014577
"7",0.0182811859564667,0,-6087507.0672,-2847792.8487,0.342,0.0182811859564667
"8",0.022851724986852,0,-3987507.0672,-746440.83295,0.342,0.022851724986852
"9",0.0171429313929651,0,-7787507.0672,-1629975.9613,0.342,0.0171429313929651
"10",-0.00914754576171613,0,9812492.9328,4885289.0052,0.342,-0.00914754576171613
"11",0.0431977513330207,0,1112492.9328,551106.13765,0.342,0.0431977513330207
"12",0.0181890637207705,0,-6087507.0672,-2666317.15395,0.342,0.0181890637207705
"13",-0.0153556699300549,0,12512492.9328,3719405.35625,0.342,-0.0153556699300549
"14",-0.015215816525174,0,13112492.9328,4515881.04325,0.342,-0.015215816525174
"15",0.0171511615341776,0,-9488881.04980852,1148200.62292123,0.342,0.0171511615341776
"16",-0.00912707248928938,0,9412492.9328,3206454.8338,0.342,-0.00912707248928938
"17",0.0349871387331691,0,3712492.9328,-2108372.58065,0.342,0.0349871387331691
"18",0.0178904926724173,0,-6587507.0672,-2847792.8487,0.342,0.0178904926724173
"19",0.0172628506583653,0,-10187507.0672,1633486.61125,0.342,0.0172628506583653
"20",-0.0114349498627259,0,10012492.9328,2940866.0367,0.342,-0.0114349498627259
"21",-0.0183621109979997,0,13074273.480795,-52984.380215038,0.342,-0.0183621109979997
"22",-0.0111091155891259,0,10212492.9328,3802417.24465,0.342,-0.0111091155891259
"23",0.0418458512568004,0,2112492.9328,-746440.83295,0.342,0.0418458512568004
"24",0.0173604026272286,0,-7487507.0672,-1043435.6926,0.342,0.0173604026272286
"25",0.019763389154953,0,-4987507.0672,-1629975.9613,0.342,0.019763389154953
"26",-0.0155002729820466,0,13712492.9328,4591324.3577,0.342,-0.0155002729820466
"27",-0.0114349498627259,0,10012492.9328,2940866.0367,0.342,-0.0114349498627259
"28",-0.0145046388047757,0,11612492.9328,3466063.5354,0.342,-0.0145046388047757
"29",-0.0118469254835453,0,10112492.9328,2851063.99075,0.342,-0.0118469254835453
"30",-0.0153597408506361,0,11712492.9328,2669631.8229,0.342,-0.0153597408506361
"31",-0.0152039322078037,0,13412492.9328,4812972.43305,0.342,-0.0152039322078037
"32",-0.0179714757204044,0,17009893.2934483,-459540.312407713,0.342,-0.0179714757204044
"33",-0.0168836268403202,0,11312213.2181083,650370.761808318,0.342,-0.0168836268403202
"34",0.0176334094557329,0,-7287507.0672,-647044.97195,0.342,0.0176334094557329
"35",-0.00740106621912856,0,9212492.9328,4515881.04325,0.342,-0.00740106621912856
"36",-0.00945601912892879,0,9912492.9328,4812972.43305,0.342,-0.00945601912892879
"37",0.0179752420644824,0,-6387507.0672,-2757354.6945,0.342,0.0179752420644824
"38",0.0185694098327087,0,-6187507.0672,-3377081.28795,0.342,0.0185694098327087
"39",0.034865604073441,0,3709317.07369007,-2753346.92337259,0.342,0.034865604073441
"40",0.0173812700567543,0,-8087507.0672,51812.6536499998,0.342,0.0173812700567543
"41",0.0426402166887637,0,712492.932799999,849251.06005,0.342,0.0426402166887637
"42",0.0171483895520581,0,-7987507.0672,-1043435.6926,0.342,0.0171483895520581
"43",0.0173263561727224,0,-11287069.0924611,2017448.24030087,0.342,0.0173263561727224
"44",-0.0163515382221393,0,12912492.9328,2760647.8627,0.342,-0.0163515382221393
"45",-0.0149925711248469,0,12612492.9328,4284904.9877,0.342,-0.0149925711248469
"46",0.01760005465716,0,-6887507.0672,-1240203.8816,0.342,0.01760005465716
"47",0.0381269847664133,0,-487507.067200001,750045.268,0.342,0.0381269847664133
"48",-0.0101997892961192,0,10212492.9328,4885289.0052,0.342,-0.0101997892961192
"49",0.047865550215291,0,2812492.9328,1633486.61125,0.342,0.047865550215291
"50",-0.0142494473538121,0,10812492.9328,2299872.3411,0.342,-0.0142494473538121
"51",0.0418415410158619,0,634909.303920769,555239.865789846,0.342,0.0418415410158619
"52",0.0175119555665599,0,-7187507.0672,-1043435.6926,0.342,0.0175119555665599
"53",0.0367200032345912,0,3512492.9328,-1338150.67085,0.342,0.0367200032345912
"54",-0.0175475210343787,0,13291315.5337894,1160262.54970025,0.342,-0.0175475210343787
"55",0.0357606217031161,0,3612492.9328,-1822633.2914,0.342,0.0357606217031161
"56",0.0174828267483256,0,-6887507.0672,-1822633.2914,0.342,0.0174828267483256
"57",0.0406165574974446,0,194142.309387319,695220.481593003,0.342,0.0406165574974446
"58",0.0182725518929333,0,-6087507.0672,-1141958.0189,0.342,0.0182725518929333
"59",-0.0132589460585855,0,11312492.9328,4206375.9398,0.342,-0.0132589460585855
"60",-0.0179809597630891,0,11512492.9328,-348000.4534,0.342,-0.0179809597630891
"61",0.0169163365186407,0,-8587507.0672,-1043435.6926,0.342,0.0169163365186407
"62",-0.0157418402337412,0,12412492.9328,3118574.15065,0.342,-0.0157418402337412
"63",0.0175356164900271,0,-6787507.0672,-2013585.1064,0.342,0.0175356164900271
"64",0.0194625648235193,0,-5688162.9691386,-160166.164201379,0.342,0.0194625648235193
"65",0.0186310450413767,0,-8618577.37556476,2770271.58665214,0.342,0.0186310450413767
"66",0.0422096192615135,0,512492.932799999,948249.23935,0.342,0.0422096192615135
"67",-0.0116423400361824,0,10612492.9328,4284904.9877,0.342,-0.0116423400361824
"68",0.0368073779621572,0,3612492.9328,-845653.71505,0.342,0.0368073779621572
"69",0.0415534177392438,0,1712492.9328,-1043435.6926,0.342,0.0415534177392438
"70",0.0175795666254834,0,-6987507.0672,-1141958.0189,0.342,0.0175795666254834
"71",0.0304270444729373,0,-2802312.10558535,1887502.9327204,0.342,0.0304270444729373
"72",0.0323335434353474,0,4512492.9328,251741.2167,0.342,0.0323335434353474
"73",-0.0143617061914778,0,10346138.7667901,1460786.69580827,0.342,-0.0143617061914778
"74",-0.015108715606567,0,13412492.9328,4956820.84405,0.342,-0.015108715606567
"75",0.0179834171065051,0,-7687507.0672,1047016.29175,0.342,0.0179834171065051
"76",0.0388756099479505,0,-587507.067200001,1341699.8966,0.342,0.0388756099479505
"77",-0.0120554798554916,0,10712492.9328,4127085.45205,0.342,-0.0120554798554916
"78",-0.0169818328736313,0,11312492.9328,551106.13765,0.342,-0.0169818328736313
"79",0.017647876617542,0,-6587507.0672,-1918332.28425,0.342,0.017647876617542
"80",0.0181975997591026,0,-5987507.0672,-1629975.9613,0.342,0.0181975997591026
"81",-0.00823194388525333,0,8517238.03362804,1148726.0110141,0.342,-0.00823194388525333
"82",0.0220251082341891,0,-4187507.0672,-1043435.6926,0.342,0.0220251082341891
"83",-0.0178941521917667,0,12735874.6987781,509186.017893623,0.342,-0.0178941521917667
"84",0.0223230486942026,0,-4087507.0672,-1043435.6926,0.342,0.0223230486942026
"85",-0.00614345734439926,0,8612492.9328,2940866.0367,0.342,-0.00614345734439926
"86",0.0172834367721548,0,-9687507.0672,1536582.67235,0.342,0.0172834367721548
"87",-0.0115440798104601,0,10512492.9328,4127085.45205,0.342,-0.0115440798104601
"88",0.0348477450166908,0,4112492.9328,-148167.1687,0.342,0.0348477450166908
"89",0.041630232540471,0,1521434.69940264,-945931.526640788,0.342,0.041630232540471
"90",-0.0154707771392919,0,12812492.9328,3884698.0893,0.342,-0.0154707771392919
"91",-0.0146619120068378,0,12712492.9328,4812972.43305,0.342,-0.0146619120068378
"92",-0.0163095762595064,0,13501293.6044097,3208448.20314759,0.342,-0.0163095762595064
"93",-0.0147311281117122,0,11712492.9328,3380210.4404,0.342,-0.0147311281117122
"94",-0.018501024606434,0,11819188.479267,-733313.141667037,0.342,-0.018501024606434
"95",0.0372041930707652,0,4012492.9328,351624.507350001,0.342,0.0372041930707652
"96",-0.0123143053556249,0,10312492.9328,2940866.0367,0.342,-0.0123143053556249
