Crop,Fertilizer,Evapotranspiration,Pesticide,GDP,Growing Season
Barley,1,1,1,1,
Cassava,1,,1,,
Groundnut,1,1,1,1,
Maize,1,,1,1,
Millet,1,1,1,1,
Rapeseed,1,1,1,1,1
Rice,1,,1,1,
Rye,1,1,1,,
Sorghum,1,1,1,1,
Soybean,1,1,1,1,
Sunflower,1,1,1,1,1
Whear,1,1,1,1,
