"","mean_potat.x","Potato_Fe","GDP_Mean","Pesticide","AET_mean"
"19",1.30537071876972,2.10446978015849,3.69928062050879,4.98465330797233,2.25388439557119
"59",0.880473452252371,0.770079325382536,2.58970408801578,3.72320931040511,2.76888024797393
"82",1.41525721695424,1.43070235593039,4.39150652613484,5.83682522770016,2.58169777801571
"119",1.37761036930465,1.79800147506934,2.65874601931954,5.50520154772776,2.92408228242792
"161",0.631846420871285,0.568136065281206,2.58899405288781,1.7481880270062,2.87063030261913
"356",0.879466907927002,0.464081706089775,2.58899405288781,1.7481880270062,2.83634672521065
"363",1.14429704241928,1.8159578306157,2.65874601931954,5.50520154772776,2.89466214165877
"464",1.3229838069484,2.02624836093544,2.99627669770714,6.95136909386879,2.85709905784382
"556",1.47328985052967,1.7384696079701,4.4645225202218,5.3694440804306,2.63301131606616
"579",1.16459076019022,1.84857361921902,3.69928062050879,4.98465330797233,2.61596882907127
"599",0.64057186416392,0.414492847771618,2.7855635422284,2.44870631990508,2.69434138784097
"644",0.78502999714189,0.398112884959596,2.7855635422284,2.44870631990508,2.68873401524878
"665",1.03627748563311,1.81572730793235,4.33107201983724,5.36316241230006,2.71471385938463
"671",0.836308288359972,1.86486834170026,4.55253120853509,6.47257508985315,2.33475284787798
"718",0.121530299340256,0.966172044872599,2.77291888787602,0,2.88189559848472
"733",1.13100881279064,1.2612352118013,3.80950249718057,5.78923793550226,2.03520333530463
"758",0.429177145310481,1.34107455365308,4.55253120853509,6.47257508985315,2.66669065671381
"842",0.811761953529735,1.68149105150059,2.99627669770714,6.95136909386879,1.89989537884254
"889",1.24410386337651,1.71782137299391,3.39165397941092,5.6784582838221,2.97104931845928
"956",1.13499900174288,1.88338211574104,2.99627669770714,6.95136909386879,2.64138557114427
"1015",1.55285795040065,2.04242577866884,4.21334781739129,5.40708143378234,2.52023001891381
"1058",1.23705337214951,1.84841393050108,3.69928062050879,4.98465330797233,2.5846946000857
"1206",1.27478342936391,1.75973598868225,3.82053390533369,5.19781516944518,2.38948778200849
"1256",1.1983738786098,1.99290264371419,2.7175806602292,5.06566932773143,2.07129010130327
"1342",0.866838867705619,0.373055765058925,2.33187050378788,2.46982201597816,2.50533977917185
"1415",1.06674696820649,1.65451547080443,4.33107201983724,5.36316241230006,2.77986479355217
