"","X10...potato.predict...potato.data.mean_potat.x.....1"
"1",-0.120852166377969
"3",-0.0989629824709117
"4",0.0516876893297624
"5",-0.445248242280308
"7",0.198918259827037
"9",-0.148626625620088
"10",-0.223368002672195
"12",-0.257210955847463
"14",-0.167133623891254
"16",-0.222321533408038
"17",0.204459827203522
"18",-0.0866546493478709
"19",0.4895324014026
"20",1.1980016948752
"21",1.5346370788072
"22",-0.33911740904132
"23",1.38168779235212
"25",0.316461817932708
"26",-0.387713432592834
"27",-0.0431163839521105
"28",-0.24259318786452
"29",-0.294113506333251
"32",-0.093678807572954
"34",-0.118589329289639
"36",-0.0395483649193513
"37",-0.0521160691835273
"38",0.099598158916302
"39",0.183862067406984
"40",-0.255530258935316
"41",-0.237105268685442
"42",-0.175457225871877
"43",-0.256509382276911
"44",-0.018672213836837
"45",0.0940718342982467
"47",-0.221072874181401
"48",2.08528480696028
"49",-0.125987800089375
"50",-0.215043964646639
"51",0.800754198762122
"52",-0.0403877785345386
"53",-0.386935143445672
"54",0.303826918767369
"55",-0.130967328626028
"56",1.96818856897637
"57",0.0218465771195222
"59",0.831200770037255
"60",-0.49080312730761
"61",0.91146206777083
"63",-0.339738741498223
"64",-0.236322092837799
"65",-0.0308996503918197
"66",-0.0942622031023241
"68",0.336141433508746
"69",-0.241641100337694
"70",0.260347653319088
"71",-0.0768587490755294
"73",-0.13939291493331
"75",-0.423066746593687
"77",-0.200102120492331
"78",-0.075474993042821
"79",-0.274316509298262
"80",-0.18298832316663
"81",0.196783200616851
"82",-0.183811739246616
"83",-0.0511380713932952
"84",0.233551762615554
"85",-0.133851077373933
"86",0.157143167438903
"87",0.271670612001841
"88",2.2184038325113
"90",0.182116964503498
"91",0.00688067700781536
"93",-0.198988869095438
"94",0.2909316670602
"95",2.98567503983431
"96",-0.0601483053158932
"97",-0.491325657059166
"99",-0.00681607305816523
"100",-0.178805063810538
"101",0.0805930662878935
"102",-0.0877767798766979
"104",-0.173166141523037
"105",0.150540126813741
"106",-0.10945627905975
"107",0.852574028455637
"109",2.56389162978401
"111",-0.140624430903958
"112",-0.00280919386643907
"116",-0.241511208604695
"117",0.232227173928916
"119",-0.156715487579889
"120",0.143928093307236
"121",-0.113956488976963
"122",-0.156625726693885
"123",-0.280852660732041
"124",1.0026900190341
"126",-0.0492983890097188
"127",-0.313772336620343
"129",-0.230050098696536
"130",0.314126230493869
"131",0.413798246385339
"132",-0.179951538939665
"133",0.801919718473186
"134",1.11835770100913
"136",0.315748791984496
"137",-0.0134611486218269
"138",0.0742672875053865
"139",0.0426806571083267
"140",-0.0175605579159975
"141",-0.218719666752918
"142",-0.262051644945328
"143",0.0257177409774927
"145",-0.423213654555808
"146",-0.132081696781888
"148",-0.0314691971712362
"149",-0.44965147061668
"150",-0.049628283343997
"151",-0.0192248866071341
"152",-0.0504174387965526
"154",0.399456363704795
"156",-0.170003946866458
"157",0.128234924435464
"158",1.40384839454322
"159",-0.00417766598243563
"161",0.792086438215219
"162",-0.428245053284547
