Fishnet_ID,RapeseedError
19,-0.167867777
82,-0.149695456
119,-0.056576341
275,-0.007428323
363,-0.055896536
398,0.026080359
464,-0.204768087
556,-0.132005934
579,-0.038794734
665,0.074007343
842,-0.063703628
956,0.082642369
1015,-0.019766195
1058,-0.027654138
1206,-0.037314164
1256,0.024136127
1317,0.188935238
1520,-0.08996205
1529,-0.169912299
1593,-0.044498773
1666,0.112660521
1759,-0.138336777
2105,0.216458298
2229,0.083466361
2420,0.12167391
2457,-0.271148405
304,0.173989187
376,-0.108023636
787,0.082239551
828,0.123032302
927,0.39486082
1037,0.154209404
1300,-0.181781858
1509,0.242943811
1964,0.254549854
2000,0.198492151
2351,0.443894006
2389,-0.394917924
2468,0.049556539
2474,0.022720676
2592,-0.006844855
2628,-0.058371572
2640,0.077028945
2666,0.267644604
2692,0.206378929
2728,-0.010548653
2735,-0.055881325
2760,-0.200848855
2795,-0.193344889
2798,-0.023841151
2903,0.309298129
2917,-0.068448437
2952,0.078591894
2990,-0.089796944
3005,-0.360912041
3079,0.04133259
3280,-0.044908021
3302,-0.14013462
3512,-0.094903213
3560,0.024119063
3693,0.002142929
3705,-0.085040761
3820,0.011332267
3873,0.280434964
3933,0.191915391
3985,-0.123086887
4063,-0.032744902
4073,-0.165280987
4276,0.171930404
4364,-0.148528133
4544,-0.054228754
4584,0.086878469
4603,-0.001362971
4669,-0.100189691
4705,-0.131812276
4794,-0.071852216
4816,-0.073486371
4820,0.144169285
4846,0.178236201
4862,-0.298328021
4869,-0.062585055
2664,0.020300199
2723,0.142267396
2824,-0.144226731
3438,-0.191678152
3928,0.080134938
4115,-0.152266431
4272,-0.122989869
4697,0.064203648
4827,0.202065986
4916,-0.2527062
4970,0.027196475
4974,-0.093497543
5137,-0.000134721
5184,0.325597015
5236,-0.030618382
5278,-0.129963066
5286,0.170578379
5469,-0.208718293
5511,-0.083217957
5680,0.324850292
5785,-0.226973382
5818,0.358219224
5941,-0.098530395
6036,0.028427441
6069,-0.06242049
6130,-0.279404127
6229,-0.100042489
6273,-0.138229909
6585,-0.068099771
6673,0.212531861
6752,-0.16168562
6946,-0.070516268
7154,-0.075102296
7188,0.338334158
7233,0.006302072
7234,0.11192507
7306,-0.19106576
7388,0.007768598
7447,-0.214104151
7480,0.043260039
7549,-0.067661925
7593,-0.075022172
7638,-0.122816392
7662,-0.059571092
7805,0.114224292
7809,-0.077623899
7828,0.141493959
7882,-0.064643892
8056,-0.284698418
8094,0.053080676
8206,0.073951967
8212,-0.243802712
8395,0.261491549
8556,0.003617132
8699,-0.07535518
8759,-0.067778081
9043,0.267922201
9242,-0.284365884
9286,-0.113447669
9368,-0.031783642
9452,-0.010344414
9522,0.054193549
9585,-0.132335372
9598,-0.159347353
9633,-0.057880422
9702,-0.024777693
9730,-0.064108947
10009,-0.055913932
10031,-0.021793227
10155,-0.149155602
10290,0.075729824
10367,-0.198287336
10452,0.037821374
10460,-0.043349585
10505,-0.045620821
10537,0.109628773
10592,-0.275674593
10604,0.07194383
10642,-0.149684315
10819,-0.014219524
10902,0.228184123
11003,0.08877353
11085,0.182513941
11152,-0.021201158
11226,0.193142638
11260,-0.07596455
11267,-0.051553162
11425,0.072886399
11455,0.042447136
11607,-0.022334708
11784,-0.239376069
11832,-0.21636044
11956,0.277212383
11966,-0.057595895
11986,-0.011198123
12346,0.22651371
12392,-0.127216696
12402,-0.189882735
12408,-0.17185395
12445,-0.101269329
12532,-0.234220835
12565,-0.155531585
12729,0.088006409
12857,0.125258281
13134,0.234565004
13231,-0.16889402
13300,0.113342136
5018,-0.096124734
5126,-0.243730955
6323,0.716118814
