"","X10...maize.predict...maize.data.mean_maize.....1"
"1",-0.111848352250884
"2",0.035791168821673
"3",-0.00499995215732785
"4",-0.0283633646272698
"5",0.134602111262525
"7",-0.0359657349602686
"8",0.154257388834683
"9",-0.077949984301897
"10",0.192009471245683
"11",-0.127627984754526
"12",-0.152351385320512
"13",0.0699438016892882
"14",0.5533277584715
"15",-0.114719202040552
"16",0.0857985992654984
"17",-0.123308226228074
"18",0.09530293428224
"19",0.186922211754475
"20",-0.0545636809170872
"21",-0.251197323333134
"22",-0.191092991663563
"24",-0.379383350980213
"25",-0.0116244917876394
"26",-0.346448928446128
"27",-0.0624811268001837
"28",-0.0950935991931307
"29",0.0694869222684147
"30",0.0488313671928675
"31",-0.221386488279667
"33",-0.153424458156059
"34",0.329289662403764
"35",0.00644946556771187
"36",-0.246882257145199
"37",0.112561584029499
"38",-0.0446823604119025
"39",-0.123754092546138
"40",-0.192699969382503
"41",-0.163647306122337
"42",-0.197930701935676
"43",-0.150010979052123
"44",0.11971725745976
"45",0.0522690574653943
"46",-0.0619035699763021
"47",-0.0719680788117737
"48",0.152753272391052
"49",-0.109850415113503
"50",0.12622152643356
"51",0.414409375541775
"52",-0.0404427154550312
"53",0.216164832062335
"54",0.00763397480637629
"55",0.228023280675896
"56",-0.196886721888421
"57",-0.227404953565111
"59",-0.416297306834661
"60",0.0773828501868017
"61",-0.0424948180798771
"62",0.0830353774878254
"63",0.144761147459883
"64",-0.106063682553775
"65",0.0287730659003538
"66",-0.0800525050786864
"67",0.412015791065698
"68",0.219906292797121
"69",0.102838540692012
"70",-0.282936820760834
"71",0.371891116038219
"72",2.17473473959186
"75",-0.0989772367304134
"76",0.0953526618616385
"77",0.331703057035686
"78",0.0430975553461359
"79",-0.111738839032049
"80",-0.148253803107507
"81",-0.0952054365697765
"82",0.178658660859716
"83",0.0243465377631582
"84",-0.174654545694806
"85",0.342056149066387
"86",0.57832078394919
"87",-0.0430303911801555
"88",-0.0226894644043562
"90",-0.0417612441583417
"91",-0.0577739788184317
"92",-0.309338392709639
"93",-0.0324328311244988
"94",0.0254523464563556
"95",-0.258734047406746
"96",0.588330122025217
"97",0.0669905145233278
"98",-0.144859740172051
"99",-0.0155336867510459
"100",-0.179161169598683
"101",-0.443438693833648
"102",-0.486669264272379
"103",0.0842741121769031
"104",0.0444903343455483
"105",-0.320710721955107
"106",0.0392906289503425
"107",-0.187713033033266
"108",-0.0633113479040814
"109",-0.18124291737289
"111",0.0472135978071262
"112",-0.0663303298814124
"113",-0.21491080105557
"114",-0.146727332262562
"115",0.0976843669141851
"116",-0.234669114363892
"117",0.0195103056030037
"118",0.226054044514673
"119",-0.0684598850069951
"120",-0.0609896093597235
"121",0.637776939173743
"122",0.468594033216259
"123",-0.12023127368054
"124",0.181853801692763
"126",-0.434737984700683
"127",-0.344705085473809
"128",-0.0509469505192427
"129",0.655334427192321
"130",-0.0556127894109911
"131",-0.313209488540787
"132",-0.221415439976599
"133",-0.000552620446149232
"134",-0.199833447807583
"135",0.231338895542033
"136",0.194539747910744
"137",-0.245620827530458
"138",0.0287628312925048
"139",-0.0640011356088689
"140",-0.0218498542023181
"141",-0.0360328592738708
"142",-0.0409911510082046
"143",0.119915025862428
"144",-0.155485925038746
"145",-0.0278469494527536
"146",-0.345227701033725
"147",0.157330792233427
"148",0.105867425810285
"149",0.025032857533752
"150",-0.184715004515283
"151",0.060110918941477
"152",0.323664421824137
"153",1.56125711933414
"154",0.979215570225897
"155",-0.106163391678571
"156",-0.277422566183611
"157",0.245635094865347
"159",0.423424873732163
"160",0.0604107817803019
"161",0.689758469659318
"162",0.397447926767449
"163",-0.3853385390985
"164",0.0835911729016698
"165",-0.0302304396056963
"166",-0.251268328535624
"167",0.0185166833386408
"168",-0.110570554364232
"169",-0.0128099915542038
"171",-0.163976738323561
"172",0.645410888662916
"173",-0.0991991248465063
"174",-0.140458356004336
"175",0.134157258799695
"176",-0.0900111741865972
"177",-0.0541011126204655
"178",-0.0406537015966578
"179",-0.024821520340925
"180",0.0644381308328055
"181",0.375133813889539
"182",0.0153679749954783
