"","X10...sorgh.predict...sorgh.data.mean_sorgh....1."
"2",0.118779698723049
"3",0.0860994008998774
"4",0.0850211668024655
"6",0.089264386037619
"7",0.121517654733164
"8",0.0951007415871727
"9",0.0923098152809489
"10",0.103720916218936
"11",0.0935644807821405
"12",0.1024977688727
"14",0.0959145035609501
"15",0.0998883064391365
"16",0.0662866494818463
"17",0.0871549735438453
"18",0.152501907795601
"19",0.0938072058292187
"20",0.104150435505525
"21",0.105923709691539
"22",0.0813642283067747
"24",0.0997247891580433
"25",0.118214822785653
"26",0.0991642227567871
"27",0.0759963549809167
"28",0.0790728977953154
"29",0.0854075527678939
"30",0.0712928930351404
"31",0.102379878726863
"32",0.147693318990493
"33",0.070013500317037
"34",0.10689097870483
"35",0.0970007650160205
"36",0.121115331787239
"38",0.0960175927934315
"40",0.0604205408671595
"41",0.100074192343113
"42",0.0699722081000551
"43",0.114633674226031
"44",0.0959290202151095
"45",0.119995334425928
"47",0.120296286858221
"48",0.118339751169898
"49",0.273374267236126
"51",0.139999272205649
"52",0.112018407932519
"53",0.0866887807008351
"54",0.0958094419148682
"55",0.102308446409955
"56",0.0974975115365637
"57",0.0905824886079888
"58",0.114255462605364
"59",0.131948802168561
"60",0.0939324296050649
"61",0.0981591637475834
"63",0.0778697314774388
"64",0.102358484844868
"65",0.0738738312460721
"66",0.0879633779629826
"67",0.0808280240978933
"68",0.082915443337942
"69",0.113478723000479
"70",0.0874149353900096
"71",0.0944411418609597
"72",0.0810944834022891
"73",0.109997961082453
"74",0.104549214769775
"75",0.0875919891800013
"76",0.129585827826301
"78",0.0932945350570746
"79",0.0853871405814764
"80",0.0803150722990072
"81",0.0712691115796178
"82",0.111229065870554
"83",0.0921261977604835
"84",0.131919238427934
"85",0.122413689322485
"86",0.110354969987831
"88",0.0923585916299079
"89",0.0771604613293523
"90",0.117716155196216
"92",0.0665808724862144
"93",0.0934226934184769
"94",0.0858273189541634
"95",0.121137533726874
"96",0.0957531780224656
"97",0.0929486102091257
"99",0.0792679688505833
"100",0.0970414734570004
"101",0.100032199747789
"102",0.0734151893611045
"104",0.105809553618785
"105",0.11066441390278
"106",0.124825588487459
"107",0.0940719447749387
"108",0.120285131631836
"109",0.0768214074016724
"110",0.0849780399094481
"111",0.122425209649496
"112",0.139907299918848
"113",0.107432235891353
"114",0.125342107349179
"115",0.0766624965379845
"116",0.106586056497058
"117",0.0886692638938734
"118",0.108504241387672
"119",0.0960909237329748
"120",0.0974970258503083
"122",0.0784098581757106
"123",0.156590691932369
"124",0.0939104421090927
"125",0.0886240149835953
"126",0.071245234762702
"127",0.0986974543770614
"128",0.0875952992780707
"129",0.0828661043812014
"131",0.0920204639805009
"133",0.104294118558807
"134",0.130836017355759
"135",0.0777274256309042
"136",0.0983451006358763
"137",0.0965686488701386
"138",0.123950746767016
"139",0.107292720562866
"140",0.0845238765209005
"141",0.0951838433760421
"143",0.12725157183348
"146",0.0983883203733013
"147",0.141577523559653
"148",0.0827592459872661
"149",0.0755028792820604
"150",0.102383453239646
"151",0.0536469166754298
"152",0.099542451764764
"153",0.0920459071888347
"154",0.111948493180945
"155",0.102173641099876
"156",0.125571698559466
"157",0.0944028689874304
"158",0.19011492864338
"159",0.0901578126127557
"160",0.102780602152759
"161",0.0798690559401607
"162",0.0806422172212339
"163",0.0996944271088647
"164",0.129312882562087
"165",0.0947327102300442
"166",0.099951551341427
"167",0.0993417977553556
"168",0.0829150066403089
"169",0.08115926061474
"170",0.0813951294335015
"172",0.0736034219105688
"173",0.116317809225391
"174",0.0734612869303501
"175",0.0985675956554756
"176",0.0929985388390886
"177",0.103309778830315
"178",0.0770198368585187
"179",0.0895502252438811
"180",0.10221029592351
"181",0.0649540795858115
"182",0.0807390720062485
"183",0.219316304809443
"184",0.0941161963161371
"185",0.114467877560787
"186",0.105694617492145
"187",0.0750550925457724
"188",0.0901614374723432
"189",0.12854174372984
"190",0.111218425112889
"191",0.102334766483493
"192",0.116940078257109
"194",0.110156102238551
"195",0.100616062966803
"196",0.0782707405611127
"197",0.113783231055731
"198",0.114613189172885
"199",0.114176449579207
"200",0.0669737842378849
"201",0.0802050003673124
"202",0.0812803874677034
"203",0.0916784441874422
"204",0.10473798940781
"206",0.0993458206080794
"207",0.0978887760723581
"208",0.0929930504823772
"209",0.0949861270447476
"210",0.102634671796762
"212",0.141085091964528
"214",0.078849980778677
"215",0.115325346360615
"216",0.0965327417284828
"217",0.0997188251476029
"218",0.102562238553608
"219",0.0798613636668742
"220",0.118544976702643
"222",0.0891799358734177
"223",0.117651945082181
"224",0.0789181886625645
"225",0.0887773225237192
"226",0.105294746685701
"227",0.110188797334298
"228",0.11157202437374
"230",0.0958636260754124
"231",0.0783228948970607
"232",0.196085403761606
"233",0.0757087979226501
"234",0.0963776260411894
"235",0.0842488122955777
"236",0.108888144696253
"237",0.0900136449983587
"238",0.0839190257255117
"239",0.0801054331362477
"240",0.0940785201045789
"241",0.0840780357752998
"242",0.0940554624971175
"243",0.073849646857737
"244",0.108287174202115
"246",0.0761880568305045
"247",0.107042208586995
"248",0.156990158870988
"249",0.100839123586895
"250",0.164703724356019
"251",0.108711517866471
"252",0.125233722172562
"253",0.0809900141281074
"254",0.0775300728600819
"255",0.062835472155269
"256",0.0741466965144414
"257",0.0664958879482171
"258",0.188672910666961
"259",0.101399433009193
"260",0.106478462112725
"261",0.139620547509712
"262",0.0814601206575538
"263",0.100282132253713
"264",0.104779142715753
"265",0.128933570321904
"266",0.144688647201906
"267",0.0717805602143542
"268",0.124156263623237
"269",0.0999138601913151
"270",0.0985180280156703
"271",0.0718497885671609
"272",0.100546372263811
"273",0.0959445694237088
"274",0.124079277206092
"275",0.0987109315896185
"276",0.124562337412418
"277",0.0986445378008986
"278",0.0741206793046061
"279",0.117476835963474
"280",0.088597109788419
"282",0.110535718579453
"283",0.097893637635479
"285",0.201284206362525
"286",0.0950950096033173
"288",0.0820202798273567
"289",0.0923007064004769
"290",0.105930017296301
"292",0.110911899865897
"293",0.120573516632613
"294",0.108824003064344
"295",0.100250395779299
"297",0.121530445092508
"300",0.0921150953518184
"301",0.113463124339386
"303",0.160315623459163
"304",0.0930697046602465
"305",0.0656778850633594
"306",0.0969040589784432
"307",0.0947431026152591
"308",0.0799901252195649
"309",0.111353454391417
"310",0.0817239815586582
"311",0.0888042829653253
"312",0.112114021331115
"313",0.13977997842707
"314",0.0788894678121526
"315",0.0839368225812311
"316",0.0630483583696671
"317",0.0882867085912389
"318",0.116571915725213
"321",0.155551086416348
"322",0.100359747961312
"323",0.180719863705653
"324",0.0841223768521859
"325",0.102513828855465
"327",0.110994686216253
"328",0.0989840673491631
"329",0.101255552760706
