"","mean_sunfl","sunflower_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"19",0.379894447166105,2.37803316069985,3.69928062050879,4.98465330797233,2.25388439557119
"24",0.00190408330532435,0.567440494645096,2.26709515600535,0,2.99539097892403
"59",0.204176531715863,1.03951759402759,2.58970408801578,3.72320931040511,2.76888024797393
"82",0.488522327095934,2.40705477004711,4.39150652613484,5.83682522770016,2.58169777801571
"119",0.0747723977345372,1.88048351821946,2.65874601931954,5.50520154772776,2.92408228242792
"161",0.108339475691268,1.24418239542369,2.58899405288781,1.7481880270062,2.87063030261913
"275",0.0700378651293058,1.47558004925488,3.31522015660823,4.21937492462626,2.94048239127832
"356",0.114200256369578,0.741716229540649,2.58899405288781,1.7481880270062,2.83634672521065
"363",0.184997181724762,1.88243830691331,2.65874601931954,5.50520154772776,2.89466214165877
"464",0.449703829450509,2.22431729025688,2.99627669770714,6.95136909386879,2.85709905784382
"579",0.22174373841337,2.18043656366825,3.69928062050879,4.98465330797233,2.61596882907127
"599",0.104723066109709,0.704623859845518,2.7855635422284,2.44870631990508,2.69434138784097
"644",0.192686449609488,0.716377819426517,2.7855635422284,2.44870631990508,2.68873401524878
"665",0.147696023144751,1.44310743115898,4.33107201983724,5.36316241230006,2.71471385938463
"842",0.361590534585643,2.15636161980335,2.99627669770714,6.95136909386879,1.89989537884254
"956",0.276301315350579,2.18853583481423,2.99627669770714,6.95136909386879,2.64138557114427
"1015",0.28289452489704,1.69499865963762,4.21334781739129,5.40708143378234,2.52023001891381
"1058",0.268594680667217,2.25677663818358,3.69928062050879,4.98465330797233,2.5846946000857
"1105",0.104325853307007,0.763911907173584,2.58899405288781,1.7481880270062,2.71188502563408
"1206",0.136464927699022,1.5838095797042,3.82053390533369,5.19781516944518,2.38948778200849
"1256",0.194924484011743,2.21257116399413,2.7175806602292,5.06566932773143,2.07129010130327
"1317",0.00404624537786087,1.01983711319702,3.33487843404016,5.32502074550366,2.64793573349118
"1415",0.00317973761531362,1.03758431889002,4.33107201983724,5.36316241230006,2.77986479355217
"1520",0.359144568488168,2.17180302047815,2.99627669770714,6.95136909386879,2.70876476760362
"1529",0.481981372624116,2.19636898474542,2.99627669770714,6.95136909386879,2.73591241825355
"1581",0.347657397751802,1.80210607557566,3.49225402986176,5.25389021628127,2.82662234134424
"1593",0.240354205021483,1.56288453026898,3.82053390533369,5.19781516944518,2.59867979624061
"1630",0.0851332216433955,0.62190413567333,2.50009459561958,2.72916478969277,2.94055205807061
"1759",0.0588016713157471,0.607595049778205,3.17598650936112,4.50851625226694,2.11829622634681
"1797",0.0808652666403618,0.774702108477327,2.50009459561958,2.72916478969277,2.79409574971503
"1979",0.183128707510884,0.75136189279482,2.7855635422284,2.44870631990508,2.71199040524913
"2105",0.040549628278992,1.15082321602004,3.33487843404016,5.32502074550366,2.36335451398268
"2229",0.101281214451024,1.29984880052828,4.33107201983724,5.36316241230006,2.6731635848343
"2329",0.109992312691719,1.26549102389272,4.55253120853509,6.47257508985315,2.88850209184276
"2420",0.331452928654764,2.18774101046724,2.99627669770714,6.95136909386879,2.59845503231177
"2457",0.160204275739034,0.979907062766702,3.33487843404016,5.32502074550366,2.365030897342
"304",0.0992200931821809,1.57779253365991,3.58078294659351,5.98977763964001,2.93172265532701
"376",0.404833710122619,1.41473136451078,3.58078294659351,5.98977763964001,2.72400264251505
"393",0.327745833647206,1.98555587051806,3.2119147561999,4.85455500642305,2.77943972601716
"787",0.209067975409522,1.44641792537591,3.58078294659351,5.98977763964001,2.94911107631829
"828",0.195015099036003,1.45674649092423,3.58078294659351,5.98977763964001,2.9498689999766
"927",0.047864620002596,1.58097564599455,3.58078294659351,5.98977763964001,3.00486364734752
"1037",0.11016867593265,1.57476489806849,3.58078294659351,5.98977763964001,2.94093428521864
"1300",0.382317274492598,1.45204698391658,3.58078294659351,5.98977763964001,2.91526789096641
"1509",0.217913223694142,2.00071040757498,3.76349188024616,4.27018954270418,2.71868947481343
"1964",0.226456687359069,1.63343656275079,3.58078294659351,5.98977763964001,2.94267080631698
"2000",0.134690528430798,1.53428574173788,3.58078294659351,5.98977763964001,2.94147445898498
"2351",0.0605929244163149,1.57479790749068,3.58078294659351,5.98977763964001,2.915157906816
"2455",0.126908327073742,0.492345819682988,3.33590723556634,2.59439255037543,2.57210369221674
"2468",0.150756437404934,1.43911257646384,3.82053390533369,5.19781516944518,2.93381256145245
"2511",0.248902337566474,1.65339576330455,4.55253120853509,6.47257508985315,2.94278288727227
"2592",0.233898175269184,1.452518665897,3.33487843404016,5.32502074550366,2.66493843186716
"2602",0.289988348741223,1.98662625339753,4.14310934368233,4.86861505347097,2.609800786005
"2640",0.00239052145717476,1.07524507511168,4.33107201983724,5.36316241230006,2.41259553088046
"2666",0.0134391573749275,0.81458078324278,3.33487843404016,5.32502074550366,2.30627181017191
