"","mean_maize","maize_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"19",1.0392199601883,2.66828317441496,3.69928062050879,4.98465330797233,2.25388439557119
"24",0.0962778095663806,1.49824424381715,2.26709515600535,0,2.99539097892403
"59",0.20901206724216,1.08323999760196,2.58970408801578,3.72320931040511,2.76888024797393
"82",0.921219602823376,2.33939167986425,4.39150652613484,5.83682522770016,2.58169777801571
"119",0.337292919412103,1.49075218947769,2.65874601931954,5.50520154772776,2.92408228242792
"161",0.312775310760867,1.31414391377388,2.58899405288781,1.7481880270062,2.87063030261913
"275",0.073195747263795,1.67282835738191,3.31522015660823,4.21937492462626,2.94048239127832
"356",0.31003622787726,0.478426952685036,2.58899405288781,1.7481880270062,2.83634672521065
"363",0.316272209464213,1.78929649555602,2.65874601931954,5.50520154772776,2.89466214165877
"398",0.268009335275807,1.03173740276065,3.33487843404016,5.32502074550366,2.63714411967719
"464",0.718095977073228,2.47555726636585,2.99627669770714,6.95136909386879,2.85709905784382
"469",0.0562694524076807,1.6900497391716,2.88553797188383,4.83241310188512,2.23323036786883
"566",0.198978456710486,0.685720969964462,2.98847132047518,4.4215710245264,2.92166170750917
"579",1.01535974103055,2.41945370958962,3.69928062050879,4.98465330797233,2.61596882907127
"599",0.126113993555667,0.699151274718487,2.7855635422284,2.44870631990508,2.69434138784097
"644",0.2368545264203,0.795697124115545,2.7855635422284,2.44870631990508,2.68873401524878
"665",0.593785901280987,1.77588740570118,4.33107201983724,5.36316241230006,2.71471385938463
"671",0.297038598832534,1.62907518443927,4.55253120853509,6.47257508985315,2.33475284787798
"718",0.345368887805493,1.35281536605133,2.77291888787602,0,2.88189559848472
"733",0.611999810231201,1.5017161768385,3.80950249718057,5.78923793550226,2.03520333530463
"758",0.687873025737809,1.99719918878456,4.55253120853509,6.47257508985315,2.66669065671381
"842",0.78811013655189,2.32157948408474,2.99627669770714,6.95136909386879,1.89989537884254
"889",0.376375394913089,1.9066115755687,3.39165397941092,5.6784582838221,2.97104931845928
"956",0.850828258363546,2.31798561163717,2.99627669770714,6.95136909386879,2.64138557114427
