"","X10...wheat.predict...wheat.data.mean_wheat....1."
"1",0.0784893784166746
"2",0.082351390820637
"3",0.0916239382175028
"4",0.0867670429222055
"5",0.118467853336521
"6",0.0920591073649685
"7",0.0753071743204037
"8",0.0965183169658065
"9",0.0758520351618656
"10",0.0973166651723403
"11",0.144049752154152
"12",0.0870457743990635
"13",0.120645847439043
"14",0.105421711681327
"15",0.134573834140707
"16",0.0770940986926511
"17",0.120432309434308
"18",0.0584698662304242
"19",0.0730775761639577
"20",0.142240689443975
"21",0.0816951066132463
"22",0.0989230800782498
"23",0.106601301290921
"24",0.0917236715281298
"25",0.0790180602690761
"27",0.0905902545202824
"28",0.145695052262154
"29",0.0948483233081798
"30",0.0755393410996734
"31",0.106606958141369
"32",0.0710822607587322
"33",0.0736423784593765
"34",0.0988553219720785
"35",0.1022220520964
"36",0.0997987381470589
"37",0.106402566101111
"38",0.0824535905571433
"39",0.129956711944175
"40",0.0980508432119279
"41",0.118470932619327
"42",0.101362473048556
"43",0.0932191624723406
"44",0.0963467666072312
"45",0.118515434112216
"46",0.0824434894991095
"47",0.103551656722397
"49",0.085767204201313
"50",0.106544834069786
"51",0.122886691032201
"52",0.129173021621129
"53",0.205072332633266
"54",0.140696023500795
"57",0.0504033900364006
"58",0.105297395388983
"59",0.0807191421865958
"60",0.0960411048026717
"61",0.15752094464368
"63",0.112357818778559
"64",0.0983302859294318
"65",0.0887988561810017
"66",0.0990559328808239
"67",0.120974523746356
"68",0.10462777613714
"69",0.136282566018569
"70",0.0954065625637137
"72",0.104449327799724
"73",0.091698919524394
"74",0.0885036721133843
"75",0.0719625573144944
"76",0.104898362960214
"77",0.160287587190785
"78",0.0852261448374775
"79",0.129478984460991
"80",0.0923031963855638
"81",0.0924921019212045
"82",0.105278246069767
"83",0.155318126789662
"84",0.0830300866048567
"85",0.104418883070121
"86",0.100087791071287
"87",0.105651073116318
"88",0.0631635762815657
"89",0.109447138727871
"90",0.08204710834301
"91",0.102230130605212
"92",0.112006720685385
"94",0.0852224951573742
"95",0.106756988189497
"96",0.0942493196799523
"97",0.104576090972166
"98",0.0984216736197954
"99",0.0803910887588715
"100",0.0973410329721281
"101",0.095191356749756
"102",0.0942702933180583
"103",0.0998113887318001
"104",0.134322782482806
"105",0.150444150429129
"106",0.085245594187354
"107",0.0842965060619583
"109",0.0847890031170791
"110",0.0947106746789073
"111",0.113203474108353
"112",0.113259372061933
"113",0.0623094611217863
"114",0.0836260483734056
"115",0.0928290758214283
