"","X10...soybe.predict...soybe.data.mean_soybe....1."
"1",0.0970551385331473
"2",0.0840392893408142
"3",0.111132964407808
"4",0.0998020942281732
"5",0.115707708969089
"6",0.0980154478418678
"7",0.114625109027028
"8",0.100851354239979
"9",0.086567685737417
"10",0.107854282564461
"11",0.107327807467504
"12",0.0930604347191125
"13",0.089527189666041
"14",0.0726135536225081
"15",0.0975811357074257
"16",0.103039368660629
"17",0.100447093258762
"18",0.11167743729602
"20",0.0945727990451763
"21",0.11494346368625
"22",0.0858211198612715
"23",0.104445658152689
"24",0.10654784733431
"25",0.0936838744708806
"26",0.0734705419053086
"27",0.0948691524869981
"28",0.103814792584556
"29",0.0969230506099297
"30",0.119105860587688
"31",0.100420185220381
"32",0.0810735630674822
"33",0.0936650859210099
"34",0.117785678571992
"35",0.153830580639331
"36",0.119008602686137
"37",0.0978591972600389
"38",0.107480095065664
"39",0.102439342737114
"40",0.116293696535182
"41",0.0883942840410068
"42",0.140327574240779
"43",0.071770838236978
"44",0.118298019916982
"45",0.111992293398077
"46",0.122777613728768
"47",0.124010913118462
"48",0.125365000033344
"49",0.0741846184383899
"50",0.11364077289259
"51",0.171352045554619
"53",0.0869580535043691
"54",0.0586923762111158
"55",0.0626699203465792
"56",0.108931580259621
"57",0.11803165107265
"58",0.0967753308838536
"59",0.0803010329185962
"60",0.127163899141489
"61",0.107073575489657
"62",0.0983213775904367
"63",0.0908795564988366
"64",0.0778263466655334
"65",0.108146573349256
"66",0.0967025994167166
"67",0.0814926398628548
"68",0.131840180756063
"69",0.0884719726805529
"70",0.0965966143511025
"71",0.0990265482292039
"72",0.115092069766784
"73",0.102276179965833
"74",0.0981912958717987
"75",0.0842956295445337
"76",0.0852981047083147
"77",0.0871239060822337
"79",0.106612133290043
"80",0.103738811492151
"81",0.108085135115011
"82",0.114018928021323
"83",0.106640402265816
"84",0.126859149009563
"85",0.102802877326854
"86",0.107787256752372
"88",0.0845283565379081
"89",0.0924388227336233
"90",0.116929350767286
"91",0.0685925327710804
"92",0.0901623476605311
"93",0.0910190570523238
