"","X10...groundnut.predict...groundnut.data.mean_groun.....1"
"1",0.0623701398033496
"2",-0.00224838613976464
"3",-0.00614745620565971
"5",0.0198256902075644
"6",0.142140214908691
"7",-0.146907429278697
"8",0.00320407245962606
"9",-0.149019939373544
"10",0.16653051290572
"11",0.147095832843276
"12",-0.0880984044553441
"13",0.385270549826265
"14",0.336857446963194
"15",-0.13904581528843
"17",-0.222677764793327
"18",-0.16802978998854
"19",0.0867159928886834
"20",-0.0254176128310721
"21",-0.0256638290873505
"22",-0.227684635089481
"23",0.0879343648895554
"24",-0.209842636846175
"25",0.0337950032216081
"26",-0.0737026278889211
"27",-0.335758577884918
"28",-0.225848883206579
"29",-0.0915196725561898
"30",0.124554724546339
"31",-0.00405108423720713
"32",-0.0516321091961125
"33",0.0436040551469363
"34",-0.0290799888352393
"35",-0.239858651211116
"36",-0.004306295025161
"37",0.0992516708668856
"38",-0.0418695500752579
"39",0.35375669294856
"40",-0.0445626127615133
"41",0.199823655544729
"42",0.0379186868901438
"43",0.210092130176625
"44",0.0399334097175146
"45",0.448973499854553
"46",-0.109929824287745
"47",0.000354758076906547
"48",0.0319309640291856
"49",-0.111646506258382
"50",0.139926794036542
"51",-0.0464570139202439
"52",0.179397947324416
"53",-0.265403933707365
"55",0.345439122862847
"56",0.0189674171631464
"57",-0.0990623887867359
"58",-0.154077569154152
"59",0.00927197304253324
"60",-0.106681639204008
"61",-0.068438021011296
"62",-0.0834094839383019
"63",0.0937697436383171
"64",-0.144511194540916
"65",-0.121538317890151
"66",-0.11816615625388
"67",0.0793890966149395
"68",0.0269056809967765
"69",-0.226942590854827
"70",0.245248019151921
"71",-0.0401529197541813
"72",-0.132395479542162
"74",-0.0149604657910353
"75",-0.173003641072526
"76",0.0782384573700883
"77",-0.133282623373749
"78",-0.00535525689384897
"79",0.101419446288456
"80",-0.0762983538563637
"81",0.199817889921722
"82",0.0793736420631119
"83",-0.390386426595134
"84",-0.270717556489459
"85",-0.0131760565424617
"86",0.229513058923995
"87",-0.0448196926578881
"88",-0.295391312739671
"89",-0.14118693062149
"90",-0.0101709513998143
"91",-0.111843127632246
"92",0.206259853064577
"93",-0.284417933469013
"94",-0.0861299073554892
"95",0.14665151143806
"96",-0.132564260312307
"97",0.0753363882754217
"98",0.151353260771036
"99",-0.147846920985594
"100",-0.00424080525720827
"101",0.00161646923451819
"102",0.0838327408301944
"103",-0.296654240275304
"104",0.0720879406128352
"105",0.0849864800448668
"106",0.026903622803655
"107",-0.0624405486344468
"108",0.0751213452491455
"109",0.144477221092187
"110",-0.153039355402689
"111",0.222987987454091
"112",0.178961200566971
"113",-0.280002876276013
"114",0.0798503695676527
"115",0.00804407706353616
"116",-0.00813085242910083
"118",0.0808199669660268
"119",0.594754112798555
"120",-0.074296542127401
"121",-0.22035563922961
"122",0.436357908393147
"123",-0.231103599142586
"124",0.106692878894843
"125",-0.275406032516838
"126",-0.0702884602316024
"127",0.0212765880150652
"128",0.317842144030867
"129",0.00873081445103963
"130",-0.11809169056015
"131",0.00245990963300868
"132",0.014605686178659
"133",-0.00900919123082167
"134",0.746100317898388
"135",-0.0553274497590626
"136",-0.144851643254702
"137",-0.0260334333506217
"138",0.0329596542855188
"139",-0.0923706993169534
"140",0.506573652791104
"141",0.104268626254025
"142",-0.00208891304531056
"143",-0.0226212308572824
"144",0.0617372461734753
"145",-0.0227695856512727
"146",0.359762449798142
"147",0.187347579382684
"148",-0.0383100370927268
"149",0.0178076546381238
"151",0.00949415192431036
"152",-0.052543812126746
"153",0.0257823385747111
"154",0.543729310872802
"155",0.0293238895678767
"156",-0.0105645465252908
"157",-0.0386134496166777
"159",-0.0104254955209855
"160",0.0138176119563094
"161",-0.0783300312037833
"162",-0.033674673046412
"163",-0.249183371675826
"164",-0.0234942953240839
"166",0.660390051321506
"167",-0.124972870890454
"168",-0.0155806563397931
"169",-0.265298927580855
"170",0.0273176994117474
"171",-0.122990657247597
"172",-0.0957554128146781
"173",-0.270936089229216
"174",-0.216318628017341
"175",0.00461917001439849
"176",-0.110469027593047
"177",-0.0332337220412184
"178",-0.43196719045842
"179",0.364083543621521
"180",-0.110139511757725
"181",-0.0116146218149605
"182",0.129174595795533
"183",-0.131716410743052
"184",0.0457526701198405
"185",-0.0426253012624584
"186",0.0058749808443288
"187",-0.214720550331786
"188",-0.000650016364305062
"189",-0.225449671639756
"190",-0.221098893206188
"191",-0.101968054256
"192",0.154445264917384
"193",0.0780421832532479
"194",-0.00734364332532955
"195",-0.115514913030449
"196",0.0783617539963588
"197",0.0235918003705948
"198",-0.0659112018482573
"199",-0.103176573863471
"201",0.202633509607383
"202",0.000787201794471448
"203",0.0477592149568811
"204",-0.0709629086248683
"205",-0.19757395130273
"206",0.122992626632649
"208",0.00898777467197687
"209",-0.00032268165362237
"210",-0.10283171990948
"211",0.0971125302250313
"212",0.142770076919009
"214",-0.0379567718117068
"215",-0.156442491820417
"216",0.0790073377787774
"217",-0.145650212148914
"218",-0.306919033569472
"220",0.10067147941821
"221",0.0561966695560956
"222",-0.000330689169930731
"223",-0.0119691840453461
"224",4.18300151678874e-05
"225",-0.0245031399433089
"226",0.266494788674187
"227",-0.0264978420107502
"228",0.096033862719676
"229",0.0444579400460094
"230",0.152082452938237
"231",0.387128861289214
"232",0.0657262480714735
"233",0.00459595986860584
"234",-0.199056608709922
"235",-0.120905347311724
"236",-0.247594978273222
"237",0.00167873268220564
"238",-0.0552269759803463
"239",-0.197349591057775
"240",0.295466246716678
"241",-0.00790767953401794
"242",-0.0851053143019564
"243",0.0803257214846844
"244",0.0227682354011565
"245",-0.00317096369175018
"246",-0.0266967582702841
"247",0.15455567744178
"248",-0.0803089526836969
"249",0.0262933342672886
"250",0.0045448798364558
"251",-0.127815884461999
"252",0.189787166345442
"253",0.00833526566356246
"254",-0.0233972916837849
"255",0.25774793176356
"256",0.20173483503595
"257",0.195169984783963
"258",0.572714178519389
"259",0.215083548561629
"260",-0.0210776457635711
"261",-0.110901871645278
"262",-0.246151505192411
"263",0.291684274198494
"264",0.264364365067383
