"","mean_wheat","wheat_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"19",0.742168911867045,2.45520451259718,3.69928062050879,4.98465330797233,2.25388439557119
"24",0.145559523416972,0.547875859000037,2.26709515600535,0,2.99539097892403
"82",0.737749240555111,2.19585491556053,4.39150652613484,5.83682522770016,2.58169777801571
"119",0.462916007029881,2.09126914949636,2.65874601931954,5.50520154772776,2.92408228242792
"275",0.0549958607638649,1.76412711377346,3.31522015660823,4.21937492462626,2.94048239127832
"363",0.407011398197145,2.08085872439007,2.65874601931954,5.50520154772776,2.89466214165877
"464",0.706366150567974,2.47765369172471,2.99627669770714,6.95136909386879,2.85709905784382
"469",0.150756440474153,1.76168027321554,2.88553797188383,4.83241310188512,2.23323036786883
"556",0.600055740837091,1.77074251139037,4.4645225202218,5.3694440804306,2.63301131606616
"579",0.44682157843876,2.20256968815783,3.69928062050879,4.98465330797233,2.61596882907127
"599",0.0980468391777833,0.709576148614514,2.7855635422284,2.44870631990508,2.69434138784097
"644",0.367209303812207,0.71657577066047,2.7855635422284,2.44870631990508,2.68873401524878
"665",0.292588269733544,2.02977769362769,4.33107201983724,5.36316241230006,2.71471385938463
"671",0.291692223689746,1.63625768675622,4.55253120853509,6.47257508985315,2.33475284787798
"718",0.208719350557309,1.04912006154329,2.77291888787602,0,2.88189559848472
"733",0.361478143113456,1.6135318781175,3.80950249718057,5.78923793550226,2.03520333530463
"758",0.434803870894448,2.11549768162259,4.55253120853509,6.47257508985315,2.66669065671381
"842",0.757206520334439,2.32774037413447,2.99627669770714,6.95136909386879,1.89989537884254
"889",0.60192507101493,2.01210764134704,3.39165397941092,5.6784582838221,2.97104931845928
"956",0.35127611252809,2.29065394051765,2.99627669770714,6.95136909386879,2.64138557114427
"1015",0.640662239353522,2.26406675910414,4.21334781739129,5.40708143378234,2.52023001891381
"1058",0.519828599557056,2.25548246057795,3.69928062050879,4.98465330797233,2.5846946000857
"1087",0.00832146157606128,1.35126450950535,2.70832088674834,3.93495270781786,1.67897337591977
"1105",0.178434130969267,0.566566609196996,2.58899405288781,1.7481880270062,2.71188502563408
"1206",0.669512157299144,2.10655757604366,3.82053390533369,5.19781516944518,2.38948778200849
"1256",0.50238414318994,2.20165875927126,2.7175806602292,5.06566932773143,2.07129010130327
"1317",0.0726801856839995,1.4138078605852,3.33487843404016,5.32502074550366,2.64793573349118
"1342",0.447177939720481,0.617981301584364,2.33187050378788,2.46982201597816,2.50533977917185
"1415",0.302184694911616,1.62896509527919,4.33107201983724,5.36316241230006,2.77986479355217
"1520",0.491318882056261,2.33098110486486,2.99627669770714,6.95136909386879,2.70876476760362
"1529",0.656542675645108,2.32479986878938,2.99627669770714,6.95136909386879,2.73591241825355
"1566",0.317778518754059,1.7969261981725,3.31522015660823,4.21937492462626,2.91742266635982
"1593",0.547320408057901,2.08638495032426,3.82053390533369,5.19781516944518,2.59867979624061
"1629",0.210488927841241,0.494410657466292,2.98847132047518,4.4215710245264,2.85904890061892
"1630",0.151300635293899,0.561167811068308,2.50009459561958,2.72916478969277,2.94055205807061
"1666",0.194095251193689,1.86301121598957,4.48925689329624,4.11223623086894,2.61389213689062
"1759",0.33994178994041,0.905902558151374,3.17598650936112,4.50851625226694,2.11829622634681
"1797",0.166253316751367,0.839737228114291,2.50009459561958,2.72916478969277,2.79409574971503
"1979",0.35188680980714,0.752143511010159,2.7855635422284,2.44870631990508,2.71199040524913
"2105",0.165349466095401,1.80864797244162,3.33487843404016,5.32502074550366,2.36335451398268
"2181",0.0633385742078439,1.19199335319739,3.6255249388827,0,2.94967166066761
"2228",0.187809043176129,0.695524291996987,2.71731170571189,2.91009054559407,1.95686276005962
"2229",0.185896989646033,1.71153733962469,4.33107201983724,5.36316241230006,2.6731635848343
"2288",0.0296092089211015,0.658998446138027,2.26709515600535,0,2.94365053522742
"2329",0.713962239778817,2.28812255971973,4.55253120853509,6.47257508985315,2.88850209184276
"2420",0.575045804981304,2.41554220786506,2.99627669770714,6.95136909386879,2.59845503231177
"2457",0.334983881176652,1.39375227543917,3.33487843404016,5.32502074550366,2.365030897342
"393",0.110985415651881,1.42343553791777,3.2119147561999,4.85455500642305,2.77943972601716
"927",0.0266694282013763,1.82669037775758,3.58078294659351,5.98977763964001,3.00486364734752
"1509",0.335710103393356,1.99650840722807,3.76349188024616,4.27018954270418,2.71868947481343
"1523",0.0875875319494409,1.83475423226442,3.80950249718057,5.78923793550226,2.85369097055481
"1689",0.00946663465148711,1.64065732927114,3.80950249718057,5.78923793550226,2.35079008637076
"2389",0.805835887203755,2.20439318248185,2.99627669770714,6.95136909386879,2.50447086249442
"2455",0.588780834492464,0.535805281768099,3.33590723556634,2.59439255037543,2.57210369221674
"2474",0.288923195889033,1.17483280178075,2.09437779351545,3.63648789635337,2.55161697990997
"2477",0.44865362256851,0.753500876320818,2.36249398434491,2.39269695325967,2.69217784735586
"2511",0.330761558731967,2.18374859086134,4.55253120853509,6.47257508985315,2.94278288727227
"2592",0.421251658239467,1.57869547885566,3.33487843404016,5.32502074550366,2.66493843186716
"2602",0.473758393586027,2.06249412264366,4.14310934368233,4.86861505347097,2.609800786005
"2628",0.225495304235317,1.51350443077005,4.37324138608759,5.43420630841758,2.54838941813292
"2640",0.320401661364925,1.7553866245197,4.33107201983724,5.36316241230006,2.41259553088046
"2666",0.023901879270581,1.12470162516961,3.33487843404016,5.32502074550366,2.30627181017191
"2688",0.222584215623611,2.09384101847779,2.23757342070395,3.59228781595213,3.0256118219968
"2692",0.28120439602421,1.58602156098455,3.55219028830686,3.39724458101039,2.67525992437706
"2728",0.21961715443929,1.33534464940539,3.33487843404016,5.32502074550366,2.58716956309482
"2735",0.487887243362191,2.22307279722145,3.69928062050879,4.98465330797233,2.18763820895548
"2740",0.316503362068694,0.662998296736093,2.26709515600535,0,2.85687627639459
"2760",0.338533873006982,1.42362421999892,3.33487843404016,5.32502074550366,2.30262979882118
"2795",0.501791739699626,1.74174505597878,4.37324138608759,5.43420630841758,2.38396489061893
"2798",0.495817092460378,2.28890442987464,3.69928062050879,4.98465330797233,2.69899068451257
"2903",0.193130248321883,2.1311401762368,2.65874601931954,5.50520154772776,2.68426546673157
"2917",0.334636168190583,1.01942627914086,3.17598650936112,4.50851625226694,2.17396629810017
"2952",0.717461220818432,2.37417357143006,4.41865905031594,5.36638186074997,2.6806951537781
"2990",0.342590534190732,1.47557947990424,3.33487843404016,5.32502074550366,2.33859876867732
"3005",0.526010250327485,2.2032280794662,2.99627669770714,6.95136909386879,2.58436488303439
"3068",0.218907319758341,2.26415569708303,2.23757342070395,3.59228781595213,2.97280184542228
"3079",0.012913499513435,1.46186913439104,4.55253120853509,6.47257508985315,2.74281861439962
"3092",0.290024781274065,1.48009482045685,3.80950249718057,5.78923793550226,2.37478106730902
"3131",0.28080938226093,0.77974547257106,2.7855635422284,2.44870631990508,2.9378699896569
"3280",0.875195625535911,2.36098117139999,4.4645225202218,5.3694440804306,2.69312736039549
"3297",0.0595513831958891,0.522032534494969,2.58899405288781,1.7481880270062,2.81630838866581
"3302",0.72158718509826,2.206760048994,2.99627669770714,6.95136909386879,2.55996003267527
"3321",0.109632422736582,1.51615911616375,4.33107201983724,5.36316241230006,2.80747865183613
"3335",0.477215724484879,1.81896855294042,3.49225402986176,5.25389021628127,2.1903233590758
"3409",0.311024611674477,0.767410311852566,2.42066321182124,2.79028516403324,2.89290748077285
"3512",0.388883749768476,1.9543626676479,3.58078294659351,5.98977763964001,2.8775273144218
"3560",0.450664749561839,1.8707894170647,2.61998209528875,4.35812528527665,2.93534529285453
"3592",0.384413566657982,1.97537070104486,3.39165397941092,5.6784582838221,2.96248208377222
"3679",0.330364614722947,0.826571488230311,2.58899405288781,1.7481880270062,2.80081114562461
"3693",0.485070907131347,2.28608659451924,3.69928062050879,4.98465330797233,2.63648491124556
"3695",0.277643940660879,1.48959667389403,2.26964184190232,0,2.0593582753093
"3705",0.512958494107818,2.07642216840932,2.26751551150824,3.56726169235387,2.21674696137492
"3767",0.157447380381269,0.357473905746279,2.98847132047518,4.4215710245264,1.85826499791947
"3820",0.436438036357867,2.16047060504281,2.65874601931954,5.50520154772776,2.68482933812569
"3850",0.605445577260936,1.94900108804954,4.55253120853509,6.47257508985315,2.13776654935435
"3854",0.348514777137693,0.98521224652839,2.50009459561958,2.72916478969277,2.79794317792431
"3873",0.00626265067952054,1.29938073430074,3.33487843404016,5.32502074550366,2.61479681272587
"3933",0.097459773558349,2.16319072584933,2.88553797188383,4.83241310188512,2.21029622038618
"3985",0.907581202545148,2.35157352064103,4.41865905031594,5.36638186074997,2.69832066251296
"3995",0.788125506565409,0.968397909151684,2.58561693011275,4.06785166051235,2.77918620492389
"4035",0.235746080204912,1.52741221852572,4.33107201983724,5.36316241230006,2.88318357911215
"4063",0.254024628824943,1.79781664367633,4.37324138608759,5.43420630841758,2.55785078934732
"4073",0.451396739100908,2.30714958028689,2.99627669770714,6.95136909386879,2.73153120841035
"4276",0.105632203014327,1.6991352272521,4.33107201983724,5.36316241230006,2.53180193267503
"4364",0.730785247344468,2.32757835605013,2.99627669770714,6.95136909386879,1.72261433812545
"4372",0.304819019237173,2.25096723880644,2.5001937426211,1.17609125905568,2.93436166062449
"4441",0.406398239852939,0.745739904549859,2.7855635422284,2.44870631990508,2.88543021749694
"4544",0.563539851310476,1.93289330905235,3.80950249718057,5.78923793550226,2.88254825371348
"4584",0.0445404823867888,1.29426640142913,2.09437779351545,3.63648789635337,2.61945049731097
"4603",0.338317161539729,1.94229720351953,4.33107201983724,5.36316241230006,2.22471646163055
"4669",0.598384694053022,2.47023637647135,4.21124915324027,4.37781602917206,2.85697690154854
"4680",0.576659415123571,2.20260811186737,4.55253120853509,6.47257508985315,2.84985796222679
"4705",0.213025665443282,1.59283922062802,4.33107201983724,5.36316241230006,2.22583213918985
"4785",0.181618423040716,0.951528593095723,2.77291888787602,0,2.92854062953356
"4794",0.639067300332152,2.40746863588631,2.99627669770714,6.95136909386879,2.75592020568688
"4816",0.431545822613855,2.10989037343824,4.4240457227584,3.96189547366785,2.56117239668328
"4845",0.309498522611053,1.39754663928673,3.53572152828684,2.07918124604762,2.56959682480208
"4846",0.262231500737826,1.73737234513283,3.82053390533369,5.19781516944518,2.74778160908691
"4862",0.480864248466118,2.19184052206481,2.99627669770714,6.95136909386879,2.56597424475435
"4869",0.493458470650328,2.29876770274633,3.5953428256262,5.33782451404581,2.47781006454463
"2723",0.00686699117622067,1.52035249373049,3.37144277430214,3.81484666860446,1.8547577449504
"2808",0.29505036507742,0.808410058465103,3.53572152828684,2.07918124604762,2.50104295216717
"2915",0.0287503435296652,0.640467426126168,2.49413466181068,2.56348108539441,2.33234226010403
"3108",0.41490855425168,2.08561161727771,4.55253120853509,6.47257508985315,2.47449810317543
"3710",0.116408443425536,1.68158374669152,4.55253120853509,6.47257508985315,2.19426649937594
"4379",0.0153481110467168,1.72880383663088,3.58078294659351,5.98977763964001,3.0181058191929
"4656",0.0322493059871643,1.5084372082996,2.98460650671991,3.30770992340481,2.98716198683856
"4916",0.374868050573425,2.11055955642224,3.58078294659351,5.98977763964001,2.96379344707979
"4954",0.713465092187553,0.932593537790272,2.58561693011275,4.06785166051235,2.797617849806
"4970",0.511764067019925,2.3844982412665,3.69928062050879,4.98465330797233,2.71227881387855
"4974",0.592199086333652,1.56640255064933,3.33487843404016,5.32502074550366,2.58303675406315
"4983",0.272428808425437,0.609870230397665,2.50009459561958,2.72916478969277,2.80459371533034
"4998",0.486162044998536,0.742000195734859,2.49680172397732,2.94694327069783,2.82387771878954
"5036",0.338319077428577,0.113861589676782,4.16823875110469,2.29446622616159,2.97999615314019
