"","l.IncMSE.Min","l.IncMSE.Max","l.IncMSE.Mean","l.IncMSE.StD","l.IncNodePurity.Min","l.IncNodePurity.Max","l.IncNodePurity.Mean","l.IncNodePurity.StD","l.RSS.OOB","l.r.OOB","l.RSS.Pred","l.r.Pred"
"Barley_Fertilizer",-5.47364697345171,39.5431273967246,16.7282194548633,6.12005006384889,1.76420881455667e-05,2.87723163019326,0.494778044235154,0.422709668283936,114.150999878439,0.763588656708649,85.991498069152,0.821908125274305
"GDP_Mean",-8.27817246847578,27.9352107283668,9.06389371568372,6.94448133429566,0,2.48210439854934,0.137329018280771,0.22460448030638,114.150999878439,0.763588656708649,85.991498069152,0.821908125274305
"Pesticide",-8.00199223672057,35.0473252574225,9.12337733329016,7.00954947559127,0,3.31145649169335,0.146149951924346,0.271881869381378,114.150999878439,0.763588656708649,85.991498069152,0.821908125274305
"AET_mean",-4.63272367539629,38.6769264009988,12.7804404184604,5.8534509305904,2.61792863061246e-05,1.539300322821,0.31432968741335,0.241275146066528,114.150999878439,0.763588656708649,85.991498069152,0.821908125274305
