"","Barley_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"290",0.371709797360146,0.0732435379047721,0.0539440399045477,0.445382330651741
"291",0.196944463816022,0.103879674559257,0.106635647071768,0.105747349081838
"292",0.549272276623236,0.114323622994479,0.102136156230132,0.347355871556482
"293",0.964421337588237,0,0,0.155801665877957
"294",1.34172294323343,0,0,0.224171522712489
"295",0.268853961322841,0,0,0.201041157207482
"296",0.434911804731501,0.656524346644417,0.531401550233902,0.453772724029462
"297",2.75089020259363,1.07229110834557,1.19047069818251,1.31456064021798
"298",0.23758444523103,0.0151232879312848,0.0160115825295594,0.278292364059187
"299",0.25880678346853,0.0527031086451909,0.0542833546280996,0.300212485637983
"300",0.770414903747492,0.152520782325446,0.17854909045539,0.406721923995357
"301",0.702584818668982,0.426950255408915,0.381090540358596,0.325564700848508
"302",0.380995986078961,0.0426973533892265,0.0472507003206881,0.363119672861666
"303",0.730315159150516,0.290634178249803,0.319473315984056,0.471630723665189
"304",0.0960517021098799,0.0358703530769787,0.0320934685244356,0.110597780247968
"305",0.481995389024284,0.0604860905203881,0.066507795028329,0.249940157726654
"306",0.069670843685355,0.0102873426719723,0.0108285006473006,0.0646237738090054
"307",0.487943629995838,0,0,0.314037761679344
"308",0.497434592836147,0.039192375960121,0.0467904443820227,0.320793245319283
"309",0.910279528198982,0.588489624784342,0.629056516171173,1.16908307273342
"310",0.386067058885436,0.161347797338588,0.137177256899369,0.330622159130815
"311",0.517475360351334,0.0192195307854288,0.0185048912032358,0.58706115411919
"312",0.387379669103266,0.361923987346114,0.328268073106916,0.277157992127246
"313",2.04407857030185,1.01264836530511,0.977864195088706,0.90445174472316
"314",0.478993823463536,0,0,0.594115056349747
"315",0.579456202246064,0.133823890944693,0.137821898432435,0.556919146222158
"316",0.263741623335045,0.436891665766383,0.325459303259172,0.282530110407178
"317",0.237649838853555,0.0608464971233526,0.057077103766959,0.23270557217377
"318",0.138732913405344,0.0601544215525435,0.0427208271077626,0.14639822341367
"319",0.077378510305282,0.0688797243787244,0.0632180954475701,0.0430243799148886
"320",0.776432404551001,0.12517051630814,0.138049277734323,0.263486789959706
"321",0.0308590480933656,0.00349396724216196,0.00348890388855039,0.0340527780152135
"322",0.0638483312660047,0.0393774842803745,0.0330958889975817,0.0728452839619266
"323",1.27605078173624,0.0667955454566423,0.0727349362243405,0.278222189040741
"324",0.20597553815547,0.0931787136937112,0.10304953477448,0.312851547319368
"325",0.780018656354479,0.547824217443179,0.531830949309819,0.74653820771296
"326",0.00535137876843816,0,0,0.00331586823820728
"327",0.896079393213575,0.165977338064338,0.167916786550718,0.29846093340106
"328",0.295804771251616,0,0,0.221864896191285
"329",2.22376684443815,1.35449129319471,1.19557776527223,1.40402424421044
"330",0.472851017940836,0,0,0.176473370011391
"331",0.0788860707907198,0,0,0.104396265474452
"332",1.19778676718235,0.717594011794697,0.811609861161791,0.426001628953112
"333",0.811533213991592,0.0426123590993807,0.045033647687572,0.224208498696829
"334",1.16922193221716,1.72304989440719,2.46321866193354,0.880251942785553
"335",0.0707962351260054,0.00941179891343119,0.0115886813560372,0.0813454119234367
"336",0.404953654947531,0.223156648715063,0.247697452005927,0.488685062147989
"337",0.651391334456697,0.379727468029863,0.369019501664628,0.75378397258381
"338",0.362952437870582,0,0,0.358507830332232
"339",0.584632288793091,0,0,0.392589862789433
"340",0.584696650658262,0.446306625058773,0.464029822402803,0.425927215938098
"341",0.169321776155584,0.254477612134997,0.224487019108,0.169867862368359
"342",2.1691397938427,0.143599791193818,0.16645158062478,0.586199362409484
"343",0.0103677611968471,0.00228876231314212,0.00247034115223558,0.0141900305932562
"344",0.726339375966881,0.119122248298486,0.116138578986262,0.65399718730212
"345",0.287796212385233,0.0348339085564263,0.0360187680957195,0.487969173546317
"346",0.605688533380619,0,0,0.213616054582853
"347",0.306010921132334,0.11926493897538,0.0825216461828477,0.261115059140046
"348",1.16635757442041,0.634961389883577,0.591014541365633,1.04343014459065
"349",0.265568858692892,0,0,0.216965212275916
"350",0.277323225518371,0,0,0.200253967496092
"351",0.568736165409205,0.183651098729558,0.180561351754486,0.464261444256875
"352",1.04030620838561,0.0180998763862486,0.0202319122556715,0.21314267318496
"353",0.273087473355916,0.031311830808577,0.0310072735553388,0.382622928773552
"354",0.151696623065112,0.0195488295642004,0.0201841028943648,0.187670240934926
"355",0.394112290778963,0,0,0.237900971196987
"356",0.869147311004912,0.113539923957051,0.118429117605132,0.431383055877773
"357",0.998981397806825,0.26307430759681,0.314695276186904,0.485290714043636
"358",0.171771471654569,0.307885042268216,0.209472028279939,0.141915441184457
"359",0.308794265354416,0.0262259592361242,0.0243795533559398,0.217289331222505
"360",0.89711414274093,0.891696806901655,1.03387778785085,1.38029274192964
"361",0.320335805433578,0,0,0.140550263687557
"362",0.339603416474618,0.337354728766913,0.211590001086237,0.296543671694091
"363",0.543112563257345,0.138384338049104,0.143442865756792,0.373540048990514
"364",0.561590182913037,0.302148417879351,0.339707675995141,0.370835394081015
"365",1.0557843948858,0.730986210165091,0.643918924635708,1.27095676834926
"366",0.165415758084479,0.0673938052585007,0.0564192284910308,0.189996062630815
"367",0.346351788212898,0,0,0.250483727469914
"368",0.25637428215479,0,0,0.343649347478747
"369",0.374909936791511,0.0786071187463536,0.0862759854530312,0.30952249403676
"370",0.187649941156544,0.028884709855736,0.0318904349464922,0.221339502109497
"371",0.205502262207259,0.152861412687759,0.127051815330685,0.306433532402653
"372",0.55993951795289,0.186164689439569,0.161760438478069,0.375246249032922
"373",0.717820386012423,0.0509828374264341,0.0745878074701901,0.343537367993433
"374",0.371096774237072,0.27419698788275,0.277232688420423,0.394042282694469
"375",0.596634283871224,0.0729281790400818,0.0656176256030159,0.343905698173152
"376",1.00648797569985,0.276493437701006,0.320676281166584,0.652204964132311
"377",0.238983040013058,0.0285958803038024,0.0252980250156544,0.142259528304748
"378",0.1905032304114,0.0268017556910134,0.0298406591307266,0.0923791623928735
"379",0.301253613944441,0.0258749860758193,0.0243878323895129,0.302391528288133
"380",1.43427613174076,0.834042734639338,0.704401430498162,0.51623555812199
"381",0.336167507543178,0.0844134760955289,0.0706457161580742,0.156442475854973
"382",0.168055276567309,0.230419538202134,0.200238465371058,0.154570418139797
"383",0.168001934583624,0.13627110886099,0.104256289956831,0.274759227745565
